SA4_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
201,42,1430,705,290,1800,0.7,1376,2.4
202,43,1452,729,300,1864,0.7,1432,2.4
203,40,1733,787,350,2100,0.8,1658,2.5
204,45,1430,734,275,1798,0.7,1373,2.3
205,46,1343,653,270,1636,0.7,1260,2.3
206,34,2167,1137,401,2833,1,2006,2
207,40,2500,873,441,2552,0.8,2059,2.6
208,41,2400,1022,438,2868,0.9,2174,2.5
209,37,2000,807,380,2198,0.8,1887,2.7
210,35,1924,732,380,2031,0.9,1791,2.9
211,40,2000,816,396,2257,0.8,1907,2.6
212,35,1963,745,380,2004,0.9,1811,2.9
213,34,1900,786,361,2077,0.9,1867,2.9
214,44,1900,780,361,2076,0.7,1604,2.4
215,44,1098,688,231,1658,0.7,1274,2.3
216,43,1300,679,250,1663,0.8,1314,2.4
217,45,1300,715,250,1768,0.7,1335,2.3
297,50,0,2200,0,0,0,0,0
299,0,0,0,0,0,0,0,0
