SA4_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
201,384,72,963,504,362,292,118,329,22,3053,4,6,9,3,4,3,3,14,0,47,141,180,106,121,129,54,67,62,29,887,188,98,247,153,140,104,121,218,188,1454,7522,15392,8596,7559,5938,2714,2139,3280,734,53867
202,335,72,907,462,306,259,130,367,37,2879,4,3,7,3,7,3,5,17,0,51,156,205,77,107,119,51,74,73,26,891,154,121,207,157,97,111,140,185,205,1385,7386,16045,7967,7249,5375,2501,2045,3356,753,52674
203,669,163,1989,973,651,561,307,631,63,6008,9,9,8,10,9,12,6,15,4,81,278,406,197,285,236,92,136,154,55,1848,274,246,479,315,242,188,179,327,453,2700,15320,34282,17964,15423,11880,5692,4385,6410,1737,113090
204,469,92,1158,567,395,333,216,490,28,3753,7,5,5,13,4,8,3,21,0,62,159,163,110,146,114,56,84,87,42,958,265,109,285,184,158,125,185,297,260,1875,9290,13456,9894,8212,5831,2730,2833,4325,926,57500
205,653,145,1622,815,615,546,215,677,68,5359,8,8,4,7,3,8,0,11,0,60,212,200,175,181,135,68,111,123,49,1254,388,188,516,308,240,242,256,485,401,3016,11955,19954,15383,12045,8735,4201,4042,6344,1451,84108
206,1434,476,3938,1705,1017,727,245,699,126,10364,21,26,28,42,25,22,10,29,5,203,1461,2448,375,679,1002,455,133,228,178,6960,583,888,468,474,428,289,169,296,1055,4647,53501,142104,22486,23873,31631,14930,4428,9433,4806,307189
207,649,172,1304,608,482,441,125,363,46,4201,10,14,10,17,11,13,5,29,4,118,533,775,156,230,404,216,58,88,78,2537,295,402,245,170,267,198,67,139,573,2365,27728,63363,10848,10577,17064,8503,2370,4219,2516,147204
208,861,275,1768,797,732,572,158,339,88,5580,18,15,11,11,11,10,5,17,6,109,753,1006,241,303,510,214,81,128,114,3358,461,465,371,217,272,228,90,150,640,2897,35430,69290,15528,13574,19923,9363,2767,4546,2844,173248
209,1035,297,2800,1501,1288,898,636,904,108,9469,10,23,18,19,15,16,24,30,6,159,556,811,375,503,539,200,287,273,110,3657,415,434,737,448,487,327,359,488,874,4567,26761,62090,27306,22668,23444,9997,7896,9597,3242,192999
210,716,209,2064,1019,862,702,678,723,87,7062,13,9,16,17,11,14,14,31,4,131,337,420,297,349,364,132,267,226,79,2469,315,267,541,367,390,254,390,350,766,3646,16861,37170,20172,16484,16737,6988,7734,7728,2588,132458
211,1114,279,2602,1248,1202,884,368,803,113,8618,7,15,19,16,16,10,16,34,3,132,489,675,371,395,452,182,153,158,105,2984,425,364,711,368,427,264,263,380,755,3947,28736,59912,29871,21040,23583,9970,5814,8619,2959,190512
212,1411,394,4645,2292,1737,1358,1481,1927,203,15446,20,24,32,20,15,30,47,77,16,284,604,733,580,652,686,329,566,505,159,4806,652,605,1202,684,675,457,843,967,1747,7840,33704,77109,42141,34352,35090,16177,17124,19590,5674,280963
213,1527,477,4242,2302,1891,1368,1944,1631,217,15591,18,16,34,32,31,23,39,63,3,255,713,929,615,751,793,331,772,471,198,5563,591,610,952,757,761,443,923,820,1752,7616,35049,80821,36690,33682,36418,15447,19849,16529,5934,280420
214,717,183,1787,909,730,588,226,598,65,5798,5,9,10,7,10,8,9,9,0,76,301,300,217,238,220,96,74,125,65,1625,315,219,510,276,265,227,167,308,391,2675,15130,26186,18363,12709,11039,5735,3256,5496,1609,99523
215,339,88,853,410,299,282,134,380,43,2832,16,6,0,5,4,3,5,43,4,82,104,89,58,79,43,25,59,93,14,567,304,101,200,168,116,129,164,361,262,1810,7462,9608,6304,6020,3983,1948,1999,3737,784,41846
216,296,43,788,402,278,248,153,362,38,2608,5,5,4,6,7,0,0,18,0,43,84,73,60,61,51,24,66,79,21,521,231,95,201,123,104,128,149,306,193,1526,5867,8816,6306,5259,3525,1831,1769,3507,630,37506
217,357,59,896,396,228,259,110,403,45,2753,4,0,0,3,3,0,0,15,0,27,134,88,75,75,59,28,46,57,13,578,282,94,168,128,85,101,130,240,182,1417,6950,9002,6051,5275,3414,1792,1770,3486,615,38348
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
299,4,0,15,7,9,7,6,19,0,67,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,5,0,30,0,8,0,4,4,0,5,17,12,54,133,313,192,156,89,64,81,181,28,1239
