SA4_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
201,3,151,3,157,..,153,27,177,4,180,..,36,3,39,0,39,..,195,31,225,3,232,..,1601,185,1789,48,1837,..,9029,906,9931,146,10077,..,460,42,498,9684,10181,153675,9483,946,10431,9828,173937
202,3,97,0,95,..,112,19,129,0,129,..,41,3,43,0,43,..,148,48,199,5,204,..,2167,957,3122,59,3185,..,7899,1636,9535,136,9668,..,408,64,477,10238,10708,147380,8313,1699,10009,10371,167764
203,40,466,4,465,..,388,83,468,4,474,..,290,52,347,0,347,..,680,243,919,14,933,..,5524,1344,6870,144,7008,..,29169,4398,33569,431,34001,..,855,120,975,15848,16824,277053,30023,4517,34546,16279,327878
204,5,85,0,85,..,195,39,236,5,243,..,43,3,44,0,51,..,196,119,312,4,315,..,1520,308,1827,47,1874,..,8126,1196,9323,141,9467,..,467,65,532,11753,12285,163188,8595,1265,9854,11893,184935
205,18,195,6,195,..,285,96,380,9,385,..,62,7,64,0,64,..,348,166,510,12,518,..,2637,399,3034,72,3108,..,12962,1829,14791,201,14994,..,765,84,845,20526,21372,264484,13726,1906,15640,20731,300848
206,82,1874,26,1902,..,2506,571,3078,15,3091,..,2199,486,2684,21,2703,..,7310,2375,9688,73,9755,..,15100,1926,17029,379,17406,..,150862,23509,174369,1441,175814,..,2062,302,2367,31616,33980,407221,152918,23811,176731,33057,617018
207,61,1714,13,1726,..,718,110,826,0,825,..,489,67,550,4,557,..,3602,671,4278,28,4306,..,5342,627,5967,192,6160,..,118556,25162,143715,1182,144895,..,1198,181,1384,10787,12164,216411,119756,25340,145097,11964,373472
208,56,1424,17,1441,..,736,111,850,9,854,..,958,139,1095,18,1111,..,2094,319,2415,14,2437,..,11554,938,12491,243,12739,..,85307,11692,96992,938,97936,..,1395,178,1567,12789,14362,310343,86695,11868,98564,13730,422639
209,292,3585,44,3632,..,859,156,1012,14,1025,..,2121,488,2605,12,2616,..,6392,2425,8818,67,8884,..,14477,2163,16639,418,17050,..,149631,26430,176058,1783,177843,..,2442,479,2919,19981,22903,339916,152075,26909,178978,21765,540664
210,100,1407,26,1438,..,712,166,878,11,885,..,13707,3643,17352,130,17480,..,3331,1235,4571,25,4594,..,22207,6623,28831,422,29256,..,146060,27207,173267,1775,175045,..,2881,793,3678,19519,23196,226091,148944,28000,176946,21295,424328
211,103,2195,19,2213,..,916,129,1044,3,1054,..,335,56,388,3,392,..,2253,695,2948,25,2973,..,10028,2963,12995,343,13335,..,91523,17783,109301,1223,110521,..,1807,351,2161,15575,17737,390047,93325,18136,111464,16793,518301
212,1056,12873,130,13008,..,1651,515,2167,17,2184,..,3049,718,3766,20,3786,..,17853,8444,26301,161,26462,..,53623,13438,67059,949,68012,..,318091,67129,385218,3584,388803,..,5647,1742,7394,36502,43896,427355,323742,68875,392613,40087,860060
213,525,6900,99,6999,..,1641,350,1986,17,2007,..,3602,763,4362,26,4391,..,36627,18374,54997,454,55457,..,57026,11486,68511,1158,69667,..,317704,60873,378577,4145,382720,..,5010,1283,6289,45493,51779,418544,322710,62156,384870,49634,853054
214,24,370,3,371,..,497,82,573,3,577,..,218,36,256,0,257,..,374,84,461,0,458,..,3507,514,4024,86,4112,..,21819,2784,24602,307,24909,..,923,72,993,15244,16237,267079,22737,2853,25596,15551,308226
215,17,146,0,150,..,188,164,350,8,360,..,302,160,466,4,467,..,418,444,865,22,889,..,2174,746,2926,66,2992,..,10117,3519,13644,206,13849,..,467,99,572,11888,12457,129262,10585,3624,14216,12093,155568
216,13,188,0,186,..,187,78,272,0,272,..,364,129,497,0,498,..,103,48,152,8,156,..,2331,786,3116,63,3179,..,12032,2917,14950,223,15170,..,490,72,562,9566,10131,112315,12525,2988,15514,9789,137618
