SA4_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
201,376,650,1030,189,258,450,184,740,926,263,1624,1882,875,4538,5412,1064,2638,3706,3430,1655,5081,2966,2082,5048,3465,2081,5544,3996,1413,5411,2845,1162,4005,3014,842,3855,5760,1146,6908,4194,161,4355,3145,253,3397,1855,50,1909,4314,402,4718,2705,271,2977,673,910,1582,45319,22877,68196
202,347,591,937,189,277,469,175,673,854,210,1440,1645,798,3918,4719,930,2379,3315,3097,1605,4709,2819,1956,4782,3258,1870,5124,3784,1268,5049,2720,1086,3804,2806,820,3628,5883,1084,6970,4221,172,4394,3297,201,3495,1960,47,2008,4249,344,4595,2629,289,2913,612,774,1392,43987,20804,64792
203,785,1098,1882,375,410,792,349,1057,1404,378,2233,2602,1390,5923,7318,1652,4203,5858,4986,2671,7659,4691,3137,7827,5703,3251,8953,6507,2507,9011,4736,2223,6963,4911,1682,6589,11191,2629,13820,8822,432,9254,7441,612,8048,4610,201,4812,11677,961,12634,4956,619,5576,1045,1280,2322,86214,37124,123332
204,443,703,1149,229,301,530,194,749,939,266,1648,1918,991,4396,5388,1032,2669,3698,3667,1808,5471,3167,2178,5347,3760,2149,5909,4256,1405,5657,2984,1136,4118,3244,759,4007,6784,988,7776,4562,126,4689,3255,225,3474,1941,44,1982,3901,342,4239,3388,212,3598,809,1093,1898,48856,22932,71790
205,992,1333,2326,462,517,990,484,1380,1865,529,3000,3529,1877,7989,9864,1988,4818,6802,6833,2911,9744,5962,3515,9472,6466,3097,9565,7061,2134,9196,4652,1685,6328,5229,1215,6446,9748,1571,11317,6574,175,6748,4836,369,5206,2651,62,2720,6327,623,6955,5281,343,5628,1488,1890,3378,79449,38635,118088
206,1882,5795,7678,594,1454,2047,748,3350,4100,745,6017,6760,1759,9091,10850,1824,7054,8882,4251,6470,10712,4298,8573,12872,5667,11743,17410,7025,11340,18366,5691,11084,16784,6393,9581,15982,15597,19034,34635,13259,2841,16104,12809,5604,18411,9734,1506,11242,42696,10205,52894,6499,4041,10537,1055,2013,3074,142533,136801,279332
207,1948,1923,3878,673,652,1323,680,1184,1863,553,1946,2495,1463,4269,5725,1501,3328,4827,3792,2643,6433,3654,3089,6745,4792,3438,8235,5587,3006,8591,4260,2663,6923,4572,2235,6804,10170,4028,14193,8058,575,8635,7548,1149,8695,5464,292,5756,27911,2003,29914,5407,767,6170,868,923,1791,98901,40106,139003
208,1287,2023,3312,466,736,1210,483,1343,1820,425,2517,2943,1271,5979,7251,1324,4283,5613,3603,3272,6876,3683,3951,7639,4877,4509,9385,5740,3865,9604,4537,3537,8072,4879,2938,7823,11637,5138,16779,10033,589,10628,9790,1460,11252,7155,251,7409,34794,2358,37152,5843,612,6462,1117,1353,2472,112961,50723,163682
209,1799,1915,3713,613,579,1194,681,1481,2162,722,2882,3606,2133,6960,9095,2309,3903,6215,7007,3106,10114,6489,3832,10322,8164,4266,12434,9760,3738,13503,8066,3350,11414,8381,2538,10922,19000,4053,23057,15262,628,15895,12808,957,13767,8651,240,8893,22188,1075,23265,7374,809,8179,1675,1347,3019,143087,47670,190761
210,1485,1466,2951,463,401,862,572,1075,1644,632,2061,2694,1852,5144,7000,2182,2613,4797,5991,1969,7959,5674,2564,8236,6933,2792,9729,8071,2302,10371,6508,2138,8639,6641,1568,8205,14410,2644,17055,11212,404,11611,9102,573,9677,6058,176,6238,14070,770,14832,5635,480,6115,1476,1081,2556,108960,32228,141191
