SA4_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
201,190,298,283,259,898,1583,646,2170,77,6398,170,459,415,389,1439,1875,555,1027,52,6373,297,553,527,459,2250,3090,795,1411,146,9519,304,510,341,258,472,574,132,248,33,2876,73,160,162,121,687,482,148,201,13,2055,135,649,329,202,484,451,138,210,40,2637,217,331,285,197,760,978,379,910,63,4117,306,1161,595,357,1001,1013,289,432,114,5266,68,62,43,29,111,126,28,110,205,779,1762,4187,2975,2266,8083,10179,3109,6705,752,40026,183,366,408,345,749,745,282,695,34,3798,688,1279,1575,1421,1793,1744,537,853,70,9958,122,377,341,228,378,256,56,113,32,1894,704,1900,1607,1134,1121,619,132,229,99,7544,368,1222,1341,861,1856,1070,230,226,52,7222,361,1802,850,345,529,277,69,61,49,4339,29,81,84,44,96,60,13,17,8,425,277,1171,598,307,371,212,50,75,50,3108,52,65,41,27,74,58,15,21,152,523,2782,8262,6836,4708,6980,5035,1378,2296,544,38819
202,191,282,248,241,904,1535,637,2083,84,6201,201,482,435,504,1540,1714,527,1036,46,6489,318,527,486,470,1887,2871,694,1287,126,8669,285,457,328,259,488,557,149,231,37,2798,79,163,133,123,599,481,145,203,13,1950,102,593,270,158,424,398,114,235,36,2345,213,305,258,200,713,841,311,995,79,3924,260,1209,572,432,1069,1067,271,427,95,5408,45,72,42,32,131,126,27,93,170,743,1697,4101,2790,2423,7764,9592,2874,6595,692,38526,179,352,447,376,778,762,262,666,46,3877,760,1408,1711,1626,1867,1666,545,854,55,10479,133,379,335,190,364,249,41,80,22,1782,625,1769,1530,993,1047,556,119,235,98,6976,332,1164,1291,805,1698,946,166,248,44,6686,350,1752,777,302,487,241,43,79,57,4096,28,101,59,47,100,62,24,42,4,465,259,1163,582,313,438,249,58,100,66,3227,44,74,41,28,63,58,15,27,164,515,2704,8159,6774,4681,6832,4794,1259,2333,565,38101
203,337,532,479,446,1935,3293,1247,3595,100,11977,484,1017,882,841,3389,4266,1178,2376,102,14538,611,1146,1024,926,4337,6481,1613,2677,253,19087,661,1114,669,477,775,1360,385,477,78,5999,140,357,291,185,1185,1100,297,480,38,4072,308,1422,598,311,876,870,240,452,55,5140,327,682,619,443,1480,1964,707,1440,141,7802,531,2400,1066,619,1589,1878,422,843,167,9524,79,138,82,73,276,316,69,185,357,1581,3481,8809,5720,4329,15849,21539,6160,12520,1302,79722,415,695,887,702,1620,1640,527,1174,61,7723,1491,3021,3577,2982,4085,3584,1100,1711,149,21704,329,812,732,418,733,520,115,169,45,3870,1422,4149,3273,1868,2006,1222,258,426,194,14817,694,2357,2468,1667,3457,2115,388,430,97,13671,748,3631,1596,660,977,586,115,154,88,8559,82,244,191,98,285,218,37,52,16,1231,409,2137,995,413,552,386,62,140,79,5172,104,142,100,70,170,138,15,62,299,1089,5689,17182,13816,8883,13889,10413,2621,4316,1044,77847
204,241,424,429,371,1087,1938,744,2892,125,8253,185,355,326,317,1119,1308,444,847,43,4939,387,602,535,540,2336,3628,909,1692,195,10824,295,428,283,218,470,773,223,363,57,3109,63,160,123,91,462,448,130,195,18,1686,124,594,276,150,402,453,112,249,34,2392,298,326,362,246,1070,1284,453,1230,122,5388,351,1326,589,435,1261,1328,308,649,145,6389,64,84,28,44,141,167,37,119,255,939,2006,4302,2954,2412,8360,11313,3354,8238,986,43930,228,505,545,409,823,1065,344,1000,74,4999,605,1089,1488,1442,1672,1599,497,880,80,9354,218,388,386,249,440,323,61,117,37,2221,747,1878,1658,1115,1259,786,177,271,148,8044,370,1203,1272,948,1823,1157,232,283,84,7366,356,1605,865,453,653,289,69,116,83,4485,44,110,97,67,133,135,26,44,8,659,357,1428,677,377,493,362,90,145,95,4022,57,75,66,53,83,68,10,30,227,671,2985,8284,7052,5116,7378,5775,1504,2896,835,41823
205,360,561,550,481,1337,2537,917,4085,196,11030,275,603,497,510,1768,2026,625,1237,61,7601,665,974,892,798,3780,5472,1302,2612,334,16832,445,653,452,317,615,758,235,346,61,3893,115,244,208,147,759,635,179,267,24,2584,219,1056,450,283,716,667,185,365,57,3997,422,511,502,350,1321,1682,821,1822,167,7596,513,1905,946,748,1779,1873,613,1050,287,9718,119,113,70,72,215,238,65,188,418,1497,3127,6629,4566,3704,12295,15884,4943,11978,1605,64738,361,771,831,571,1133,1287,399,1375,117,6837,972,1909,2203,1989,2364,2112,705,1294,105,13658,275,663,603,347,579,395,100,147,48,3157,1182,3227,2828,1733,1757,931,244,366,219,12485,634,2181,2227,1503,2798,1687,287,376,107,11799,545,2770,1435,660,920,480,86,133,109,7139,40,126,144,81,129,92,38,65,15,734,497,2151,1102,572,672,368,105,196,139,5799,130,147,97,40,148,98,17,48,351,1077,4628,13947,11477,7490,10511,7454,1972,3998,1206,62688
206,815,1375,1551,1292,5859,9702,3449,9771,212,34015,1547,4707,3862,3503,15141,23415,5858,12875,464,71368,999,1971,2284,1278,4248,5851,1357,2424,281,20680,1771,3275,2038,1000,1556,1605,466,635,184,12533,396,1208,1182,790,4357,3895,888,1480,91,14290,726,2376,1457,683,1994,2064,542,1101,121,11067,327,1053,1166,519,1176,1160,286,590,100,6367,731,2902,2365,762,1396,1386,388,673,173,10770,157,300,274,136,555,664,122,434,753,3393,7457,19163,16186,9963,36277,49737,13354,29977,2380,184483,1272,1589,2188,2145,5833,7138,2614,5308,128,28213,3387,7675,7959,7454,16740,19943,5527,9270,446,78399,597,1286,1318,625,1377,1114,257,407,79,7061,2507,7054,4438,1942,2587,1654,370,554,284,21390,1079,3676,3752,2422,7986,6029,1184,1422,164,27714,1409,4782,2297,838,2039,1523,358,500,151,13896,91,263,267,88,192,174,37,57,21,1184,446,2038,1775,365,491,314,77,120,94,5717,161,307,249,158,525,485,98,216,644,2842,10943,28667,24249,16029,37765,38370,10534,17855,2004,186423
207,381,938,1020,808,2945,5561,1922,5939,139,19656,605,2483,1781,1545,6573,10410,2550,6283,207,32441,424,1038,1087,743,2434,3377,688,1252,171,11200,735,1657,767,360,563,655,182,308,62,5288,216,849,574,345,1775,1893,417,731,49,6846,412,1997,923,439,1133,1233,355,643,67,7201,176,633,563,259,664,733,210,311,52,3614,398,2070,1029,468,738,709,169,303,74,5942,75,201,161,99,278,349,71,197,442,1873,3427,11859,7907,5056,17104,24913,6562,15969,1260,94056,486,1041,1361,1124,2422,2967,907,2245,77,12618,1538,4650,4662,3733,6631,7639,1957,3494,180,34480,214,596,611,297,641,494,85,134,35,3106,1028,3806,2280,1041,1281,697,159,236,117,10642,596,3277,2929,1595,3752,2796,518,637,113,16225,846,3815,1614,572,979,805,151,243,85,9108,38,152,94,58,115,76,12,27,5,571,236,1296,625,221,304,187,25,45,50,2974,83,220,174,102,250,196,37,76,353,1485,5064,18848,14355,8740,16363,15847,3846,7123,1016,91205
208,468,963,902,853,3539,7499,2772,8376,158,25524,687,2337,1733,1550,6577,10864,3060,7010,208,34030,606,1187,1175,883,3294,5240,1248,2118,195,15945,894,1856,789,479,684,1044,320,455,71,6585,209,742,615,345,2009,2216,572,929,60,7691,404,2010,910,479,1323,1669,436,971,91,8294,207,667,601,323,942,950,274,448,65,4483,439,2140,966,513,975,954,244,442,87,6762,90,192,122,82,330,454,84,275,419,2055,4009,12095,7808,5498,19686,30885,9014,21030,1346,111364,724,1040,1627,1503,3071,3952,1340,3045,98,16396,2048,5099,5589,4454,7126,8626,2336,4151,245,39677,292,692,749,375,701,547,133,170,45,3703,1310,4548,2673,1478,1720,1064,230,367,161,13553,804,3836,3721,2224,4769,3607,728,880,140,20709,955,4168,1719,697,1239,938,238,333,90,10380,48,182,153,73,150,113,18,35,10,777,223,1369,605,249,352,191,37,68,41,3126,123,229,166,116,259,289,39,97,386,1712,6529,21157,16996,11169,19389,19329,5096,9148,1221,110029
209,492,709,758,724,4002,6230,2147,5578,173,20817,605,1702,1540,1481,7201,9380,2221,4211,209,28545,930,1800,1990,1681,7346,10301,2340,3524,566,30482,973,1608,1030,706,1455,1786,502,627,139,8834,269,660,570,459,3078,2838,646,1029,81,9625,463,2152,1038,532,1729,1606,412,686,109,8731,538,1246,1396,845,3265,3445,1049,1842,280,13917,711,3253,1814,976,2891,2663,676,1127,259,14373,111,234,201,117,606,535,112,288,755,2963,5087,13374,10340,7524,31575,38774,10111,18910,2583,138284,763,838,1356,1084,3137,2918,976,1830,100,12987,2124,4528,5342,4641,7707,7452,1969,3209,250,37229,487,1051,1045,549,1198,874,140,215,70,5638,1935,5443,4559,2712,3513,1769,375,576,282,21165,1107,4081,4535,2892,7166,4606,745,900,225,26260,1244,5559,2501,965,1702,944,195,273,134,13519,96,279,252,208,503,315,82,86,26,1841,491,2247,1496,621,1145,545,118,152,112,6923,149,260,208,115,372,276,52,90,548,2069,8399,24283,21294,13795,26431,19700,4647,7331,1745,127634
210,301,506,536,469,2884,4096,1343,3583,166,13877,374,932,789,777,4721,5868,1204,2243,194,17109,751,1557,1732,1271,5827,7384,1764,2837,511,23639,596,1006,762,514,1113,1357,374,527,131,6379,221,466,427,312,2518,2137,500,807,90,7473,304,1400,763,363,1248,1142,281,462,79,6046,489,1269,1491,875,2972,3255,1043,1820,337,13555,568,2456,1766,848,2383,2179,601,934,291,12019,100,186,174,103,497,461,95,225,709,2535,3699,9780,8433,5518,24158,27878,7204,13438,2516,102630,453,533,816,683,2085,1933,573,1232,88,8401,1383,2455,2980,2609,5157,4755,1182,1878,213,22620,352,717,727,364,856,529,117,163,63,3883,1362,3621,3263,2068,2743,1321,236,504,293,15403,910,2661,3070,1952,5552,3403,541,681,217,18993,922,4018,1921,753,1289,685,140,176,120,10028,95,279,258,155,454,314,77,68,35,1737,356,1762,1199,453,914,521,83,169,94,5549,122,197,162,104,321,281,30,62,441,1712,5956,16247,14394,9135,19375,13738,2978,4926,1566,88314
