SA3_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
20101,21476,13879,15165,13985,13815,13051,11348,6437,2736,111884,16,19,14,12,16,25,38,30,18,189,5,16,18,10,7,13,9,0,3,74,395,717,531,378,358,313,281,159,120,3255,4,9,11,4,18,10,18,0,0,82,0,4,4,0,0,3,7,0,0,22,3,3,0,3,10,0,9,0,0,28,0,0,0,0,0,3,3,0,0,5,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,754,571,403,386,348,313,166,121,3470,422,770,583,417,408,370,354,196,136,3656,21896,14651,15746,14406,14220,13424,11698,6637,2872,115543
20102,4918,2500,2470,3462,4407,4845,4287,1969,642,29513,7,6,0,6,7,17,12,18,3,75,6,9,0,4,3,5,3,0,5,26,128,123,116,126,144,172,104,50,16,973,0,0,0,0,3,8,0,0,0,12,0,0,0,0,0,0,6,0,0,6,4,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,132,130,117,132,155,179,112,52,25,1036,144,138,122,138,158,195,129,66,28,1111,5060,2639,2594,3598,4563,5046,4419,2032,673,30619
20103,4049,2346,2229,2436,3529,3959,4138,2291,719,25698,3,14,4,8,10,9,18,14,0,78,6,0,0,4,0,0,0,0,0,8,67,82,68,67,95,108,109,53,24,673,0,0,0,0,6,7,0,0,0,13,0,0,3,0,0,4,0,0,0,7,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,89,71,72,97,126,119,52,24,721,75,97,75,78,106,130,137,68,24,798,4124,2443,2307,2511,3635,4090,4271,2355,747,26497
20201,19069,11946,13462,12233,11772,11674,10377,6068,2682,99271,12,9,11,15,9,20,30,28,13,139,3,25,13,8,9,10,14,16,4,101,295,609,529,338,334,327,216,129,110,2889,0,10,8,6,11,7,9,0,0,62,0,10,3,9,7,3,10,5,0,48,0,3,0,9,0,3,3,0,0,27,0,4,0,6,0,9,6,0,0,27,0,4,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,301,676,560,373,363,368,262,146,112,3165,315,687,569,387,375,385,286,178,123,3302,19381,12632,14030,12620,12149,12057,10665,6243,2803,102575
20202,8573,4428,4262,5916,7359,7726,7187,3768,1289,50517,3,4,6,7,3,12,23,17,6,87,0,4,0,0,5,12,14,0,0,36,116,250,175,150,160,236,183,86,37,1391,0,4,7,0,0,3,7,0,0,25,0,0,0,0,3,0,0,3,0,10,0,0,3,0,0,5,3,0,0,14,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,255,182,156,174,260,213,91,40,1491,129,266,194,161,179,272,229,112,40,1576,8702,4693,4459,6079,7533,8000,7417,3880,1337,52093
20203,1931,1028,989,1169,1530,2064,1804,860,346,11722,3,0,0,0,5,7,3,0,3,26,0,3,0,0,0,4,0,0,0,11,35,49,48,27,38,50,63,20,7,337,0,0,5,0,0,0,5,0,0,13,0,0,0,0,3,6,3,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,48,50,27,41,65,76,23,7,380,42,52,56,30,41,66,76,27,14,404,1972,1082,1041,1196,1572,2131,1880,883,353,12129
20301,4838,2354,2303,3045,3068,2776,2160,891,293,21734,0,3,4,3,6,7,6,3,0,25,5,0,0,0,3,0,0,0,0,5,49,89,67,40,43,50,46,19,13,420,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,94,69,47,50,51,56,19,15,444,53,93,74,47,53,57,60,21,17,475,4893,2450,2379,3096,3121,2832,2217,915,313,22207
20302,36462,25699,31253,26572,25218,23171,19506,11758,5123,204755,32,35,29,35,43,43,57,43,23,342,12,63,26,14,21,23,4,3,0,160,513,1089,861,531,526,502,398,297,190,4889,12,20,15,21,20,14,12,0,0,111,4,13,0,6,8,10,3,0,0,50,8,9,5,7,4,5,0,0,0,38,0,4,3,3,4,6,5,0,0,25,3,6,0,0,3,0,0,0,0,20,0,5,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,547,1200,909,583,581,560,431,315,190,5310,584,1242,940,612,618,605,491,354,218,5651,37041,26939,32189,27183,25837,23771,19997,12108,5338,210409
20303,16766,8079,8529,11386,11253,11661,12076,6119,2167,88032,16,4,14,22,12,26,42,23,10,171,9,8,8,5,10,17,18,5,0,72,470,515,488,392,435,679,628,219,60,3887,0,4,0,0,8,14,15,5,0,46,0,3,0,0,0,5,0,8,0,14,0,0,0,0,4,0,0,0,0,9,0,0,5,0,0,3,4,0,0,23,0,0,4,0,3,0,0,0,0,12,0,4,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,481,538,510,404,459,710,674,231,65,4072,499,548,522,420,466,737,718,262,78,4237,17268,8623,9053,11807,11718,12396,12791,6372,2249,92275
20401,9349,5762,5732,6120,7359,8783,8189,4329,1537,57161,48,43,9,11,21,29,21,17,6,195,20,49,44,14,18,23,14,10,0,186,529,666,462,416,527,437,329,144,42,3546,9,93,60,8,14,21,18,0,0,218,5,47,22,0,16,5,4,0,0,99,0,8,3,4,0,0,0,0,0,28,4,8,4,3,3,6,8,0,0,41,0,5,6,5,0,4,0,0,0,14,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,561,882,596,456,579,491,369,158,46,4137,617,922,602,472,604,512,390,171,52,4338,9959,6684,6335,6593,7959,9301,8576,4503,1593,61492
