SA3_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,..,703,545,109,141,177,110,44,10,1843,..,251,781,597,815,1502,1854,1440,782,8030,135,227,144,66,97,99,68,39,18,895,10182,6605,7492,7217,7114,6799,5990,3318,1243,55968,..,176,4098,7570,7350,7242,6592,3273,661,36962,..,1425,4131,2036,1604,1074,467,165,12,10907,..,167,907,1415,1689,829,378,227,169,5786,20603,..,..,..,..,..,..,..,..,20603,..,4963,..,..,..,..,..,..,..,4963,..,3468,1575,564,413,201,38,0,0,6262,..,459,367,128,163,284,308,163,78,1952,..,427,355,115,66,57,30,5,7,1057,..,1350,1354,321,339,358,249,97,27,4085,..,461,1674,1303,1672,2569,2837,2023,1016,13553,258,403,331,162,184,162,128,63,31,1731,20863,13297,14796,13602,13476,12782,11031,6014,1991,107861
20102,..,20,39,23,46,63,69,19,3,284,..,13,57,100,218,431,515,309,164,1808,27,51,33,20,34,45,35,15,3,268,2285,1140,1219,1688,2145,2381,2040,897,282,14080,..,19,754,1736,2272,2592,2382,1042,142,10946,..,111,737,764,753,641,326,66,8,3406,..,20,84,226,323,204,127,72,49,1102,4625,..,..,..,..,..,..,..,..,4625,..,1139,..,..,..,..,..,..,..,1139,..,896,429,177,126,75,13,0,0,1713,..,61,40,19,36,90,109,52,40,451,..,60,53,24,28,31,21,3,5,221,..,39,87,58,103,122,141,41,3,592,..,35,134,235,480,820,927,531,230,3400,57,81,74,49,83,97,76,35,6,558,4682,2460,2386,3289,4216,4669,4128,1839,488,28148
20103,..,30,24,17,36,49,54,20,5,235,..,27,81,69,152,356,493,394,159,1732,26,42,26,16,14,35,31,8,5,196,1874,1057,1101,1176,1637,1917,1915,1031,294,12000,..,26,581,1081,1645,1982,2204,1142,171,8822,..,219,615,429,523,425,280,79,7,2580,..,28,188,214,306,195,112,76,64,1183,3756,..,..,..,..,..,..,..,..,3756,..,837,..,..,..,..,..,..,..,837,..,780,354,170,136,76,26,0,0,1539,..,94,44,24,70,96,84,69,32,513,..,63,59,23,26,30,18,3,3,223,..,59,61,42,74,110,115,49,7,522,..,54,171,207,421,801,1011,702,248,3626,52,87,62,50,57,72,68,20,9,472,3810,2253,2132,2250,3267,3781,3919,2135,534,24084
20201,..,566,425,88,113,147,102,34,4,1487,..,235,650,463,725,1418,1614,1190,645,6938,124,223,143,72,62,85,108,43,10,868,8990,5846,6846,6233,6033,6151,5418,3048,1110,49681,..,155,3801,6469,6097,6286,6016,3235,722,32770,..,1222,3730,1756,1354,878,431,132,21,9514,..,132,854,1306,1459,774,365,221,163,5274,18254,..,..,..,..,..,..,..,..,18254,..,4344,..,..,..,..,..,..,..,4344,..,3181,1416,559,339,214,45,0,0,5752,..,497,352,126,150,279,288,170,90,1943,..,323,330,121,90,58,31,9,0,962,..,1018,1009,267,265,305,215,83,19,3178,..,414,1329,1071,1525,2431,2552,1714,875,11906,230,377,288,182,126,158,180,74,24,1631,18480,11660,13097,11847,11410,11368,10119,5635,1909,95521
20202,..,43,78,51,87,100,105,42,6,522,..,30,83,109,284,689,882,642,271,2997,42,64,54,32,49,63,68,21,3,390,3930,2023,2040,2942,3626,3851,3514,1739,479,24144,..,35,1171,3090,3903,4286,4055,1923,295,18755,..,195,1203,1230,1256,940,585,147,17,5564,..,30,154,394,613,356,177,111,75,1909,8130,..,..,..,..,..,..,..,..,8130,..,2109,..,..,..,..,..,..,..,2109,..,1394,706,262,189,96,24,0,0,2672,..,133,90,41,68,122,169,114,55,795,..,91,121,47,49,38,36,13,5,394,..,86,188,101,171,187,218,91,12,1054,..,64,200,292,659,1278,1568,1056,393,5514,79,118,100,78,98,134,111,38,8,768,8216,4254,3931,5536,7002,7434,6944,3501,865,47674
20203,..,10,11,4,19,31,26,8,0,109,..,10,29,19,44,133,147,116,86,588,8,23,3,5,10,18,14,5,0,90,900,480,504,551,692,933,773,374,139,5342,..,13,298,635,790,1103,1036,454,79,4402,..,64,266,199,202,183,108,18,0,1045,..,8,60,72,96,76,38,28,30,395,1781,..,..,..,..,..,..,..,..,1781,..,438,..,..,..,..,..,..,..,438,..,301,170,51,58,34,7,0,0,626,..,42,19,13,21,49,41,23,16,227,..,24,7,16,9,16,3,4,0,84,..,20,23,10,38,68,53,16,0,234,..,22,75,68,157,352,360,220,111,1366,15,35,22,15,27,39,34,15,5,196,1792,972,949,1074,1394,1908,1679,784,246,10797
20301,..,6,19,6,15,21,17,4,0,91,..,13,33,56,57,142,151,94,46,587,22,38,15,9,18,13,14,5,0,129,2209,1114,1131,1572,1490,1356,1009,390,117,10386,..,19,872,1935,2026,1814,1480,534,84,8760,..,97,741,526,426,262,124,29,0,2218,..,10,82,159,195,132,47,36,24,680,4619,..,..,..,..,..,..,..,..,4619,..,1165,..,..,..,..,..,..,..,1165,..,843,319,120,69,47,5,0,0,1405,..,48,18,11,25,53,71,40,25,291,..,37,46,16,14,24,4,4,0,146,..,24,48,27,31,41,40,3,3,226,..,28,88,108,168,304,295,164,60,1219,37,64,34,27,26,30,27,11,0,259,4655,2338,2253,2925,2980,2706,2103,829,203,20995
20302,..,1374,1258,235,212,281,153,52,8,3577,..,369,1403,1131,1328,2439,3079,2544,1386,13672,156,439,259,138,137,161,141,78,35,1539,17200,11880,15112,13289,12716,11992,10275,6105,2234,100797,..,280,8732,14527,13724,13017,11575,6197,1295,69347,..,1995,7988,3821,2738,1701,775,252,21,19290,..,204,1182,2198,2913,1612,697,460,295,9562,34996,..,..,..,..,..,..,..,..,34996,..,9460,..,..,..,..,..,..,..,9460,..,6394,3597,1188,789,419,74,4,0,12460,..,901,813,260,330,575,506,318,190,3904,..,682,911,184,148,81,46,15,8,2070,..,2854,3405,673,499,587,371,116,23,8531,..,700,2701,2352,2987,4413,4706,3501,1889,23245,350,813,617,310,280,276,237,119,56,3056,35344,24281,29941,25518,24411,22681,18995,10979,3779,195922
20303,..,301,364,99,58,125,108,40,11,1103,..,56,245,264,419,1024,1362,1105,501,4981,57,124,106,78,64,114,127,56,26,748,7924,3890,4436,5925,5840,6273,6121,3053,913,44373,..,40,2586,6939,6911,7291,8198,3654,653,36278,..,454,2571,2039,1511,1112,640,185,10,8523,..,26,249,756,1042,612,188,126,117,3119,16229,..,..,..,..,..,..,..,..,16229,..,4020,..,..,..,..,..,..,..,4020,..,2207,1170,325,244,136,36,0,0,4115,..,199,176,79,77,162,189,123,78,1096,..,209,247,52,50,32,35,4,0,632,..,556,752,216,154,219,201,63,17,2171,..,134,524,608,888,1717,2121,1550,695,8241,149,232,232,156,170,230,247,114,38,1559,16376,8077,8509,11179,11052,11518,11848,5827,1614,85990
20401,..,73,95,46,74,115,74,29,10,505,..,47,190,188,333,699,917,723,383,3482,49,84,67,38,53,69,69,28,8,460,4195,2374,2730,2986,3598,4263,3847,2019,669,26683,..,48,1490,2978,3639,4731,4737,2282,377,20293,..,457,1644,1155,1115,862,510,136,12,5893,..,51,300,501,689,409,235,169,120,2472,8584,..,..,..,..,..,..,..,..,8584,..,2054,..,..,..,..,..,..,..,2054,..,1704,814,311,254,168,35,0,0,3279,..,152,120,47,90,205,209,134,71,1033,..,153,130,55,51,42,35,9,5,477,..,214,258,115,150,216,170,64,12,1194,..,127,437,481,832,1554,1788,1210,544,6970,115,171,148,92,111,159,144,64,20,1030,8695,5129,5340,5735,6940,8350,7859,4070,1168,53282
