SA3_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
20101,4,18,6,0,6,25,39,43,103,1540,1569,222,3333,129,119,247,3581,2129,77,5785
20102,0,0,0,0,0,0,7,5,18,277,295,46,612,18,15,34,645,443,15,1100
20103,0,8,0,0,0,11,9,20,31,226,247,49,524,28,20,48,574,581,28,1183
20201,9,12,0,0,0,16,34,33,76,1469,1401,203,3080,78,91,173,3253,1965,53,5278
20202,8,11,0,0,0,11,20,12,41,539,531,73,1144,16,25,49,1190,695,22,1905
20203,3,3,0,0,0,3,5,0,11,83,74,14,173,4,7,13,185,204,5,396
20301,0,0,0,0,0,0,0,6,14,196,207,31,435,6,4,12,446,223,10,685
20302,11,34,0,0,3,37,53,51,147,2763,2454,393,5611,151,186,337,5949,3509,105,9561
20303,7,11,0,0,0,11,15,19,40,1000,963,129,2090,51,44,90,2182,904,35,3121
20401,5,22,0,0,0,18,24,21,69,639,616,121,1379,40,43,83,1464,978,34,2476
20402,5,4,0,0,0,4,20,8,31,579,527,80,1189,23,42,65,1259,798,19,2075
20403,10,22,0,0,0,22,18,18,58,950,842,142,1930,53,50,102,2033,1157,38,3220
20501,3,11,0,0,0,11,13,16,43,637,666,110,1417,43,42,88,1510,820,32,2358
20502,0,7,0,0,0,7,27,35,61,433,491,94,1020,35,43,79,1098,776,49,1924
20503,7,16,0,0,4,19,18,21,59,654,763,127,1537,46,48,93,1627,1058,38,2722
20504,4,18,0,0,0,18,40,39,98,945,973,148,2066,118,104,216,2287,1686,73,4044
20505,7,11,0,0,0,11,20,13,40,427,460,76,956,36,44,80,1037,686,25,1755
20601,3,4,0,0,0,4,22,15,34,911,561,69,1545,45,38,81,1627,1159,24,2815
20602,0,4,0,0,0,5,9,7,18,560,408,56,1028,19,25,46,1073,662,14,1745
20603,3,11,0,0,0,12,8,18,36,764,465,63,1296,53,38,91,1386,935,29,2350
20604,3,10,0,0,0,10,14,22,48,966,581,105,1646,63,79,147,1790,1239,36,3071
20605,0,5,0,0,0,3,7,12,25,1139,647,109,1890,56,53,109,2000,974,30,3005
20606,6,10,0,0,0,12,3,11,25,519,330,60,909,28,23,50,955,665,15,1636
20607,0,6,0,0,0,3,12,24,44,738,499,64,1301,57,59,111,1417,1168,39,2618
20701,0,13,0,0,0,13,16,18,46,1914,1227,139,3286,87,93,181,3471,2031,42,5540
20702,5,11,0,0,4,12,12,15,43,1104,897,120,2131,58,74,135,2262,1676,35,3978
20703,0,14,0,0,0,14,23,9,46,1226,915,116,2261,54,83,142,2406,1656,28,4088
20801,7,6,0,0,0,13,17,13,39,1272,808,118,2207,59,39,98,2308,1156,27,3486
20802,10,24,0,0,0,27,25,20,70,2021,1225,158,3402,77,76,149,3556,1813,43,5414
20803,11,18,0,0,0,18,20,22,63,1902,1298,186,3389,69,67,138,3527,1671,31,5239
20804,0,0,0,0,0,0,9,4,12,455,303,31,786,23,24,45,837,458,6,1297
20901,3,12,0,4,5,14,22,21,63,1695,1185,166,3045,64,84,145,3190,1886,45,5120
20902,3,13,0,3,3,19,16,25,66,1003,805,120,1923,79,62,137,2067,1891,57,4017
20903,6,6,0,0,0,8,11,9,22,873,565,72,1511,24,27,53,1565,628,24,2218
20904,15,40,0,3,0,46,61,90,197,3244,2438,392,6071,215,233,441,6516,4622,147,11285
21001,3,7,0,0,0,7,8,19,35,878,571,102,1552,39,37,75,1626,995,32,2652
21002,3,4,0,0,0,4,0,10,13,359,294,40,696,11,20,28,722,318,18,1056
21003,6,13,0,0,0,13,22,23,52,898,623,133,1651,48,71,122,1773,1535,37,3344
21004,4,6,0,0,0,6,12,8,33,762,492,97,1349,32,31,60,1414,668,19,2104
21005,11,21,0,0,0,21,58,83,163,2043,1522,334,3902,184,180,364,4269,4449,148,8866
21101,10,34,0,0,0,34,17,19,74,2300,1602,255,4156,99,117,216,4372,2389,38,6796
21102,6,3,0,0,0,3,0,3,12,258,177,30,467,11,14,29,495,241,8,742
21103,6,14,0,0,0,14,25,22,60,1714,1223,178,3121,57,67,128,3251,1606,48,4902
21104,5,6,0,0,0,6,6,5,18,780,487,56,1326,23,37,53,1378,942,13,2331
21105,12,28,0,0,0,28,30,25,77,2047,1780,295,4124,73,91,160,4284,2096,57,6442
21201,12,28,0,0,0,28,18,33,80,1685,1225,245,3154,80,86,176,3327,1616,61,5001
21202,11,20,0,0,0,20,22,46,86,1743,1170,195,3106,98,117,222,3324,2208,78,5613
21203,22,31,0,0,0,32,52,51,139,2897,1948,364,5204,169,170,334,5543,3185,115,8841
21204,16,30,0,5,5,34,47,74,153,2142,1638,275,4055,196,209,403,4457,4471,161,9090
21205,6,17,0,0,0,18,31,29,78,1925,1440,219,3583,83,120,200,3787,2838,69,6693
21301,14,35,4,3,4,35,62,114,219,2323,1823,380,4526,293,324,619,5141,4745,198,10091
21302,5,14,0,0,0,14,16,18,51,1259,728,140,2125,86,60,146,2273,1411,41,3721
21303,0,3,0,0,0,7,12,22,41,1017,630,104,1747,77,68,145,1892,1396,43,3329
21304,13,42,6,0,0,51,51,37,135,2571,1818,392,4782,236,228,466,5250,3453,82,8782
21305,19,51,7,0,6,57,52,106,211,3478,2246,471,6197,310,284,597,6794,4186,163,11145
21401,15,35,0,0,0,40,54,45,133,2342,1913,296,4548,130,121,250,4802,2703,84,7587
21402,12,24,0,0,0,24,56,42,118,1973,1925,346,4242,81,109,189,4427,2412,86,6932
21501,0,8,0,0,0,8,24,27,51,557,592,93,1247,34,44,75,1322,968,44,2324
21502,8,19,0,0,0,24,27,23,80,804,590,111,1503,47,54,108,1613,1041,48,2703
21503,0,8,0,0,0,8,19,14,40,329,322,49,698,31,23,59,755,590,25,1367
21601,4,6,0,0,0,11,14,13,40,415,429,86,935,17,27,47,975,662,29,1666
21602,0,10,0,0,0,10,16,7,30,300,345,46,699,22,23,43,744,496,23,1255
21603,4,13,0,4,4,14,31,42,82,809,727,122,1660,46,64,110,1771,1220,67,3052
21701,0,5,0,0,0,5,8,17,31,376,374,52,806,18,30,58,858,552,32,1446
21703,0,8,0,0,0,5,13,11,30,351,418,57,829,10,25,30,856,544,23,1428
21704,6,8,0,0,0,8,12,18,37,625,675,108,1405,34,35,67,1477,725,35,2234
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
