SA3_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
20101,10664,11587,5010,383,27638,9684,1450,38773,850,408,501,58,1816,2789,204,4802,110,54,85,5,248,247,48,540,959,463,584,59,2068,3029,244,5345,129,39,85,8,263,717,36,1021,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,3,3,0,5,9,0,12,152,45,92,8,304,775,44,1124,0,0,0,0,8,8,0,12,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,8,6,9,0,26,17,3,47,19,12,7,0,31,29,4,68,19,9,5,0,34,34,5,73,11812,12116,5695,454,30077,13555,1753,45382
20102,3906,3098,1034,89,8121,3089,278,11495,37,18,16,0,73,133,3,210,14,8,4,0,20,22,0,44,51,23,22,0,95,158,3,251,11,0,3,0,14,84,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,5,14,0,4,0,23,84,0,105,3,3,6,0,13,30,0,48,0,0,0,0,6,6,0,13,0,0,0,0,4,4,0,9,9,7,4,3,25,12,0,39,16,18,10,3,44,59,0,110,7,3,0,0,15,5,0,22,3993,3143,1079,85,8300,3404,281,11983
20103,3252,2262,1120,98,6731,3151,241,10123,66,10,23,3,103,292,9,400,6,0,6,0,5,12,0,16,72,11,27,3,111,296,9,422,8,3,0,0,14,49,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,14,53,0,64,19,0,0,0,21,58,0,77,19,0,0,0,21,35,0,51,0,0,0,0,7,4,0,3,12,13,4,0,29,18,0,53,45,16,7,0,76,107,4,184,7,3,0,0,14,16,4,30,3387,2298,1155,99,6942,3626,262,10828
20201,9855,10313,4790,403,25364,9589,1221,36178,389,191,266,33,882,1793,121,2801,104,45,61,9,221,189,47,454,494,233,328,43,1100,1982,170,3252,68,27,44,4,136,250,13,399,8,4,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,15,77,25,44,4,154,265,13,429,6,0,0,0,9,18,0,27,12,0,0,0,16,12,0,22,0,0,0,0,0,0,0,0,10,9,0,3,18,14,0,32,30,7,0,4,40,41,6,84,22,13,4,0,43,29,8,77,10474,10599,5173,452,26704,11908,1417,40027
20202,6331,5499,1785,146,13763,4924,472,19153,130,36,60,4,230,469,21,719,16,3,10,0,30,17,0,50,143,46,70,4,260,486,25,772,9,5,0,0,10,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,5,0,0,12,13,0,33,12,0,0,0,17,35,0,47,20,20,0,0,43,17,0,61,6,0,0,0,3,3,0,9,10,11,8,0,25,23,6,55,49,36,12,0,89,71,8,171,4,0,0,0,9,13,0,22,6533,5577,1868,158,14136,5511,494,20145
20203,1484,1172,373,51,3082,1249,107,4439,21,12,4,0,32,41,0,77,0,0,0,0,0,0,0,0,21,7,4,0,28,44,0,76,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,32,0,38,0,0,0,0,8,7,0,9,0,0,0,0,0,7,0,8,6,6,0,0,14,7,0,24,16,7,0,0,23,53,0,81,4,5,0,0,6,14,0,24,1520,1191,378,52,3150,1364,111,4624
20301,2236,3136,641,39,6053,1139,109,7298,30,13,24,0,61,66,4,131,0,0,0,0,3,0,0,8,32,16,24,0,62,68,4,133,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,0,7,0,0,0,0,0,3,0,3,0,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,10,0,8,0,0,0,0,5,3,0,7,2271,3153,668,39,6128,1221,110,7459
20302,18532,21988,8344,782,49641,15930,2782,68363,1459,594,627,74,2758,4837,309,7905,454,245,189,19,907,621,135,1665,1915,840,822,97,3671,5456,442,9570,296,132,143,17,591,1133,84,1817,23,7,8,0,43,106,11,163,61,19,13,3,93,185,23,302,57,4,4,5,68,59,7,134,9,0,0,0,7,8,0,16,452,164,165,26,808,1496,128,2432,6,3,0,5,14,48,0,66,47,10,16,0,72,211,9,291,0,0,0,0,0,0,0,6,30,38,8,0,79,41,10,126,84,46,25,7,162,303,24,490,18,19,5,0,50,58,10,113,21000,23054,9362,911,54329,23245,3384,80964
20303,11159,10289,2836,234,24516,7081,826,32417,305,136,109,13,564,687,40,1286,279,126,104,7,518,255,41,814,582,264,214,15,1076,943,79,2101,48,10,6,0,63,108,6,178,13,4,0,0,20,24,0,41,3,0,0,0,3,6,0,7,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,11,69,14,7,0,90,140,10,239,11,0,0,0,8,12,4,25,10,0,4,0,25,42,0,63,0,0,0,0,0,0,0,4,7,0,0,0,15,12,0,24,30,7,6,4,42,63,3,116,16,7,3,0,24,18,0,47,11847,10588,3063,250,25751,8246,915,34913
20401,7180,5503,2312,183,15175,5973,496,21649,206,43,79,10,333,741,26,1095,17,3,5,0,27,18,0,45,222,43,82,13,363,762,25,1141,9,3,11,0,17,31,0,56,0,3,0,0,3,0,0,8,0,0,0,0,3,3,0,10,4,0,0,0,4,0,0,4,6,0,0,0,9,0,0,12,17,10,12,0,37,38,3,81,13,6,4,0,20,59,4,82,30,5,3,0,39,95,3,138,4,3,0,0,3,3,0,8,9,11,0,0,13,16,0,36,51,23,6,0,77,175,10,265,21,10,0,0,26,24,5,53,7477,5593,2419,194,15680,6969,540,23190
