SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
20101,6104,12297,7611,7497,6708,5158,2868,5353,812,54407
20102,2541,2761,2234,1566,1543,953,853,1542,268,14258
20103,1554,1277,1572,1356,1036,863,821,1483,219,10177
20201,4956,10576,6415,6590,5622,4383,2827,5641,758,47758
20202,3816,5787,3361,2693,2522,1715,1145,2307,407,23761
20203,1312,610,671,496,485,336,417,684,92,5104
20301,1767,1950,2030,1319,1241,857,813,1153,184,11308
20302,11273,22986,14741,14002,11592,9225,6745,10335,1784,102678
20303,6665,11304,6197,5498,4924,3624,1467,3199,707,43580
20401,4442,3899,4332,3426,2874,2003,1953,3404,550,26895
20402,3402,3841,3190,2854,2254,1840,1542,2907,400,22224
20403,5410,6557,5521,4870,3928,3045,2552,4104,653,36638
20501,3755,4679,4237,3270,3031,2102,1818,3344,445,26676
20502,2885,2990,2680,2669,2042,1700,1202,2628,437,19235
20503,5116,5148,4719,3616,3089,2768,1626,3467,634,30186
20504,3035,5161,5362,4250,4380,3035,2397,3768,668,32055
20505,3073,3277,2994,2576,1840,1532,1285,2300,390,19272
20601,7929,21504,4716,5160,6415,3551,1297,2458,817,53847
20602,5185,13189,2474,2762,3330,1817,650,1250,426,31082
20603,6530,13356,3135,3477,5261,2881,1010,2035,659,38353
20604,12004,35630,6928,9970,9970,6322,2162,5671,1670,90335
20605,12459,23232,4640,5192,6896,4138,1115,2256,1085,61027
20606,7729,16399,2142,2836,4320,2914,478,1045,714,38572
20607,10395,26455,3706,4522,5804,3338,835,1760,862,57692
20701,17169,35030,4911,6715,10260,7149,1257,3052,1443,86987
20702,7418,13903,4463,4106,6161,4520,1271,2449,942,45230
20703,7685,17992,4936,5110,6649,4636,1653,3420,972,53036
20801,12136,16991,3399,4199,6074,4420,708,1699,877,50508
20802,14643,30209,6900,7584,10471,6769,1979,3747,1516,83816
20803,10650,17698,7956,6463,9092,5644,2199,3552,1009,64270
20804,4489,8806,1394,1889,2758,1844,376,880,362,22804
20901,9738,20961,7289,6312,8534,4746,1933,3444,958,63920
20902,5954,13914,5647,5264,6086,3820,2411,3917,984,48002
20903,6118,9399,5331,3693,4805,2755,1175,2064,507,35841
20904,11996,21500,17858,14730,16455,10928,10241,11865,2583,118148
21001,4662,7622,3579,2708,4784,2702,1343,1909,595,29908
21002,2526,3722,2755,1790,2201,1194,842,1236,287,16546
21003,4657,10566,5036,4152,5077,2884,2183,3330,813,38693
21004,2694,4202,3808,2869,3572,2083,1730,1900,427,23278
21005,7743,13622,12346,10274,10833,7211,9182,9184,2125,82519
21101,10488,19153,11763,8399,11823,7638,4374,6450,1453,81545
21102,2607,3787,1478,1182,1821,1256,302,744,202,13376
21103,7985,15551,8160,6403,7959,4997,2346,4347,1012,58759
21104,4351,9982,3145,2965,4143,2584,1020,1966,511,30675
21105,10779,15599,14603,9416,10123,6227,4142,7187,1397,79488
21201,6959,9767,10139,7005,7614,5139,4828,6171,1162,58784
21202,7594,12564,9998,6840,9001,5895,5050,6307,1422,64667
21203,10495,17318,17309,13604,14054,9179,11776,12729,2427,108888
21204,7311,14594,12124,9112,9543,6827,9443,13480,2279,84715
21205,12175,28046,8652,8092,11378,7752,3638,6279,1866,87886
21301,6604,13004,10759,8774,10391,6713,9633,10767,2274,78928
21302,7036,12031,4812,3956,5911,3195,2286,2716,847,42791
21303,7038,15251,4310,4565,5859,3407,2402,3333,896,47058
21304,9189,15479,12842,10892,12969,8270,10115,8812,2065,90639
21305,14663,30109,16303,15644,18469,11126,15747,12645,3342,138048
21401,8120,12782,11535,8402,8986,6439,4361,6696,1227,68545
21402,11921,15422,12759,9177,8704,7142,2789,6450,1413,75773
21501,5486,3948,3255,3514,2560,2045,1808,3755,512,26892
21502,3596,4105,3362,3035,2607,2371,1754,3642,626,25101
21503,3510,2204,2111,1740,1608,1267,1188,2885,399,16906
21601,2922,2487,2612,2131,1668,1545,1273,2503,329,17465
21602,2289,1630,1837,1498,1242,1045,925,2133,276,12870
21603,4221,5299,4066,3524,3321,2692,1992,4301,597,30019
21701,3111,2483,2249,1988,1549,1325,1355,2193,337,16589
21703,3784,2267,2350,2005,1511,1359,1412,3174,348,18216
21704,4075,4773,3490,3162,2560,2372,1425,3510,461,25830
29797,0,4,0,0,0,0,0,4,0,15
29999,174,334,250,227,143,129,177,308,49,1797
