SA3_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
20101,166,23,74,3,258,74,7,25,3,101,46,12,55,3,114,44,14,116,0,169,257,32,257,7,563,227,52,513,12,804,1398,150,582,29,2164,965,233,738,49,1989,1057,472,742,61,2330,1277,759,618,70,2718,713,761,421,35,1934,821,840,307,32,2002,1596,1867,447,60,3963,1014,1652,186,32,2881,696,1424,100,17,2233,377,873,53,3,1310,761,2077,92,7,2927,408,867,369,15,1658,184,74,103,11,375,12081,12176,5785,454,30499
20102,72,5,17,0,100,39,4,0,4,46,26,9,18,4,51,33,5,26,0,64,107,11,65,3,187,81,18,68,0,172,466,50,100,3,620,312,71,117,7,507,366,125,133,11,629,381,214,107,9,706,232,217,81,3,537,267,226,72,9,572,454,502,96,12,1059,302,406,34,13,752,217,309,13,0,551,138,201,8,0,349,360,482,28,0,873,179,280,98,6,551,85,33,18,0,143,4108,3165,1100,86,8463
20103,49,14,15,0,77,35,6,8,0,48,32,0,19,0,56,21,0,39,0,72,137,11,75,3,234,109,22,110,3,247,642,60,129,8,837,371,87,165,24,648,318,150,152,13,637,349,198,130,8,688,175,183,58,4,423,220,211,55,0,485,322,392,62,4,782,194,254,18,5,475,109,170,11,0,293,45,104,5,0,155,98,172,13,0,291,119,238,88,7,454,121,25,31,5,184,3475,2311,1183,100,7072
20201,128,26,41,11,200,80,13,16,3,109,51,15,47,5,108,32,12,121,0,168,248,25,257,17,542,188,53,430,18,688,1292,134,506,30,1957,910,249,676,53,1892,1007,397,666,54,2125,1096,682,562,59,2400,621,639,421,40,1726,691,777,302,22,1786,1413,1810,480,49,3761,917,1511,165,31,2629,636,1254,108,12,2008,312,759,46,4,1123,551,1519,60,9,2134,415,726,290,22,1452,195,76,76,12,361,10779,10670,5278,453,27171
20202,113,10,20,3,147,61,7,6,0,80,39,11,28,0,78,22,5,34,0,61,173,12,79,3,261,140,24,128,4,296,766,57,181,14,1011,532,86,230,32,881,612,167,209,19,1009,667,334,170,18,1185,345,334,158,11,846,389,378,113,16,887,785,829,163,13,1795,518,711,80,8,1313,364,630,42,5,1038,249,421,18,5,688,571,1055,45,0,1673,258,484,171,6,917,118,50,41,8,217,6721,5604,1905,159,14394
20203,30,4,8,0,40,12,0,4,0,22,16,0,0,0,18,4,0,8,0,22,64,6,19,3,93,33,11,48,4,90,258,24,50,3,333,148,43,56,12,257,148,63,51,3,264,177,99,32,4,318,79,112,19,0,210,95,108,18,4,223,167,196,27,3,385,99,149,6,0,256,56,86,0,4,156,26,45,0,0,72,54,98,6,0,156,50,129,33,0,209,49,15,11,0,72,1559,1201,396,55,3208
20301,35,7,7,0,53,18,0,3,0,25,16,0,7,0,23,12,0,16,0,33,60,7,22,0,95,42,18,61,0,123,244,33,59,0,332,196,50,67,3,318,202,95,74,3,367,186,171,75,3,439,139,176,48,8,366,135,195,38,0,365,308,515,56,5,878,222,448,23,0,693,168,384,20,0,578,83,229,6,0,325,185,541,23,0,751,99,274,57,0,431,50,38,14,0,103,2396,3177,685,34,6290
20302,339,77,124,13,547,141,24,60,4,228,110,35,111,13,269,97,34,175,13,310,509,76,406,21,1015,366,126,745,22,1258,2368,247,821,59,3500,1654,425,1097,109,3286,1802,799,1108,110,3810,2027,1223,1000,100,4353,1136,1260,736,64,3201,1298,1385,541,51,3272,2774,3573,908,138,7392,2038,3051,395,66,5541,1426,2821,232,33,4508,844,1802,93,15,2751,1630,4622,220,27,6503,710,1479,653,42,2878,358,156,147,19,676,21613,23203,9561,913,55293
20303,240,25,37,4,299,121,0,18,7,148,61,7,39,0,111,44,5,50,4,96,320,11,105,3,441,250,31,185,7,478,1158,81,223,10,1475,907,108,338,27,1381,1157,244,360,28,1789,1240,399,329,25,1997,599,485,240,12,1345,689,527,190,19,1428,1292,1485,333,32,3142,978,1495,125,16,2612,708,1395,83,12,2196,447,921,45,3,1413,1239,2466,114,11,3836,442,831,273,12,1557,189,85,40,10,326,12079,10622,3121,254,26068
20401,151,12,35,0,203,76,8,10,3,100,46,4,27,0,79,46,11,51,0,109,247,23,112,12,394,167,35,198,4,400,978,72,245,15,1305,647,123,312,19,1102,714,263,286,25,1292,704,370,239,25,1340,410,374,159,14,960,446,443,133,13,1043,921,948,187,15,2075,534,722,95,9,1362,372,565,55,9,993,187,337,23,0,545,471,656,40,8,1167,385,585,202,10,1181,188,69,69,14,346,7699,5638,2476,190,16000
