SOSR_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR201,83769,10894,95489,782918,189670,16438,989023,2573738,200073,3762827
SOSR203,8786,1311,10152,63067,20852,2143,86065,212195,17851,316110
SOSR211,1135,119,1265,20809,5279,690,26778,54568,5944,87292
SOSR212,5659,941,6635,44050,14211,1483,59747,140387,13636,213775
SOSR213,6407,1247,7715,39102,13530,1584,54219,136956,13153,204331
SOSR214,4839,830,5699,19910,7740,766,28420,84979,8471,121867
SOSR215,6132,961,7150,33853,12000,1432,47287,123987,13496,184765
SOSR221,1351,293,1658,9026,3248,323,12596,34731,3852,51183
SOSR222,609,103,714,4639,1748,198,6585,18591,2436,27613
SOSR231,5010,892,5963,63230,25755,2227,91213,232337,32737,356286
SOSR279,0,0,0,0,0,0,0,12,27,38
SOSR299,17,17,29,695,281,39,1013,3668,3262,7946
