SOSR_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SOSR201,885,881,619,470,229,0,0,0,3076,305,648,548,364,375,0,0,0,2234,374,2397,3632,5370,6950,11060,9158,5921,44852,1567,3918,4796,6198,7551,11060,9158,5921,50169,272937,342507,319874,266085,219607,156105,84864,26997,1688978,14588,23165,17382,12659,9504,7169,5895,3733,94093,289091,369594,342049,284946,236664,174337,99909,36647,1833238,249,273,176,109,38,0,0,0,841,62,128,92,89,61,0,0,0,427,131,346,634,1225,1522,972,475,598,5891,435,747,898,1415,1621,972,475,598,7160,262200,355038,332706,287791,242109,189457,112025,51001,1832323,12483,19841,15027,11080,8736,8068,7627,7244,90107,275116,375628,348635,300286,252467,198500,120121,58840,1929594,1130,1151,792,575,263,0,0,0,3917,364,771,643,448,440,0,0,0,2666,506,2741,4264,6587,8470,12035,9630,6514,50747,2001,4665,5699,7613,9175,12035,9630,6514,57328,535133,697545,652582,553875,461718,345563,196887,77998,3521304,27073,43006,32409,23746,18236,15235,13516,10977,184198,564204,745220,690688,585234,489125,372835,220034,95489,3762827
SOSR203,16,17,19,22,17,0,0,0,96,20,64,42,33,43,0,0,0,203,51,379,547,807,1123,1754,1395,941,6996,86,463,610,862,1181,1754,1395,941,7301,22961,26203,21462,19834,18372,15267,8108,2388,134600,1377,1626,1134,1104,959,851,655,415,8125,24428,28291,23205,21800,20512,17873,10157,3752,150016,9,6,6,7,0,0,0,0,22,11,9,11,8,5,0,0,0,43,11,71,123,213,295,205,67,66,1047,21,85,143,221,302,205,67,66,1106,23052,27428,24109,22731,22263,19714,11590,5486,156371,1282,1461,1179,1026,876,954,977,855,8613,24358,28973,25426,23981,23437,20876,12629,6406,166091,19,26,29,31,18,0,0,0,119,30,76,58,39,45,0,0,0,246,62,446,667,1017,1421,1961,1461,1011,8045,106,549,752,1084,1485,1961,1461,1011,8409,46019,53631,45574,42567,40633,34982,19701,7874,290965,2663,3085,2308,2126,1838,1808,1632,1271,16730,48785,57266,48628,45780,43953,38749,22789,10152,316110
SOSR211,243,173,107,55,22,0,0,0,613,5,15,22,25,24,0,0,0,95,18,107,139,274,383,615,303,130,1968,268,303,273,355,430,615,303,130,2675,6359,7771,7506,5535,4436,3567,1555,319,37056,499,638,553,374,298,210,128,41,2753,7128,8713,8335,6266,5168,4391,1982,487,42480,46,42,24,13,4,0,0,0,125,0,5,3,5,4,0,0,0,22,14,27,30,73,68,73,17,3,299,56,68,55,89,80,73,17,3,443,6105,8822,7946,6011,5394,4600,2066,695,41638,466,620,546,375,250,227,173,76,2732,6625,9515,8546,6478,5722,4900,2255,780,44812,288,217,133,66,35,0,0,0,736,7,18,23,35,33,0,0,0,116,30,137,174,342,451,690,313,134,2266,323,374,331,446,509,690,313,134,3120,12466,16593,15452,11548,9831,8164,3622,1017,78694,963,1260,1099,755,544,436,300,112,5478,13751,18229,16879,12751,10892,9296,4235,1265,87292
SOSR212,17,14,19,6,14,0,0,0,73,15,38,29,20,23,0,0,0,115,37,188,317,525,706,1296,855,597,4528,72,243,367,553,734,1296,855,597,4714,14099,15475,14849,14386,13412,11177,5785,1523,90704,956,1067,985,903,774,703,560,335,6286,15121,16783,16199,15841,14923,13180,7207,2451,101705,4,6,4,3,4,0,0,0,21,0,3,5,6,4,0,0,0,20,7,40,59,109,165,115,54,37,592,16,48,64,119,176,115,54,37,628,13690,16855,16637,16321,15989,14097,7800,3487,104873,822,1041,955,783,782,760,758,653,6570,14524,17952,17655,17225,16943,14981,8611,4177,112074,22,22,19,11,12,0,0,0,96,15,37,32,27,26,0,0,0,136,45,230,377,634,873,1413,909,635,5121,83,292,432,671,906,1413,909,635,5347,27785,32332,31484,30704,29401,25271,13588,5011,195581,1782,2111,1940,1686,1556,1464,1320,989,12848,29653,34739,33856,33063,31866,28154,15815,6635,213775
SOSR213,31,146,85,65,21,0,0,0,354,7,37,49,27,37,0,0,0,157,39,195,303,551,829,1583,1129,727,5361,73,373,435,650,888,1583,1129,727,5872,12886,13823,12842,12718,12987,11718,6676,1745,85396,816,1100,906,848,702,729,611,419,6139,13778,15291,14183,14217,14588,14037,8420,2897,97402,14,30,17,14,3,0,0,0,81,0,7,8,8,13,0,0,0,39,14,39,61,149,195,160,63,62,739,26,79,90,173,208,160,63,62,857,12244,15138,14472,14798,15421,14684,9116,3950,99826,729,871,797,687,660,804,882,812,6240,12995,16087,15359,15658,16290,15650,10056,4820,106926,45,176,106,80,23,0,0,0,433,14,43,55,36,53,0,0,0,190,49,233,366,703,1025,1746,1199,784,6103,103,447,529,826,1099,1746,1199,784,6731,25136,28957,27314,27519,28413,26402,15792,5699,185225,1541,1974,1707,1534,1364,1537,1487,1232,12376,26770,31377,29543,29876,30880,29687,18476,7715,204331
SOSR214,14,35,20,18,4,0,0,0,97,5,10,12,10,24,0,0,0,66,13,87,161,304,462,1102,866,559,3555,36,132,192,337,496,1102,866,559,3718,6790,7025,6577,7084,8178,8550,5006,1329,50529,443,470,475,476,536,590,525,292,3798,7263,7627,7239,7895,9208,10239,6397,2180,58042,0,3,0,3,3,0,0,0,14,0,5,4,3,9,0,0,0,21,7,24,38,82,132,98,40,47,462,11,32,43,90,142,98,40,47,498,6185,7444,7398,8287,9779,10745,6449,2960,59250,412,448,468,412,506,653,671,514,4084,6604,7917,7912,8788,10424,11496,7159,3524,63822,20,39,26,24,12,0,0,0,115,7,14,14,14,32,0,0,0,80,20,111,193,387,593,1200,908,601,4019,46,162,234,426,634,1200,908,601,4208,12971,14463,13980,15372,17958,19294,11452,4293,109774,853,915,944,881,1039,1245,1194,808,7886,13867,15546,15155,16679,19633,21732,13555,5699,121867
SOSR215,21,48,27,31,20,0,0,0,150,7,31,30,32,36,0,0,0,135,17,199,313,474,829,1617,1013,658,5116,41,271,378,536,880,1617,1013,658,5392,10126,10945,10846,11661,13159,12459,6704,1697,77599,893,781,851,854,902,957,635,353,6237,11058,11998,12071,13059,14946,15028,8357,2708,89222,9,9,9,12,0,0,0,0,35,0,10,0,8,4,0,0,0,28,7,26,74,125,187,155,65,61,704,21,49,82,144,199,155,65,61,763,9389,11676,12151,13024,15270,14613,8424,3715,88276,761,782,797,864,834,972,831,669,6510,10172,12503,13034,14035,16302,15740,9321,4441,95544,25,54,36,38,24,0,0,0,184,11,40,36,36,42,0,0,0,157,24,227,386,604,1019,1769,1078,713,5819,57,318,455,679,1078,1769,1078,713,6153,19515,22618,23002,24685,28437,27076,15132,5414,165872,1655,1559,1648,1724,1740,1927,1469,1027,12746,21233,24498,25102,27085,31245,30765,17677,7150,184765
SOSR221,0,4,5,4,0,0,0,0,15,4,6,8,0,9,0,0,0,23,7,40,89,165,230,501,273,157,1467,10,50,100,179,239,501,273,157,1509,2599,2625,2933,3340,4273,3994,1847,405,22025,221,182,211,282,320,336,194,89,1823,2825,2858,3249,3797,4832,4826,2311,653,25357,6,0,4,0,0,0,0,0,6,0,4,4,0,0,0,0,0,7,0,7,10,46,74,35,18,18,214,9,10,17,46,77,35,18,18,229,2419,2838,3175,3754,4616,4178,1999,811,23793,213,167,240,233,297,266,226,168,1806,2636,3016,3431,4032,4990,4478,2240,1002,25825,6,4,10,4,6,0,0,0,24,4,8,8,7,9,0,0,0,33,7,49,106,212,307,532,290,179,1685,15,61,121,223,315,532,290,179,1738,5014,5467,6108,7096,8894,8174,3845,1215,45815,433,346,451,508,615,599,419,260,3630,5460,5867,6681,7831,9819,9308,4555,1658,51183
SOSR222,0,0,0,4,0,0,0,0,7,0,4,4,12,4,0,0,0,27,5,26,39,95,154,279,143,86,830,12,33,45,110,166,279,143,86,861,1380,1456,1546,1900,2392,2051,878,177,11784,193,152,150,189,206,191,102,37,1227,1580,1640,1736,2200,2760,2525,1122,298,13866,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,6,14,22,45,29,6,7,128,0,6,15,26,45,29,6,7,131,1358,1499,1711,2034,2581,2019,977,346,12523,160,127,141,157,178,142,122,61,1088,1522,1631,1872,2212,2803,2187,1106,414,13745,0,0,0,7,0,0,0,0,9,0,4,3,14,4,0,0,0,28,6,23,57,116,197,311,148,89,954,9,32,62,137,207,311,148,89,990,2741,2956,3257,3930,4972,4067,1860,524,24306,356,277,289,344,384,334,219,98,2316,3106,3270,3606,4415,5566,4713,2229,714,27613
SOSR231,343,245,152,110,40,0,0,0,891,29,44,58,50,66,0,0,0,246,41,204,488,1025,1553,2876,1496,655,8337,412,503,698,1180,1663,2876,1496,655,9477,21507,16159,19885,27288,32397,26752,11224,1884,157105,2273,2598,2844,2925,2914,2580,1252,388,17764,24196,19262,23421,31393,36977,32210,13965,2926,184354,197,66,16,21,10,0,0,0,309,12,7,7,18,15,0,0,0,66,19,47,118,293,381,231,62,24,1177,233,125,141,331,409,231,62,24,1555,19271,16832,21480,28838,32665,25239,10088,2572,156985,1883,1440,1809,2211,2428,2024,1163,433,13392,21383,18401,23422,31378,35508,27492,11317,3033,171931,544,313,171,122,50,0,0,0,1199,40,55,64,70,84,0,0,0,313,59,258,604,1315,1940,3101,1563,678,9518,644,624,839,1509,2073,3101,1563,678,11031,40777,32995,41361,56125,65065,51995,21309,4461,314095,4159,4042,4649,5137,5345,4602,2417,822,31161,45579,37655,46846,62773,72485,59700,25286,5963,356286
