SOSR_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOSR201,317,334,749,1155,1767,2583,3629,4149,3081,17766,286,231,477,891,2352,4878,7841,7178,3480,27626,6394,36690,49298,37589,33930,27561,17542,10843,8017,227857,82,139,272,623,1387,2278,3759,4668,3915,17113,11588,15238,25313,26720,30242,32620,28420,19303,12701,202152,337868,192439,258170,237203,181779,125425,72387,28787,8485,1442542,27696,19023,25687,22057,19278,15663,12101,8303,5790,155596,400163,275116,375628,348635,300286,252467,198500,120121,58840,2329751,516,2119,7432,15461,34456,63713,84838,69877,34884,313289,47264,45901,61719,56402,46627,37959,32067,19325,7489,354757,746,985,2725,5750,12579,22495,32056,25261,10548,113157,58,54,104,140,361,1012,3644,10969,14950,31282,1177,2605,6307,15468,27791,45165,54379,37810,13972,204677,1387,1157,2073,4071,11036,25799,42323,40551,23214,151612,856,700,1436,2323,3623,5683,8249,8783,5507,37163,658,539,1019,1780,4376,9348,14920,13981,6455,53075,13444,54854,76816,62344,56558,45852,28954,17052,11077,366957,263,259,529,1213,2928,5576,9279,10432,6887,37362,29724,27921,40388,45320,52191,58166,49898,32286,19063,354960,679970,410410,532236,481793,363950,248707,137753,54858,15146,2924830
SOSR203,32,49,84,121,173,324,458,461,373,2074,44,38,70,150,431,878,1296,1079,504,4479,1073,4952,6320,4966,4426,3809,2449,1230,885,30112,14,20,38,73,202,294,489,536,418,2086,1453,1805,2768,2697,2988,3310,2983,1729,1285,21009,26755,14431,16621,14178,12178,9987,6585,2803,862,104398,2900,1991,2018,1763,1695,1507,1319,943,651,14786,34178,24358,28973,25426,23981,23437,20876,12629,6406,200267,72,309,1011,1933,4123,7856,10899,8247,3864,38325,5866,5491,6767,5872,4865,4602,4218,2371,908,40967,66,109,244,571,1189,2421,3711,2906,1219,12442,3,9,16,18,42,121,479,1132,1490,3309,119,318,688,1269,2419,4116,5427,3635,1355,19346,153,125,249,405,1139,2772,4977,4570,2713,17093,78,91,159,209,335,595,901,944,622,3932,79,69,134,277,711,1565,2403,2018,904,8161,2319,7516,9662,7947,7290,6293,4121,1979,1217,48346,31,35,76,126,380,676,1175,1176,751,4433,3561,3176,4290,4312,4937,5628,5061,2954,1845,35761,53554,30956,35662,28746,24455,19216,12463,5148,1499,211696
SOSR211,14,11,28,46,66,85,159,123,60,583,15,6,33,64,167,276,372,219,66,1220,347,1155,1515,1392,1244,996,635,225,100,7604,0,8,13,25,62,91,122,112,51,491,514,389,716,804,787,856,725,353,197,5339,10424,4104,5912,4950,3063,2181,1362,443,103,32545,1369,639,795,733,542,409,333,163,73,5049,13370,6625,9515,8546,6478,5722,4900,2255,780,58179,26,66,327,674,1199,2088,2787,1551,472,9198,2011,1420,2027,1854,1412,1240,1037,478,116,11602,26,17,75,167,303,585,909,554,125,2769,0,13,5,5,14,35,112,187,178,545,38,75,261,646,961,1448,1759,847,194,6223,58,41,88,164,369,786,1368,922,336,4131,41,13,49,84,126,178,310,248,98,1150,42,16,60,109,262,485,700,447,133,2244,717,1793,2355,2208,2006,1617,1071,402,150,12327,4,13,17,56,122,196,303,255,87,1051,1287,770,1138,1329,1372,1500,1297,621,286,9595,20504,9036,11902,10336,6472,4361,2624,854,186,66278
SOSR212,17,19,53,78,126,190,332,408,269,1500,27,19,38,93,239,603,949,688,302,2952,669,2452,3273,2795,2688,2386,1569,764,523,17122,10,7,35,56,117,221,367,397,239,1456,908,960,1437,1644,1942,2236,1925,1160,877,13072,19263,9040,10817,10339,9236,7431,4863,1865,553,73415,2278,1291,1398,1412,1294,1240,1070,771,593,11355,24581,14524,17952,17655,17225,16943,14981,8611,4177,136657,42,164,616,1282,2836,5499,7632,5632,2540,26239,4202,3152,3876,3881,3281,3207,2937,1581,554,26685,55,52,149,371,802,1683,2661,2050,742,8564,4,10,8,10,24,103,333,736,840,2079,83,207,418,796,1653,2797,3889,2540,828,13207,105,92,139,232,833,2016,3638,3182,1657,11905,47,44,100,139,236,407,660,798,458,2881,60,47,73,158,408,1053,1755,1350,559,5463,1358,3834,5020,4462,4505,3845,2658,1282,720,27687,16,27,57,99,234,465,837,844,421,2992,2294,1788,2220,2621,3184,3692,3437,1971,1226,22428,38884,19385,22264,20814,18440,14505,9186,3482,957,147917
SOSR213,15,23,52,87,157,211,362,402,285,1597,29,32,35,110,300,678,1094,909,402,3581,643,2512,3287,2887,2877,2514,1732,827,611,17897,10,9,11,48,149,246,362,409,290,1542,824,947,1411,1556,1871,2243,2123,1310,1034,13295,17519,7821,9290,8456,7802,6873,5007,2155,617,65534,2101,1128,1231,1217,1171,1106,1088,856,584,10474,22395,12995,16087,15359,15658,16290,15650,10056,4820,129324,38,160,578,1335,2916,5754,8506,6659,3011,28964,3802,2898,3651,3553,3279,3133,3010,1860,656,25841,52,65,155,342,771,1727,2756,2264,901,9018,0,6,8,8,29,96,296,871,1006,2321,96,201,398,817,1637,2928,4196,2956,997,14219,91,70,118,284,796,2059,3767,3746,1940,12874,49,48,94,153,269,429,769,773,470,3053,74,49,79,194,516,1225,2062,1749,691,6650,1426,3912,4931,4599,4648,4181,2934,1400,858,28897,25,22,22,96,284,516,897,945,512,3327,2201,1752,2237,2505,3104,3877,3661,2263,1457,23070,34887,17067,19338,17130,15648,13371,9616,4037,1098,132203
SOSR214,12,18,35,48,64,121,213,271,194,977,13,17,28,55,179,440,762,607,247,2340,298,1300,1572,1513,1588,1676,1253,630,443,10269,0,4,11,35,79,152,265,284,220,1052,370,446,704,778,1084,1422,1474,888,628,7801,8877,3964,4594,4367,4415,4350,3733,1586,509,36404,1137,565,626,650,662,771,834,665,455,6362,11343,6604,7917,7912,8788,10424,11496,7159,3524,75164,22,79,310,690,1674,3691,6114,4819,2166,19561,1907,1504,1796,1777,1818,1986,2172,1319,451,14722,16,26,73,188,444,1074,2032,1667,615,6135,0,0,5,3,19,74,246,609,767,1729,33,88,167,365,889,1821,2927,2171,715,9180,47,48,85,152,469,1283,2701,2770,1475,9033,31,37,48,73,117,256,465,561,314,1906,30,22,48,85,312,824,1425,1213,460,4417,674,2059,2443,2461,2591,2780,2191,1090,625,16908,10,13,18,56,129,329,619,669,392,2236,1032,850,1102,1282,1775,2459,2556,1539,949,13554,17667,8872,9714,8780,8867,8429,7099,3049,869,73345
SOSR215,22,19,36,40,84,189,307,380,253,1330,17,20,37,68,251,654,1019,700,292,3060,548,1758,2331,2230,2342,2454,1682,752,508,14611,8,8,21,29,111,198,368,388,281,1414,670,620,1035,1258,1516,2100,1967,1153,833,11151,15049,6285,7311,7423,7188,7046,5158,2168,611,58241,1860,953,1026,1070,1244,1206,1251,826,513,9958,19315,10172,12503,13034,14035,16302,15740,9321,4441,114859,46,124,500,1037,2499,5588,8420,6172,2730,27114,3207,2199,2898,2864,2740,3093,3100,1779,567,22451,42,52,106,292,688,1705,2951,2234,773,8836,8,8,6,10,27,89,316,803,1030,2285,78,138,322,560,1310,2613,3979,2732,896,12618,95,56,148,234,632,2008,3957,3554,1789,12470,47,41,70,96,189,399,679,756,425,2697,57,40,63,134,436,1251,2039,1519,562,6096,1125,2770,3585,3570,3868,4049,2966,1346,698,23972,21,17,47,51,221,451,862,898,516,3076,1689,1202,1639,2048,2600,3652,3578,2033,1195,19630,30477,13806,15281,14944,14632,14025,10142,4148,1114,118578
SOSR221,6,9,7,11,23,51,73,78,33,294,4,0,5,23,62,200,279,203,51,826,142,448,567,589,707,742,463,172,112,3933,3,0,8,17,18,66,94,74,49,327,185,180,243,290,480,597,515,264,154,2902,4013,1640,1804,1968,2037,2160,1530,521,129,15813,461,250,199,321,309,403,368,214,159,2689,5079,2636,3016,3431,4032,4990,4478,2240,1002,30906,13,44,110,298,801,1820,2607,1576,613,7881,841,521,648,768,843,943,951,440,134,6085,13,6,23,77,171,493,839,551,165,2335,4,0,0,6,9,14,63,167,213,483,21,40,64,152,367,794,1162,635,179,3417,12,10,28,59,184,627,1161,876,419,3370,13,7,16,33,41,106,206,168,62,657,13,8,13,48,119,390,609,434,111,1743,289,696,866,969,1154,1281,891,314,153,6613,8,0,8,33,52,150,241,190,89,778,443,304,374,470,810,1138,987,489,242,5256,8050,3626,3790,3999,4146,4370,3113,1079,232,32390
SOSR222,3,0,0,12,17,34,43,35,19,158,0,0,3,11,39,111,144,85,35,431,74,258,279,371,356,396,221,52,42,2045,0,0,4,7,14,37,44,44,35,183,102,82,108,194,270,371,245,96,46,1523,2075,923,999,990,1128,1222,731,275,65,8410,262,185,142,170,208,252,176,117,55,1570,2649,1522,1631,1872,2212,2803,2187,1106,414,16396,8,21,64,161,434,999,1293,745,261,3993,443,295,345,416,410,565,494,194,45,3215,3,0,20,33,115,278,436,245,84,1216,0,0,0,0,0,9,28,64,83,188,6,17,28,67,177,429,593,312,87,1720,13,5,11,33,111,353,609,377,187,1694,3,6,6,15,38,60,106,72,41,335,9,7,9,25,85,223,353,183,70,953,160,395,457,557,609,696,452,115,51,3490,5,0,7,8,26,92,121,108,56,421,247,188,191,279,461,638,493,207,76,2781,4091,1955,2057,2121,2362,2484,1539,567,120,17309
SOSR231,33,38,53,69,175,327,423,331,147,1610,34,26,57,119,368,940,1356,703,184,3784,737,2674,2909,3272,3956,3809,2066,609,207,20234,8,13,42,62,188,333,463,390,143,1644,1040,1097,1411,1934,2940,3779,2943,1185,439,16776,27958,14213,11126,13835,17580,17010,10288,3005,612,115639,3626,2229,1803,2320,2977,3253,2550,1253,391,20401,35171,21383,18401,23422,31378,35508,27492,11317,3033,207104,74,198,652,1712,5052,11633,14505,7764,1983,43580,4835,3863,3609,4608,5454,6014,5105,2140,403,36040,68,106,180,493,1515,3452,5242,2992,641,14708,8,10,12,7,41,112,344,686,483,1693,135,256,368,772,2111,4584,6216,3346,733,18530,129,141,154,332,1255,3885,6906,4530,1382,18714,78,75,88,131,352,715,1079,791,287,3598,72,46,109,254,683,1961,3009,1771,415,8318,1545,4230,4467,5181,6713,6708,4079,1244,320,34490,18,28,65,117,376,804,1312,1082,315,4107,2466,2129,2212,3136,5120,7191,5894,2389,772,31306,56769,31396,23592,28490,36181,35319,22275,6906,1268,242190
