SOSR_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,..,21925,33527,6990,4275,4876,3505,1348,364,76808,..,8939,33759,27002,25242,36825,45537,39549,21921,238777,3501,6281,6480,3330,2555,3007,2477,1530,821,29977,384340,259050,355248,333142,288007,240811,186410,108863,41585,2197459,..,7411,214490,409598,345270,285824,218217,113724,25462,1619985,..,27514,156951,81992,53120,31689,13826,3980,589,369662,..,2158,15173,38235,56349,35666,15583,10741,7195,181101,783263,..,..,..,..,..,..,..,..,783263,..,256176,..,..,..,..,..,..,..,256176,..,123865,103953,28369,19420,9544,1770,69,0,286996,..,23931,25640,8608,8502,15329,15711,10174,5879,113779,..,14021,21933,6446,3927,2846,1301,415,129,51008,..,47327,83094,19396,11342,10898,7458,2891,677,183074,..,17104,67612,56997,54788,67191,70362,54909,29614,418586,7055,11181,12803,7214,5652,5478,4224,2398,1103,57107,790322,530703,701648,656858,558369,464463,348447,199293,70643,4320742
SOSR203,..,2693,2220,411,423,547,336,107,19,6759,..,815,2738,2045,2718,5022,6066,4768,2640,26808,393,832,514,266,254,310,289,140,69,3067,32556,22054,27317,24091,22795,22111,19272,11240,4272,185716,..,574,15070,25307,23170,22765,20875,11241,2443,121443,..,4455,14830,6852,5002,3140,1465,493,48,36294,..,475,2759,4595,5556,2935,1325,830,583,19063,65973,..,..,..,..,..,..,..,..,65973,..,16372,..,..,..,..,..,..,..,16372,..,11247,5713,2071,1370,756,157,4,0,21317,..,1715,1429,484,572,1020,983,572,296,7071,..,1342,1511,383,260,159,93,23,9,3794,..,5285,5710,1186,1027,1130,745,260,61,15400,..,1509,5500,4427,5798,8751,9312,6637,3531,45456,769,1461,1154,612,520,534,497,216,97,5874,66741,44434,53664,45916,43282,41196,35459,20284,7067,358048
SOSR211,..,208,219,109,125,147,96,23,8,925,..,173,514,436,632,985,1211,759,312,5026,156,176,126,62,89,64,83,32,12,791,12564,6158,8929,8026,6116,5418,4548,2046,564,54378,..,253,6590,9322,6387,5797,5034,2007,306,35694,..,1179,3825,2095,1337,735,328,109,10,9616,..,221,1237,1644,1609,802,423,279,89,6301,24973,..,..,..,..,..,..,..,..,24973,..,4968,..,..,..,..,..,..,..,4968,..,3755,1998,693,404,169,25,0,0,7038,..,742,741,271,255,442,419,220,91,3177,..,397,434,178,127,63,39,9,3,1252,..,467,650,301,283,313,229,67,15,2321,..,352,1276,1129,1408,1804,1961,1099,426,9452,292,315,286,193,181,115,148,58,14,1598,25266,12640,17032,15828,11987,10236,8597,3842,963,106393
SOSR212,..,813,1104,305,286,366,278,85,23,3255,..,391,1289,1042,1552,3059,3718,3219,1747,16016,264,379,329,188,191,225,246,106,47,1971,23270,13594,16834,16639,16324,15758,13610,7599,2777,126410,..,346,10069,18178,17835,17413,15852,7795,1624,89109,..,2280,8852,4944,3593,2518,1189,347,58,23776,..,293,1828,3083,3647,1896,782,478,339,12350,47502,..,..,..,..,..,..,..,..,47502,..,11391,..,..,..,..,..,..,..,11391,..,8576,4163,1199,850,422,99,4,0,15312,..,1083,829,282,444,680,705,376,191,4591,..,739,868,310,210,149,73,13,3,2368,..,1519,2418,840,695,728,620,181,50,7047,..,789,2758,2481,3392,5325,5675,4502,2304,27225,574,687,705,448,435,417,415,199,67,3945,48073,27704,32493,31761,31103,29549,25408,13894,4636,244614
SOSR213,..,546,671,231,262,382,273,140,25,2533,..,456,1195,978,1584,3209,4101,3713,1974,17204,263,345,270,137,177,224,230,130,55,1830,21254,12261,15173,14501,14867,15273,14240,8870,3113,119556,..,337,9439,15153,15091,16281,16262,9180,1820,83566,..,2617,8159,4530,3541,2404,1281,377,57,22970,..,345,1895,2927,3422,1804,780,556,352,12071,43201,..,..,..,..,..,..,..,..,43201,..,9793,..,..,..,..,..,..,..,9793,..,7855,3519,1248,931,476,90,0,0,14116,..,917,722,261,421,687,728,406,211,4354,..,701,692,269,222,131,85,32,4,2138,..,1133,1674,574,603,781,592,250,50,5652,..,861,2574,2310,3479,5857,6624,5226,2677,29614,549,673,603,382,388,423,404,221,77,3722,43750,25222,29276,27654,28103,28851,26846,16240,5255,231200
SOSR214,..,252,321,129,174,234,220,71,26,1425,..,199,584,519,944,2075,2927,2581,1388,11222,154,208,152,93,95,215,214,93,36,1269,10691,6180,7457,7422,8297,9645,10413,6293,2201,68602,..,120,4256,7388,7944,9843,11837,6744,1275,49416,..,1327,4197,2399,2198,1590,994,328,47,13079,..,151,948,1498,1873,1070,540,392,260,6720,21700,..,..,..,..,..,..,..,..,21700,..,4968,..,..,..,..,..,..,..,4968,..,4193,1923,746,624,351,76,3,0,7926,..,506,340,170,217,368,392,255,146,2393,..,345,403,133,116,87,54,18,9,1160,..,609,806,322,352,502,449,158,39,3244,..,427,1352,1269,2073,3880,4812,3785,1943,19530,323,387,346,211,228,371,383,180,60,2491,22026,13037,14571,14136,15621,18070,19544,11856,3775,132637
SOSR215,..,254,353,152,203,437,320,144,23,1887,..,246,709,696,1321,3034,3943,3351,1718,15006,220,334,235,133,169,274,289,129,53,1825,18178,9462,11651,12136,13027,15062,14208,8195,2782,104689,..,239,7162,12716,13375,16080,16420,8533,1625,76154,..,1908,7189,4286,3634,2753,1569,453,49,21841,..,237,1260,2198,2725,1470,712,533,353,9483,37096,..,..,..,..,..,..,..,..,37096,..,8117,..,..,..,..,..,..,..,8117,..,6325,2953,1119,847,467,101,0,0,11810,..,698,528,223,327,637,666,404,222,3701,..,454,489,232,202,141,75,24,16,1631,..,578,928,427,493,877,698,294,48,4340,..,552,1730,1753,3073,5749,6826,4991,2383,27060,460,615,529,309,386,498,554,256,80,3690,37553,19721,22767,23248,25069,28672,27621,15483,4783,204919
SOSR221,..,58,71,39,80,136,79,35,6,498,..,60,204,158,366,806,1009,738,351,3690,44,91,60,41,49,101,100,44,10,539,4784,2447,2819,3166,3761,4516,4036,1970,618,28121,..,46,1751,3525,4007,5030,4962,2231,370,21927,..,426,1709,1155,1060,978,534,136,16,6011,..,41,261,496,654,358,175,123,104,2206,9724,..,..,..,..,..,..,..,..,9724,..,2135,..,..,..,..,..,..,..,2135,..,1677,765,258,221,124,25,0,0,3074,..,182,95,33,62,161,186,102,64,886,..,113,97,48,41,54,14,10,0,372,..,134,148,97,158,263,187,70,13,1069,..,137,478,454,907,1728,2011,1259,499,7487,87,180,156,92,125,204,230,86,15,1180,9817,5072,5453,6165,7235,8897,8322,4019,1083,56060
SOSR222,..,41,55,35,42,64,48,20,3,314,..,34,78,88,206,456,465,343,157,1826,33,58,34,24,36,45,40,27,9,296,2476,1312,1426,1685,2020,2523,1961,998,305,14700,..,23,807,1769,2100,2774,2464,1101,184,11229,..,210,872,604,677,537,267,81,11,3249,..,21,156,264,364,221,120,82,54,1275,4970,..,..,..,..,..,..,..,..,4970,..,1103,..,..,..,..,..,..,..,1103,..,913,446,151,119,75,13,0,0,1712,..,87,55,25,40,80,103,60,47,494,..,67,58,32,15,24,8,7,0,213,..,76,152,65,89,145,113,39,4,695,..,67,207,256,501,1009,1020,570,235,3861,70,99,83,65,69,101,92,44,15,635,5035,2672,2826,3231,3976,4966,4188,1997,546,29438
SOSR231,..,242,495,208,451,690,545,192,22,2847,..,274,604,665,1431,3139,3572,2388,1014,13101,340,620,417,235,326,500,410,136,51,3033,32513,19125,16709,21446,28851,32265,24694,10213,2530,188345,..,370,10736,25912,36545,43373,36366,14410,1994,169718,..,2167,8741,7366,8521,7228,3565,817,58,38459,..,205,1131,2155,3223,2191,1151,841,562,11458,66431,..,..,..,..,..,..,..,..,66431,..,18997,..,..,..,..,..,..,..,18997,..,14418,6845,2263,1668,862,152,7,0,26221,..,1042,598,301,563,1168,1310,997,611,6590,..,989,993,402,443,408,273,96,23,3628,..,577,1155,589,959,1372,1186,437,57,6341,..,645,1746,2112,4120,7776,8412,4780,1676,31271,694,1292,1042,629,816,1081,899,329,95,6874,67115,40706,32989,41732,56866,65463,53316,22711,5083,385982
