SOSR_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR201,99846,104951,53412,31820,40425,27056,16275,373787,20426,19472,11331,7453,9796,5316,2798,76587,21825,20124,10538,6545,8030,4555,2348,73962,89388,86311,52577,35514,47117,25483,12406,348790,1004,1023,505,302,198,77,47,3145,232479,231872,128369,81633,105560,62492,33874,876282,6913,12102,8538,6653,9558,6951,4533,55252,3126,4440,3188,2377,3295,1675,963,19077,1736,3209,2216,1674,2371,1255,688,13145,10592,17130,12408,9508,13004,6224,3187,72053,967,1124,594,417,320,138,76,3638,23339,38005,26940,20629,28546,16249,9453,163164,255816,269883,155305,102263,134108,78740,43333,1039442
SOSR203,2716,2557,1220,766,974,511,221,8959,1106,1065,600,396,495,211,113,3976,1160,1103,589,355,407,163,69,3843,13182,12519,7022,4684,5696,2080,829,46015,71,61,34,20,10,3,0,199,18235,17301,9452,6215,7587,2973,1226,62995,199,310,216,165,243,142,81,1358,237,418,284,187,249,103,33,1512,100,196,165,122,149,54,26,821,2800,4132,2745,2091,2464,686,309,15218,121,144,76,53,35,15,4,444,3454,5201,3490,2624,3137,999,451,19352,21683,22501,12944,8844,10722,3972,1678,82346
SOSR211,3158,2914,1314,734,805,411,201,9546,440,321,174,113,123,32,17,1219,380,389,182,97,113,26,19,1207,3169,2911,1594,1051,1252,318,125,10418,25,40,24,12,8,0,0,101,7178,6573,3283,2005,2300,794,366,22490,304,419,269,170,230,94,56,1552,127,147,94,71,83,17,6,551,71,79,47,47,67,15,12,338,1081,1449,864,555,659,175,61,4852,41,55,26,19,8,7,4,159,1625,2150,1300,860,1058,312,142,7449,8801,8720,4586,2862,3350,1106,510,29938
SOSR212,2049,2079,1123,660,828,307,143,7193,811,843,481,318,398,158,61,3063,848,832,395,253,286,120,45,2777,8893,8942,5274,3508,4208,1408,533,32767,56,48,28,23,13,0,0,170,12654,12740,7298,4764,5732,1994,786,45972,151,204,168,90,147,66,32,867,209,292,208,131,155,42,29,1062,88,157,122,86,117,29,16,614,1770,2828,1953,1300,1590,463,167,10072,90,97,54,38,30,10,0,315,2306,3583,2504,1651,2030,610,245,12925,14963,16322,9802,6415,7765,2601,1025,58890
SOSR213,1202,1233,572,352,446,202,72,4075,643,652,374,246,308,102,26,2351,763,661,343,220,213,83,35,2320,9032,8500,4987,3261,3923,1214,421,31347,39,50,27,16,10,5,0,146,11681,11099,6300,4099,4904,1601,555,40233,74,126,103,60,102,49,16,523,173,255,163,130,167,44,23,963,66,130,97,65,94,35,13,499,2077,2878,1865,1433,1622,392,153,10416,92,125,75,34,21,11,0,354,2478,3518,2308,1727,2002,527,195,12756,14162,14613,8604,5827,6909,2128,754,52987
SOSR214,598,533,264,141,192,81,30,1845,336,356,197,123,135,36,17,1204,383,343,198,110,137,40,14,1226,4463,4335,2480,1691,2077,551,170,15766,29,31,19,11,10,0,0,109,5804,5600,3160,2089,2561,714,234,20162,18,64,44,30,37,23,4,226,77,138,87,75,89,17,9,488,23,61,59,47,72,19,6,283,931,1502,977,736,872,229,70,5309,48,58,43,36,21,0,0,209,1093,1823,1210,921,1083,285,90,6510,6898,7420,4373,3011,3643,1001,325,26671
SOSR215,579,583,328,223,300,97,50,2151,592,670,443,283,302,93,40,2417,616,655,385,214,254,68,17,2211,8057,8195,4614,3002,3563,974,313,28723,45,49,33,29,15,4,0,178,9878,10141,5809,3747,4432,1238,425,35683,52,79,52,52,61,23,5,321,101,194,159,102,122,32,15,730,61,111,81,69,84,18,11,444,1430,2087,1483,1136,1246,273,83,7743,77,85,60,36,21,10,3,293,1721,2563,1836,1395,1540,353,121,9530,11607,12701,7641,5141,5971,1590,546,45213
SOSR221,99,117,67,49,56,26,10,424,132,192,92,62,98,16,12,610,131,156,88,41,68,24,0,515,2220,2281,1398,899,1012,260,101,8167,17,15,6,5,9,0,0,54,2598,2757,1655,1060,1239,325,126,9766,8,15,12,14,19,4,0,61,26,54,44,26,34,3,0,185,19,25,25,25,27,11,4,134,276,473,332,241,266,47,21,1667,14,11,18,10,6,0,0,56,342,571,425,309,347,61,30,2092,2946,3329,2079,1369,1590,389,158,11860
SOSR222,50,61,28,18,26,9,0,198,49,76,62,33,39,4,8,271,91,95,51,28,30,4,5,301,1019,1110,711,484,530,164,44,4049,14,14,12,7,4,0,0,48,1218,1360,858,570,630,177,57,4874,7,7,6,3,5,4,0,23,20,28,15,20,13,4,3,102,4,5,8,9,12,0,5,42,182,266,200,157,139,42,3,995,10,11,3,8,4,0,0,36,216,323,231,199,173,51,9,1201,1433,1679,1092,772,806,230,71,6078
SOSR231,638,826,555,408,567,247,110,3362,704,978,700,479,677,247,92,3885,1066,1207,736,511,617,201,99,4428,13779,16699,11376,7869,9764,2892,1045,63419,77,138,64,43,33,4,0,365,16264,19849,13430,9310,11667,3588,1352,75461,34,63,66,43,53,26,15,297,97,190,143,126,117,54,19,747,52,91,89,80,98,31,26,456,1316,2172,1590,1203,1417,357,143,8193,79,58,45,39,29,11,4,266,1579,2574,1934,1484,1709,470,203,9960,17841,22424,15365,10794,13375,4064,1558,85421
