SOSR_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR201,311,863,30,39,99,38,28,13,13,1435,2640,16495,285,197,446,113,129,136,151,20589,26111,59382,5647,3700,9237,4732,5248,3826,1991,119873,935,1921,163,111,309,172,198,123,79,4021,4669,11854,848,1039,1555,552,385,405,203,21508,1494,2366,249,346,466,163,101,87,59,5337,61233,139210,21211,14890,25137,14514,12284,11697,4464,304639,105,69,206,95,50,51,115,70,31,796,9914,10103,9363,4025,3868,2959,3980,3135,718,48063,14153,11652,15986,8566,6737,4986,7476,6134,1267,76954,25464,9290,104037,11710,10014,9159,19910,20542,4206,214333,902,570,1443,939,730,851,1232,1404,134,8203,2596,1770,2479,1447,1287,1426,2000,1696,286,14989,1276,1952,1251,518,507,463,814,698,239,7716,2060,2320,2573,1047,987,1063,1997,1895,3179,17124,153857,269817,165785,48672,61416,41236,55906,51860,17031,865580,377,1640,29,97,223,44,4,12,12,2438,2190,14446,235,279,694,79,18,65,140,18138,18712,69546,2666,8065,14440,4159,808,2361,1691,122450,783,3104,77,347,524,138,24,87,79,5169
SOSR203,14,63,0,3,3,0,0,0,0,88,115,928,21,7,27,7,4,10,6,1129,942,2403,244,204,286,180,317,289,65,4925,30,105,11,10,12,8,12,4,0,191,274,963,70,142,92,22,22,27,8,1638,136,230,13,36,46,8,3,5,3,479,2845,8020,1126,1149,1073,647,533,684,159,16232,8,4,8,5,0,4,4,4,5,44,598,731,601,376,231,171,189,205,40,3137,1008,875,1062,962,465,340,411,422,58,5601,2771,929,12235,1828,1021,1120,2507,2794,481,25676,88,46,146,98,61,113,138,222,14,933,150,107,139,148,54,95,127,161,19,997,63,117,64,37,19,16,31,55,18,408,118,115,204,99,49,82,158,174,188,1193,9156,15634,15944,5116,3439,2811,4454,5061,1063,62676,11,164,5,3,9,0,0,3,0,196,72,789,19,13,48,7,4,5,10,959,704,3613,128,401,422,153,37,120,51,5621,38,259,3,19,16,5,0,6,5,350
SOSR211,0,3,0,0,4,0,0,0,0,5,7,86,4,5,0,0,4,0,0,108,155,428,63,90,100,45,113,36,15,1045,11,21,0,0,0,3,4,0,0,42,42,107,12,21,18,9,14,4,0,219,13,27,5,8,10,0,0,0,0,61,455,1129,278,256,276,119,308,182,40,3043,0,0,0,5,0,4,10,5,0,19,145,112,179,108,78,44,162,65,18,910,254,213,317,241,163,94,379,154,37,1848,658,287,3548,495,354,290,1217,922,162,7932,20,5,50,36,21,21,89,78,4,329,46,17,46,50,28,18,95,57,8,359,15,24,23,19,5,8,36,10,7,135,30,32,68,33,31,14,95,71,68,447,1839,2493,4598,1352,1087,673,2527,1590,363,16516,0,11,0,0,3,0,0,0,0,9,8,63,3,0,0,0,0,0,0,80,95,575,23,144,125,54,19,37,18,1093,12,30,0,4,4,3,0,0,0,59
SOSR212,8,30,0,0,0,0,0,0,0,48,54,388,14,4,8,0,0,4,3,471,578,1258,95,73,115,53,46,38,25,2282,17,62,7,8,3,0,0,6,0,103,162,513,46,65,47,15,15,20,3,887,69,123,10,35,15,5,3,4,3,274,1709,4415,557,600,550,315,197,376,89,8802,3,4,10,9,4,4,4,3,0,33,483,491,352,257,168,98,101,123,27,2093,804,626,733,657,257,192,228,277,57,3824,2431,711,9301,1094,754,817,1839,2080,358,19382,61,28,86,72,38,80,86,159,9,624,143,57,122,91,49,83,127,119,9,804,43,61,50,29,17,21,31,39,10,285,126,96,117,70,36,68,119,186,135,948,6691,8864,11496,3053,2055,1740,2801,3433,740,40869,8,82,6,10,6,0,0,0,0,107,50,339,11,10,17,4,0,0,0,430,452,2101,48,165,186,53,8,35,17,3070,19,140,0,12,14,4,0,6,0,194
SOSR213,7,21,0,3,0,0,0,0,0,35,26,283,9,0,9,0,0,8,4,339,360,830,64,68,83,43,43,43,9,1537,23,46,3,8,9,0,0,0,0,89,139,387,26,60,19,11,8,9,10,680,48,90,16,28,16,4,9,6,0,206,1140,3087,456,463,350,191,182,305,55,6233,4,3,8,3,0,0,3,3,0,33,367,437,308,215,138,104,106,131,26,1827,647,536,588,587,255,159,197,240,51,3244,2137,634,9149,1024,650,791,2164,2183,385,19118,74,39,113,58,45,58,92,146,4,624,118,68,94,111,38,58,105,135,8,735,38,40,44,36,15,9,20,38,8,242,94,83,140,69,29,48,138,172,140,924,5234,6579,11016,2730,1643,1469,3070,3420,711,35866,3,69,0,5,6,0,0,0,0,82,36,266,3,11,15,0,4,3,0,332,276,1569,42,142,150,27,8,41,19,2266,16,99,4,11,5,4,0,0,0,137
SOSR214,3,9,0,0,0,0,0,0,0,19,21,117,6,6,5,0,0,0,0,155,204,468,42,42,52,15,11,38,15,882,8,19,0,3,4,0,0,0,0,38,60,213,24,40,18,10,5,8,7,391,30,47,6,12,6,5,0,0,0,118,582,1559,231,239,170,120,66,175,39,3179,3,0,3,0,0,4,0,0,0,16,217,194,208,120,71,67,43,74,20,1017,331,219,325,282,114,88,101,136,20,1614,1239,304,4813,590,327,403,1102,1301,225,10304,31,15,43,28,13,37,48,89,11,319,68,22,60,44,19,29,80,76,9,397,14,30,28,7,4,0,7,21,9,118,59,43,116,45,15,45,84,133,75,615,2874,3258,5900,1450,826,814,1556,2061,434,19171,9,31,0,3,3,0,0,0,0,42,11,105,3,3,10,0,0,0,3,137,196,756,26,87,79,21,5,18,20,1203,3,52,0,4,0,0,0,0,0,65
SOSR215,6,22,0,0,4,4,0,0,0,33,57,217,8,3,3,0,0,0,0,297,388,683,53,57,65,31,23,30,16,1346,5,26,0,4,3,0,0,6,5,50,124,376,36,52,32,12,10,13,8,669,47,63,10,19,13,0,0,0,0,158,1170,2427,356,421,255,172,117,241,54,5226,7,5,10,4,0,3,0,6,0,33,366,339,301,180,125,70,105,113,23,1618,532,368,443,411,172,134,153,202,33,2450,2313,556,8812,785,520,584,2155,2116,347,18187,59,20,99,57,23,68,98,118,8,552,105,49,97,63,28,56,109,92,16,627,33,31,31,14,6,7,25,20,5,169,110,54,194,60,26,63,159,172,105,951,5325,5257,10454,2138,1276,1207,2969,3131,626,32374,9,43,0,6,6,5,0,0,0,65,46,223,0,5,13,0,0,0,3,298,342,1341,36,120,122,29,5,22,24,2041,20,91,3,5,14,0,0,4,0,134
SOSR221,0,4,0,0,0,0,0,0,0,3,20,81,0,5,0,0,0,0,0,105,88,185,5,17,13,7,3,5,3,328,4,8,0,0,0,0,0,0,0,16,43,106,11,18,7,0,0,8,3,202,6,13,0,6,0,3,0,0,0,33,341,657,101,102,72,38,27,62,19,1419,0,0,0,3,3,0,0,0,0,10,115,100,67,51,26,19,23,25,0,426,155,124,139,116,49,45,30,44,4,706,720,153,2467,203,137,170,608,593,101,5147,10,4,28,13,4,7,17,30,4,121,32,18,25,19,5,5,28,26,0,165,10,9,10,4,0,0,0,3,9,46,35,25,48,25,14,26,53,67,23,306,1578,1474,2915,567,337,332,798,867,168,9040,0,9,0,0,0,0,0,0,0,12,11,74,0,0,3,0,0,0,0,93,102,353,3,23,35,9,0,0,3,534,3,18,0,0,3,0,0,0,0,31
SOSR222,0,0,0,0,0,0,0,0,0,5,9,25,0,0,3,0,0,0,0,40,53,99,5,5,10,4,0,7,6,183,0,4,0,3,0,0,0,0,0,9,27,59,3,3,0,0,0,7,0,106,3,8,0,3,0,0,0,0,0,20,164,345,71,56,29,35,24,53,14,787,3,0,0,0,0,0,0,0,0,7,58,54,40,40,16,10,8,21,3,255,79,42,71,53,23,16,17,36,4,357,401,86,1245,129,74,86,334,324,63,2739,3,3,13,13,0,4,8,22,4,72,9,10,15,18,3,8,18,13,4,98,3,5,6,5,0,0,0,4,0,33,26,19,29,15,4,8,34,18,17,162,850,766,1508,334,165,176,450,495,109,4850,3,7,0,0,0,0,0,0,0,8,8,29,0,0,9,0,0,0,0,47,43,173,0,22,9,15,0,7,0,266,3,20,0,0,0,0,0,0,0,24
SOSR231,12,34,0,5,0,0,0,5,0,62,160,481,23,9,14,4,4,8,5,718,913,1159,78,54,123,34,27,59,31,2468,42,69,3,6,8,3,0,0,5,141,363,606,51,90,58,23,13,40,13,1256,102,131,26,25,15,5,4,12,0,316,4028,4845,723,564,487,287,212,546,151,11844,21,6,13,6,3,0,3,8,5,61,1840,689,552,309,197,147,176,280,72,4263,1802,741,873,611,282,222,284,404,70,5288,9509,1025,16462,1256,857,1044,4304,4183,741,39379,264,49,157,83,52,71,140,216,14,1041,509,95,225,114,49,77,223,212,31,1553,140,72,73,26,13,17,25,51,9,427,759,144,343,107,57,120,288,381,280,2486,20458,10147,19600,3254,2233,2061,5703,6411,1437,71296,17,118,0,8,4,0,0,0,0,150,154,545,16,19,45,6,0,9,9,793,876,2479,53,167,257,35,5,43,38,3963,55,181,0,17,21,4,0,0,0,281
