SOSR_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR201,263192,477734,128526,13112,882562,186820,33471,1102854,37478,31598,15437,2018,86532,61956,8120,156608,34236,37115,14494,2076,87912,29486,9224,126620,71708,68716,29929,4086,174446,91438,17349,283230,18727,11219,6754,1269,37972,41695,5490,85159,13015,3964,2883,814,20677,27722,4382,52785,17213,4566,3311,962,26043,31848,4649,62551,19981,5438,3691,1790,30903,35051,8363,74315,161,199,95,14,468,421,24,914,69092,25385,16738,4851,116062,136748,22908,275722,47,3,10,4,68,287,0,360,138,17,51,6,207,982,17,1205,0,0,0,0,6,6,0,13,904,440,261,56,1667,1515,458,3635,1091,474,317,67,1946,2787,476,5212,331,286,134,29,778,793,122,1691,405421,572593,175640,22147,1175801,418583,74326,1668713
SOSR203,34597,38268,16736,1469,91073,32579,5259,128909,2474,1156,1324,158,5109,8986,623,14717,671,341,333,34,1375,1047,228,2647,3141,1496,1653,194,6486,10032,848,17364,483,192,270,28,976,2046,136,3156,54,15,11,0,91,162,17,269,65,19,13,3,94,190,23,306,57,4,4,5,68,59,7,134,5,3,3,0,9,25,0,39,669,230,299,41,1240,2479,186,3902,9,3,0,0,14,44,3,62,46,11,11,3,62,145,5,219,3,0,0,0,3,0,0,0,46,49,14,3,118,66,12,203,101,63,31,3,199,253,26,484,56,43,19,0,110,111,20,240,38570,40097,18742,1707,99109,45455,6341,150904
SOSR211,8381,12936,5562,424,27297,7232,946,35469,439,281,380,35,1142,1818,95,3056,48,68,84,9,214,130,20,362,493,354,463,45,1352,1947,114,3418,42,19,44,3,113,217,11,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,12,12,0,21,46,18,51,3,123,231,11,370,0,0,0,0,0,30,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,7,3,0,12,9,0,17,6,5,3,0,17,41,0,63,16,10,3,0,31,9,0,35,8936,13328,6082,472,28817,9455,1072,39352
SOSR212,24454,28143,10814,812,64225,19302,2483,86012,1399,531,677,90,2696,4382,270,7347,406,185,207,10,807,521,68,1404,1804,718,885,96,3504,4910,340,8748,576,210,325,39,1145,2494,130,3769,25,5,5,3,38,77,0,117,0,0,0,0,0,22,0,24,0,0,0,0,0,0,0,0,9,3,9,0,16,8,0,30,602,219,338,44,1200,2604,133,3936,19,4,4,0,20,41,9,75,78,4,10,0,92,141,8,242,5,3,0,0,8,10,0,17,70,9,7,3,84,150,6,242,172,20,18,9,210,340,21,577,32,30,5,3,67,69,5,148,27063,29123,12063,961,69211,27227,2989,99425
SOSR213,25519,25041,10853,799,62215,21861,2197,86269,1295,432,639,72,2445,5291,223,7950,96,51,82,5,237,306,22,560,1384,484,720,82,2673,5594,246,8512,366,110,193,23,683,1724,88,2497,13,9,6,0,27,18,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,14,22,0,34,382,117,199,27,727,1762,93,2577,31,9,3,0,40,91,8,131,104,5,8,0,113,232,9,351,5,3,0,0,5,8,0,15,26,14,9,0,56,33,10,93,164,27,20,4,210,359,19,595,25,25,7,3,62,39,5,103,27471,25701,11809,905,65885,29614,2560,98057
SOSR214,16798,12776,6081,469,36124,15213,1286,52627,891,218,392,32,1538,3294,113,4946,151,44,70,14,270,181,16,468,1039,261,461,44,1806,3474,134,5412,73,31,26,5,134,430,23,588,9,3,0,0,11,33,0,39,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,6,0,0,0,6,24,0,30,86,37,29,5,153,494,23,664,27,6,0,0,39,110,8,156,69,10,17,0,95,143,5,245,0,0,0,0,0,0,0,3,29,29,5,0,64,47,6,121,126,40,30,0,197,309,17,517,35,24,9,0,70,46,11,126,18090,13138,6610,519,38354,19532,1466,59350
SOSR215,25319,22027,8765,766,56873,22883,1794,81547,584,206,299,28,1119,2538,115,3775,142,78,64,3,291,171,27,481,729,283,359,33,1411,2703,133,4250,183,59,90,14,352,850,33,1240,3,0,0,0,4,4,0,9,9,0,0,0,8,3,0,16,3,3,0,0,6,0,0,7,9,8,0,0,19,13,0,36,203,71,96,16,387,883,33,1302,46,14,6,0,67,220,14,301,51,9,10,0,72,213,5,295,6,0,0,0,11,6,0,19,54,39,13,3,110,85,10,204,153,62,38,11,255,527,32,818,57,31,9,0,95,67,11,172,26472,22466,9277,818,59031,27059,2005,88095
SOSR221,7550,6057,2075,185,15864,6705,500,23075,94,32,29,0,152,317,12,481,25,7,7,0,38,27,3,69,118,39,36,0,197,345,14,556,15,7,5,0,36,100,0,131,0,0,0,0,0,0,0,0,44,10,8,3,62,107,7,166,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,13,59,20,15,3,101,206,7,315,33,0,8,0,42,104,4,143,21,3,6,0,28,46,0,75,4,0,0,0,0,5,0,5,33,28,5,4,65,44,3,109,89,30,14,4,138,193,6,338,7,7,0,0,14,29,0,38,7813,6148,2152,190,16307,7485,532,24321
SOSR222,3927,3165,1215,102,8406,3614,300,12323,31,12,11,3,57,76,0,132,5,3,4,0,13,10,0,28,39,14,15,3,69,90,4,162,13,8,11,0,32,59,5,92,9,5,4,0,12,4,0,15,5,0,0,0,3,7,0,15,7,0,3,0,5,0,0,9,0,0,0,0,0,5,0,8,24,19,15,0,58,79,11,142,14,0,0,3,17,36,0,49,3,6,3,0,14,16,0,30,5,0,0,0,9,0,0,12,21,14,3,0,37,21,3,60,47,22,9,3,74,71,0,151,3,6,0,0,12,14,7,31,4043,3224,1253,107,8617,3864,324,12809
SOSR231,52829,48907,10938,1037,113706,29797,2833,146332,142,91,32,4,274,153,15,443,65,35,0,0,111,30,6,143,215,131,38,4,389,187,21,587,31,9,6,0,48,62,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,5,23,14,0,0,42,27,0,64,58,24,10,0,93,86,3,189,133,31,26,0,195,424,19,636,199,50,48,3,295,557,37,887,22,13,11,0,41,41,3,83,35,19,8,0,63,33,4,99,387,113,89,7,596,1048,64,1712,124,74,15,0,215,156,23,393,53608,49249,11087,1048,114997,31273,2949,149218
