SOSR_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR201,147514,625206,604893,176786,92814,1647210,21499,1668713
SOSR203,9452,56750,57054,16909,8727,148893,2006,150904
SOSR211,1833,13600,15632,4966,2519,38554,799,39352
SOSR212,4986,34277,39458,12651,6500,97868,1556,99425
SOSR213,5678,35382,37140,11883,6260,96344,1712,98057
SOSR214,3315,22739,21669,6855,3664,58241,1111,59350
SOSR215,3745,30012,34005,12072,6641,86482,1614,88095
SOSR221,713,7674,9566,3729,2182,23865,453,24321
SOSR222,378,4007,4856,2064,1221,12523,282,12809
SOSR231,1726,26602,56675,32354,29281,146641,2573,149218
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
