SOSR_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR201,1308,2755,8792,17513,4703,35752,2864,20073,1532,95299,9411,34838,31024,37754,25308,37179,11714,23355,4560,215141,60651,197036,76216,59627,67271,37040,30370,38884,12386,579478,96292,178431,60344,46323,67012,27879,27713,28934,11022,543945,86014,118679,49180,41057,64698,26086,26868,30220,8297,451095,49210,72663,34030,28534,49394,19061,23359,26175,5105,307531,12212,22714,8016,6279,13476,5415,5616,7436,1646,82816,1831,3045,783,455,1316,741,369,994,520,10048,147,193,43,22,68,54,12,59,172,767,317061,630357,268429,237562,293250,189209,128895,176135,45239,2286127
SOSR203,170,129,1259,1827,354,4093,311,2562,143,10851,855,2257,3374,4206,1716,3033,973,2509,336,19271,3787,12737,7537,6177,4476,3072,2403,4004,692,44884,5315,11163,5153,4468,4644,2107,1909,3043,589,38388,5204,8355,3994,4482,4935,2171,2221,3080,563,35009,3351,5629,3078,3570,4063,1861,2272,3026,404,27260,917,1627,660,729,976,494,587,855,139,6997,148,142,56,43,69,57,43,105,75,729,19,8,4,4,3,10,0,5,25,72,19774,42051,25114,25506,21249,16900,10719,19196,2962,183465
SOSR211,32,32,473,325,115,1060,96,585,58,2770,205,320,1101,742,458,660,461,598,107,4654,904,2229,2192,1907,1501,903,1543,1336,318,12837,1298,2236,1670,1730,1562,663,1582,1181,244,12160,1028,1273,1069,1251,1339,610,1224,1011,191,8983,619,726,709,842,1007,459,865,763,118,6120,154,194,152,176,234,116,208,220,31,1485,19,21,8,8,20,7,8,26,10,122,3,0,0,0,0,4,0,4,3,14,4268,7034,7376,6977,6236,4480,5980,5722,1071,49147
SOSR212,113,94,987,1194,278,2940,194,1772,121,7683,484,1125,2246,1993,1008,1556,528,1436,187,10558,2393,6855,4928,3523,2720,1779,1315,2846,499,26843,4007,7035,3779,2987,3184,1505,1397,2372,469,26729,4193,5423,3065,3135,3736,1765,1646,2356,483,25802,2795,3821,2278,2396,3243,1537,1685,2132,288,20165,756,1115,527,504,846,398,446,612,106,5304,109,99,43,25,68,45,41,69,37,536,12,5,0,3,0,4,0,0,20,49,14859,25561,17852,15745,15078,11535,7241,13597,2207,123674
SOSR213,111,69,1010,1021,233,2495,175,1753,128,7006,482,870,2086,1738,833,1366,492,1424,144,9437,2030,5234,4579,3351,2369,1624,1426,2851,439,23915,2930,5118,3508,2948,2756,1423,1450,2323,435,22889,3068,4111,2981,3173,3081,1576,1758,2465,398,22607,2292,3140,2245,2522,2724,1334,1858,2310,286,18709,729,1009,563,538,736,368,495,638,114,5185,149,100,49,38,57,42,38,74,63,609,19,7,7,0,9,0,3,3,19,63,11814,19655,17034,15334,12799,10227,7701,13837,2027,110423
SOSR214,60,25,526,575,118,1219,71,837,71,3500,213,393,1090,943,345,667,216,848,94,4804,1027,2367,2392,1683,1123,853,657,1584,241,11921,1565,2428,1897,1479,1317,721,655,1296,194,11550,1784,2090,1725,1708,1629,919,862,1451,228,12398,1459,1827,1373,1527,1611,876,1002,1492,215,11376,565,691,381,376,511,284,309,410,102,3626,120,86,40,26,50,29,17,56,40,463,10,8,3,0,0,0,0,3,19,47,6811,9912,9430,8311,6697,5573,3785,7970,1200,59685
SOSR215,85,49,910,951,141,1754,112,1267,137,5397,376,559,1771,1319,589,886,355,1136,135,7120,1717,3631,4213,2545,1849,1208,1225,2215,350,18955,2858,4089,3290,2307,2252,1100,1280,1939,355,19473,3268,3649,2829,2548,2518,1363,1632,2271,378,20458,2634,3018,2427,2283,2553,1363,1819,2314,344,18755,948,1076,620,511,751,389,572,680,149,5698,254,138,60,35,81,52,41,83,56,800,33,7,0,0,6,0,0,4,23,75,12178,16212,16128,12503,10739,8114,7028,11905,1926,96731
SOSR221,32,7,248,246,42,466,36,395,40,1513,91,144,457,295,133,226,104,264,33,1748,462,896,963,610,444,312,296,523,78,4590,756,1084,938,574,630,314,310,480,87,5170,912,1061,846,718,772,378,466,608,104,5872,864,953,773,679,734,380,520,719,107,5720,363,370,164,139,217,133,138,169,33,1724,71,36,12,10,24,10,17,20,14,204,9,0,0,0,0,0,0,0,6,18,3561,4557,4400,3271,2986,2218,1880,3176,502,26552
SOSR222,15,13,107,159,29,193,21,188,24,739,46,72,250,199,70,112,78,165,21,1007,264,425,510,343,206,152,162,328,50,2438,428,552,462,291,312,167,164,292,57,2717,511,610,462,395,387,215,296,379,54,3304,505,538,438,380,357,203,328,425,55,3220,182,170,120,72,121,67,115,125,29,997,53,9,12,4,14,11,5,5,13,127,8,0,0,0,0,0,0,0,0,10,2014,2396,2349,1839,1493,1106,1167,1899,296,14558
SOSR231,433,145,2294,2102,366,3588,383,3303,316,12922,1094,1167,3578,2343,1059,1620,791,2391,287,14329,4405,5214,5592,3182,2599,1454,1709,3546,564,28255,8219,7224,5741,3084,4109,1586,2242,3260,660,36121,11949,8530,6709,4474,6081,2423,3323,4364,864,48723,12571,7624,5612,4144,5559,2367,3703,4758,855,47196,7886,2709,1428,920,1765,685,1114,1623,465,18600,2702,278,127,50,217,98,101,259,245,4083,353,8,3,3,19,4,3,33,65,499,49603,32892,31088,20303,21775,13827,13365,23534,4329,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,15
SOSR299,4,0,17,14,4,26,9,10,0,82,7,18,32,45,16,30,15,35,3,217,41,143,83,80,47,36,45,117,14,600,45,89,48,24,29,16,21,53,13,341,34,40,37,32,18,15,38,60,6,277,30,39,28,27,24,10,31,29,5,227,4,7,10,4,3,4,5,6,3,47,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,174,334,250,227,143,129,177,308,49,1797
