SOSR_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR201,266,615,21,19,39,659,893,1104,2648,55665,39186,6487,101337,3307,3429,6729,108070,70919,2108,181096
SOSR203,23,60,8,5,9,67,119,117,300,5252,5036,753,11034,341,378,719,11758,7083,220,19064
SOSR211,18,37,4,0,4,41,37,33,116,1597,1332,271,3197,163,176,341,3540,2699,63,6300
SOSR212,15,51,0,5,8,55,85,92,231,3745,3229,513,7485,209,233,443,7926,4250,177,12349
SOSR213,14,44,0,0,4,49,83,88,221,3142,3254,515,6914,212,246,462,7374,4539,166,12075
SOSR214,7,31,3,0,6,33,46,50,131,1686,1716,292,3685,109,139,247,3934,2697,93,6722
SOSR215,16,47,0,0,0,47,91,97,234,2352,2617,396,5374,151,154,308,5685,3634,170,9482
SOSR221,3,11,0,0,0,11,22,21,49,573,565,89,1230,39,37,80,1310,860,29,2210
SOSR222,5,3,0,0,0,6,15,18,39,319,293,63,674,18,34,48,725,526,27,1276
SOSR231,31,81,0,0,3,84,98,93,272,3318,2761,523,6603,163,151,315,6919,4364,182,11459
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
