SUA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
2000,..,77667,77667,100764,5250,106010,33207,652,33857,31766,188,31953,15345,63,15409,6769,75,6842,187845,83888,271738
2001,..,2023,2023,2710,136,2847,1495,17,1515,1561,3,1567,680,0,684,255,0,253,6698,2190,8888
2002,..,2029,2029,2133,135,2267,794,29,817,683,9,689,316,0,318,149,7,154,4070,2214,6280
2003,..,13354,13354,13768,1240,15004,5964,321,6283,5759,115,5876,2493,31,2526,925,22,949,28905,15089,43993
2004,..,11908,11908,12658,1051,13711,5598,251,5850,5164,80,5247,2243,22,2262,1036,15,1045,26704,13322,40027
2005,..,1701,1701,1636,123,1761,585,17,611,459,0,460,146,0,146,57,0,61,2892,1850,4737
2006,..,1758,1758,1569,134,1704,626,29,651,567,20,585,287,13,298,131,4,135,3169,1959,5127
2007,..,2496,2496,3215,164,3377,1097,32,1131,1043,19,1053,511,0,511,196,3,191,6065,2711,8772
2008,..,29484,29484,34954,2565,37521,15855,906,16762,16134,464,16598,6465,136,6594,2282,74,2361,75691,33623,109315
2009,..,1295,1295,2447,74,2522,1152,12,1162,1590,0,1592,688,0,688,227,0,227,6106,1385,7487
2010,..,2276,2276,2242,171,2410,926,31,954,792,9,804,388,3,392,112,0,112,4469,2487,6953
2011,..,434169,434169,496296,49091,545385,279652,16297,295944,293593,7086,300678,112054,2423,114478,54822,1127,55951,1236408,510195,1746604
2012,..,5689,5689,6514,427,6944,2738,105,2841,2513,35,2549,1225,29,1253,618,26,644,13604,6319,19921
2013,..,3182,3182,2803,202,3009,1168,13,1182,999,3,1003,414,4,413,195,10,202,5576,3415,8993
2014,..,1481,1481,1627,107,1735,615,11,624,508,3,506,163,0,165,76,0,82,2991,1601,4596
2015,..,2023,2023,2001,137,2132,825,22,844,697,3,707,320,0,324,128,0,128,3965,2188,6156
2016,..,5598,5598,5960,452,6413,2724,140,2867,2638,48,2681,1216,14,1231,766,13,775,13308,6267,19573
2017,..,1332,1332,1434,108,1540,582,26,606,500,7,511,255,0,256,100,0,100,2869,1479,4348
2018,..,5620,5620,5490,414,5908,2229,65,2291,2060,14,2075,842,7,848,381,5,386,11002,6121,17127
2019,..,2811,2811,2646,165,2806,987,31,1016,915,5,922,429,4,436,154,3,153,5136,3012,8146
2020,..,4028,4028,5486,265,5750,2261,40,2303,2193,18,2212,1071,7,1079,489,0,493,11500,4364,15861
2021,..,4250,4250,4697,319,5010,1922,84,2010,1738,29,1777,777,11,786,276,4,284,9409,4700,14111
