SUA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
2010,11,13,73,60,56,62,41,20,6,346,0,5,17,20,11,5,0,0,0,59,18,23,52,42,49,41,14,0,0,243,0,3,33,27,16,29,3,0,0,110,49,95,177,122,131,91,27,3,0,697,8,11,39,43,50,41,8,0,0,205,61,50,94,66,67,58,25,4,0,428,54,37,27,35,27,24,7,0,0,204,4,10,36,54,55,77,32,6,0,268,0,5,16,13,5,0,0,0,0,38,0,0,14,16,20,10,0,0,0,61,0,6,3,5,9,4,0,5,0,34,0,12,31,28,30,14,3,0,0,125,5,7,23,15,24,19,7,5,0,103,0,17,64,61,58,57,9,0,0,271,6,11,42,27,29,36,13,0,0,157,5,12,62,51,70,66,26,0,0,294,4,5,12,3,7,8,0,0,0,48,17,21,50,37,28,26,15,4,0,196,7,16,48,33,21,32,9,5,0,165
2011,238,674,1692,1664,1721,1448,733,283,30,8484,10,86,553,836,868,644,154,24,5,3179,1924,6526,21924,26182,27745,22101,5218,572,42,112242,130,749,3852,5170,3830,2638,556,48,8,16974,6865,21255,54206,43203,34242,21631,5172,543,32,187147,702,2713,8685,11163,11511,8485,2235,291,34,45825,10773,17980,24558,19159,14906,10339,3374,477,25,101595,15891,13663,17237,11011,6678,4834,1311,163,12,70793,982,6178,21612,22372,18373,15724,4257,329,11,89838,436,1737,6395,8422,5796,3097,638,84,5,26609,177,3351,15565,19928,13085,6340,1666,292,49,60458,215,1187,4732,5033,3970,2720,1123,295,31,19310,586,7097,35561,38027,25341,15370,6108,1148,54,129295,823,3765,10272,8727,7817,6001,1976,287,10,39674,557,3744,15514,16629,14513,10905,2993,345,21,65227,1828,4726,14900,14390,11655,9556,3375,371,17,60824,806,5007,19680,17660,14635,11721,4383,621,43,74562,2133,3053,5955,4611,3343,2127,846,143,10,22213,1116,3833,10071,9089,8731,6896,2208,366,21,42327,1846,6458,18677,16659,13400,9562,2731,559,115,70011
2012,43,90,351,302,313,254,143,26,4,1531,0,21,42,72,36,40,4,0,0,220,47,85,178,181,206,178,59,6,0,942,0,6,53,51,66,78,9,0,0,265,115,220,380,336,274,248,65,5,0,1641,12,34,85,88,95,100,21,8,0,447,202,134,229,146,141,143,36,7,0,1046,127,97,146,95,85,64,31,8,0,654,10,40,123,129,188,210,77,3,0,779,6,15,18,10,27,10,6,0,0,92,3,11,37,26,32,21,3,0,0,133,3,12,25,17,20,29,10,3,0,119,18,29,97,93,75,54,32,3,0,401,7,27,97,80,81,93,19,0,0,407,0,26,156,132,182,141,39,0,0,677,4,18,113,114,116,94,35,0,0,494,12,39,180,140,153,140,37,4,0,698,14,11,18,19,30,20,7,0,0,122,32,54,128,93,73,83,29,6,0,493,41,61,180,119,149,102,31,10,0,689
2013,12,12,37,39,26,35,22,3,0,183,0,5,15,23,28,24,5,0,0,105,25,28,145,89,116,95,22,0,0,528,3,14,62,84,114,135,15,0,0,439,57,119,228,162,137,132,34,0,0,864,8,4,27,16,19,25,6,0,0,110,54,39,70,68,48,48,16,0,0,339,73,37,27,20,16,21,0,0,0,190,5,13,28,45,69,71,16,0,0,243,0,9,10,8,4,3,0,0,0,45,0,3,9,4,9,4,4,0,0,35,0,3,9,8,9,10,3,0,0,41,6,3,30,20,22,23,9,0,0,111,3,10,29,23,29,14,7,0,0,117,5,9,53,54,45,53,4,0,0,217,5,15,30,28,25,34,15,0,0,151,7,16,47,41,39,54,24,0,0,233,3,0,11,8,4,8,0,3,0,42,15,35,56,38,33,36,12,0,0,215,15,25,64,47,54,40,19,5,0,268
2014,11,17,35,21,23,27,16,8,0,168,0,0,0,3,4,3,0,0,0,10,14,37,69,119,170,163,14,4,0,594,0,0,13,13,14,17,0,0,0,58,21,39,60,52,64,55,16,0,0,311,0,9,7,13,17,21,5,0,0,75,45,25,27,15,20,21,5,0,0,165,49,15,15,16,6,16,13,0,0,129,8,8,42,47,48,78,25,0,0,254,0,0,4,0,3,3,0,0,0,10,0,0,0,0,3,5,0,0,0,5,0,0,3,6,11,5,0,0,0,26,3,0,10,9,9,7,3,0,0,46,0,4,3,6,11,15,6,0,0,50,0,5,25,31,29,30,0,0,0,121,0,4,16,20,27,17,14,0,0,93,0,7,33,23,23,24,6,0,0,118,3,0,6,5,6,4,3,0,0,26,0,17,13,18,17,12,13,0,0,99,7,13,19,16,23,14,12,0,0,116
2015,11,12,40,42,16,39,13,4,0,181,0,0,21,42,56,34,3,0,0,157,5,20,50,43,33,26,9,3,0,193,0,8,13,16,30,25,8,0,0,87,32,55,129,104,80,62,14,0,0,480,3,0,15,15,9,12,8,0,0,64,59,40,55,50,45,36,9,7,0,299,62,41,27,25,21,14,9,0,0,191,5,6,27,18,30,40,5,4,0,134,0,0,5,11,0,0,0,0,0,26,0,3,4,5,9,9,0,0,0,22,0,4,7,3,9,12,0,3,0,37,3,17,21,37,19,21,20,4,0,136,6,11,9,9,20,26,9,0,0,89,0,25,166,123,118,98,13,0,0,550,5,11,29,29,40,33,17,0,0,159,4,21,55,53,60,39,10,4,0,235,4,3,10,5,4,5,6,0,0,32,3,9,31,19,14,22,8,5,0,107,8,16,33,28,27,23,7,0,0,131
2016,14,56,173,204,183,146,62,21,0,856,0,4,4,11,9,8,0,0,0,32,48,137,340,353,361,307,69,3,0,1615,0,12,73,67,89,60,15,0,0,318,112,252,478,328,339,251,61,8,0,1825,16,31,77,73,87,85,19,0,0,390,169,146,206,186,148,133,41,10,0,1041,210,73,131,87,58,51,17,5,0,634,11,35,140,132,174,168,71,20,0,748,9,11,25,18,11,17,4,0,0,85,0,19,17,27,41,20,16,0,0,134,0,6,22,14,21,19,13,4,0,108,14,36,111,94,85,81,47,8,0,475,4,21,75,66,76,53,27,6,0,332,10,34,102,83,121,100,23,3,0,491,15,34,147,122,97,103,38,0,0,551,12,51,214,239,187,143,56,5,0,909,15,11,18,12,19,19,0,4,0,104,24,65,125,96,112,99,37,4,0,570,35,58,160,145,127,82,24,4,5,648
2017,10,27,88,70,47,55,32,15,3,348,0,0,0,4,3,5,0,0,0,10,11,36,85,77,46,47,14,0,0,313,0,4,6,8,4,7,6,0,0,47,30,67,116,75,54,49,14,0,0,400,3,15,21,34,29,28,6,0,0,132,41,32,44,24,30,44,11,0,0,226,41,16,26,26,11,11,3,0,0,132,3,4,31,27,34,46,11,0,0,163,0,5,5,9,5,3,0,0,0,20,0,0,7,9,8,0,0,0,0,31,0,0,4,0,6,6,0,0,0,19,0,8,15,20,8,13,11,0,0,83,0,8,12,8,7,16,0,3,0,57,0,5,37,21,21,28,6,0,0,110,0,0,34,22,23,36,8,4,0,133,6,11,34,27,33,28,13,0,0,141,0,4,9,10,6,3,0,0,0,28,9,14,30,23,17,19,9,0,0,116,9,16,40,36,28,19,7,0,0,160
2018,12,26,49,47,49,37,25,6,0,246,0,5,41,38,53,43,4,0,0,190,17,60,238,206,239,227,36,0,0,1037,0,33,128,204,201,198,22,8,0,799,76,159,402,291,252,196,60,5,0,1443,7,16,57,59,59,30,9,0,0,230,155,110,185,142,100,81,39,3,0,818,219,72,101,63,53,31,19,4,0,563,8,25,79,83,117,105,38,4,0,455,8,39,62,26,22,13,5,0,0,176,0,0,24,21,31,16,7,0,0,97,0,5,21,21,14,21,16,0,0,102,5,23,95,89,63,47,22,4,0,346,5,15,57,56,51,29,13,0,0,224,5,34,159,135,120,108,29,5,0,593,6,26,67,72,57,51,14,0,0,296,0,54,143,152,126,110,36,4,0,639,19,13,8,11,5,19,0,0,0,73,10,48,94,72,59,44,13,3,0,340,23,39,94,79,113,72,17,7,0,439
2019,4,17,21,28,18,26,14,10,0,143,0,0,3,4,4,3,0,0,0,16,21,53,110,153,161,112,32,0,0,635,4,0,9,14,14,13,0,0,0,45,47,92,183,129,115,90,30,0,0,676,7,7,11,28,28,21,4,4,0,116,71,27,68,67,64,55,22,5,0,384,122,40,62,49,25,23,6,0,0,325,0,5,39,42,46,103,38,3,0,275,0,4,3,10,11,10,0,0,0,36,0,6,13,21,17,4,5,0,0,62,0,0,3,6,7,3,0,0,0,35,0,4,25,24,31,23,11,4,0,140,8,13,33,30,38,22,6,0,0,158,3,0,48,56,79,57,8,0,0,266,5,9,38,52,42,40,16,0,0,196,0,23,107,88,73,79,21,4,0,396,6,3,9,12,12,3,3,0,0,54,14,16,36,39,35,30,15,0,0,186,19,23,38,28,58,43,17,0,0,230
