SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
2000,10,7,5,3,20070,20096,275,27,10,6,15627,15950,9126,489,414,29,24296,34352,20374,1556,2167,91,13475,37663,25664,2565,5345,329,12228,46126,33461,2918,8938,1117,9382,55812,35489,2644,8778,2495,4725,54129,18373,905,3233,3241,1456,27203,3985,136,444,2611,361,7533,146754,11239,29338,9932,101611,298872,14,4,4,14,18421,18448,457,41,8,7,13453,13966,11792,807,697,73,21206,34580,22407,1978,2665,241,11908,39196,27454,2666,6702,822,9745,47378,35063,2704,9966,2729,6485,56946,32294,1729,8295,6133,2783,51245,13436,474,2828,8933,854,26527,1987,77,505,8058,251,10876,144902,10475,31674,27011,85104,299168,20,9,11,12,38489,38547,732,69,16,18,29080,29910,20915,1293,1117,101,45506,68929,42783,3533,4833,332,25382,76856,53115,5230,12038,1150,21969,93509,68525,5624,18902,3852,15868,112766,67778,4373,17076,8631,7507,105370,31814,1377,6061,12179,2306,53737,5972,209,951,10668,608,18413,291656,21716,61014,36943,186717,598038
2001,0,0,0,0,696,696,5,0,0,0,674,684,557,33,23,0,1123,1735,1050,70,97,5,474,1692,903,82,196,5,323,1510,819,68,180,32,157,1260,804,47,159,63,54,1134,365,16,58,73,19,526,84,0,5,49,6,145,4581,316,714,223,3533,9369,0,0,0,0,689,690,25,0,0,0,671,697,707,56,24,3,1044,1830,1060,112,126,11,440,1750,950,118,247,24,288,1620,839,83,261,77,147,1407,748,44,220,192,39,1245,263,17,86,268,20,659,47,3,30,212,8,293,4633,441,996,781,3345,10187,0,0,0,0,1384,1388,31,4,0,0,1344,1376,1260,95,43,3,2167,3571,2108,180,225,13,917,3442,1853,203,438,30,613,3135,1651,153,441,103,310,2664,1552,89,380,251,100,2371,630,36,145,342,38,1187,127,4,31,255,15,431,9212,759,1707,1001,6877,19557
2002,0,0,0,0,442,442,6,0,0,0,399,404,216,16,12,0,617,865,356,32,44,0,304,738,440,56,99,6,224,826,545,48,165,11,148,916,657,48,149,46,88,993,479,18,56,84,46,674,128,4,7,80,3,226,2825,218,537,228,2269,6081,0,0,0,0,401,396,15,9,0,0,373,393,289,32,15,0,601,946,404,63,77,10,289,841,472,71,146,19,254,960,595,76,211,62,155,1091,634,44,215,177,50,1124,382,11,88,307,22,805,63,3,17,251,4,339,2843,306,775,827,2146,6900,0,0,0,0,843,842,12,9,0,0,770,795,509,47,35,0,1216,1807,758,89,127,13,589,1580,908,130,245,29,475,1787,1138,117,376,71,305,2010,1293,97,367,221,137,2117,854,24,144,391,65,1477,193,8,20,334,16,567,5666,530,1307,1060,4416,12979
2003,0,0,0,0,3440,3449,57,6,0,8,3445,3513,1875,114,93,6,5534,7627,3667,264,348,8,2250,6541,3607,401,787,39,1603,6439,3687,338,955,107,1040,6124,3595,239,802,232,473,5345,1998,82,336,399,152,2967,552,15,48,362,33,1015,19051,1460,3370,1165,17974,43024,7,0,0,0,3362,3367,135,15,6,0,3458,3611,2403,171,137,18,5043,7775,3993,429,584,45,2282,7337,3663,545,1190,126,1599,7125,3670,452,1517,344,910,6896,3442,287,1323,885,383,6325,1556,68,459,1425,157,3662,328,10,91,1341,69,1834,19195,1977,5308,4182,17270,47933,8,3,0,0,6804,6815,191,24,5,3,6901,7130,4287,283,232,20,10580,15403,7659,699,936,53,4533,13881,7271,951,1978,172,3199,13566,7350,791,2470,454,1952,13020,7046,524,2125,1120,860,11670,3554,149,788,1827,309,6629,882,23,142,1697,110,2851,38242,3444,8680,5352,35245,90958
2004,0,0,0,0,2980,2984,57,6,4,4,3123,3196,1788,128,85,10,4709,6723,3350,268,309,12,2039,5982,3259,340,688,40,1436,5766,3337,312,989,121,888,5649,3499,238,783,248,447,5212,2029,85,279,378,134,2909,612,8,51,365,39,1081,17933,1393,3193,1175,15798,39492,0,0,0,0,2995,2996,104,12,0,8,3162,3295,2336,202,142,17,4565,7259,3566,400,517,39,2080,6600,3251,411,1145,128,1431,6367,3543,406,1481,340,785,6563,3230,246,1217,839,350,5887,1632,65,418,1183,147,3449,329,15,96,1221,68,1728,18005,1765,5021,3779,15587,44151,6,0,0,3,5972,5980,165,21,6,9,6291,6489,4121,333,232,30,9271,13979,6915,674,823,45,4115,12582,6512,755,1837,170,2867,12136,6880,725,2474,463,1675,12212,6728,485,1996,1085,803,11096,3665,152,700,1561,279,6354,944,28,149,1589,106,2812,35935,3158,8219,4949,31383,83646
2005,0,0,0,0,260,260,12,0,0,0,195,202,153,3,5,0,446,615,325,32,29,0,329,713,317,57,97,10,265,746,388,48,137,5,189,771,457,45,168,30,121,819,296,14,76,38,34,457,83,0,10,53,21,169,2033,198,515,139,1859,4743,0,0,0,0,245,245,6,0,0,0,122,128,119,9,0,0,315,442,255,29,40,3,323,657,320,51,113,12,284,788,395,43,190,35,201,856,435,42,249,104,132,967,230,9,128,202,33,605,53,3,27,203,20,303,1814,179,760,565,1684,4999,0,0,0,0,510,510,19,0,0,0,320,334,274,9,5,3,760,1057,579,59,69,3,660,1365,643,108,209,20,551,1533,784,89,328,41,389,1631,895,81,415,133,252,1779,521,21,208,241,65,1064,139,6,37,254,38,472,3851,376,1272,702,3544,9742
2006,0,0,0,0,359,358,3,0,0,0,351,356,198,5,10,3,641,852,386,21,42,3,262,714,370,32,94,0,225,727,399,51,122,23,145,736,458,36,100,29,75,708,336,11,41,72,34,492,109,0,0,58,10,173,2259,161,416,180,2099,5120,0,0,0,0,343,347,3,0,0,0,322,326,241,21,13,0,525,799,387,30,58,3,216,698,366,50,149,7,187,767,412,49,197,51,104,819,493,38,120,123,57,826,250,9,53,221,28,561,56,0,15,242,10,327,2206,204,614,655,1785,5461,3,0,0,0,705,704,9,0,0,0,666,677,433,24,25,7,1163,1657,775,54,99,6,480,1409,739,86,248,12,413,1489,821,98,315,73,246,1553,953,73,222,153,130,1536,584,21,94,288,60,1056,164,4,15,292,16,502,4471,369,1027,831,3885,10580
2007,0,0,0,0,679,679,5,0,0,0,500,510,299,18,8,0,811,1136,648,43,55,0,322,1066,754,90,166,6,303,1314,920,66,236,23,209,1446,1041,57,256,94,90,1532,672,21,92,128,28,949,152,4,19,107,4,290,4499,293,826,358,2946,8928,0,0,0,0,609,608,14,3,0,0,523,542,405,36,24,8,747,1214,705,71,99,10,358,1240,842,105,207,16,279,1449,1008,71,287,98,170,1644,983,80,256,249,63,1634,534,10,120,343,25,1034,87,9,21,345,10,466,4570,388,1017,1070,2785,9829,0,0,0,0,1288,1284,18,7,3,0,1025,1051,708,49,32,5,1553,2351,1350,108,152,11,681,2308,1600,189,373,23,583,2763,1920,140,519,120,379,3085,2027,143,506,340,153,3166,1209,41,213,465,59,1985,236,9,39,451,20,753,9071,683,1843,1424,5737,18753
2008,12,7,0,0,8327,8352,131,6,4,3,9046,9198,5432,219,208,11,14219,20094,10920,644,953,52,5693,18266,10365,903,1951,101,3869,17197,10158,815,2349,269,2275,15871,10410,506,1941,621,1020,14489,5731,171,713,924,279,7821,1539,46,129,919,94,2727,54700,3320,8253,2899,44838,114008,7,3,3,0,7944,7959,250,23,3,3,8592,8867,6817,392,317,15,12541,20083,11412,935,1386,132,5698,19555,10544,1190,2835,324,3625,18523,10345,947,3708,884,2024,17905,9834,538,2976,2126,887,16358,4485,156,1201,3315,298,9450,810,28,225,3230,109,4403,54506,4206,12657,10027,41717,123112,21,10,3,5,16273,16313,385,27,10,7,17641,18066,12250,616,529,30,26759,40178,22330,1576,2340,178,11383,37815,20913,2096,4791,423,7498,35719,20503,1763,6057,1150,4301,33780,20234,1040,4919,2746,1907,30849,10216,322,1908,4237,581,17271,2353,78,348,4153,197,7134,109202,7530,20912,12927,86550,237121
2009,0,0,0,0,835,835,3,0,0,0,524,522,253,10,12,0,562,837,1050,36,47,0,285,1423,1172,60,145,3,222,1603,1098,60,169,23,128,1476,843,36,111,44,73,1113,448,13,49,54,18,587,71,0,10,43,3,127,4946,223,542,173,2649,8530,0,0,0,0,711,711,6,0,0,0,441,448,345,17,22,5,507,887,1169,62,83,3,313,1638,1231,83,222,29,211,1776,1037,55,219,49,113,1475,818,28,172,137,51,1210,310,9,46,194,20,581,36,0,14,136,3,192,4950,260,787,550,2367,8914,0,0,0,0,1544,1544,9,5,0,0,961,970,599,24,27,5,1067,1727,2219,99,137,5,601,3066,2402,141,368,27,434,3378,2133,116,389,73,238,2951,1661,67,286,184,122,2322,763,30,99,248,39,1172,112,3,20,181,3,319,9897,481,1330,725,5009,17437
