SUA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
2000,8942,78824,102566,44621,31637,266583,5150,271738
2001,328,2707,3432,1364,946,8775,113,8888
2002,392,2304,2241,764,436,6145,136,6280
2003,2657,16577,16346,5103,2742,43429,565,43993
2004,2201,14438,15071,5035,2762,39505,514,40027
2005,302,2029,1574,467,285,4662,75,4737
2006,389,1881,1796,611,334,5013,115,5127
2007,485,3035,3323,1146,608,8598,173,8772
2008,5481,38126,44334,12953,7076,107966,1344,109315
2009,117,1613,3318,1380,1004,7432,57,7487
2010,470,2481,2580,896,410,6838,113,6953
2011,149839,646218,635953,189500,102463,1723976,22627,1746604
2012,1218,6626,7351,2705,1520,19419,504,19921
2013,774,3183,2833,1262,724,8774,218,8993
2014,258,1643,1715,609,290,4511,81,4596
2015,424,2415,2278,629,314,6060,97,6156
2016,1086,6837,7196,2601,1438,19163,402,19573
2017,319,1495,1667,528,253,4253,94,4348
2018,1222,6510,6135,1915,1013,16801,331,17127
2019,551,3113,2958,829,437,7877,264,8146
2020,572,5050,6269,2300,1474,15669,195,15861
2021,777,5153,5421,1679,886,13906,202,14111
