SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
2000,2179,2861,5041,1097,1247,2343,981,2989,3965,1132,6248,7380,4163,17653,21813,4108,9654,13762,15095,6366,21469,12874,7659,20536,14595,7167,21756,16431,4641,21075,11104,3702,14798,12292,2538,14834,23550,3483,27032,16294,356,16649,11740,753,12486,6923,121,7039,16370,1481,17855,13240,733,13970,3675,4238,7912,187845,83888,271738
2001,70,87,150,23,26,47,25,50,79,27,140,162,107,369,481,116,247,363,337,148,484,324,179,500,396,196,589,483,181,662,376,148,526,398,94,488,970,156,1128,719,12,730,621,27,647,398,0,394,851,33,888,362,25,384,92,80,173,6698,2190,8888
2002,46,61,105,16,20,39,26,81,104,32,161,192,72,461,533,96,303,409,395,187,587,329,201,527,360,181,542,422,121,543,278,79,356,277,68,346,513,67,582,340,15,355,220,19,241,112,5,114,216,38,253,239,28,266,78,117,191,4070,2214,6280
2003,211,386,604,89,153,243,96,430,522,151,970,1119,495,2656,3150,689,1790,2478,1988,1106,3092,1836,1420,3255,2181,1475,3655,2550,1033,3586,1854,844,2696,1907,624,2533,3766,833,4602,2774,138,2915,2182,188,2366,1283,45,1325,2928,266,3198,1587,212,1800,343,507,856,28905,15089,43993
2004,166,339,503,95,151,247,99,384,482,144,877,1018,468,2280,2749,597,1575,2172,1842,1040,2883,1764,1251,3016,2034,1274,3307,2311,904,3215,1674,734,2411,1730,580,2312,3732,743,4479,2660,139,2799,2078,139,2220,1169,42,1206,2312,204,2514,1479,202,1677,337,473,814,26704,13322,40027
2005,29,47,70,15,37,46,13,60,79,15,150,163,59,415,476,73,231,300,226,155,382,205,184,389,240,140,377,284,84,365,193,75,271,178,54,233,349,88,436,261,6,270,176,8,190,113,4,113,227,25,247,188,17,209,41,73,112,2892,1850,4737
2006,36,62,97,11,34,42,13,74,92,25,133,163,59,402,463,80,213,298,244,149,390,211,211,423,247,186,428,305,114,419,220,65,284,227,60,295,471,81,554,285,16,300,179,20,200,106,4,109,199,30,230,184,26,208,57,79,134,3169,1959,5127
2007,73,81,154,36,37,74,31,86,118,41,199,239,128,542,671,133,321,452,533,196,730,398,241,642,447,238,682,532,144,677,333,139,479,385,69,454,782,127,910,520,13,541,401,30,430,261,5,269,503,41,539,418,42,459,101,163,267,6065,2711,8772
2008,660,954,1614,311,352,665,306,943,1250,322,2005,2324,1212,5353,6567,1455,3799,5253,4336,2399,6732,4090,2846,6931,4963,2947,7913,5715,2281,7999,4161,2041,6209,4282,1525,5804,9888,2408,12295,7798,416,8213,6611,555,7173,4116,192,4309,10368,864,11232,4217,582,4802,885,1160,2044,75691,33623,109315
2009,49,68,116,34,13,53,22,57,74,13,76,90,71,204,271,73,145,213,187,97,289,210,112,324,299,117,420,340,86,428,298,86,382,313,65,376,662,121,786,602,11,616,597,29,628,444,4,443,1424,54,1480,394,7,405,67,35,104,6106,1385,7487
2010,27,60,83,16,30,46,18,89,107,24,188,215,103,459,560,129,272,398,296,198,489,293,234,526,351,246,600,422,149,567,262,140,403,304,73,373,636,123,756,462,18,475,302,29,336,165,3,171,339,43,378,258,29,283,65,112,182,4469,2487,6953
2011,16405,21582,37984,5480,6351,11832,6234,14337,20572,6403,27661,34066,18197,62262,80452,19906,40019,59924,56366,30822,87188,54663,39420,94080,68824,45457,114283,82660,39182,121847,65879,35476,101352,69680,28404,98087,157569,49711,207282,125249,7673,132914,105741,13446,119187,71751,3664,75417,227130,21413,248550,64736,10027,74762,13541,13284,26828,1236408,510195,1746604
2012,151,215,369,52,76,133,69,220,287,104,490,591,307,1121,1421,321,734,1050,1089,443,1530,849,596,1444,1071,578,1645,1164,363,1532,840,292,1136,890,219,1110,1791,296,2091,1222,54,1278,869,65,934,515,14,533,1017,97,1112,987,65,1055,289,380,667,13604,6319,19921
2013,57,106,161,27,46,81,33,151,181,42,351,393,157,786,943,170,395,565,509,227,739,463,291,752,427,277,706,489,171,660,336,112,452,333,88,423,679,115,797,471,12,481,338,25,364,162,3,166,401,39,444,379,29,405,108,190,295,5576,3415,8993
2014,30,49,81,24,15,36,21,73,90,27,146,168,67,321,385,90,187,280,276,108,382,243,151,399,243,124,366,258,102,361,181,68,244,185,49,232,366,87,455,259,7,265,179,11,191,95,0,97,176,17,195,220,20,237,59,79,134,2991,1601,4596
2015,42,65,114,12,28,43,26,66,85,20,154,171,97,404,498,88,275,365,285,182,462,255,205,462,323,168,495,349,130,481,237,124,358,257,84,341,494,108,600,313,7,324,285,30,317,163,4,164,384,47,430,263,22,290,57,84,142,3965,2188,6156
2016,162,167,331,56,74,131,50,227,276,88,442,528,280,1054,1332,333,722,1049,997,472,1472,904,585,1488,1002,586,1590,1170,416,1583,827,346,1168,934,216,1154,1784,295,2079,1252,62,1310,853,76,923,502,13,512,1084,136,1217,777,78,860,250,311,551,13308,6267,19573
2017,28,34,63,11,11,22,6,44,56,23,120,139,55,269,326,64,169,235,203,122,329,192,150,347,204,127,332,260,87,349,197,72,271,201,52,253,436,63,498,302,20,323,175,18,190,108,3,115,214,23,235,148,17,163,41,72,115,2869,1479,4348
2018,134,207,346,39,64,106,66,229,294,84,502,577,252,1201,1452,298,708,1010,876,410,1287,827,511,1333,804,485,1288,906,368,1270,631,297,928,691,227,914,1315,279,1593,991,41,1036,760,84,846,403,16,425,1026,118,1138,721,56,775,189,315,508,11002,6121,17127
2019,56,80,127,12,35,52,20,104,120,27,230,260,98,623,727,124,392,519,425,225,649,366,318,681,419,252,673,455,154,614,318,146,460,362,76,440,729,117,845,468,15,479,330,28,361,172,11,178,364,40,405,305,23,332,81,148,233,5136,3012,8146
2020,124,145,270,53,48,108,56,146,200,49,265,313,208,762,971,229,573,804,792,361,1156,729,404,1135,818,374,1197,905,277,1183,715,225,943,800,190,992,1639,229,1869,1122,37,1154,852,46,901,429,7,432,1098,65,1165,697,32,731,176,178,356,11500,4364,15861
