SUA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2000,350,282,971,1168,1702,3496,7177,8851,4954,28961,48,84,250,237,316,389,362,405,211,2309,2840,2441,5925,6875,7674,9075,9255,6854,3560,54501,15824,29860,68892,76818,93460,112723,105344,53707,18394,575022
2001,4,12,29,32,46,90,210,231,138,802,4,0,6,7,19,15,24,15,10,88,56,50,147,121,115,116,144,109,39,900,550,1379,3564,3440,3133,2659,2370,1185,431,18714
2002,10,14,32,24,40,88,165,255,111,743,0,5,4,4,4,7,7,8,3,48,50,59,122,124,129,158,168,180,154,1151,378,795,1808,1574,1787,2010,2116,1477,567,12516
2003,69,92,173,185,230,397,897,1073,736,3851,4,21,55,36,66,51,54,30,26,349,326,407,830,654,687,652,746,725,528,5551,2748,7119,15394,13875,13560,13013,11664,6629,2848,86858
2004,61,57,222,255,275,427,944,1104,704,4044,9,31,108,111,133,117,83,36,24,658,289,321,796,656,669,676,696,737,610,5463,2488,6476,13965,12567,12135,12207,11093,6351,2806,80095
2005,3,0,12,21,24,37,82,94,56,329,0,0,0,0,3,5,4,0,3,17,32,23,76,82,115,89,149,156,194,909,175,333,1057,1365,1533,1631,1779,1059,472,9413
2006,5,7,27,37,33,67,156,257,190,789,0,0,25,14,21,24,17,6,7,121,17,25,100,70,73,73,127,116,59,659,275,671,1650,1409,1489,1551,1535,1056,502,10140
2007,15,10,32,37,51,114,262,357,165,1053,0,4,11,14,6,16,12,12,6,78,62,62,159,127,168,181,228,243,194,1409,491,1050,2351,2302,2763,3087,3166,1985,753,17958
2008,128,120,360,448,585,968,2120,2716,1775,9226,19,56,194,243,252,229,217,220,154,1580,670,980,2028,1771,1625,1584,1900,1706,1172,13439,6446,18010,40163,37801,35703,33761,30831,17266,7133,227115
2009,7,8,8,8,22,36,117,137,77,413,0,3,4,0,0,0,0,4,0,17,71,47,61,122,145,126,132,91,84,881,509,971,1725,3066,3378,2951,2322,1172,319,16397
2010,10,12,43,37,41,74,154,256,218,835,0,0,7,8,10,13,6,6,0,56,64,74,137,85,92,119,131,134,85,921,372,975,2252,1913,1891,2140,1858,1245,589,13239
2011,1222,1683,6733,9764,12352,19321,36323,45544,25967,158906,309,1403,6231,7226,8348,10221,10104,9612,5920,59378,10407,16224,43679,34267,26730,23043,22533,20561,14879,212318,101526,322909,777280,721774,614404,515772,393374,229321,98292,3774658
2012,43,36,133,155,205,377,709,808,471,2926,4,37,98,87,83,96,75,77,43,615,271,248,671,598,616,566,581,446,283,4273,1395,3000,7168,6261,6681,6764,5802,3358,1391,41814
2013,23,12,66,63,89,152,304,326,206,1231,4,4,8,10,16,20,27,23,13,126,76,91,208,195,223,256,293,194,104,1650,573,1173,2704,2387,2689,3139,2888,1514,602,17665
2014,7,4,24,28,38,76,149,147,95,570,0,0,6,8,8,6,4,3,0,40,41,36,76,86,82,105,117,113,53,704,279,534,1078,1204,1467,1753,1619,812,346,9102
2015,12,11,15,32,41,71,143,201,109,629,0,0,7,11,14,17,8,5,6,63,54,55,130,126,132,103,131,113,111,951,364,808,1869,1781,1900,1899,1800,1098,465,11979
2016,26,32,176,246,217,308,612,676,383,2679,3,24,111,158,181,129,88,90,44,825,209,253,599,507,460,497,502,493,368,3885,1285,3150,7288,6530,6408,6284,5441,3378,1406,41174
2017,5,6,30,32,30,56,104,154,151,559,0,8,20,18,36,19,27,8,10,151,37,48,118,82,80,85,96,99,70,724,229,685,1641,1330,1133,1320,1116,809,417,8697
2018,41,22,102,107,141,267,507,601,369,2142,0,9,28,40,36,35,35,39,27,253,166,203,463,434,395,440,423,421,369,3310,1102,2432,5754,5088,5131,5582,4899,2878,1220,34091
2019,12,9,27,37,55,84,190,309,197,925,0,0,5,12,13,13,12,16,9,86,60,57,136,111,139,139,195,224,154,1206,477,980,2275,2229,2383,2478,2399,1714,798,15735
2020,30,19,66,64,91,168,339,518,334,1635,0,9,29,17,22,30,19,18,10,154,100,98,324,299,302,294,313,292,113,2143,903,2213,5681,4928,5045,5318,4952,2949,1041,33032
2021,18,21,50,60,66,114,338,484,295,1454,0,6,31,31,15,25,13,5,3,130,128,100,259,287,240,231,273,274,204,2006,875,1849,4538,4282,4484,4621,4121,2376,1073,28223
