SUA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
2000,0,11,10,20,25,22,14,0,0,107,5,36,50,211,184,133,136,50,14,817,0,12,21,159,39,41,44,28,5,336,7,3,7,163,0,4,0,3,0,195,7,68,83,175,30,11,8,4,0,384,0,3,0,33,34,38,13,13,0,132,13,57,52,145,113,129,177,58,6,761,0,19,16,164,90,62,32,4,0,399,0,6,4,28,45,71,90,51,18,322,0,0,6,36,33,29,22,8,0,138,15,86,139,807,483,668,752,525,165,3643,1047,3006,2645,6326,4250,5096,4747,2778,971,30865,17570,43298,36044,72016,46126,55812,54129,27203,7533,359738,0,0,6,7,0,0,0,0,0,12,15636,36598,28570,58821,38343,44758,38773,19101,7850,288448,0,0,6,31,3,0,3,0,0,45,0,0,0,12,6,17,7,0,5,50,0,5,3,50,13,5,3,0,0,85,5,16,11,76,24,15,9,3,0,148,3,19,18,174,77,119,66,23,6,505
2001,0,12,0,3,3,0,0,0,0,22,0,3,0,14,11,0,4,0,0,37,0,0,4,24,5,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,0,12,4,5,3,0,0,26,0,0,0,8,3,0,5,0,0,15,0,0,0,4,4,0,7,0,3,18,0,0,4,8,0,0,0,0,0,21,3,5,6,52,42,23,33,27,9,208,33,66,47,129,73,48,62,36,7,491,846,1849,1380,3430,1510,1260,1134,526,145,12067,0,0,0,0,0,0,0,0,0,0,760,1528,1235,2780,1297,1041,849,442,200,10132,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,3,4,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,3,0,0,0,13
2002,0,0,0,3,0,0,0,0,0,6,0,3,0,8,8,0,4,0,0,28,0,0,0,9,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,12,0,0,3,13,5,3,4,0,0,28,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,21,5,12,11,11,5,79,29,59,52,115,63,78,71,58,39,555,463,906,845,1603,826,916,993,674,226,7449,0,0,0,0,0,0,0,0,0,0,408,798,709,1404,784,851,883,576,237,6654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,12
2003,0,4,3,13,5,3,6,0,0,34,4,10,15,46,20,26,15,3,0,138,0,0,13,87,18,9,7,0,0,136,0,0,3,6,4,0,0,0,0,17,0,6,15,10,10,0,0,0,0,45,0,0,0,4,0,0,3,0,0,13,0,19,19,52,19,15,20,7,0,152,0,9,9,22,13,7,3,0,0,58,0,0,0,8,3,3,10,4,5,38,0,3,3,10,4,3,3,0,0,37,0,25,55,177,69,74,68,52,19,543,122,354,332,675,325,315,296,206,103,2734,3289,7499,6963,14169,6439,6124,5345,2967,1015,53805,0,0,0,0,0,0,0,0,0,3,3065,6420,6098,12091,5996,5798,5050,2803,1410,48726,0,3,3,28,4,0,3,0,0,46,0,0,0,0,0,3,0,0,0,10,0,5,0,20,5,0,0,0,0,30,0,4,4,3,3,0,0,0,0,14,0,5,9,31,13,10,8,0,0,77
2004,0,0,3,9,4,4,4,0,0,21,0,10,15,35,27,19,11,4,0,121,5,13,20,67,22,14,4,4,0,143,0,3,3,21,4,0,0,0,0,29,10,94,161,80,6,7,0,0,0,344,0,0,0,0,4,0,3,0,0,11,0,3,9,15,15,8,16,5,0,73,0,9,3,18,6,7,0,0,0,44,0,0,0,3,7,7,4,0,0,27,0,0,0,18,9,0,0,0,0,31,8,23,38,94,41,55,47,32,5,343,126,333,273,683,310,323,266,198,96,2608,3118,6860,6180,12704,5766,5649,5212,2909,1081,49462,0,5,12,19,5,0,0,0,0,39,2886,5757,5490,11130,5382,5567,5022,2807,1440,45474,0,4,3,20,0,4,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,3,0,10,4,0,0,0,0,19,0,5,0,27,11,0,5,4,0,53
2005,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,3,0,0,17,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,3,5,4,15,3,0,29,0,0,0,28,14,5,0,0,0,51,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,3,8,39,23,9,15,4,0,95,12,31,38,53,47,40,53,46,36,350,260,597,471,1324,746,771,819,457,169,5598,0,0,0,0,0,0,0,0,0,0,199,492,335,910,626,682,773,458,203,4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,11
2006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,18,0,0,5,60,0,0,0,0,0,70,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,29,16,0,11,3,3,71,22,32,26,82,42,38,44,40,12,334,356,777,716,1571,727,736,708,492,173,6256,0,0,0,8,0,0,0,0,0,6,319,632,616,1166,675,720,698,470,267,5554,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,6,0,0,17,0,0,0,32,0,0,0,0,0,37,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,5,0,0,0,12,0,0,0,3,0,0,0,3,0,10,0,0,0,0,3,0,0,0,0,0,4,3,3,9,4,5,10,11,0,50,28,64,62,138,88,97,128,85,36,733,611,1325,1191,2203,1314,1446,1532,949,290,10860,0,0,0,0,0,0,0,0,0,0,538,1207,1062,2004,1276,1386,1339,781,351,9950,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8
2008,0,16,19,35,27,25,21,3,6,152,0,35,51,170,105,86,58,17,3,528,6,14,76,261,41,21,26,14,4,464,0,5,0,24,5,3,0,0,0,35,3,70,112,91,6,8,4,0,0,291,0,5,0,27,24,23,12,10,0,97,9,43,46,127,79,55,54,27,0,432,0,10,49,122,58,53,22,10,0,326,0,5,6,26,32,26,31,23,3,157,0,0,15,64,19,12,9,0,0,130,17,154,183,701,288,373,411,318,127,2572,269,745,802,1740,834,768,753,538,220,6667,8681,18260,17551,38355,17197,15871,14489,7821,2727,140950,0,19,54,117,47,13,13,3,0,257,7850,15472,14359,29975,14658,13691,11610,6186,2879,116693,0,7,3,51,4,5,0,0,0,78,0,0,5,64,42,68,42,30,8,248,0,3,0,74,10,6,0,0,0,96,0,4,0,17,8,12,8,0,0,45,5,21,12,154,54,27,21,4,3,308
2009,0,5,0,0,3,0,0,0,0,11,0,0,0,10,11,8,4,0,0,43,0,4,0,4,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,0,8,0,0,0,6,4,0,0,0,0,8,3,6,6,11,4,7,6,0,4,44,0,0,0,4,0,0,0,0,0,7,0,3,0,3,4,0,3,0,0,13,0,0,0,0,3,0,0,0,0,4,3,5,0,31,32,30,23,22,8,148,22,67,53,90,68,77,56,32,6,471,641,1832,1361,2264,1603,1476,1113,587,127,11006,0,0,0,0,0,0,0,0,0,0,634,1553,1047,2117,1410,1115,865,399,140,9279,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,21
