SUA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
2000,11,131,17673,17804,216,1802,11340,13359,7863,8517,12306,28689,17775,6153,8156,32089,22829,6228,10995,40061,29224,5466,14030,48721,30556,3312,12956,46832,15895,937,6632,23464,3178,107,2455,5735,127546,32651,96551,256752,5,256,15896,16153,410,2730,8574,11713,10738,9220,10263,30222,20318,6364,8245,34930,25009,6505,11246,42767,31057,5125,14382,50571,28063,2559,14393,45016,11629,600,10871,23104,1461,64,5679,7201,128706,33423,99550,261673,17,378,33567,33958,633,4527,19920,25075,18605,17736,22569,58908,38097,12515,16403,67018,47842,12742,22240,82826,60282,10592,28409,99286,58625,5875,27353,91848,27523,1540,17504,46565,4636,170,8130,12937,256251,66071,196099,518427
2001,0,0,658,658,12,81,564,651,515,501,602,1620,993,283,328,1603,864,223,342,1425,763,111,306,1184,736,49,247,1037,331,13,120,461,69,5,38,108,4281,1258,3207,8746,0,5,636,636,17,146,474,638,658,530,545,1734,1017,268,398,1678,912,196,447,1550,783,118,419,1321,682,28,424,1132,239,10,328,571,31,0,148,174,4332,1297,3819,9443,0,5,1295,1297,24,223,1036,1284,1179,1027,1151,3357,2010,548,728,3286,1771,417,788,2977,1543,227,728,2505,1421,83,670,2170,566,24,446,1037,97,9,183,288,8614,2556,7027,18192
2002,0,8,402,412,3,71,277,353,200,246,335,783,321,128,208,662,398,108,252,752,474,83,252,810,588,63,234,888,413,14,139,572,103,3,68,174,2500,719,2176,5396,0,7,358,370,14,98,238,347,275,255,345,871,365,116,284,770,431,113,346,887,527,90,374,987,565,43,403,1016,328,10,371,710,48,0,186,237,2555,744,2897,6198,0,19,762,777,16,167,518,698,475,506,682,1657,690,246,493,1427,830,217,595,1639,1002,172,626,1800,1153,104,637,1899,738,28,513,1278,149,5,257,411,5056,1463,5073,11598
2003,0,26,3043,3068,55,572,2544,3166,1716,2014,3233,6962,3427,1006,1618,6045,3412,778,1756,5941,3403,543,1667,5613,3213,255,1287,4755,1790,106,704,2600,427,8,297,726,17438,5302,16147,38885,0,64,2868,2930,114,747,2340,3201,2239,2044,2901,7185,3780,970,2147,6894,3476,731,2487,6694,3387,476,2523,6382,3078,187,2462,5735,1383,59,1777,3214,224,5,985,1213,17684,5284,20488,43460,0,85,5909,6001,169,1317,4882,6369,3959,4060,6134,14144,7206,1971,3763,12943,6880,1518,4238,12634,6790,1020,4192,12001,6292,444,3756,10493,3172,165,2478,5814,650,12,1278,1942,35117,10587,36633,82343
2004,0,38,2751,2788,57,450,2357,2868,1622,1819,2659,6112,3104,888,1513,5503,3030,674,1600,5304,3045,478,1618,5146,3118,243,1263,4623,1809,86,661,2560,471,10,307,792,16258,4698,14737,35701,3,52,2642,2696,96,678,2149,2924,2171,1903,2621,6701,3367,867,1928,6161,3068,677,2231,5973,3240,398,2436,6069,2894,187,2232,5311,1428,47,1536,3004,248,8,844,1094,16507,4812,18619,39947,3,89,5395,5487,151,1133,4513,5794,3801,3730,5282,12813,6469,1756,3445,11670,6097,1354,3830,11281,6286,878,4055,11213,6016,431,3493,9937,3235,132,2199,5566,722,21,1150,1887,32770,9514,33360,75643
2005,0,5,232,239,6,11,133,155,74,115,180,368,241,142,137,521,264,145,197,605,338,104,236,683,404,80,240,722,259,28,109,401,66,10,47,115,1648,641,1515,3803,0,3,223,227,4,17,96,120,105,155,144,403,245,186,189,610,304,131,281,715,362,89,339,792,392,79,409,879,204,16,309,525,32,4,142,176,1647,674,2127,4446,0,6,456,464,9,32,227,272,183,271,319,772,485,326,319,1130,570,273,479,1324,707,195,576,1468,796,157,655,1604,463,45,419,929,90,8,189,289,3295,1316,3635,8253
2006,0,9,341,347,4,66,268,337,163,208,420,790,338,98,223,663,340,95,235,671,360,73,243,678,402,32,181,620,275,10,126,410,79,0,38,113,1968,584,2076,4627,0,6,317,324,3,80,216,309,222,214,305,739,366,89,190,642,348,105,274,726,375,60,307,746,420,33,279,730,213,0,270,483,36,0,174,215,1983,595,2329,4905,0,17,655,674,3,147,487,639,387,417,725,1530,709,188,411,1308,685,198,508,1394,744,133,553,1422,827,64,456,1350,481,11,391,886,112,4,215,328,3955,1174,4405,9532
2007,0,12,618,626,13,80,355,443,275,316,427,1015,593,155,225,974,708,184,294,1182,819,159,329,1312,879,107,326,1307,577,35,190,804,120,5,84,211,3978,1048,2848,7879,0,11,556,569,10,115,346,477,379,318,403,1103,656,183,312,1145,784,154,417,1355,878,151,443,1475,852,93,501,1441,452,17,408,885,63,8,228,291,4076,1065,3610,8750,0,17,1170,1196,19,194,706,923,652,638,827,2117,1247,343,536,2125,1486,345,708,2539,1701,314,772,2784,1731,200,826,2757,1032,54,601,1690,185,10,316,504,8054,2116,6459,16625
2008,4,33,7544,7577,105,941,6972,8022,4748,4982,8197,17932,10052,2808,3808,16671,9745,2019,4118,15887,9286,1306,3959,14543,9176,680,2952,12802,5059,238,1546,6845,1222,24,818,2059,49405,13021,39904,102328,0,81,6939,7020,210,1328,6216,7757,6350,5261,7060,18665,10804,2782,4802,18381,10005,1973,5515,17491,9468,1236,5919,16621,8617,526,5496,14638,3921,154,4226,8301,601,8,2291,2902,49978,13342,48459,111779,7,114,14481,14597,316,2270,13188,15774,11100,10241,15253,36593,20858,5586,8604,35057,19752,3991,9637,33378,18748,2542,9877,31170,17787,1206,8446,27442,8982,390,5771,15151,1821,33,3109,4962,99378,26366,88367,214105
2009,0,3,779,783,4,24,440,468,247,213,313,771,999,193,141,1338,1086,205,194,1491,1004,144,216,1367,766,62,179,1007,405,18,108,528,54,0,35,85,4561,864,2420,7840,0,4,664,671,7,33,359,404,331,223,269,830,1114,230,211,1555,1147,197,321,1672,965,121,296,1384,734,47,317,1095,279,10,235,523,25,0,93,114,4601,864,2762,8226,0,6,1444,1453,5,58,800,868,574,437,585,1603,2115,425,351,2894,2239,403,523,3164,1971,261,515,2744,1495,101,500,2097,685,24,340,1052,72,0,124,199,9161,1728,5180,16071
