SUA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
2000,92961,185234,1335,7426,7203,33653,1988,9090,36634,146408,47157,196577,3341,13935,5501,18080,14728,46409,23570,78424,70727,275001,324,1437,1714,5913,892,3201,9442,25317,12371,35870,835,2618,2024,4367,10166,21736,13017,28725,25393,64593,2196,4574,191276,529404
2001,2499,5027,55,288,287,1333,82,392,1801,7045,2229,9063,143,615,195,690,579,1880,917,3182,3148,12244,19,75,100,348,40,150,456,1259,614,1835,56,184,94,216,373,829,524,1228,1136,3059,87,176,6870,20513
2002,1868,3730,33,161,116,556,52,221,793,3117,986,4062,62,252,92,294,298,965,448,1513,1439,5576,10,43,52,190,21,77,313,893,389,1208,21,69,66,135,290,629,370,840,762,2042,61,125,4131,11475
2003,11632,23215,168,914,1179,5470,313,1442,6640,26031,8302,33856,459,1946,926,3111,1846,5855,3231,10905,11533,44763,93,422,420,1414,209,800,2341,6257,3066,8899,196,620,539,1151,1888,4082,2617,5849,5686,14748,445,926,29291,83661
2004,10779,21530,212,1195,1057,4935,276,1270,6045,23683,7585,31089,516,2204,798,2675,1770,5613,3078,10493,10670,41581,99,448,427,1475,201,729,2177,5859,2906,8510,163,533,424,910,1776,3851,2367,5293,5278,13805,453,938,27171,77852
2005,1399,2785,7,31,102,461,20,94,552,2090,690,2671,19,85,80,252,151,469,252,807,937,3481,7,20,38,113,12,35,226,544,279,717,17,43,73,142,190,401,272,585,553,1299,32,68,2928,7639
2006,1388,2773,33,180,130,601,23,119,648,2585,836,3480,66,280,78,252,235,755,382,1288,1216,4773,8,42,31,108,21,61,221,628,279,841,27,84,37,85,198,448,266,618,543,1461,63,132,3214,9144
2007,2947,5882,44,215,233,1087,50,231,1185,4684,1510,6217,123,494,179,586,403,1274,712,2358,2218,8574,11,50,73,283,39,153,375,999,501,1484,39,115,63,131,325,699,429,951,933,2433,68,143,6168,17032
2008,31009,62010,464,2595,3062,14131,670,3085,18684,72592,22883,92401,1524,6433,2734,9384,5460,17541,9724,33365,32605,125761,164,756,963,3209,390,1369,4457,11657,5981,16983,533,1693,1242,2768,4443,9777,6221,14242,12202,31222,1098,2280,76918,221270
2009,2345,4698,41,211,354,1656,51,247,1712,6865,2161,8980,194,793,326,1165,486,1547,1002,3506,3165,12484,16,51,69,236,16,57,234,622,335,965,39,114,85,193,225,487,348,796,682,1765,39,87,6230,19029
