SUA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,69314,57936,25355,7581,356178
2001,1531,1162,525,125,11615
2002,1158,1081,683,276,7269
2003,8016,6463,3161,1206,55681
2004,7461,5980,3087,1276,50332
2005,1158,1184,698,309,6468
2006,801,726,395,154,5386
2007,1706,1440,807,317,10359
2008,21731,17737,8675,3067,151309
2009,2133,1485,666,175,11693
2010,1181,893,458,189,7735
2011,326279,215484,106348,40510,2557875
2012,3656,2591,1253,464,23684
2013,1777,1425,659,225,10127
2014,930,785,336,116,5035
2015,1107,927,482,215,7379
2016,3398,2486,1354,597,23603
2017,677,493,293,131,4807
2018,3170,2359,1281,562,20232
2019,1470,1244,755,339,9549
2020,3300,2677,1354,370,20920
2021,2789,2096,1054,435,17493
