SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
2000,61,534,14,5508,92,28,25,89,30,137,19,90,46,362,2936,3844,137,60,86,106,28,66,20,52,45,894,760,2261,14380,5350,1075,12769,1660,7290,1233,7583,1592,35610,4416,92961
2001,0,9,0,181,0,0,0,0,0,0,0,0,3,6,65,86,7,0,3,0,0,0,0,4,0,22,18,52,579,97,24,336,54,244,26,166,21,860,94,2499
2002,0,9,0,60,0,0,0,0,0,0,0,4,0,11,61,81,0,0,0,0,0,4,0,0,0,22,19,48,223,84,23,240,24,122,21,156,32,861,98,1868
2003,8,63,3,736,9,0,3,13,3,6,4,5,3,29,319,386,13,0,0,3,0,0,0,0,0,97,56,180,2200,607,79,1726,195,928,136,870,159,4273,454,11632
2004,8,46,0,551,10,6,7,14,6,5,0,5,3,44,322,415,8,3,4,4,0,0,0,3,3,93,59,195,1915,514,76,1579,179,826,117,810,157,4152,447,10779
2005,0,14,0,79,0,0,0,0,0,0,0,3,0,5,44,53,0,0,0,0,0,0,0,0,0,12,4,21,154,104,10,175,15,119,17,135,16,593,55,1399
2006,0,5,0,42,0,0,0,0,0,5,0,0,0,12,40,53,0,0,4,4,0,0,0,4,0,12,9,35,246,61,12,177,29,94,15,118,26,554,62,1388
2007,0,18,3,136,5,3,0,0,0,3,0,0,0,16,81,120,0,0,0,0,0,0,0,4,0,30,25,67,413,162,33,377,50,192,30,218,48,1287,132,2947
2008,19,213,6,2627,20,4,14,24,15,21,7,20,11,106,796,1037,17,8,18,20,7,12,0,16,4,232,158,488,5725,1571,192,4434,606,2424,308,2381,429,11838,1106,31009
2009,0,21,0,336,5,0,0,0,0,0,0,3,0,14,52,80,3,0,0,0,0,0,0,0,0,19,5,35,447,115,16,312,55,221,27,184,37,871,67,2345
2010,0,16,0,122,0,0,0,0,0,0,0,0,0,3,48,54,0,0,0,0,0,0,0,4,0,19,14,44,367,88,15,294,24,141,18,145,32,739,72,1944
2011,261,3190,100,55725,403,89,166,245,243,408,120,282,173,1100,11142,14364,346,99,218,235,99,165,43,165,120,2472,2625,6589,111135,22187,2947,61874,8701,43478,4465,31253,5404,141005,15951,448387
2012,8,28,0,264,4,0,0,11,4,0,3,5,3,17,197,249,7,3,4,7,0,3,0,5,0,52,73,161,1138,267,54,738,96,471,55,385,86,2163,332,5786
2013,0,11,0,109,5,0,0,5,0,0,0,6,0,9,60,82,0,0,0,0,0,6,0,4,0,23,26,53,308,87,22,347,38,199,31,187,50,1002,112,2385
2014,0,9,0,61,4,0,0,0,0,3,0,5,0,9,50,66,0,0,0,0,0,0,0,0,0,15,14,38,199,82,17,177,19,144,8,125,21,577,73,1448
2015,9,3,0,118,3,0,0,0,0,5,0,3,0,5,59,69,0,0,0,0,0,0,0,0,0,18,17,33,244,66,18,226,25,178,16,137,30,684,79,1703
2016,3,24,0,288,6,0,3,5,0,10,0,3,6,19,136,187,3,3,0,0,3,3,0,0,0,49,56,126,966,219,37,758,78,473,53,374,74,2007,235,5273
2017,0,11,0,59,0,0,0,0,0,0,0,0,0,4,38,48,0,0,0,0,0,0,0,0,0,10,8,25,258,59,14,220,20,94,17,83,15,415,55,1252
2018,7,22,0,276,4,0,6,0,5,6,0,3,5,22,153,201,4,6,0,5,3,0,0,0,3,49,35,100,746,156,38,600,71,409,51,357,80,1832,218,4552
2019,0,8,0,92,4,0,0,4,0,0,0,0,0,13,65,89,3,0,0,0,0,0,0,0,0,29,21,55,378,112,9,343,39,137,29,161,25,915,96,2251
2020,3,19,0,294,9,0,0,3,0,3,4,5,0,19,135,179,7,0,7,4,0,0,0,3,4,51,28,102,906,215,47,698,78,392,51,362,87,1922,202,4959
2021,5,28,3,226,0,0,0,7,0,0,0,4,0,22,107,140,4,3,5,0,0,3,0,0,5,30,27,78,682,210,33,636,77,281,42,301,55,1528,162,4004
