SUA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
2000,114350,63688,63889,72430,88546,105309,97100,50452,17406,673181,185,181,119,137,196,304,362,226,95,1806,110,238,191,122,145,171,150,32,9,1159,3067,4217,3675,2923,3497,4435,3631,1438,526,27410,31,228,171,77,87,158,119,17,0,886,40,196,98,45,72,76,65,16,0,594,22,64,49,31,36,41,47,9,0,293,15,51,40,43,43,77,40,9,0,323,3,16,19,11,14,14,13,0,0,93,4,15,4,8,9,19,4,3,0,74,0,0,0,0,0,0,0,0,0,3,3293,5011,4248,3266,3900,4987,4076,1524,543,30850,3484,5184,4368,3407,4093,5291,4437,1748,640,32652,117827,68873,68256,75839,92640,110606,101538,52200,18047,705836
2001,5103,2662,3464,3380,3068,2567,2253,1126,421,24044,0,0,0,4,4,9,9,6,4,41,0,0,0,0,0,3,0,0,0,14,58,83,59,53,38,42,29,19,12,395,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,87,64,59,43,53,34,14,12,418,65,87,66,59,44,56,42,21,12,460,5164,2749,3531,3441,3113,2624,2296,1154,431,24503
2002,2652,1561,1749,1529,1725,1892,1978,1380,533,14998,0,6,7,0,4,3,7,5,0,41,0,0,0,0,0,0,0,3,0,13,56,99,53,69,59,101,60,31,27,555,5,0,5,0,6,8,3,0,0,28,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,63,97,64,71,68,118,67,38,26,607,63,107,68,71,71,119,72,47,34,647,2717,1674,1814,1597,1798,2014,2049,1421,567,15647
2003,20603,13343,14837,13485,13153,12429,10932,6300,2706,107788,16,19,14,12,16,25,38,30,18,189,5,16,18,10,7,13,9,0,3,74,374,702,523,368,347,303,277,159,115,3175,4,9,10,4,18,10,18,0,0,75,0,4,4,0,0,3,7,0,0,23,3,3,0,3,10,0,9,0,0,28,0,0,0,0,0,3,3,0,0,5,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,736,557,388,378,342,313,167,120,3394,404,754,574,403,397,364,351,192,135,3575,21005,14098,15408,13886,13551,12791,11283,6496,2839,111362
2004,19069,11946,13462,12233,11772,11674,10377,6068,2682,99271,12,9,11,15,9,20,30,28,13,139,3,25,13,8,9,10,14,16,4,101,295,609,529,338,334,327,216,129,110,2889,0,10,8,6,11,7,9,0,0,62,0,10,3,9,7,3,10,5,0,48,0,3,0,9,0,3,3,0,0,27,0,4,0,6,0,9,6,0,0,27,0,4,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,301,676,560,373,363,368,262,146,112,3165,315,687,569,387,375,385,286,178,123,3302,19381,12632,14030,12620,12149,12057,10665,6243,2803,102575
2005,1564,812,1008,1328,1469,1561,1698,1025,460,10927,4,0,5,0,4,5,0,6,0,26,0,0,0,0,0,4,0,0,0,12,29,40,56,39,34,40,39,19,15,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,54,39,35,49,44,26,17,339,32,45,57,45,43,54,43,31,16,361,1594,854,1065,1361,1514,1621,1740,1055,476,11292
2006,2131,1348,1596,1356,1427,1472,1411,963,475,12178,4,3,8,7,3,5,4,4,0,28,0,0,5,0,7,0,0,0,0,13,27,45,56,41,39,45,33,23,14,324,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,55,45,51,49,43,25,14,355,33,48,66,54,51,55,47,31,14,388,2161,1395,1657,1403,1476,1525,1464,995,492,12571
2007,3716,2209,2258,2221,2667,2912,2864,1837,719,21385,8,0,5,3,5,6,9,6,5,54,23,15,33,14,13,11,18,12,9,144,48,119,151,82,86,133,131,53,13,807,0,0,0,4,5,0,8,3,0,18,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,7,0,0,7,0,0,0,0,7,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,140,186,96,103,155,163,70,19,1007,80,140,188,105,106,154,179,80,26,1058,3799,2348,2440,2321,2769,3062,3039,1917,753,22442
2008,51505,32795,38718,36715,34731,32181,28508,16345,6826,278319,49,45,36,49,50,63,91,55,36,481,16,65,34,19,26,34,17,4,0,218,815,1437,1193,777,767,858,703,430,238,7215,15,24,15,21,24,27,23,0,0,152,4,13,0,10,8,11,5,5,0,61,8,12,5,10,7,5,0,4,0,46,0,4,7,4,0,6,10,0,0,38,3,9,3,0,3,0,5,0,0,25,0,9,0,0,0,5,3,0,0,18,0,0,0,0,0,0,0,0,0,0,869,1573,1265,836,839,940,767,458,234,7778,919,1622,1298,886,890,1006,858,514,268,8254,52425,34409,40015,37602,35627,33186,29363,16858,7093,286572
2009,4693,2409,1641,2986,3277,2824,2169,1113,305,21423,0,0,0,0,0,0,3,4,3,15,0,0,0,0,0,0,0,0,0,4,39,97,47,47,45,40,28,20,9,376,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,97,52,50,50,44,31,23,10,404,41,97,52,46,54,48,37,32,11,415,4740,2510,1694,3034,3334,2872,2208,1141,317,21837
