SUA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
2000,1907,11428,916,4420,1741,576,97,625,166,21855,1966,8746,201,3110,1121,338,60,376,131,16045,3967,2927,512,1442,7136,1702,164,987,220,19051,2019,4114,431,7856,2384,900,129,1146,242,19226,579,1265,278,437,582,325,45,238,60,3808,1033,220,1984,1527,1212,903,109,938,104,8028,5,6,0,15,4,7,0,28,0,69,279,349,82,239,278,80,28,92,41,1469,400,281,161,549,454,377,60,492,399,3178,14429,31614,5863,20470,16360,5859,954,6172,1482,103194,1151,1704,520,360,457,177,90,267,60,4775,629,946,373,153,297,125,99,235,44,2893,5763,2790,14459,883,1046,945,4066,3536,549,34037,3327,787,8335,374,359,332,1165,1860,291,16833,6983,1663,2293,598,860,656,1093,2340,228,16720,2471,13629,1143,5327,1844,644,209,808,206,26276,2890,11423,457,3538,1241,421,234,551,170,20931,7838,5267,1213,1971,8127,2629,768,1715,374,29903,3134,5761,797,9813,2701,1115,383,1591,346,25642,950,2046,645,635,707,490,160,522,87,6251
2001,18,324,34,147,61,22,6,11,4,637,41,442,3,171,51,15,0,4,3,728,144,126,28,74,340,90,12,40,11,861,62,173,17,339,153,27,9,22,8,821,20,49,16,16,32,17,5,3,3,151,20,9,81,44,57,34,7,22,3,282,0,0,0,0,0,0,0,0,0,0,4,14,7,10,14,4,0,0,0,48,9,6,4,20,19,15,0,9,25,95,367,1256,250,849,800,238,63,123,63,4005,30,69,26,18,23,12,4,9,0,200,39,110,37,24,28,12,16,13,6,278,185,130,603,45,59,44,186,111,21,1368,71,35,488,14,25,14,50,75,12,791,34,18,60,9,20,6,17,21,4,190,29,375,40,174,69,27,13,13,6,754,59,559,10,185,58,18,9,12,8,906,297,250,70,110,428,127,83,60,13,1445,104,223,37,435,183,40,27,40,15,1099,32,75,36,28,41,27,15,14,5,273
2002,17,263,22,116,46,18,3,16,11,505,18,181,5,71,17,12,0,8,0,307,60,57,11,39,171,42,0,20,4,397,26,92,12,198,36,17,4,24,10,419,3,20,8,10,12,0,6,0,6,59,12,0,39,54,40,25,0,28,0,204,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,0,17,0,5,4,3,12,7,0,12,12,58,170,651,106,509,377,131,18,123,33,2118,17,29,6,3,9,0,0,5,0,65,9,13,14,4,10,6,4,0,0,51,74,47,276,15,29,24,80,75,9,618,52,8,164,18,5,22,20,35,3,324,36,30,24,17,19,15,15,23,3,174,31,358,28,130,50,18,6,18,13,654,29,230,8,79,18,10,0,12,0,389,122,104,28,42,207,72,14,32,12,645,46,131,17,243,44,20,8,40,14,555,4,34,10,19,16,8,7,8,6,113
2003,177,2609,112,798,299,113,9,52,20,4189,199,1742,30,582,193,75,9,44,8,2889,580,683,86,321,1460,328,21,115,39,3630,294,1004,69,1459,504,197,23,148,40,3736,89,297,55,112,136,93,8,44,8,838,120,34,315,281,203,163,8,119,3,1253,0,4,0,0,4,3,0,4,0,20,28,68,14,41,61,23,5,12,6,260,18,33,24,53,72,34,5,37,41,326,1682,6842,888,3768,3139,1133,134,677,180,18449,121,367,102,82,100,43,17,35,12,880,181,492,155,44,126,55,63,64,11,1203,619,537,1812,141,178,158,447,390,45,4323,373,132,1508,52,56,65,135,223,36,2568,173,125,210,49,72,72,67,109,14,883,264,3479,180,1016,347,137,34,85,25,5553,350,2448,62,670,231,95,39,62,23,3995,1383,1442,270,478,1804,578,164,256,68,6432,442,1468,138,1935,615,261,94,245,57,5247,161,541,142,167,198,167,41,104,15,1535
2004,173,2815,124,821,282,116,21,65,20,4444,160,1459,23,579,195,60,4,57,13,2535,471,603,71,230,1214,263,29,133,19,3036,227,832,49,1415,398,173,28,177,35,3334,66,154,29,63,84,86,8,38,8,526,109,31,307,268,185,127,25,138,18,1200,0,0,4,3,0,0,3,3,0,12,26,53,5,26,44,18,3,12,6,196,19,37,14,56,40,35,10,44,59,318,1393,6289,805,3559,2628,962,164,796,179,16776,94,282,99,52,81,26,18,41,3,690,126,334,112,25,86,37,26,51,14,819,480,541,1792,133,166,140,460,444,52,4212,382,118,1283,62,72,67,170,233,25,2416,159,122,197,50,66,58,66,139,8,873,250,3662,172,1031,311,144,50,99,37,5751,257,2059,63,686,222,84,41,85,14,3510,1083,1194,196,366,1526,466,153,255,41,5277,365,1202,98,1886,472,228,79,268,59,4655,114,282,83,102,113,121,33,85,8,943
2005,23,212,13,65,23,15,0,8,4,362,27,173,7,48,23,5,0,5,0,286,46,49,5,21,69,20,0,9,6,210,54,180,11,101,48,10,5,20,5,430,21,96,17,28,15,20,5,8,7,209,13,0,22,12,11,7,0,10,0,85,0,0,0,0,0,0,0,0,0,0,15,17,0,3,13,6,0,0,0,55,3,5,4,7,6,0,0,0,3,26,221,804,90,302,222,80,8,77,32,1833,15,51,10,10,9,4,0,11,0,103,10,28,0,0,7,0,0,3,0,61,44,45,143,20,17,9,35,31,6,359,34,54,105,3,5,3,6,10,0,228,18,42,22,6,6,6,3,7,0,109,35,273,18,83,26,13,0,11,4,464,36,258,13,53,19,9,0,11,0,398,100,94,11,25,85,25,5,17,3,371,78,283,24,145,61,17,9,34,7,651,31,175,41,47,26,20,5,19,10,369
2006,20,139,16,92,19,12,0,17,4,316,16,141,0,52,16,11,0,8,0,246,50,39,5,20,118,28,0,43,4,312,17,44,4,269,28,16,3,51,5,442,5,12,8,8,9,10,0,8,0,48,15,3,61,39,14,20,4,29,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,17,10,8,8,7,8,3,0,11,8,51,138,412,112,503,222,116,7,193,26,1731,12,13,9,3,6,0,0,9,0,61,3,6,16,0,0,3,0,13,0,47,52,18,228,10,13,20,84,75,11,503,50,13,140,0,4,9,9,40,3,277,26,16,21,8,9,10,25,32,0,142,23,184,19,102,16,12,4,25,4,391,28,179,5,61,18,9,4,12,0,312,99,89,25,34,139,43,10,82,4,517,31,58,11,316,37,21,15,63,5,558,10,25,12,7,9,10,0,14,0,84
2007,40,440,18,150,65,28,4,15,5,767,30,339,5,114,37,14,0,13,0,550,114,89,14,60,234,59,7,17,10,609,54,116,17,296,82,27,5,38,4,639,15,27,4,10,9,11,0,0,0,75,31,4,108,68,50,32,3,35,3,337,0,0,0,0,0,0,0,0,0,4,0,8,0,11,11,5,0,3,0,35,6,4,3,11,15,10,0,13,7,72,311,1089,193,731,521,213,18,150,38,3270,18,36,7,9,8,6,4,9,0,104,12,18,6,5,7,3,0,9,0,70,168,94,480,21,25,38,106,109,10,1049,102,19,314,3,7,10,29,48,8,552,79,45,64,9,15,25,34,35,0,310,57,537,22,189,66,33,7,16,5,932,49,435,12,134,40,15,4,14,3,716,239,192,42,80,261,101,24,37,17,983,71,150,26,383,94,35,6,58,4,829,16,35,15,13,15,17,0,3,0,116
2008,610,6881,428,2061,855,286,56,187,77,11428,554,4364,72,1475,462,165,25,87,41,7246,1841,2063,249,815,3525,921,114,340,106,9974,852,2607,205,3805,1311,459,95,340,118,9784,373,994,182,303,378,293,40,95,29,2686,331,103,893,725,502,398,61,288,37,3336,0,3,0,7,5,5,0,4,0,30,111,193,31,128,156,50,9,56,16,752,80,122,46,178,156,90,15,77,177,944,5271,18768,2711,9968,8000,3023,527,1802,654,50717,460,1199,376,282,316,173,64,150,32,3051,442,1119,339,136,232,125,138,163,40,2750,1665,2282,4823,494,504,425,1268,1186,174,12822,1224,773,4684,266,306,230,435,858,127,8910,369,329,632,113,183,134,141,245,37,2182,900,8967,613,2667,969,352,145,285,98,15001,885,6020,177,1734,523,214,96,160,56,9869,4231,4210,752,1282,4430,1594,595,710,203,18011,1363,3757,450,5022,1602,637,274,608,182,13886,606,1653,410,464,473,450,147,245,53,4496
2009,43,457,20,112,64,15,0,13,9,737,60,476,9,104,49,16,0,4,5,726,180,183,13,61,294,48,6,9,6,811,68,237,16,179,114,30,7,15,4,667,31,63,15,26,33,15,3,4,0,187,26,7,61,38,53,23,5,14,3,224,0,0,0,0,0,0,0,0,0,0,10,22,5,7,16,6,0,5,0,69,3,10,0,10,16,7,0,0,14,71,484,1618,207,576,711,186,29,80,46,3926,60,112,29,17,24,9,5,11,0,273,47,86,19,7,14,3,0,5,0,183,249,256,550,40,58,41,104,67,19,1389,115,61,420,16,16,14,32,49,8,739,40,36,61,10,17,11,11,28,0,219,57,561,29,156,67,15,4,18,5,906,107,598,17,120,54,17,6,8,7,936,470,346,51,85,368,96,35,38,14,1504,104,350,30,269,132,44,12,27,12,984,43,106,32,43,41,27,12,14,3,310
