SUA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
2000,15502,2779,18413,100261,39145,3853,143262,401966,52819,598038
2001,398,28,431,4604,1325,133,6065,12583,919,19557
2002,405,160,567,2101,810,105,3018,8889,1074,12979
2003,2398,438,2851,18470,6067,697,25232,60502,5221,90958
2004,2379,410,2812,16745,5883,617,23239,55486,4912,83646
2005,274,196,472,1637,677,65,2375,6037,1328,9742
2006,435,58,502,1798,751,84,2635,7347,595,10580
2007,570,178,753,3245,1178,134,4556,12872,1335,18753
2008,6198,887,7134,48993,16096,1507,66599,156948,13582,237121
2009,247,69,319,4377,1183,142,5695,10898,847,17437
2010,519,59,589,2615,1001,135,3745,9261,815,13824
2011,86350,11162,98370,824956,201947,17778,1044676,2689267,211860,3945813
2012,1207,180,1391,7694,2674,318,10687,28987,3905,43582
2013,546,54,602,2918,1286,158,4367,12533,1421,18322
2014,309,31,346,1467,614,49,2128,6722,618,9468
2015,395,68,465,2344,828,92,3263,8391,839,12493
2016,1219,186,1406,8106,2458,256,10831,28828,3546,43207
2017,368,50,417,1659,621,66,2342,6036,661,9037
2018,984,231,1221,6323,2369,259,8951,23564,2936,35452
2019,675,111,795,2899,1219,103,4224,11228,1006,16453
2020,937,99,1045,7058,2380,310,9745,22729,2032,34506
2021,895,165,1073,5628,2149,225,7993,19657,1830,29490
