SUA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
2000,7992,16360,11408,9258,27677,40487,12309,35669,4372,165532,488,2461,2002,1210,1304,1962,488,2608,356,12879,22,44,37,27,37,68,24,58,4,326,416,1409,886,614,1362,1279,334,462,79,6852,57,76,113,81,187,271,40,74,3,898,189,977,622,374,635,780,138,272,46,4027,119,366,314,208,465,397,105,145,26,2144,1154,5066,3131,1717,2288,1338,376,643,238,15952,1626,5011,1750,741,1011,731,187,732,226,12017,165,649,591,279,476,488,133,260,30,3081,73,200,160,87,193,141,57,81,10,1007,214,274,487,303,663,562,120,241,26,2896,101,267,229,153,415,313,40,112,25,1655,339,1293,1244,828,1231,1149,321,616,60,7091,354,1560,781,368,607,333,87,167,95,4345,741,1056,1290,930,2143,1850,399,608,81,9094,1134,3470,3293,2207,3325,2234,1063,2137,180,19042,2915,6295,7858,6662,5116,4512,894,1549,439,36234,302,654,437,256,445,295,58,176,31,2651,478,1288,935,509,685,539,116,215,90,4855
2001,246,518,340,264,1258,1788,540,1171,141,6266,0,5,10,9,14,20,7,0,0,73,0,0,4,0,0,0,0,3,0,6,13,30,19,14,41,33,8,14,0,172,0,0,6,7,8,8,0,0,0,34,13,49,40,26,44,55,10,9,7,253,3,11,8,9,19,23,10,9,0,93,62,197,130,58,89,59,5,14,4,632,37,188,62,21,35,18,3,10,7,385,16,32,35,10,64,65,14,18,3,252,4,3,7,0,13,5,5,0,0,36,13,16,18,9,45,48,12,13,5,170,3,7,15,7,21,18,5,9,0,87,13,42,59,37,70,66,19,22,0,323,9,49,26,17,33,20,7,9,6,163,36,33,39,44,133,148,18,38,9,494,44,140,134,140,209,121,63,125,12,983,72,178,214,202,226,175,30,59,18,1176,17,28,12,6,15,12,0,5,0,92,21,56,50,22,43,23,0,7,0,221
2002,144,330,263,216,705,770,237,493,82,3233,6,18,15,13,14,8,4,11,3,89,0,0,0,0,0,0,0,0,0,3,8,21,40,23,53,27,13,4,7,201,0,4,5,0,5,5,0,0,0,15,0,21,11,6,10,15,4,0,0,73,0,12,4,15,16,10,0,0,0,57,22,135,79,34,63,31,9,8,10,390,24,103,37,14,27,14,3,13,6,240,0,3,13,3,8,3,0,4,0,37,3,5,0,0,0,4,0,5,0,13,4,10,3,10,5,5,0,0,0,39,5,4,10,5,16,6,0,3,0,54,3,27,23,18,19,12,3,7,0,119,5,28,32,14,25,5,3,4,0,115,12,17,14,21,58,34,8,11,3,186,20,57,86,77,77,39,28,41,4,439,54,152,187,165,159,136,16,40,14,918,0,14,4,0,11,0,0,0,0,29,7,28,28,20,22,15,4,8,0,120
2003,1100,2742,1958,1445,5574,6810,2081,4028,386,26116,13,54,27,14,20,21,4,15,5,170,5,6,4,3,7,11,3,11,0,49,54,201,118,78,213,178,56,63,5,976,3,9,13,12,35,37,7,17,0,140,21,122,115,59,119,98,17,21,0,576,9,45,40,16,61,56,12,9,0,249,207,1020,599,325,449,256,75,74,23,3023,249,998,334,117,194,100,17,61,18,2097,26,60,64,44,117,63,10,27,7,420,29,45,43,17,74,50,35,22,0,322,35,30,50,42,121,98,24,26,0,433,3,40,36,31,93,62,15,19,0,301,50,171,213,149,292,243,58,85,4,1259,54,236,158,72,123,55,7,18,13,748,114,140,201,156,499,330,94,112,11,1654,214,674,671,455,814,441,234,464,20,3980,560,1171,1573,1397,1422,1025,203,334,44,7717,49,145,79,41,72,58,19,32,0,498,78,216,173,92,137,84,22,25,14,850
2004,982,2489,1650,1403,5444,5984,1804,3676,348,23776,9,40,26,20,37,36,7,8,0,178,3,14,12,6,9,28,10,22,0,106,53,181,132,96,279,217,65,57,6,1079,13,7,25,28,33,52,4,10,0,166,9,113,86,62,140,99,12,30,0,554,9,36,30,29,58,29,3,9,4,208,223,926,554,261,442,205,40,60,28,2728,183,901,324,153,166,114,23,54,23,1936,20,52,50,23,61,34,7,25,7,289,15,41,27,15,48,20,10,13,0,181,56,70,134,75,310,149,44,52,4,895,3,26,18,11,102,41,8,18,0,236,52,170,149,102,268,160,43,69,0,1008,59,237,143,72,179,60,10,27,12,794,104,126,176,154,434,266,69,87,10,1426,154,510,510,346,658,330,179,319,16,3025,547,1053,1465,1395,1359,979,220,341,39,7400,36,115,73,34,58,27,6,9,0,352,75,223,181,78,127,64,18,34,3,811
2005,96,300,247,206,350,534,133,301,30,2209,0,3,0,0,3,0,5,0,0,18,0,0,0,0,0,0,0,0,0,4,9,24,24,7,26,34,7,0,0,146,0,0,0,3,0,5,0,0,0,5,0,10,4,0,0,4,0,0,0,41,0,4,4,0,0,0,0,0,0,14,20,102,43,6,23,13,4,13,4,229,16,62,28,12,11,7,0,11,0,152,0,7,10,0,0,11,0,0,0,35,0,10,8,13,3,7,0,3,0,46,4,7,4,3,10,3,0,0,0,27,0,6,4,3,0,5,0,3,0,27,7,29,32,16,24,21,4,3,0,140,8,27,7,7,7,0,0,0,0,52,11,15,32,26,46,32,7,16,0,191,22,93,62,42,41,36,21,37,3,367,31,132,156,118,78,68,15,26,8,625,8,18,20,14,11,5,0,11,0,82,7,19,19,10,9,3,5,7,0,77
2006,120,330,171,127,683,767,295,494,59,3057,4,26,7,0,18,26,0,8,0,96,0,0,0,0,0,0,0,0,0,0,25,34,33,22,127,80,13,11,0,361,3,0,0,0,0,3,0,0,0,13,0,13,4,11,9,3,0,0,0,48,7,0,7,4,3,8,6,4,0,31,28,138,69,35,50,26,10,9,7,372,28,111,40,13,15,8,3,5,4,238,4,3,0,3,3,4,4,3,0,28,0,0,10,10,6,0,0,3,0,30,3,5,8,3,4,6,0,0,0,28,5,0,4,0,9,7,4,0,0,27,3,11,17,6,22,19,3,11,0,103,7,24,34,9,17,9,0,4,0,110,11,23,23,15,32,26,0,11,0,131,17,51,65,59,45,35,12,35,0,321,54,124,156,131,130,73,17,30,10,723,4,12,5,0,9,3,0,0,0,31,3,33,11,10,19,5,4,4,4,91
2007,260,486,328,277,1053,1261,397,914,100,5083,3,13,9,0,10,13,6,11,0,66,0,0,0,0,0,0,0,0,0,0,15,54,31,32,63,43,11,20,0,269,0,0,0,0,3,8,0,3,0,20,6,26,32,12,24,25,3,11,0,139,0,7,13,3,9,8,0,0,0,55,60,158,154,79,97,54,13,17,3,638,70,235,101,37,57,28,6,31,12,578,0,13,16,12,8,14,4,6,4,73,3,3,5,0,3,3,0,0,0,19,5,12,14,9,38,13,0,4,0,97,5,9,11,4,19,9,0,5,0,62,4,28,27,28,32,30,3,18,0,186,20,38,33,9,32,7,7,9,0,150,16,29,26,21,82,49,12,7,0,233,42,107,76,69,97,86,58,59,3,589,101,190,296,256,264,208,32,66,0,1420,17,48,29,12,11,8,0,0,3,125,19,66,48,21,24,22,8,5,5,224
2008,2981,7867,5100,3791,14235,19209,5472,10784,1109,70550,20,126,77,40,66,54,10,47,9,443,3,3,6,6,5,8,3,8,0,45,93,507,319,167,459,448,88,151,26,2256,40,36,59,37,149,98,22,33,3,474,63,369,297,180,302,358,70,112,15,1780,68,119,141,90,242,201,56,58,5,976,678,2731,1601,753,1282,874,181,260,69,8429,644,2553,890,336,429,304,56,143,55,5418,96,173,191,93,210,194,55,79,16,1096,50,107,84,40,105,76,30,39,8,543,143,131,298,255,636,529,106,150,13,2253,34,117,94,86,270,182,29,64,11,893,182,655,636,421,872,775,180,317,22,4060,154,750,346,182,317,183,39,55,18,2031,346,434,593,407,1177,923,241,316,28,4481,531,1740,1667,1003,1970,1231,571,975,65,9757,1300,3243,4100,3331,3358,2281,506,721,127,18965,154,328,169,91,146,98,28,62,6,1076,258,667,515,238,348,248,54,94,32,2451
2009,254,551,315,277,994,1583,502,1147,104,5725,4,10,5,0,3,15,6,13,4,60,0,0,0,0,0,0,0,0,0,4,12,62,21,24,29,32,14,13,0,206,0,0,0,4,12,12,0,0,0,36,7,46,34,22,33,54,11,16,0,225,0,13,4,9,22,13,6,5,4,74,35,204,84,50,37,46,11,14,8,489,31,155,30,7,20,17,0,0,5,276,19,28,23,24,44,46,10,11,8,206,0,5,9,7,10,9,0,8,0,61,10,19,38,21,47,61,13,23,0,223,4,13,11,13,14,10,5,3,0,70,18,68,86,46,76,58,17,43,5,419,4,49,14,15,25,12,4,6,4,132,42,52,61,47,92,102,31,37,0,467,50,182,141,93,161,118,68,115,14,939,94,204,251,185,146,145,31,42,11,1108,9,31,12,6,14,16,0,5,0,94,23,51,44,14,24,17,0,21,4,193
