SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
2000,359738,356315,716050,17570,16730,34298,43298,40416,83716,20096,18448,38547,15950,13966,29910,34352,34580,68929,37663,39196,76856,46126,47378,93509,55812,56946,112766,54129,51245,105370,27203,26527,53737,7533,10876,18413,336619,336563,673181,23122,19750,42877,6144,5988,12131,216,186,401,158,163,316,6519,6327,12851,291296,288448,579745,37584,39017,76593,314776,314543,629316,14801,15809,30607,316837,316667,633507,4963,4672,9628,39324,36824,76147,13831,13767,27598,3288,4218,7511,5176,12085,17255,107492,138300,245783,50248,46856,97105,65406,50293,115701,28406,21623,50028,17350,14459,31808,1264,1049,2316,317825,320011,637838,35746,32250,67998
2001,12067,12651,24717,846,797,1646,1849,1661,3513,696,690,1388,684,697,1376,1735,1830,3571,1692,1750,3442,1510,1620,3135,1260,1407,2664,1134,1245,2371,526,659,1187,145,293,431,11740,12309,24044,332,346,673,184,169,356,6,3,14,0,8,14,198,183,379,9703,10132,19841,1871,2008,3875,10387,10928,21309,1184,1233,2416,10752,11304,22057,250,264,516,1747,1577,3318,518,558,1073,210,258,464,275,569,841,4247,5433,9684,1511,1451,2965,1907,1607,3515,813,671,1488,418,494,915,40,48,88,11467,11981,23446,480,575,1056
2002,7449,8232,15684,463,432,892,906,894,1809,442,396,842,404,393,795,865,946,1807,738,841,1580,826,960,1787,916,1091,2010,993,1124,2117,674,805,1477,226,339,567,7090,7909,14998,359,322,681,373,359,731,5,10,13,3,7,10,378,368,750,6087,6654,12735,810,961,1772,6539,7184,13721,369,458,831,6656,7312,13966,127,121,248,824,817,1637,290,270,562,49,103,157,119,328,448,2194,2931,5126,982,1075,2055,1394,1259,2650,590,560,1152,375,417,793,24,27,48,6800,7545,14348,637,664,1299
2003,53805,58167,111973,3289,3244,6523,7499,6992,14490,3449,3367,6815,3513,3611,7130,7627,7775,15403,6541,7337,13881,6439,7125,13566,6124,6896,13020,5345,6325,11670,2967,3662,6629,1015,1834,2851,51678,56114,107788,2130,2056,4184,946,1012,1956,41,35,75,25,18,44,1008,1072,2081,44960,48726,93684,6111,6622,12729,47202,51325,98523,3886,4039,7930,48463,52658,101124,994,981,1972,7009,6635,13640,2538,2620,5158,1082,1457,2535,1620,2800,4411,20801,25281,46083,6226,6672,12895,7683,7272,14958,3409,3320,6732,2048,2298,4352,181,162,349,49877,54009,103886,3616,3862,7478
2004,49462,53577,103034,3118,3074,6186,6860,6351,13209,2984,2996,5980,3196,3295,6489,6723,7259,13979,5982,6600,12582,5766,6367,12136,5649,6563,12212,5212,5887,11096,2909,3449,6354,1081,1728,2812,47548,51720,99271,1914,1854,3767,1111,1172,2281,38,46,82,26,23,51,1181,1239,2416,41928,45474,87405,4927,5401,10319,43241,46934,90175,3559,3853,7411,44568,48375,92944,864,861,1726,6390,5965,12351,2178,2265,4446,934,1269,2211,1233,2253,3486,17469,21856,39328,5845,6213,12056,7736,7394,15130,3306,3133,6437,2199,2328,4520,333,326,658,45907,49646,95557,3341,3677,7019
2005,5598,5759,11352,260,216,469,597,546,1140,260,245,510,202,128,334,615,442,1057,713,657,1365,746,788,1533,771,856,1631,819,967,1779,457,605,1064,169,303,472,5407,5523,10927,192,234,424,93,54,142,6,0,4,0,4,4,92,55,153,4396,4682,9079,846,665,1511,4497,5087,9578,205,222,426,4573,5190,9763,66,56,120,546,495,1047,185,197,378,43,40,87,134,305,441,2240,2793,5035,536,634,1161,1092,599,1689,263,268,532,171,211,382,11,7,17,4667,5262,9932,881,480,1361
2006,6256,6503,12756,356,336,690,777,706,1483,358,347,704,356,326,677,852,799,1657,714,698,1409,727,767,1489,736,819,1553,708,826,1536,492,561,1056,173,327,502,5961,6218,12178,293,288,580,93,94,185,0,8,5,0,0,0,95,101,197,5250,5554,10808,672,598,1269,5435,5764,11195,508,421,932,5515,5825,11343,107,113,219,732,648,1377,250,262,511,54,76,130,116,185,304,1773,2297,4068,897,900,1797,1114,958,2070,537,476,1009,409,426,840,69,54,121,5773,5980,11752,396,421,819
2007,10860,11712,22568,611,563,1175,1325,1311,2632,679,608,1284,510,542,1051,1136,1214,2351,1066,1240,2308,1314,1449,2763,1446,1644,3085,1532,1634,3166,949,1034,1985,290,466,753,10263,11126,21385,598,582,1182,389,445,841,9,3,12,7,3,11,401,457,857,9294,9950,19246,834,1017,1851,9748,10562,20313,423,488,916,9819,10583,20395,162,165,322,1240,1236,2474,488,478,969,93,144,239,157,382,529,2922,4098,7015,1609,1659,3262,2117,1857,3976,972,876,1853,564,577,1139,40,38,78,9897,10709,20596,930,920,1846
2008,140950,148681,289630,8681,8255,16936,18260,17313,35571,8352,7959,16313,9198,8867,18066,20094,20083,40178,18266,19555,37815,17197,18523,35719,15871,17905,33780,14489,16358,30849,7821,9450,17271,2727,4403,7134,135146,143177,278319,5806,5504,11313,1721,1736,3461,47,39,96,47,43,85,1820,1821,3639,109838,116693,226534,24444,25312,49762,117294,125435,242730,15902,16491,32390,123024,132275,255292,2705,2501,5211,17208,16332,33537,6481,6496,12978,3516,4066,7582,4506,6909,11416,59597,70073,129669,16975,16202,33176,17984,16373,34360,7216,7269,14489,4820,5471,10289,765,819,1584,129736,137994,267732,9528,9317,18848
2009,11006,11198,22200,641,645,1294,1832,1638,3477,835,711,1544,522,448,970,837,887,1727,1423,1638,3066,1603,1776,3378,1476,1475,2951,1113,1210,2322,587,581,1172,127,192,319,10599,10825,21423,408,373,781,104,75,174,7,3,13,3,4,7,113,84,196,9146,9279,18425,1387,1479,2863,10059,10145,20204,470,575,1045,10158,10345,20499,211,211,419,1738,1576,3309,693,611,1309,215,200,420,205,414,618,4592,5629,10217,1379,1124,2496,1333,1010,2345,542,417,954,255,260,515,6,10,17,10346,10583,20922,449,462,910
