SUA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
2000,256181,613818,9224,13548,1006,2045,10236,15589,1772,2555,65,124,38,77,24,53,83,160,1980,2963,1008,1517,1065,1738,101,176,543,1130,2723,4567,617,1246,271738,638183,68724,..,340459,638183
2001,8012,22033,634,999,116,239,754,1243,40,46,0,0,21,26,0,0,15,25,74,96,9,22,21,32,0,3,6,9,38,68,8,19,8888,23458,562,..,9457,23458
2002,5448,13103,696,1011,29,61,723,1067,70,111,0,0,0,0,0,0,0,0,75,115,3,4,13,19,0,0,10,23,28,46,11,23,6280,14355,619,..,6900,14355
2003,37386,93073,4802,7964,540,1012,5345,8975,1021,1462,88,129,3,5,0,0,14,29,1121,1616,12,22,9,5,0,6,47,103,70,139,73,151,43993,103952,3496,..,47484,103952
2004,36178,89387,2801,4350,454,849,3252,5201,399,626,17,44,0,0,0,0,15,19,429,688,27,37,22,41,0,3,32,74,84,158,77,178,40027,95612,3028,..,43048,95612
2005,4471,9557,218,291,15,22,234,314,4,3,0,0,0,0,0,0,3,4,11,11,7,4,0,0,0,0,14,34,21,39,7,10,4737,9938,478,..,5216,9938
2006,4516,10933,534,707,11,14,549,721,0,0,0,0,0,0,0,0,4,8,0,12,11,12,23,25,12,19,11,28,56,82,8,14,5127,11764,463,..,5593,11764
2007,7564,18709,1015,1560,32,50,1044,1611,22,35,0,0,0,0,0,0,0,5,21,44,13,26,96,135,0,0,6,13,122,182,26,53,8772,20606,987,..,9760,20606
2008,94723,243626,8960,14365,2306,4672,11267,19045,1959,3027,202,305,309,460,134,229,22,37,2616,4062,73,94,349,480,4,11,143,327,566,912,137,268,109315,267905,12753,..,122068,267905
2009,6949,19982,446,776,26,58,473,830,16,30,13,30,0,0,0,0,9,19,41,74,6,11,14,18,0,0,0,0,24,28,4,14,7487,20929,539,..,8018,20929
2010,6220,14797,341,455,6,11,348,468,366,490,0,0,0,0,0,0,0,0,366,490,5,9,6,8,0,0,3,11,11,25,6,14,6953,15793,640,..,7588,15793
2011,1175219,3408960,159534,329153,127297,314372,286829,643522,86516,156315,52787,86618,62717,103006,74315,128371,985,2133,277316,476442,400,509,1359,1718,21,44,3660,7190,5445,9459,1793,3638,1746604,4542016,194681,..,1941283,4542016
2012,16888,43772,1541,2501,71,134,1616,2634,1104,1674,19,23,0,0,0,0,7,12,1125,1708,105,151,99,192,14,21,21,43,230,409,59,113,19921,48631,1989,..,21911,48631
2013,7776,18484,885,1163,31,43,916,1205,253,320,0,0,0,0,0,0,0,4,254,320,29,37,3,19,0,0,0,0,37,57,10,9,8993,20084,933,..,9923,20084
2014,4105,9455,361,513,35,53,398,568,45,68,6,7,0,0,0,0,0,12,55,78,16,19,5,17,0,0,13,15,34,47,7,9,4596,10164,587,..,5182,10164
2015,5260,12730,356,530,95,122,452,651,371,497,25,49,0,0,0,0,0,0,396,547,18,16,18,27,0,0,5,8,35,54,17,28,6156,14006,663,..,6822,14006
2016,16961,44949,1979,3270,96,198,2076,3472,41,54,13,16,0,0,0,0,4,7,58,81,162,212,63,84,7,19,212,305,438,618,33,84,19573,49196,1487,..,21061,49196
2017,3609,9032,363,579,6,14,368,590,329,540,7,10,0,0,0,0,3,4,337,546,7,12,8,18,0,9,8,15,27,46,9,22,4348,10235,417,..,4762,10235
2018,14753,35842,756,1051,103,201,860,1256,1401,1959,0,0,0,0,0,0,4,6,1405,1963,3,7,59,89,14,24,10,15,82,134,30,54,17127,39241,1611,..,18737,39241
2019,6979,16646,1070,1485,55,89,1123,1574,0,0,0,0,0,0,0,0,5,3,5,3,11,20,6,4,0,4,13,27,29,50,9,18,8146,18287,617,..,8766,18287
2020,14220,37184,721,1109,39,55,761,1167,569,847,0,0,0,0,0,0,6,16,575,857,13,25,265,371,0,0,12,15,289,404,20,43,15861,39659,1164,..,17025,39659
2021,11775,29312,1248,1905,339,633,1589,2545,565,806,54,73,0,0,0,0,0,4,619,879,5,12,73,111,0,0,24,65,107,194,19,47,14111,32968,1245,..,15356,32968
