SUA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2000,96,35,16,37,14,35,3,29,17,1424,55,1744,32,32,11,19,6,14,6,71,18,696,17,917,21,23,3,12,4,30,5,107,18,363,3,595,4,10,0,13,3,9,7,95,12,372,13,535,110,91,24,73,11,67,7,278,53,2221,39,2981,32,98,11,54,8,91,12,461,85,1154,23,2021,154,257,47,145,23,295,38,957,137,9980,216,12244,255,413,51,273,35,549,77,1232,200,5183,75,8345,374,674,85,588,62,921,103,1163,209,4398,72,8659,704,876,111,1342,122,920,177,949,189,3843,72,9308,466,426,55,1203,124,767,114,479,122,972,19,4733,1119,508,95,1424,140,694,115,414,99,1125,30,5769,3159,777,168,2775,342,1212,223,528,159,1149,36,10534,2448,402,106,1829,253,426,128,228,59,481,27,6393,1793,229,68,1075,173,375,70,144,47,331,13,4328,1168,95,47,512,75,105,37,57,19,130,6,2250,2217,329,71,1202,201,570,75,245
2001,0,0,0,0,0,0,0,0,0,47,6,55,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,3,0,9,0,14,0,0,0,0,0,0,0,5,0,6,0,7,0,0,0,0,0,4,0,8,0,55,0,65,0,0,0,0,0,0,0,12,0,24,0,43,0,0,3,0,0,3,0,17,0,220,0,245,0,12,0,0,0,12,0,21,4,123,4,177,3,11,0,4,0,27,0,26,9,118,3,195,7,16,0,29,0,35,4,25,0,92,0,209,9,10,0,21,3,36,0,6,0,26,0,110,26,10,0,25,0,35,0,15,0,30,0,143,123,16,0,92,17,48,5,14,6,28,0,354,123,6,0,56,12,12,3,9,5,9,0,235,93,3,5,49,4,15,5,7,0,10,0,194,73,0,0,16,0,0,3,0,0,0,0,109,109,3,3,30,9,19,0,4
2002,0,0,0,0,0,0,0,0,0,32,0,29,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,4,0,7,0,14,0,0,0,0,0,0,0,5,0,42,0,45,0,0,0,0,0,5,0,10,0,31,0,48,3,9,0,0,0,5,0,21,4,248,4,297,0,5,5,10,0,3,0,31,5,133,3,181,0,12,0,13,0,16,4,23,6,114,0,191,9,19,0,31,4,22,3,29,5,89,0,212,8,6,3,28,4,13,0,12,0,27,0,100,11,7,5,32,0,9,0,7,0,25,0,105,64,16,3,50,9,18,4,9,5,24,0,200,52,6,0,35,0,11,3,4,0,8,0,117,27,3,0,28,3,3,0,3,0,7,0,76,17,0,0,3,0,0,0,0,0,4,0,31,22,0,3,11,3,7,0,0
2003,0,0,0,0,0,0,0,4,0,141,8,157,0,0,0,0,0,0,0,12,0,58,0,68,0,0,0,0,0,0,0,5,0,32,0,39,0,0,0,0,0,0,0,9,5,28,0,40,0,5,0,0,0,0,0,26,0,202,4,244,0,13,0,0,0,10,0,41,15,141,6,216,9,24,7,11,0,13,10,97,15,1146,21,1350,0,44,3,20,5,57,7,123,9,655,4,929,23,68,0,44,3,112,15,154,26,570,4,1026,58,115,9,174,15,146,20,125,23,537,13,1233,63,46,3,188,13,117,14,74,11,156,4,694,164,77,9,188,19,93,11,63,18,160,0,797,550,95,9,413,43,165,27,60,10,142,3,1528,422,59,11,285,28,58,14,21,6,64,5,966,321,14,4,179,28,58,9,9,6,37,0,662,219,7,3,67,16,22,5,7,0,13,4,369,349,37,15,148,21,68,8,28
2004,0,0,0,0,0,0,0,0,0,115,4,128,0,0,0,0,0,0,0,7,0,73,0,80,0,0,0,0,0,0,0,0,0,37,0,51,0,0,0,0,0,0,0,12,0,22,0,32,0,4,0,0,0,3,0,17,5,200,6,248,0,3,0,0,0,4,4,44,6,123,0,188,0,14,4,6,0,33,0,84,12,1110,20,1292,9,27,4,19,3,67,0,132,13,640,4,910,20,61,4,48,9,119,10,124,20,582,9,1007,48,108,7,142,14,104,12,119,29,493,9,1096,57,56,3,167,20,103,10,68,12,131,0,621,128,50,5,189,20,71,16,53,10,148,0,691,456,79,10,384,34,180,12,66,25,159,3,1413,407,38,8,253,28,57,15,24,5,78,0,917,310,29,15,163,21,32,7,17,6,45,0,636,192,14,3,77,3,9,6,3,0,12,0,312,262,15,7,117,21,42,5,18
2005,0,0,0,0,0,0,0,0,0,22,0,26,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,27,0,31,0,0,0,0,0,0,0,14,0,15,0,29,0,5,0,0,0,0,0,11,0,146,0,162,0,3,0,6,0,8,0,18,4,79,0,118,6,15,0,9,0,12,0,24,0,93,0,153,7,14,0,15,0,16,9,20,4,70,0,151,6,10,0,10,0,17,0,6,0,27,0,81,8,15,4,12,0,11,0,10,3,20,0,86,29,18,3,44,3,15,4,11,0,32,0,163,30,3,0,32,0,12,3,13,3,10,0,104,21,3,0,26,0,8,0,3,0,5,0,69,16,3,0,15,0,0,0,0,0,4,0,48,30,0,0,15,0,10,4,3
2006,0,0,0,0,0,0,0,0,0,30,0,28,0,0,0,0,0,0,0,5,0,11,0,10,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,5,0,10,0,5,0,0,0,0,0,4,0,33,0,52,0,0,0,0,0,3,0,6,0,22,0,31,0,0,0,0,0,3,0,10,6,144,4,173,5,7,0,10,0,6,0,16,4,83,3,131,0,6,0,4,3,14,4,14,3,68,0,118,8,8,0,19,7,18,0,24,0,68,5,170,8,6,0,28,0,8,0,3,4,11,0,78,33,3,0,22,5,7,0,8,4,21,0,111,91,9,0,39,9,17,5,6,3,18,0,194,44,3,0,25,0,0,5,3,0,12,0,89,22,0,0,13,0,6,0,0,0,3,0,47,13,0,0,6,0,0,0,0,0,6,0,22,20,7,0,11,4,0,0,0
2007,0,4,0,0,0,0,0,0,0,63,0,65,0,0,0,0,0,0,0,5,0,18,0,27,0,0,0,0,0,0,0,5,4,15,0,19,0,0,0,0,0,0,0,3,0,14,0,19,0,0,0,0,0,0,0,12,0,85,0,97,0,0,0,0,0,5,0,17,0,32,0,56,3,6,0,6,0,13,0,25,6,373,3,437,7,4,0,7,0,17,0,35,10,200,0,278,11,25,0,8,0,30,4,38,0,166,0,283,10,29,5,38,0,27,3,27,4,155,0,311,21,13,0,40,6,22,5,10,9,32,0,154,29,18,8,37,8,17,5,11,6,33,0,165,114,25,11,97,7,28,4,18,3,22,0,321,81,9,0,64,5,8,3,4,0,14,0,190,56,5,0,34,7,8,5,3,0,13,0,132,39,0,0,12,4,9,0,0,0,0,0,69,56,11,5,29,3,18,0,4
2008,3,7,0,4,0,5,0,4,6,471,5,502,0,0,0,0,0,0,0,14,8,197,10,230,0,0,0,4,0,4,0,35,7,107,0,158,0,0,0,0,0,5,0,31,5,85,0,126,3,17,0,5,0,11,4,64,14,613,11,745,0,24,5,6,3,26,5,117,14,358,0,555,0,49,3,23,0,56,13,259,28,2748,44,3234,11,96,13,35,3,121,10,320,56,1676,13,2349,21,180,7,100,7,262,21,337,61,1666,15,2670,96,252,10,340,38,324,41,323,56,1512,12,3000,102,144,8,382,51,253,24,185,30,421,9,1609,245,144,20,440,53,212,28,147,25,479,5,1804,1118,260,21,1028,109,464,56,199,55,494,11,3809,1200,152,27,762,118,147,49,107,26,256,0,2850,949,70,14,520,62,147,25,62,6,148,5,2007,687,52,17,237,48,55,9,33,10,67,0,1207,1257,106,21,497,96,292,27,112
2009,0,3,0,0,0,0,0,0,0,33,0,35,0,0,0,0,0,0,0,0,0,24,0,30,0,0,0,0,0,0,0,3,0,9,0,10,0,0,0,0,0,0,0,8,0,7,0,14,6,0,0,0,0,0,0,3,0,37,0,47,0,0,0,0,0,0,0,3,0,18,0,29,4,4,0,0,0,0,0,16,0,140,3,165,0,4,0,6,0,6,0,20,0,110,0,144,5,20,0,7,0,17,5,16,6,124,0,205,6,10,0,17,0,21,0,25,7,119,0,209,5,4,0,23,3,19,5,19,3,51,0,148,16,11,0,15,4,22,0,20,0,51,0,137,47,19,3,58,4,40,0,16,7,49,0,240,50,18,0,46,6,27,3,10,4,26,0,200,62,12,4,47,8,23,0,11,0,13,0,177,60,4,0,24,11,5,0,0,0,6,0,110,170,12,6,64,15,40,6,10
