SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED20106,35812,36907,72719,18120,14346,32467,5592,8058,13648,1311,1646,2955,1312,1216,2523,26335,25262,51604,7100,9375,16478,5,4.8,4.9,73.5,68.5,71,69.9,65.2,67.5,5551,5983,11534,1076,1757,2834,10845,11845,22692,3354,3720,7073,3248,1870,5119,161,227,381,388,558,940,3794,2654,6446,26292,27211,53508,10876,11046,21921,13579,14542,28119,22275,22464,44733
SED20207,40720,42303,83020,20960,12690,33648,5416,10040,15455,1460,1925,3381,1581,1757,3341,29423,26407,55834,9201,13981,23187,5.4,6.6,6,72.3,62.4,67.2,68.4,58.3,63.2,4594,4369,8966,759,1465,2218,8000,9681,17685,3731,4564,8302,6644,3525,10165,240,349,591,496,673,1172,7382,4548,11930,42904,43757,86660,7814,7976,15789,25009,25735,50741,22221,22704,44924
SED20302,43859,46599,90453,20022,10805,30827,6196,12183,18378,1749,2323,4073,1245,1190,2435,29210,26507,55711,12128,17427,29553,4.2,4.5,4.4,66.6,56.9,61.6,63.8,54.3,58.9,2072,2327,4404,619,1474,2090,5092,7507,12600,4485,5821,10307,11006,5986,16992,364,682,1044,605,863,1466,11972,7532,19505,43725,45511,89233,9054,9449,18503,20595,21518,42116,28400,29908,58316
SED20401,25740,27548,53290,12408,7293,19702,3513,7527,11038,876,1193,2072,765,640,1407,17560,16657,34214,7047,9666,16712,4.4,3.9,4.1,68.2,60.5,64.2,65.2,58.1,61.6,1517,1724,3242,475,1077,1556,4032,5217,9250,2399,3369,5765,6125,3114,9231,211,316,526,348,516,863,6680,3949,10629,26462,27756,54220,3425,3567,6992,18129,19048,37172,10176,10691,20861
SED20508,28119,31242,59362,10762,5975,16737,3992,8593,12589,1075,1496,2565,626,553,1184,16461,16614,33070,10225,12999,23222,3.8,3.3,3.6,58.5,53.2,55.7,56.3,51.4,53.7,1245,1476,2721,647,1412,2059,3798,5643,9433,2783,4063,6842,7603,3731,11333,232,372,599,426,587,1018,8255,4689,12943,27605,29601,57197,4617,5160,9781,17077,18272,35354,13605,15061,28665
SED20604,27943,29251,57194,12552,7165,19719,3493,7959,11450,1045,1404,2449,674,572,1254,17767,17097,34870,8525,10544,19067,3.8,3.3,3.6,63.6,58.5,61,61.1,56.5,58.8,717,1002,1721,503,1175,1678,2452,4253,6702,2317,3444,5766,8183,4600,12784,283,494,778,396,575,970,8864,5666,14530,27234,28448,55679,4764,4915,9681,17619,18386,36006,12714,13319,26034
SED20704,27573,30343,57912,12176,6947,19121,3877,8670,12551,1010,1465,2472,798,649,1448,17864,17738,35594,8265,11145,19410,4.5,3.7,4.1,64.8,58.4,61.5,61.9,56.3,59,958,1247,2214,588,1334,1924,3229,5137,8364,2279,3241,5511,7274,4141,11420,263,494,764,346,517,866,7889,5151,13041,28022,29697,57714,4589,5124,9710,17815,18529,36335,12920,14504,27426
SED20804,25544,27517,53061,9684,5593,15282,3659,7432,11094,862,1166,2022,665,548,1211,14870,14737,29607,9037,10980,20023,4.5,3.7,4.1,58.2,53.6,55.8,55.6,51.6,53.5,1032,1390,2413,542,1185,1725,2704,4220,6927,1918,2836,4757,6448,3498,9948,243,407,648,316,450,761,6999,4355,11357,24388,25960,50352,3790,4195,7989,16141,17007,33149,10600,11713,22315
SED20906,25743,28157,53903,12616,8296,20912,3866,7621,11488,824,1210,2035,863,690,1557,18170,17823,35988,6734,9347,16076,4.7,3.9,4.3,70.6,63.3,66.8,67.2,60.8,63.9,2755,3019,5774,729,1308,2039,6504,7671,14179,2437,3090,5529,3424,1753,5177,132,226,360,318,542,861,3877,2525,6404,26531,28109,54645,4668,4733,9404,17123,18595,35722,12516,12871,25389
SED21001,29662,32687,62349,12399,8167,20565,5133,8530,13665,917,1239,2157,1094,960,2060,19541,18903,38443,8799,12298,21099,5.6,5.1,5.4,65.9,57.8,61.7,62.2,54.9,58.4,4132,4057,8190,917,1645,2563,8019,9074,17093,2733,3461,6188,2761,1527,4291,157,216,373,314,512,834,3237,2261,5492,28043,30507,58553,5650,5869,11525,17881,19805,37690,14489,15259,29746
