LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA20110,70,3,0,0,0,78,51,0,0,0,0,53,44,0,0,0,0,44,96,4,0,0,0,102,114,0,0,0,5,116,287,7,0,4,0,299,305,5,0,0,0,303,239,7,0,0,0,245,105,0,0,0,0,100,67,0,0,0,0,71,47,0,0,0,0,47,91,0,0,3,0,91,1508,29,3,7,5,1558
LGA20260,78,5,0,0,0,88,64,0,0,0,0,68,61,0,0,0,0,59,129,0,0,0,0,128,173,9,0,0,0,182,335,3,0,0,0,343,152,0,0,0,0,162,105,0,0,0,0,105,54,0,0,0,0,54,26,0,0,0,0,26,18,0,0,0,0,18,78,0,0,0,0,76,1275,20,0,3,4,1305
LGA20570,561,40,5,0,0,604,341,33,3,0,0,370,290,30,4,0,0,329,641,76,8,6,0,728,959,95,20,0,0,1076,3057,245,33,5,4,3344,3150,110,7,3,8,3280,2478,81,3,4,5,2571,769,23,0,3,4,795,552,20,0,0,0,565,342,11,3,0,0,355,677,35,3,0,0,713,13807,799,94,20,19,14741
LGA20660,760,88,25,0,0,874,246,20,5,0,0,277,196,34,3,0,0,239,308,45,17,0,0,371,419,54,28,0,0,506,1135,233,102,0,0,1478,1400,330,155,0,0,1888,2527,614,164,4,0,3312,2035,340,67,0,3,2451,2150,224,55,0,0,2428,1696,144,24,0,0,1857,857,147,32,0,0,1034,13738,2283,689,9,8,16725
LGA20740,236,11,0,0,0,255,134,0,0,0,0,136,115,6,3,0,0,128,224,12,0,0,0,239,324,13,5,0,0,338,922,25,6,0,0,958,922,13,8,0,0,945,804,25,4,0,3,830,287,8,0,0,0,296,201,4,0,0,0,217,123,4,0,0,0,130,308,10,0,0,0,317,4607,130,35,6,8,4781
LGA20830,321,6,3,0,0,336,169,5,0,0,0,172,155,3,3,0,0,162,298,10,0,0,0,317,440,20,16,0,0,474,1407,39,21,0,3,1474,1821,18,8,0,0,1849,1674,11,3,0,5,1699,591,0,0,0,0,589,417,3,0,0,0,416,292,0,0,0,0,293,486,10,4,0,0,506,8073,134,76,6,12,8295
LGA20910,580,123,35,0,0,742,113,34,20,0,0,162,110,31,18,0,0,152,105,51,29,0,0,187,178,57,31,0,0,261,445,156,121,4,0,736,439,174,195,6,0,821,919,348,314,11,0,1594,676,295,145,8,0,1128,1436,441,128,4,4,2013,3383,583,90,0,4,4072,690,148,68,3,0,921,9079,2451,1206,49,7,12792
LGA21010,93,5,0,0,0,98,55,4,0,0,0,59,58,5,0,0,0,62,142,6,0,0,0,151,174,4,0,0,0,181,371,5,0,0,0,385,319,4,0,0,0,326,220,0,0,0,0,220,66,0,0,0,0,66,56,0,0,0,0,56,46,0,0,0,0,50,102,0,0,0,0,103,1709,39,0,5,0,1747
LGA21110,997,223,124,0,0,1348,141,48,32,0,0,221,112,32,32,0,0,175,147,48,63,0,0,258,170,72,87,0,0,331,584,212,357,4,0,1152,488,196,589,5,0,1274,1066,405,832,5,0,2312,733,359,368,0,0,1459,1518,536,304,0,3,2355,5230,916,209,4,3,6359,1040,214,140,0,0,1403,12226,3252,3138,21,15,18643
LGA21180,1180,124,23,0,0,1318,384,44,11,0,0,446,382,47,13,0,0,450,581,101,26,0,0,701,770,112,42,0,0,927,2560,494,155,0,0,3211,2974,635,107,0,0,3706,4184,637,43,0,0,4868,1668,169,9,0,6,1840,1222,104,3,0,0,1328,711,75,3,5,0,797,1421,188,39,0,0,1648,18031,2732,475,4,8,21252
LGA21270,64,0,0,0,0,64,57,0,0,0,0,61,62,0,0,0,0,62,100,4,0,0,0,103,62,0,0,0,0,61,84,3,0,0,0,88,40,0,0,0,0,40,17,0,0,0,0,17,7,0,0,0,0,7,9,0,0,0,0,9,9,0,0,0,0,9,36,0,0,0,0,38,539,13,0,0,0,547
LGA21370,243,3,0,0,0,244,140,5,0,0,0,144,141,5,0,0,0,146,335,14,0,4,0,351,469,13,0,0,0,478,1082,19,0,4,3,1109,888,11,0,0,0,898,639,6,0,5,0,646,161,0,0,0,0,165,135,0,0,0,0,135,115,5,0,0,0,120,316,7,0,0,0,326,4661,82,0,17,6,4764
LGA21450,583,23,0,0,0,606,242,26,0,0,0,270,230,16,0,0,0,245,362,17,3,0,0,382,619,29,0,0,0,647,2274,156,10,5,5,2442,3757,196,12,0,3,3967,5668,125,14,0,4,5804,2140,25,0,0,3,2164,1308,16,0,0,0,1327,794,8,0,0,0,803,1126,37,0,0,0,1167,19102,672,46,8,16,19841
LGA21610,1982,120,11,0,0,2111,730,48,0,0,0,784,659,44,11,0,0,715,1185,96,9,0,0,1288,1588,119,20,0,0,1728,5652,538,66,0,4,6264,9108,893,50,0,4,10054,16347,930,40,0,7,17328,7104,293,0,0,0,7407,4083,151,4,0,0,4239,2302,82,3,0,5,2391,3553,237,7,0,4,3805,54295,3567,223,6,23,58123
LGA21670,87,0,0,4,0,90,103,4,0,0,0,102,81,0,0,6,0,86,188,3,0,0,0,186,245,0,0,0,0,248,365,5,0,0,4,375,193,0,0,0,0,193,120,0,0,0,0,123,30,0,0,0,0,29,18,0,0,0,0,18,13,0,0,0,0,13,98,0,0,0,0,97,1539,17,5,11,4,1575
LGA21750,131,3,0,0,0,140,75,3,0,0,0,81,78,0,0,0,0,73,158,4,0,0,0,168,247,5,0,0,0,247,677,6,0,4,0,688,523,3,0,0,0,525,372,3,0,0,0,375,133,0,0,3,0,139,90,0,0,0,0,98,76,0,0,4,4,82,157,4,0,0,0,157,2716,36,0,10,5,2773
LGA21830,137,0,0,0,0,139,72,0,0,0,0,76,101,0,0,0,0,103,168,4,0,0,0,169,222,7,0,0,0,226,389,7,0,4,0,394,231,3,0,0,0,236,161,3,0,0,0,167,57,0,0,0,0,57,58,0,0,0,0,59,77,0,0,0,0,75,136,0,0,0,0,138,1812,23,0,6,0,1839
LGA21890,655,197,67,0,0,925,198,60,27,0,0,282,150,49,27,0,0,222,250,98,59,0,0,401,327,149,98,7,0,587,933,480,437,8,0,1862,1059,668,527,11,0,2254,1837,1134,501,9,0,3484,1362,643,166,5,0,2180,1712,524,100,5,0,2339,1605,338,64,5,0,2008,736,247,71,4,0,1057,10828,4589,2138,52,4,17605
LGA22110,287,17,0,0,3,312,203,9,0,0,0,210,187,9,0,0,0,190,344,14,4,0,0,356,509,12,3,0,0,533,1259,21,0,0,3,1285,991,7,0,0,0,1004,675,10,0,0,0,686,191,0,0,0,0,190,173,0,0,0,0,172,104,4,0,0,0,107,304,6,0,0,0,313,5227,111,9,6,13,5363
LGA22170,807,102,14,0,0,922,354,48,4,0,0,404,292,58,4,0,0,351,585,89,12,0,0,689,783,128,11,0,0,932,2379,492,60,0,0,2940,3141,612,40,0,0,3803,4906,522,26,0,3,5453,2342,165,4,0,0,2513,1592,79,8,0,0,1677,806,49,6,0,0,863,1214,126,10,0,0,1352,19217,2476,190,11,8,21907
