LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,8,0,13,5,41,11,12,4,4,0,85,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,17,9,0,59,0,0,0,4,0,0,0,0,0,4,0,7,4,18,11,3,3,0,0,46,0,0,0,3,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,10,0,7,0,10,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,12,16,0,0,53,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,7,0,3,0,11,0,0,0,0,0,3,0,0,0,8,0,0,0,25,21,27,41,36,17,172,18,87,90,190,138,194,146,106,48,1022,539,1488,1182,2653,1760,2151,1982,1080,396,13235
LGA20260,0,0,0,26,7,0,0,0,0,35,0,0,0,0,5,0,0,0,0,4,0,5,14,33,12,12,4,0,0,84,0,0,0,3,3,0,0,0,0,6,0,0,9,23,0,4,0,0,0,38,0,0,0,0,4,12,4,14,4,36,0,0,0,0,5,0,0,0,0,7,0,0,0,7,4,4,0,0,0,14,0,0,0,6,3,0,0,0,0,10,0,0,0,43,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,9,0,4,0,3,10,4,3,0,0,25,0,0,6,15,8,0,0,0,0,31,0,0,0,0,0,4,6,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,68,17,15,17,23,7,143,24,68,76,178,106,138,124,80,27,817,578,1225,1121,2757,1520,1745,1644,915,371,11880
LGA20570,0,17,24,125,13,4,0,0,0,184,0,0,4,11,24,5,0,0,0,39,6,53,69,315,91,60,36,10,0,631,0,0,0,16,7,15,13,5,4,56,0,0,0,4,0,5,0,4,0,18,0,8,9,44,39,63,99,86,19,372,0,10,12,20,20,6,5,0,0,76,5,18,21,91,44,47,29,7,0,268,0,11,19,158,36,15,9,0,3,249,0,4,3,34,10,3,0,0,0,53,0,16,22,67,38,13,3,0,0,159,0,0,0,4,4,0,3,0,0,21,0,32,31,97,42,41,42,16,0,314,0,5,26,86,23,15,11,4,0,170,0,4,0,15,9,12,17,12,4,71,0,7,7,40,17,7,6,6,0,93,13,63,107,381,167,149,149,107,53,1188,260,612,685,1409,639,638,647,501,278,5676,6608,14719,14126,29606,13845,13314,11927,6743,2877,113763
LGA20660,0,11,16,101,20,9,5,0,0,176,0,0,0,20,28,19,7,0,0,64,7,23,40,332,108,82,71,13,11,696,0,3,3,66,39,46,55,23,22,251,0,0,0,4,10,3,5,0,0,23,0,14,19,111,70,100,127,96,27,554,13,31,37,124,51,30,35,15,5,339,5,20,36,208,120,79,40,32,10,537,5,27,63,347,136,138,109,75,24,930,3,9,7,123,27,15,12,0,0,192,0,20,33,130,69,35,10,3,4,316,0,3,0,32,16,19,14,9,0,106,19,76,55,184,84,45,48,26,3,538,4,35,63,273,185,106,67,25,6,769,0,0,6,27,13,17,17,15,7,93,0,0,11,26,20,3,4,4,0,71,21,163,226,1242,569,524,446,308,167,3671,155,376,385,1105,469,405,450,343,196,3895,7052,15381,13841,34418,16921,14862,12694,7678,3400,126236
LGA20740,0,0,0,0,0,0,0,0,0,10,0,4,0,0,9,4,3,0,0,21,0,11,5,72,20,19,20,4,0,153,0,0,0,10,9,3,17,6,4,40,0,0,0,0,0,0,0,0,0,0,0,0,3,16,18,56,82,47,15,238,0,0,0,3,3,5,0,0,0,14,0,0,7,26,25,43,23,5,0,133,0,0,9,31,6,10,18,4,3,82,0,0,0,4,3,0,0,0,0,5,0,15,3,35,4,13,0,0,0,82,0,0,0,0,5,0,0,0,0,10,0,9,12,30,18,23,29,3,0,126,0,0,0,24,15,5,7,0,0,52,0,0,0,5,7,18,18,15,0,63,0,0,6,7,6,0,4,0,0,22,0,13,16,88,47,113,117,77,21,496,110,283,199,580,371,528,573,326,126,3094,1841,4328,3273,7828,4815,6672,7185,3641,1218,40789
LGA20830,0,0,4,14,8,3,0,0,0,31,0,0,0,12,10,7,6,0,0,34,4,4,17,90,32,27,14,6,0,206,0,0,0,12,5,11,23,10,4,60,0,0,0,21,0,0,0,0,0,22,0,3,8,10,25,58,87,71,15,282,0,0,7,16,5,5,6,0,0,36,3,18,18,59,38,33,21,12,4,213,0,8,3,68,30,21,13,12,0,155,0,0,8,93,0,0,0,0,0,105,5,10,11,33,26,5,0,0,0,91,0,4,0,0,3,5,0,0,0,17,0,14,9,30,22,17,36,6,0,137,6,11,9,48,16,3,0,4,0,86,0,0,0,7,9,14,14,13,0,65,0,3,0,25,7,4,3,0,0,52,4,25,32,191,91,123,136,110,28,745,155,408,273,824,437,473,445,341,145,3496,3507,7454,6098,13695,6921,7577,7078,3940,1359,57626
LGA20910,0,5,0,22,4,10,5,0,0,45,0,0,0,6,23,17,0,0,0,47,0,9,26,114,55,24,30,10,0,268,0,4,6,75,61,94,165,64,31,495,0,0,0,5,4,0,0,0,0,13,0,29,34,144,135,180,146,94,36,796,7,78,70,64,46,33,19,5,3,333,13,99,119,329,392,209,144,56,19,1379,0,3,6,87,47,63,70,29,13,320,0,0,3,28,9,5,6,0,0,57,0,25,29,88,30,11,9,4,0,197,0,13,9,51,36,46,28,11,0,197,38,160,122,176,143,129,59,33,14,872,0,18,30,99,70,33,18,8,5,276,0,11,6,26,41,24,22,14,5,149,0,0,0,36,26,23,8,5,0,104,30,199,168,1051,760,657,578,437,202,4070,92,429,265,676,511,368,388,331,236,3289,4450,13225,12177,19722,16260,14041,11081,6937,3422,101306
LGA21010,0,0,4,10,0,0,0,0,0,15,0,0,0,6,3,0,3,0,0,7,0,3,3,20,4,7,6,0,0,50,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,12,6,8,46,0,0,0,0,5,0,0,0,0,3,0,0,0,8,4,6,5,0,3,21,0,0,0,5,0,3,0,0,0,13,0,0,0,0,0,5,0,0,0,5,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,15,0,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,4,0,7,8,28,19,16,32,25,8,139,54,126,116,243,163,200,178,154,70,1300,649,1418,1347,2746,1725,2350,2342,1392,566,14528
LGA21110,4,22,37,157,24,23,12,0,0,294,0,6,3,17,43,19,7,0,0,92,0,25,50,267,96,47,53,13,5,556,0,0,3,63,27,37,75,57,46,319,0,0,0,3,0,3,0,0,0,9,0,12,28,90,95,98,110,90,42,569,20,165,146,301,167,137,125,47,7,1108,6,54,78,289,224,153,118,65,14,998,0,32,122,476,250,239,149,96,47,1402,12,43,42,404,136,80,98,24,4,846,3,27,57,242,69,36,17,6,0,454,0,8,3,60,47,35,10,12,7,187,62,202,186,314,160,115,86,39,6,1178,0,63,246,569,478,390,207,62,25,2039,0,0,7,18,22,25,16,16,6,114,0,0,13,45,20,22,14,8,0,120,31,205,255,1324,602,488,432,368,200,3905,150,439,561,1289,665,520,498,440,310,4883,6653,20281,24255,41444,23812,20747,15917,9829,4961,167900
LGA21180,30,164,194,1288,137,47,47,12,4,1910,0,3,12,11,11,4,0,0,0,55,10,213,487,2114,994,993,698,200,47,5759,0,0,5,89,103,200,277,150,84,895,0,63,125,229,171,127,42,12,4,785,0,4,3,34,32,60,84,75,23,305,0,12,22,98,27,37,29,12,0,235,3,8,24,71,39,31,18,12,4,213,10,43,157,724,231,240,152,51,16,1624,0,7,12,93,18,10,16,0,0,156,7,17,52,300,111,54,15,5,4,574,5,3,15,163,163,173,100,57,6,689,10,29,51,86,44,19,12,0,0,243,69,576,1633,8675,5887,5133,2469,667,274,25391,0,0,3,4,3,10,7,8,0,41,0,0,15,36,12,0,3,0,0,69,54,362,857,3324,1947,2068,1865,1095,440,12013,633,1354,1346,3715,1323,1150,975,724,399,11623,10994,22773,24536,56971,24555,23114,18308,9714,3664,194618
