LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA20110,9,40,37,29,28,7,0,156,4,3,0,5,0,0,0,8,0,0,0,0,4,0,0,4,24,56,56,60,60,11,0,269,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,10,24,61,61,64,60,11,0,279,22,22,17,16,12,4,0,95,0,0,0,0,0,0,0,0,44,80,74,79,76,16,0,379
LGA20260,23,46,23,20,22,0,0,144,4,0,0,0,3,0,0,16,0,6,0,0,3,0,0,7,39,75,47,47,53,14,4,281,5,3,4,0,0,0,0,12,0,3,0,0,4,0,0,7,3,9,4,0,5,0,0,27,44,83,53,49,59,12,4,303,48,61,31,24,8,5,0,180,0,0,0,0,0,0,0,0,97,138,85,78,70,14,4,486
LGA20570,278,586,368,271,305,75,29,1915,67,65,22,26,24,7,3,215,14,22,13,5,0,0,0,58,471,952,699,547,697,181,93,3644,22,31,26,19,42,5,5,150,35,56,35,16,18,5,0,169,59,85,67,37,59,8,3,318,534,1037,771,582,760,192,94,3963,576,567,330,228,217,57,15,1986,6,15,15,14,3,0,0,54,1112,1616,1113,825,983,254,112,6008
LGA20660,109,277,226,188,242,131,75,1248,23,25,21,14,24,6,6,124,8,0,5,6,15,0,4,35,271,568,495,436,620,321,208,2916,3,15,13,8,15,3,3,61,10,30,15,14,17,3,6,91,18,45,27,19,28,9,13,152,282,610,519,459,647,332,221,3064,202,235,178,132,142,92,44,1023,6,8,3,4,5,0,4,24,494,857,697,591,790,416,267,4109
LGA20740,76,157,106,90,82,18,7,537,8,10,6,11,10,0,0,52,5,5,4,5,5,0,0,19,108,237,181,170,177,42,17,930,0,4,13,3,5,6,0,30,4,9,6,3,0,0,0,20,4,16,11,10,10,6,0,49,112,253,199,176,183,46,17,982,133,151,91,52,57,16,10,511,0,3,7,8,0,0,0,22,249,410,294,238,246,60,23,1508
LGA20830,122,219,152,134,144,37,12,828,24,31,18,14,15,0,0,102,10,21,9,4,3,4,0,51,202,408,294,271,328,87,27,1611,0,9,11,7,6,5,0,46,15,24,3,8,4,0,3,69,21,33,17,17,19,6,4,111,218,441,307,285,344,87,25,1727,232,204,130,95,80,29,18,779,3,9,7,4,3,3,0,34,462,653,448,386,427,119,46,2541
LGA20910,62,142,147,119,187,113,82,838,12,17,15,11,18,9,5,89,5,8,5,4,9,3,3,33,142,357,377,302,499,359,203,2230,0,12,14,10,7,7,8,70,3,13,8,7,12,8,0,50,4,28,19,15,21,11,8,118,144,378,402,316,521,380,208,2349,76,130,111,89,117,93,53,676,7,0,0,4,0,0,0,16,227,515,516,412,633,470,265,3035
LGA21010,31,61,37,18,30,9,4,188,4,4,5,3,6,0,0,22,4,3,5,0,3,0,0,17,53,101,64,46,67,20,7,357,0,5,0,0,0,0,0,4,5,3,3,0,0,0,0,13,5,8,3,3,0,0,0,25,60,108,74,53,74,20,7,377,49,51,41,21,24,3,0,196,0,0,0,0,0,0,0,6,109,158,113,82,98,20,8,576
LGA21110,117,246,221,191,270,223,105,1374,19,15,11,19,17,15,5,102,0,10,6,8,10,3,3,41,255,598,593,483,731,577,321,3560,3,19,20,9,17,12,5,85,9,20,23,14,21,9,3,99,13,37,42,27,43,19,8,185,266,636,630,505,770,597,334,3741,119,233,227,198,313,231,151,1467,5,7,7,7,7,7,3,43,393,878,867,709,1086,835,481,5249
LGA21180,268,500,364,274,386,227,117,2127,53,52,34,25,63,25,20,266,23,39,18,17,30,14,12,151,574,1094,808,585,912,572,330,4865,35,74,53,47,55,61,23,347,47,118,70,49,70,37,22,416,82,189,127,99,122,95,42,764,659,1281,934,679,1037,664,375,5634,769,1028,560,430,494,290,187,3756,34,45,30,23,19,13,8,171,1463,2358,1526,1131,1550,971,570,9565
