LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA20110,155,125,102,103,150,201,160,103,49,1146,2026,1182,1194,1459,1760,2151,1982,1080,396,13235
LGA20260,155,130,289,277,276,237,201,108,40,1716,1804,1121,1438,1312,1520,1745,1644,915,371,11880
LGA20570,1830,1221,1175,974,1112,926,785,501,286,8811,21321,14126,15533,14072,13845,13314,11927,6743,2877,113763
LGA20660,1207,875,984,1003,955,835,683,428,234,7205,22430,13841,16254,18164,16921,14862,12694,7678,3400,126236
LGA20740,590,297,304,408,432,561,592,352,165,3702,6166,3273,3585,4242,4815,6672,7185,3641,1218,40789
LGA20830,1039,508,564,566,587,578,510,342,149,4840,10964,6098,7130,6567,6921,7577,7078,3940,1359,57626
LGA20910,1059,690,467,664,989,795,638,431,274,6016,17682,12177,7912,11814,16260,14041,11081,6937,3422,101306
LGA21010,291,153,158,159,193,205,198,154,69,1582,2071,1347,1389,1350,1725,2350,2342,1392,566,14528
LGA21110,1263,1238,1150,1007,1259,1053,788,548,345,8646,26933,24255,21044,20408,23812,20747,15917,9829,4961,167900
LGA21180,3241,2139,2929,2375,2072,1777,1256,797,437,17018,33764,24536,30553,26419,24555,23114,18308,9714,3664,194618
LGA21270,89,79,54,51,99,103,73,66,67,686,930,568,550,490,805,1051,945,547,286,6178
LGA21370,673,390,359,357,467,527,471,316,185,3745,6613,4085,3902,3885,4918,5716,5143,3201,1273,38735
LGA21450,2235,1151,1353,1267,1149,876,628,387,193,9231,26774,14348,18597,17514,14459,11663,8701,4640,1494,118194
LGA21610,6179,3609,4104,3778,3186,2377,1489,795,371,25886,83045,47470,55683,58004,45253,36204,23658,11711,4207,365239
LGA21670,243,133,107,121,186,174,161,130,54,1308,1967,1238,1185,1108,1678,2111,2260,1433,501,13483
LGA21750,363,201,224,209,280,304,263,147,58,2050,3734,2237,2573,2463,2814,3223,3071,1651,651,22423
LGA21830,243,202,152,151,192,203,187,113,73,1519,2681,1679,1571,1591,2065,2536,2154,1322,517,16115
LGA21890,1472,1198,1807,1446,1403,965,725,514,433,9960,22358,16148,28587,23888,20391,15323,10566,7356,3949,148570
LGA22110,799,433,454,454,597,697,741,471,245,4894,7290,4125,4378,4496,5618,7752,8664,4873,1516,48715
LGA22170,2169,1326,1517,1526,1568,1191,816,529,290,10932,25833,15585,19076,19695,18983,16928,12919,7236,3017,139281
LGA22250,202,102,74,129,130,148,168,103,57,1114,1677,932,884,1013,1293,1670,1744,1068,409,10683
LGA22310,1316,1004,1279,1152,1083,831,758,481,363,8267,26069,17799,22436,21899,20378,16099,13025,7220,3979,148908
LGA22410,312,199,162,219,236,272,279,146,65,1898,3092,1949,1865,2050,2667,3330,3059,1545,594,20152
LGA22490,485,229,190,223,307,237,185,71,15,1941,5507,2813,2547,3348,3693,3234,2568,1007,258,24985
LGA22620,2112,1243,1276,1179,1239,1272,931,662,427,10350,22735,14265,15687,14674,14673,15299,13545,7499,3097,121470
LGA22670,2276,1461,2295,1817,1426,1292,913,592,265,12338,27409,19987,27782,23041,18472,16646,13369,8102,3400,158208
LGA22750,3716,2750,2997,2710,2492,2250,1982,1236,610,20756,47777,32292,38200,34409,32985,32161,29684,16706,6844,271057
LGA22830,1410,893,952,893,840,820,613,448,181,7055,13223,7966,8899,8176,8527,8503,7214,4255,1649,68409
LGA22910,257,138,130,178,228,261,266,134,68,1651,2354,1192,1297,1748,2432,2927,2881,1311,467,16604
LGA22980,72,43,42,54,48,63,68,52,49,485,850,520,610,533,664,918,784,537,282,5698
LGA23110,1262,691,1016,1013,896,719,515,316,191,6602,16938,9032,12426,14248,12897,11063,8051,4548,2115,91322
LGA23190,319,246,222,174,164,189,144,112,60,1630,3742,2346,2557,2267,2421,2759,2266,1425,656,20429
LGA23270,4638,2657,3273,2974,2327,1853,1029,575,225,19566,54750,31810,40097,37187,28715,24719,16262,7891,2473,243901
LGA23350,254,163,157,200,221,225,155,117,31,1525,3039,1572,1463,1945,2453,2796,2468,1232,394,17368
LGA23430,1567,1067,1289,1278,1314,1109,903,662,330,9518,27206,16935,19848,22756,22848,19205,15387,9541,4401,158129
LGA23670,1575,1127,1184,1141,1208,1113,770,541,281,8944,27114,18981,20219,22280,21548,20530,15998,8898,3540,159103
LGA23810,1632,957,988,924,918,970,774,506,365,8033,13697,8639,9809,8868,9314,10657,9321,5066,1947,77318
LGA23940,129,81,61,86,132,191,159,93,73,997,1155,655,618,694,988,1388,1299,651,308,7759
LGA24130,740,486,334,468,608,537,440,245,79,3942,10228,5410,4469,6672,7838,7007,5937,2999,893,51458
LGA24210,982,771,667,778,885,778,673,579,352,6453,20146,14700,13388,16055,16718,15921,13063,10148,4558,124700
LGA24250,175,97,90,131,133,176,134,63,18,1013,1747,868,870,1127,1229,1703,1645,762,239,10178
LGA24330,909,706,1475,1060,783,618,397,224,130,6295,13259,9001,19257,15258,10931,8225,5253,2669,1348,85209
LGA24410,1183,772,840,907,848,764,527,396,293,6530,21021,12920,15033,16863,15364,13610,10760,6580,2883,115043
LGA24600,902,2516,4431,2168,1154,893,638,304,161,13177,10100,31487,52962,23170,11740,9236,6589,3141,1188,149615
LGA24650,3609,2177,2992,2769,1953,1220,752,334,133,15938,43589,22684,28329,30533,22490,15104,10748,4321,1154,178960
LGA24780,1231,719,775,753,736,733,584,355,227,6117,10544,6455,7619,6720,7076,7383,6137,3505,1526,56972
LGA24850,991,564,573,602,547,519,340,185,83,4399,10327,5890,7015,6535,6369,5923,4491,2186,730,49460
LGA24900,586,307,308,328,356,376,388,260,116,3023,5053,2947,3055,3039,3661,4402,4581,2735,1050,30522
LGA24970,1548,1727,2040,1415,1319,1078,850,771,593,11333,29584,27264,29254,25886,23735,19929,16273,12266,6204,190397
LGA25060,1205,970,1256,1097,1142,951,633,439,202,7911,19574,14211,18488,17538,16887,14095,10867,6913,3274,121851
LGA25150,654,329,354,363,406,344,291,132,52,2927,7585,4071,4763,5124,5068,4642,3898,1861,628,37632
LGA25250,1809,1350,2456,1774,1457,1016,676,550,404,11479,26507,19639,37163,28624,20756,15806,10596,7581,4682,171357
LGA25340,2331,1441,1182,1434,1873,1763,1789,1277,684,13776,27514,17256,14555,17834,22616,23203,24115,15833,6029,168948
LGA25430,255,197,355,339,326,284,277,193,131,2375,2853,1550,1730,2258,2808,3292,3353,1755,644,20253
LGA25490,267,179,163,144,203,210,206,110,51,1530,3298,1770,1729,1879,2273,2606,2377,1062,381,17374
LGA25620,252,160,117,177,268,292,236,111,26,1636,2202,1375,1291,1579,2145,2650,2410,1204,346,15197
LGA25710,690,493,277,439,576,565,374,207,80,3717,11669,8400,5573,7660,9874,9297,6646,2909,880,62895
LGA25810,218,113,153,119,154,196,185,137,97,1375,1800,1120,1348,1117,1458,1891,1804,1022,384,11948
LGA25900,834,733,1959,1534,1272,1026,656,460,299,8769,11625,8838,23118,18287,14681,11604,8050,4268,1468,101942
LGA25990,155,92,91,163,180,140,168,72,25,1087,1125,683,645,778,1123,1228,1302,602,195,7671
LGA26080,20,13,12,23,21,55,65,55,19,291,310,217,153,226,311,574,798,512,175,3276
LGA26170,515,259,231,300,312,406,383,232,105,2733,5135,2815,2628,3123,3917,4840,4817,2454,857,30577
LGA26260,276,136,126,143,162,162,177,129,71,1392,2819,1721,1660,1700,2006,2398,2342,1349,585,16588
LGA26350,792,874,1631,1020,864,738,570,472,330,7290,12012,12798,23743,15042,12626,10682,8975,6073,2749,104703
LGA26430,186,111,97,120,157,211,218,111,66,1278,1625,925,911,1137,1337,1947,2090,1068,433,11455
LGA26490,567,303,279,395,431,358,377,157,105,2979,7430,3651,3662,5371,5178,4936,4628,2099,738,37694
LGA26610,569,274,349,323,258,317,233,125,77,2524,4004,2293,3074,2672,2335,2852,2250,1321,597,21403
LGA26670,88,58,45,66,78,92,109,62,41,643,965,491,484,625,772,1116,1031,533,217,6223
LGA26700,496,273,250,273,302,313,276,200,95,2470,5205,3069,3051,3303,3859,4135,3858,2379,952,29808
LGA26730,620,392,326,412,375,328,269,216,129,3074,6179,3945,4509,4233,4444,4592,4080,2362,1065,35406
LGA26810,785,554,817,798,627,594,554,247,122,5108,7756,4695,5166,5206,5565,6671,6433,3105,1038,45639
LGA26890,68,29,19,46,63,55,64,38,15,393,674,301,358,393,513,693,621,319,141,4006
LGA26980,1307,1393,1453,1143,1141,957,806,632,562,9397,26949,22723,23627,23300,22674,18721,15256,10629,5471,169346
LGA27070,3565,2074,2449,2307,1989,1531,1076,777,496,16264,48706,27570,35876,37234,27849,22630,17191,9006,3332,229396
LGA27170,769,481,436,417,388,361,286,166,80,3381,8682,5372,5849,5438,5198,5034,4491,2334,846,43253
LGA27260,5875,3014,4329,4073,2413,1531,931,454,253,22860,74129,34051,51014,57085,31385,22013,14415,6061,1852,292011
LGA27350,752,720,1875,1105,823,698,458,227,118,6768,9530,9149,26917,15204,10219,8427,6200,3199,1268,90114
LGA27450,2091,1407,1286,1303,1506,1406,987,532,208,10728,29033,18154,19122,20374,21524,20271,16358,8550,2677,156068
LGA27630,96,69,57,59,74,93,90,87,57,680,1020,589,589,580,740,1127,1001,616,297,6556
LGA29399,21,81,78,30,32,15,15,11,0,269,85,229,258,121,105,77,56,16,3,955
LGA29499,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
LGA29799,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
