LGA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,5,13,7,0,0,0,0,0,0,0,52,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,19,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,14,45,16,8,8,10,0,0,0,0,0,6,0,0,5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,13,12,5,3,3,0,0,0,0,39,0,0,0,0,0,3,4,4,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,18,0,0,5,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,18,5,4,0,0,3,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,9,0,0,5,0,0,5,32,16,5,24,20,9,6,0,14,127,0,0,0,0,3,0,0,0,0,0,0,0,5,0,10,19,0,0,0,0,0,0,0,0
LGA20570,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,42,25,0,3,0,0,3,0,0,93,0,0,19,19,13,21,37,11,5,6,6,6,0,0,0,140,0,0,9,3,10,25,256,154,38,36,48,75,17,0,13,677,0,43,58,12,0,9,0,0,0,0,0,0,0,0,6,129,5,9,7,0,0,6,17,3,3,0,4,0,0,0,0,48,3,0,0,0,8,8,14,12,0,0,5,6,0,0,3,70,54,100,26,25,22,12,32,13,5,0,0,0,4,0,12,310,0,24,22,4,0,0,0,0,0,0,0,0,0,0,6,66,0,0,0,13,7,10,14,7,3,6,0,3,6,0,0,72,3,6,16,14,13,32,544,394,127,122,177,238,99,19,50,1846,0,3,0,3,8,12,22,28,3,3,0,4,3,0,0,90,0,0,0,0,7,0,23,19
LGA20660,0,0,0,0,0,11,4,6,10,0,0,0,0,0,0,30,0,0,0,5,3,11,27,16,0,5,3,3,0,0,0,64,0,3,5,28,26,38,54,49,9,13,5,9,0,5,0,248,0,20,17,13,336,464,1414,724,155,158,170,157,67,8,68,3780,0,33,198,54,15,44,4,3,0,0,0,0,0,0,10,362,4,39,69,18,31,31,19,14,0,6,8,0,4,0,4,245,0,0,3,12,18,17,32,14,0,0,0,3,0,0,0,95,96,123,62,29,27,35,59,31,0,14,8,6,0,7,16,512,29,259,530,96,37,9,19,32,0,9,6,6,0,0,31,1072,0,4,18,45,106,132,75,53,14,15,11,15,17,0,8,516,4,9,44,76,97,199,668,516,116,184,173,222,88,18,30,2450,0,11,9,5,32,66,93,30,11,12,15,11,16,0,7,309,0,0,0,6,49,36,167,331
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,8,3,11,9,14,11,0,0,0,0,3,0,0,59,0,3,4,0,7,4,22,18,7,0,4,13,8,0,0,84,0,5,12,9,0,0,0,0,0,0,0,0,0,0,0,29,0,3,9,0,0,8,0,0,0,0,0,0,0,0,0,23,0,0,0,4,4,4,0,6,0,0,0,0,0,0,0,18,30,69,42,13,28,6,18,13,0,3,0,4,4,0,7,227,0,12,46,11,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0,7,5,6,0,0,0,0,0,0,0,0,22,0,0,21,13,7,4,48,57,10,8,16,16,10,0,4,210,0,6,3,0,0,3,0,6,0,4,8,4,4,0,3,43,0,0,0,0,0,0,0,3
LGA20830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,13,10,13,9,6,0,4,0,0,3,0,69,0,0,3,0,4,11,27,22,17,14,3,8,0,0,9,136,0,10,15,11,0,4,0,0,0,0,0,0,0,0,0,40,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,3,5,5,12,0,0,0,0,4,0,0,0,34,48,86,36,15,27,12,17,11,0,0,0,0,0,0,12,268,0,6,18,7,0,0,0,0,0,0,0,0,0,0,3,32,0,0,4,3,6,6,4,5,0,0,0,6,3,0,0,21,5,3,8,10,10,16,129,71,9,16,23,24,3,0,0,332,0,0,4,0,0,5,15,7,0,6,4,12,10,0,0,56,0,0,0,0,0,5,0,3
LGA20910,0,0,0,0,7,9,4,4,3,0,0,0,0,0,0,29,0,0,0,0,8,5,4,0,3,0,4,0,0,0,0,25,0,4,16,45,47,42,97,52,19,16,12,6,0,3,4,362,11,14,13,22,192,287,597,495,148,170,145,179,98,14,53,2436,0,23,69,10,11,36,5,6,0,0,0,0,0,0,9,177,3,35,75,27,27,18,13,8,0,0,0,4,0,0,8,224,0,0,6,11,17,22,4,4,0,0,4,0,0,0,0,66,85,126,75,44,58,72,110,62,5,19,11,22,20,6,25,735,3,148,376,81,24,10,6,21,5,0,0,0,0,0,26,705,0,0,14,31,43,59,45,26,7,12,20,22,22,4,9,324,11,11,73,73,99,131,233,89,30,37,55,36,12,8,21,921,4,9,9,7,8,33,46,25,0,9,4,11,15,0,0,159,0,0,0,5,32,11,55,49
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,19,5,0,0,3,4,0,0,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,14,39,10,9,4,0,4,5,0,0,0,0,0,0,0,97,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,23,16,3,21,21,11,6,0,0,106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5
LGA21110,0,0,0,0,9,8,3,9,0,0,0,0,0,0,0,23,0,0,0,3,3,14,28,33,7,10,3,9,8,0,0,126,0,3,24,54,63,52,95,58,19,16,19,18,9,0,5,428,17,49,68,102,1272,1643,3660,2888,775,666,669,867,394,98,227,13393,4,30,87,14,5,20,4,0,0,0,0,0,0,0,4,176,7,48,59,22,37,28,44,24,0,6,3,10,0,0,0,288,5,6,18,16,50,27,24,6,4,0,0,0,0,0,3,160,116,104,60,41,58,44,79,40,6,10,10,14,8,5,8,601,29,483,811,129,33,17,12,26,0,3,0,6,3,0,34,1586,9,28,70,221,522,429,215,188,50,54,67,60,73,26,37,2046,19,15,119,183,250,405,999,567,223,295,340,389,149,28,46,4047,6,6,28,31,89,219,176,85,25,25,33,31,28,3,4,782,0,0,8,7,145,56,162,219
LGA21180,0,0,0,0,8,31,117,284,24,37,54,34,13,10,11,618,0,0,0,8,14,43,141,93,24,20,21,32,14,0,10,415,0,0,9,0,12,17,36,8,5,8,0,3,0,0,0,101,0,8,0,21,244,354,834,363,76,78,63,91,16,4,40,2202,8,122,1054,372,151,189,60,21,0,0,3,0,0,0,57,2035,11,82,119,111,133,110,158,119,4,4,16,16,16,0,25,924,0,0,0,30,169,110,125,58,11,17,23,30,7,0,19,614,252,241,73,35,35,42,44,13,0,0,5,4,0,0,21,786,7,370,1029,297,77,35,13,67,10,3,0,10,0,0,104,2031,6,0,4,35,175,148,95,47,0,3,9,9,3,0,9,538,5,0,151,201,336,414,2240,1276,478,545,977,1113,285,42,149,8209,0,6,4,18,64,146,120,48,13,16,13,15,7,0,7,478,0,0,6,8,18,21,55,272
