UCL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL201001,15693,20861,36556,5232,6165,11401,5999,13827,19826,6095,26623,32726,17260,59603,76859,18793,38351,57147,53368,29661,83033,51663,37776,89440,65078,43590,108660,78055,37782,115836,62110,34381,96488,65649,27638,93295,148752,48638,197385,118564,7530,126097,100959,13231,114190,68800,3628,72433,219986,21115,241100,61040,9825,70863,12712,12676,25384,1175801,492909,1668713
UCL203001,204,377,582,87,148,244,84,413,498,145,956,1102,469,2593,3067,664,1760,2427,1923,1083,3006,1766,1395,3165,2077,1432,3505,2434,1009,3448,1768,832,2599,1805,609,2407,3507,815,4323,2548,137,2692,2021,182,2205,1174,41,1220,2603,259,2862,1467,211,1676,332,500,832,27086,14769,41851
UCL203002,162,334,495,93,144,240,92,379,472,137,863,1003,465,2253,2722,586,1556,2146,1813,1019,2832,1734,1241,2976,2004,1269,3266,2272,890,3166,1638,736,2371,1688,576,2264,3663,743,4400,2589,137,2721,2024,140,2163,1135,42,1174,2226,199,2430,1432,200,1635,326,467,797,26085,13184,39271
UCL203003,365,644,1014,179,259,443,199,693,884,219,1493,1712,769,3881,4648,965,2567,3531,2762,1629,4392,2589,2029,4614,3083,2052,5139,3586,1652,5234,2614,1446,4062,2689,1089,3776,6104,1693,7800,4674,325,4996,3919,381,4303,2422,142,2562,5838,560,6395,2427,461,2891,547,849,1395,45942,23842,69783
UCL211001,59,130,190,29,53,83,31,131,163,61,339,398,176,824,996,229,526,752,666,377,1042,636,497,1137,723,479,1203,865,354,1224,634,269,899,690,191,883,1580,219,1795,1050,46,1093,667,54,723,437,12,451,722,57,775,552,44,596,119,187,302,9925,4766,14696
UCL211002,247,223,475,71,47,118,96,161,260,128,375,502,347,874,1220,485,549,1036,1225,375,1604,1198,598,1792,1411,671,2087,1767,482,2253,1417,379,1799,1436,265,1702,2883,308,3191,1921,53,1981,1162,62,1222,635,11,646,1160,64,1220,1034,61,1098,256,203,460,18894,5760,24655
UCL212001,58,76,138,18,25,40,22,49,73,24,128,148,102,355,460,109,233,349,318,136,456,299,173,469,366,182,549,428,166,597,340,134,477,352,85,437,871,143,1014,633,14,651,526,28,554,348,0,348,698,32,729,301,21,322,83,78,156,5896,2064,7964
UCL212002,41,61,100,29,23,48,17,63,85,33,147,178,85,364,456,91,201,290,321,146,469,236,173,407,267,164,424,335,93,426,225,108,330,237,53,290,472,100,572,311,8,322,211,19,235,128,0,134,277,28,303,233,22,258,67,120,185,3614,1892,5505
UCL212003,107,149,256,34,58,96,47,163,202,72,361,428,197,827,1024,228,565,789,771,352,1120,574,461,1034,760,430,1185,811,299,1101,565,247,814,582,169,752,1209,241,1453,798,41,845,533,52,583,300,14,313,614,78,688,586,54,633,180,299,479,8955,4853,13808
UCL212004,50,71,123,29,22,52,21,51,75,20,106,119,102,283,381,83,264,347,280,173,456,261,175,437,390,159,548,446,132,576,270,146,417,264,77,337,726,160,884,646,21,664,575,40,616,368,6,372,1076,63,1143,385,28,412,67,85,153,6056,2049,8107
UCL212005,154,158,314,53,77,130,45,220,263,83,418,500,267,996,1266,311,673,982,941,449,1389,860,561,1417,952,551,1503,1088,392,1474,772,322,1094,866,207,1075,1656,279,1932,1146,58,1202,779,70,844,447,13,459,972,125,1096,713,72,790,216,290,510,12303,5937,18240
