UCL_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL221016,3,0,4,0,0,4,0,5,0,20,0,0,10,10,0,3,0,0,0,16,3,3,19,0,3,3,10,10,0,43,10,11,23,3,7,4,3,7,0,73,13,10,8,4,3,0,3,0,0,55,3,0,4,0,0,0,0,3,3,23,4,0,3,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,70,19,19,12,23,26,8,240,0,0,0,5,0,11,0,3,0,21,0,0,4,0,0,5,0,0,0,16,0,13,4,9,11,5,0,0,0,48,11,24,0,16,24,3,0,3,0,81,5,8,5,8,16,0,0,0,0,42,3,5,0,10,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,51,17,50,58,30,0,9,0,239
UCL221017,0,0,3,0,0,0,0,0,0,14,0,0,8,0,0,4,4,0,0,17,0,4,12,5,0,0,8,5,0,33,4,0,9,5,0,3,3,4,5,33,5,4,10,3,0,0,9,6,0,42,9,3,13,0,0,4,12,9,0,43,11,3,3,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,60,13,4,15,34,31,0,201,0,0,0,4,0,3,0,0,0,10,0,6,0,3,4,4,0,0,0,18,0,4,0,7,3,6,0,0,0,34,0,10,4,7,4,0,0,0,0,26,3,5,0,9,7,10,0,0,3,37,7,3,3,10,4,6,0,13,0,47,3,3,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,7,54,32,25,0,23,3,188
UCL221018,0,0,0,0,0,0,0,5,0,9,0,0,6,0,0,0,0,6,0,10,0,0,5,0,0,9,0,5,0,26,0,6,8,0,0,0,0,0,0,22,11,3,9,6,0,0,14,7,0,43,16,0,14,5,3,3,10,7,0,51,7,3,4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,20,43,11,7,13,34,33,4,194,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,10,0,9,0,0,4,3,0,10,0,28,0,4,4,7,0,5,0,0,0,20,0,5,3,8,11,4,0,11,0,41,3,6,0,12,12,3,0,4,0,41,7,3,0,5,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,10,28,31,18,0,36,0,173
UCL221019,0,0,6,0,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,10,3,5,8,5,0,0,0,8,0,32,0,0,7,4,0,0,0,5,0,27,4,13,3,5,0,0,0,4,0,28,6,4,12,0,6,0,9,4,0,37,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,39,10,8,5,11,26,0,149,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,5,4,0,11,0,0,0,0,0,26,0,14,0,6,5,3,0,7,0,34,7,14,0,4,9,4,0,3,0,40,6,8,3,8,6,3,0,4,0,45,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44,8,38,26,18,3,21,3,168
UCL221020,0,0,5,0,0,5,0,0,0,10,0,0,4,0,0,0,0,3,0,11,3,0,9,5,0,3,7,6,0,22,3,0,3,0,0,0,10,0,0,19,0,0,5,0,0,0,9,9,0,28,4,4,11,4,0,3,4,5,0,33,0,3,9,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,8,37,11,3,12,27,30,0,142,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,14,0,3,0,3,0,0,0,0,0,12,0,11,0,8,0,5,0,0,0,28,4,9,0,8,7,0,0,5,0,29,3,9,4,16,6,3,0,6,0,52,0,7,0,4,3,0,0,6,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,35,10,39,19,11,4,20,0,157
UCL221021,0,0,0,0,0,0,0,7,0,6,0,0,6,0,0,0,6,3,0,15,7,0,22,0,0,6,5,6,0,44,0,0,14,3,0,0,3,6,0,33,3,0,8,4,0,0,4,3,0,25,8,5,6,3,0,0,5,6,0,38,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,51,13,3,12,20,39,8,177,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,6,0,0,0,17,6,15,0,14,3,3,0,0,0,45,5,11,0,12,8,9,0,11,0,40,0,7,0,7,6,3,0,4,0,35,4,9,0,5,6,0,0,4,0,27,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,5,39,23,28,3,23,0,182
UCL221022,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,3,0,8,8,5,10,0,0,0,0,4,0,26,0,0,6,0,0,5,0,3,0,15,15,4,7,0,0,0,7,0,0,34,3,0,7,0,0,0,6,4,0,22,3,5,0,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,34,11,4,8,11,16,0,129,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,10,0,0,0,4,0,0,0,18,4,10,4,0,3,6,0,0,0,28,7,9,0,5,4,4,0,3,0,30,3,3,4,4,5,0,0,0,0,18,0,8,0,5,4,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,10,20,22,12,0,9,0,120
UCL221023,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,8,0,0,4,0,0,0,0,0,0,6,3,0,10,3,4,0,4,0,0,26,3,0,3,0,0,3,3,7,0,25,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,18,10,3,5,16,18,3,82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,8,0,4,0,0,0,0,0,0,0,8,0,0,0,3,0,4,0,0,0,16,3,0,0,6,0,0,0,6,0,25,0,0,0,7,6,5,0,7,0,26,0,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,22,13,19,3,19,0,90
UCL221024,0,0,3,0,0,0,0,0,0,10,0,0,10,0,0,5,0,5,0,16,3,0,5,5,0,4,5,0,0,21,0,7,6,0,0,0,0,0,0,26,0,13,13,0,0,0,0,3,0,33,7,13,10,3,6,6,8,10,0,58,3,6,3,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,37,46,14,13,13,19,26,3,186,0,0,0,7,0,5,0,3,0,17,0,0,0,7,0,0,0,0,0,15,3,11,0,3,3,3,0,0,0,26,0,6,0,3,5,0,0,0,0,19,3,11,0,14,7,8,0,3,0,48,10,13,0,8,18,4,0,3,0,56,0,7,0,4,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,4,43,33,26,0,18,0,195
UCL221025,0,0,4,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,6,3,9,10,6,0,0,0,0,0,30,4,3,4,0,0,0,6,0,0,21,0,0,0,7,0,3,9,8,0,23,10,4,4,0,0,0,7,0,0,30,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,24,17,21,12,3,10,24,23,7,136,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,7,0,8,3,3,3,0,0,8,0,24,4,7,0,5,7,4,0,3,0,17,0,0,0,6,13,4,0,4,5,27,3,13,0,8,6,0,0,4,0,33,0,5,0,5,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,4,19,24,5,0,21,8,122
UCL221026,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,11,4,0,8,4,3,0,4,7,5,29,6,0,5,4,0,0,0,0,0,20,9,0,7,0,0,0,4,3,0,28,0,0,17,0,4,6,5,4,5,31,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,40,10,4,10,16,22,12,126,0,0,0,4,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,12,4,7,0,3,4,0,0,3,0,21,3,4,0,4,3,0,0,0,0,20,6,0,0,7,5,8,0,3,0,34,4,3,0,13,3,3,0,4,0,34,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,8,30,14,19,4,17,0,128
UCL221027,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0,0,0,6,3,0,8,0,0,3,4,11,0,33,7,5,0,0,0,0,0,0,0,17,6,4,9,0,0,0,7,7,0,31,11,0,3,0,0,3,7,0,0,25,0,0,0,0,0,0,5,0,0,12,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,12,32,3,3,11,27,13,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,12,0,5,0,3,3,0,0,6,0,17,4,8,0,5,3,0,0,3,0,24,0,3,0,6,6,4,0,4,0,15,9,4,0,6,12,0,0,10,3,37,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,3,23,20,6,0,17,5,117
UCL221028,0,0,3,0,0,0,0,0,0,10,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,7,3,3,3,0,0,0,0,0,19,8,7,0,0,4,0,0,6,0,28,23,10,12,0,0,0,6,8,0,56,15,20,0,0,0,8,0,0,0,43,4,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,63,53,25,9,4,13,0,17,3,184,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,5,5,5,0,0,0,0,0,11,0,7,0,0,4,0,0,0,0,13,5,13,0,0,5,7,0,0,0,31,11,14,0,4,9,4,0,0,0,41,8,15,0,0,7,4,0,0,0,24,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,45,9,12,26,17,0,4,0,130
UCL221029,0,0,5,0,0,4,0,5,0,14,0,0,7,0,0,3,0,3,0,15,0,4,19,0,0,0,8,10,4,42,5,0,13,0,0,0,10,8,0,26,6,4,12,0,0,0,3,4,0,35,3,4,9,3,0,0,16,4,0,40,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,59,7,4,11,43,34,6,184,0,0,0,5,0,5,0,0,0,9,0,0,0,8,4,6,0,4,0,22,5,8,0,15,10,3,0,0,0,38,4,13,3,6,3,4,0,0,0,32,8,6,3,5,12,0,0,0,0,40,0,11,0,9,9,3,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,12,41,37,19,0,9,4,179
UCL221030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,7,3,3,10,3,0,0,9,9,0,30,0,3,4,0,7,3,4,0,0,22,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,4,6,6,12,8,9,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,5,0,0,0,9,0,0,0,3,0,0,0,6,0,19,6,3,0,10,3,8,0,4,0,26,0,5,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,11,7,12,0,9,0,75
UCL221031,0,0,4,0,0,0,0,5,0,12,0,0,6,0,0,0,3,0,0,6,3,4,12,4,0,0,4,0,0,30,12,6,20,0,0,0,3,4,0,38,6,0,13,3,4,5,7,0,0,32,4,4,6,0,0,0,4,4,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,57,11,5,3,25,10,3,150,0,0,0,0,0,7,0,0,0,9,0,0,0,5,0,0,0,0,0,6,6,10,5,4,0,0,0,3,0,25,6,18,4,3,12,0,0,0,0,41,6,8,0,4,8,0,0,0,0,31,3,6,4,0,5,4,0,0,0,21,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,13,16,35,11,0,6,0,146
UCL221032,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,7,5,0,0,4,0,0,15,8,7,8,0,0,0,6,5,0,31,5,6,14,3,0,0,4,0,0,28,5,0,0,4,0,0,9,5,0,21,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,30,9,3,3,20,18,0,125,0,0,0,0,0,0,0,4,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,15,0,11,0,7,7,4,0,0,0,31,9,9,0,6,7,6,0,0,0,32,0,4,0,8,4,0,0,5,0,16,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,4,26,15,17,0,7,0,113
UCL221033,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,5,0,4,25,6,0,3,0,0,0,4,0,0,11,0,0,0,0,0,0,6,4,0,12,4,4,4,0,0,0,4,6,0,31,6,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,16,5,3,0,24,18,3,105,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,0,18,0,3,0,4,0,0,0,3,0,16,3,0,0,3,7,0,0,0,0,15,4,4,4,4,5,3,0,5,0,31,0,3,0,4,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,7,21,11,10,0,13,0,96
UCL221034,0,0,3,0,0,3,0,5,0,12,0,0,4,0,0,9,0,0,0,24,0,0,3,0,0,3,13,0,0,26,13,8,21,0,0,0,16,10,4,68,9,4,22,5,0,0,18,3,0,64,7,6,9,5,9,4,9,0,0,49,5,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,66,6,16,25,53,26,8,253,0,0,0,5,0,4,0,3,0,16,0,5,0,6,4,3,0,0,0,20,3,4,4,3,5,0,0,0,0,20,6,13,3,12,27,8,0,0,0,63,6,14,4,9,21,3,3,0,0,70,0,0,0,3,5,0,0,0,0,21,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,11,41,67,23,5,8,5,207
UCL221035,0,0,3,0,0,0,0,3,0,11,5,0,0,0,0,0,3,4,0,9,0,0,9,4,0,0,5,5,0,20,0,0,4,0,5,0,8,5,0,23,3,3,4,0,3,0,8,11,0,34,4,0,8,0,0,3,4,6,0,26,4,0,0,0,5,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,25,6,13,3,24,32,3,127,0,0,0,0,0,0,0,3,0,3,0,4,0,6,0,3,0,0,0,10,0,0,4,7,0,0,0,3,0,16,0,0,0,3,0,0,0,7,0,21,0,6,0,4,6,0,0,3,0,31,3,0,0,0,0,6,0,5,0,23,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,28,16,16,0,19,0,106
UCL221036,0,0,0,0,0,3,0,0,0,14,3,0,7,0,0,0,0,0,0,11,4,11,14,0,4,0,4,0,0,36,6,5,16,0,0,0,0,0,0,36,13,10,12,0,6,5,0,9,0,50,9,4,10,0,0,4,7,5,0,42,0,7,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,58,5,7,12,19,29,4,204,0,0,0,5,0,9,0,0,0,13,0,0,0,0,0,0,0,3,0,14,4,13,0,7,3,0,0,0,0,26,4,16,0,3,8,4,0,3,0,40,8,11,0,6,10,9,0,0,0,41,3,8,0,6,10,4,0,7,0,35,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,52,0,33,33,22,0,18,3,179
UCL221037,0,0,3,0,0,0,0,9,0,13,0,0,7,0,0,4,0,0,0,16,9,5,4,0,0,0,6,4,0,28,9,3,3,0,0,0,6,6,0,25,3,9,3,4,0,0,0,4,5,26,11,0,9,0,5,4,4,0,0,30,15,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,13,25,8,8,12,23,22,3,155,0,0,0,3,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,7,0,14,0,4,3,0,0,3,0,25,5,3,0,7,9,0,0,3,0,25,0,13,0,7,11,0,0,0,0,38,5,4,0,8,6,3,0,6,0,29,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,3,28,27,14,0,9,0,143
UCL221038,0,0,8,0,0,0,0,0,0,13,0,4,11,0,0,0,0,4,0,17,0,0,17,4,0,0,7,8,0,39,7,6,26,4,0,3,0,8,3,57,9,9,21,7,3,6,13,5,0,69,10,7,8,0,0,0,7,5,0,39,0,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,100,18,6,8,25,33,3,243,0,0,0,4,0,6,0,4,0,13,0,0,0,4,0,0,0,0,0,10,3,5,9,10,6,3,0,6,0,36,5,10,0,13,16,0,0,0,0,45,4,11,0,14,16,4,0,4,0,61,0,7,0,0,11,3,0,0,0,23,0,4,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,13,42,55,17,0,16,5,190
UCL221039,0,0,6,0,0,0,5,0,0,15,3,0,3,0,0,0,0,4,0,14,3,0,12,4,0,0,3,6,0,31,6,7,6,0,3,3,3,0,0,30,7,3,13,0,3,0,3,4,0,34,8,0,6,3,0,3,4,4,0,34,10,0,5,0,0,0,6,3,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,10,47,13,8,13,25,20,0,181,0,0,0,0,0,0,0,3,0,7,0,0,0,8,6,3,0,4,0,13,6,9,0,5,3,4,0,0,0,33,4,8,5,11,3,5,0,0,0,27,6,10,0,11,0,0,0,3,0,36,6,6,3,3,4,3,0,4,0,40,0,0,0,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,42,3,42,30,13,3,22,5,172
UCL221040,0,0,6,0,0,0,0,6,0,8,0,0,5,0,0,4,0,4,0,10,0,3,10,3,0,0,0,3,0,21,0,0,7,4,0,0,0,7,0,15,7,4,13,0,0,0,5,10,0,36,14,5,7,7,0,7,3,0,0,30,0,0,4,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,46,17,5,12,8,22,0,138,0,0,0,4,0,11,0,0,0,15,0,0,0,7,0,0,0,0,0,6,3,7,0,0,3,0,0,0,0,16,0,5,4,8,0,0,0,0,0,27,7,9,0,4,9,9,0,5,0,40,11,9,0,3,3,0,0,8,3,37,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,0,33,20,17,0,12,7,145
UCL221041,0,0,5,0,0,0,0,0,0,4,0,0,5,0,0,0,0,3,0,6,5,6,16,0,0,5,4,8,0,40,4,4,14,3,0,0,5,3,0,36,5,0,14,3,0,0,6,0,0,38,4,0,11,0,0,0,10,6,0,30,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,64,9,5,8,34,24,3,175,0,0,0,9,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,11,4,11,3,0,0,0,0,29,0,8,0,4,7,5,0,0,0,27,0,3,4,8,9,5,0,0,3,34,0,8,0,9,3,4,0,0,0,25,0,3,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,16,40,29,14,0,8,6,148
UCL221042,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,14,5,0,11,0,0,0,3,15,0,33,9,6,4,0,0,4,0,8,0,29,3,6,0,0,0,0,7,10,0,25,3,0,7,0,0,0,8,3,0,25,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,37,3,0,8,18,44,4,144,0,0,0,0,0,4,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,3,4,0,5,6,0,5,4,17,4,7,0,3,3,0,0,4,0,24,4,9,0,5,8,7,0,0,0,25,0,3,0,8,4,3,0,5,0,28,0,0,0,0,5,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,7,18,21,11,0,19,5,115
UCL221043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,0,0,8,3,0,0,0,0,0,10,7,4,11,0,0,0,3,3,0,32,13,4,13,9,0,9,10,5,3,54,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,31,14,5,13,12,15,3,124,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,4,0,0,4,3,10,8,6,8,8,0,5,4,42,4,4,4,12,10,6,0,7,0,41,0,3,0,0,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,11,28,20,6,0,11,4,108
