SA2_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
201011001,25,553,21,112,59,20,0,10,0,799,20,311,4,91,28,6,0,5,0,471,105,119,10,58,291,57,7,19,9,679,38,130,10,195,74,34,6,25,4,516,10,31,6,18,20,15,0,8,0,107,21,3,51,34,35,22,3,13,7,182,0,0,0,0,0,0,0,0,0,0,6,5,7,9,9,0,5,3,0,39,3,11,3,8,3,5,0,0,11,47,266,1226,127,538,555,185,25,100,29,3051,29,55,11,17,17,7,0,3,5,147,32,87,14,9,24,15,7,12,0,199,132,93,296,18,27,27,71,62,8,730,63,10,220,7,4,6,21,30,5,357,25,18,21,11,6,7,11,15,0,118,37,755,23,145,63,24,3,15,3,1076,55,418,9,93,28,8,7,12,0,633,262,287,43,93,351,119,33,41,13,1241,55,196,20,275,101,42,17,41,6,749,13,54,17,25,22,26,0,11,0,171
201011002,39,462,10,75,27,18,0,5,5,636,29,241,0,51,20,5,0,3,4,354,75,101,9,32,141,27,4,9,9,393,48,171,4,100,46,15,0,3,3,397,12,54,5,9,20,16,0,5,5,129,8,0,25,27,15,15,4,3,0,95,0,0,0,0,0,0,0,0,0,0,4,16,6,5,13,0,0,0,3,38,0,9,0,3,9,7,0,0,0,26,260,1104,76,319,319,95,10,45,23,2255,21,63,8,5,16,3,4,5,0,130,24,45,24,3,5,4,3,4,0,116,86,76,92,15,18,13,26,26,6,360,61,30,111,4,7,5,8,16,5,253,35,12,17,4,6,6,5,8,0,107,55,692,18,109,34,16,0,7,4,941,49,335,7,62,31,6,0,9,4,502,225,217,28,39,187,71,11,14,11,803,81,260,13,147,61,23,8,9,7,604,23,95,19,17,27,20,10,12,5,231
201011005,16,180,11,39,22,11,0,0,0,282,22,158,3,39,17,0,0,8,0,245,48,49,4,10,103,21,3,6,3,252,21,79,4,76,25,7,0,5,3,220,9,19,0,5,11,7,0,6,0,49,6,7,11,6,14,7,0,7,0,54,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,19,0,4,0,3,4,5,0,0,3,21,151,530,35,193,214,68,11,23,17,1247,19,30,3,7,6,0,0,7,0,73,26,55,10,0,8,4,0,3,0,108,63,50,122,20,10,10,32,19,4,323,24,10,92,4,4,3,10,12,0,165,16,14,13,4,8,3,0,8,4,69,26,230,15,47,22,12,0,3,3,358,41,240,3,42,25,5,4,9,3,369,116,115,17,19,123,35,12,14,3,450,31,125,4,103,43,8,0,10,3,336,12,39,5,9,8,10,3,10,0,95
201011006,14,229,9,95,32,13,0,4,0,403,12,142,3,61,12,11,0,3,0,248,45,71,17,39,149,38,0,20,3,380,26,60,0,185,41,25,6,22,4,372,8,18,0,5,15,8,0,5,0,59,14,3,36,31,14,16,0,16,0,130,0,0,0,0,3,0,0,0,0,6,3,5,0,4,9,5,0,6,0,24,4,0,3,4,11,4,0,4,3,32,137,554,81,436,308,132,10,88,16,1773,0,20,9,3,7,3,0,5,4,57,12,49,20,7,10,0,7,12,0,115,57,36,238,18,17,23,47,45,0,481,30,9,204,10,10,13,15,25,6,318,15,9,17,5,13,5,11,8,0,78,21,287,23,116,41,11,0,10,0,504,24,192,6,70,23,16,0,7,0,330,94,110,29,54,177,59,22,38,3,599,29,91,6,241,48,33,12,32,6,497,14,26,10,6,14,9,3,4,0,102
201011007,7,104,8,34,18,5,0,6,0,171,7,50,5,24,10,0,0,0,0,100,32,32,7,12,53,3,0,7,0,145,12,42,0,68,19,4,0,3,0,158,0,0,0,4,3,6,0,0,0,15,5,3,6,8,11,3,4,0,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,4,0,0,0,0,0,0,5,0,9,79,243,30,164,136,29,9,25,6,720,6,6,0,3,0,3,0,0,0,18,5,17,6,3,5,4,0,0,0,35,40,19,148,10,8,8,32,25,4,294,21,4,95,0,3,0,10,11,5,151,14,9,14,4,9,10,0,9,0,68,13,115,9,39,20,5,0,6,0,204,11,73,5,24,10,6,0,4,0,140,58,46,11,11,63,15,8,6,3,229,26,53,4,81,19,6,0,5,0,197,5,4,7,7,7,5,0,0,0,29
201011008,13,204,15,114,40,18,0,8,0,413,29,135,7,78,22,7,0,3,0,277,53,54,12,48,159,53,0,18,7,403,18,90,16,233,66,25,0,28,3,482,9,16,9,4,14,5,6,4,0,65,18,3,49,39,31,26,0,23,0,185,0,0,0,0,0,0,0,0,0,3,0,8,3,5,5,3,0,3,0,24,3,4,5,11,16,11,0,10,5,52,148,543,132,549,374,153,14,114,20,2045,11,9,14,7,5,9,0,8,0,61,5,35,12,9,11,6,5,9,0,91,62,43,289,28,23,19,73,73,7,623,38,5,198,5,9,10,25,29,5,323,17,11,33,0,8,14,20,27,4,124,19,247,20,135,45,23,6,20,0,518,42,208,7,89,21,4,5,7,0,386,100,92,30,76,190,82,21,44,11,639,31,119,21,280,82,30,13,47,5,627,8,33,13,9,23,14,7,16,0,126
201011481,12,187,10,64,21,7,3,6,0,313,19,124,3,57,14,6,0,6,0,231,55,42,8,27,101,20,0,8,4,264,24,97,7,125,41,18,0,17,7,333,6,27,17,15,13,16,0,0,0,102,8,0,29,29,13,16,3,10,0,121,0,0,0,0,0,0,0,0,0,0,3,8,0,3,6,5,0,0,0,29,3,0,4,8,0,5,0,3,3,26,153,530,94,351,227,102,9,58,17,1540,10,34,11,8,5,7,3,4,0,73,11,46,12,9,15,7,8,5,4,114,40,34,155,15,10,10,37,31,6,343,32,13,131,0,4,4,6,18,5,226,14,9,21,3,3,8,9,10,0,73,27,232,19,82,22,11,6,4,0,405,27,180,11,61,12,6,4,9,0,317,110,95,30,38,134,36,13,20,8,477,45,133,11,160,50,22,12,21,7,463,15,52,26,26,33,25,4,4,3,183
201011482,37,395,16,112,53,12,0,8,0,635,36,320,3,81,26,0,4,3,0,469,104,129,9,38,191,35,0,11,0,517,59,156,11,139,79,19,4,10,7,487,21,58,7,15,17,18,0,7,0,142,18,3,46,30,32,18,4,11,0,165,0,0,0,0,0,0,0,0,0,5,4,7,0,6,4,3,0,0,0,29,6,3,0,4,11,3,0,3,9,40,297,1143,122,438,449,118,18,67,27,2682,22,73,17,15,13,6,0,10,0,170,25,47,10,4,19,7,8,7,0,136,100,95,223,6,27,21,61,46,10,582,73,29,228,4,10,9,20,26,5,405,29,26,32,9,20,11,3,20,3,146,53,540,18,148,59,15,0,17,0,866,70,445,9,88,33,12,5,3,6,664,251,285,28,58,239,73,13,26,6,981,82,223,21,202,91,27,13,20,15,697,33,118,15,32,27,17,3,16,7,266
201011483,16,235,13,96,27,7,4,0,3,402,22,212,3,71,26,21,0,0,3,361,47,85,4,35,181,33,4,10,0,401,30,137,6,179,72,23,4,12,4,468,16,44,11,20,15,11,0,4,0,116,10,3,39,32,25,23,0,17,0,148,0,0,0,0,0,0,0,0,0,3,3,10,0,8,11,0,0,0,0,30,0,0,4,3,11,4,0,0,4,34,157,786,107,453,389,128,14,71,17,2120,17,58,13,13,14,3,0,6,0,120,24,90,26,9,19,9,15,11,0,193,59,77,162,19,30,22,37,38,0,437,16,15,149,4,4,8,9,25,3,246,11,25,25,3,5,5,8,9,0,90,23,302,16,122,27,11,8,5,3,521,41,296,11,83,36,26,3,8,4,498,123,173,30,52,215,54,21,25,7,696,51,208,10,241,85,36,8,25,4,678,23,81,18,34,25,24,3,13,0,222
201011484,5,163,14,85,18,12,3,6,3,301,9,111,0,65,17,15,0,8,0,228,47,40,16,33,143,35,3,10,9,336,22,80,10,220,55,33,3,31,5,456,3,19,6,16,19,6,0,0,0,69,9,4,27,50,26,22,0,26,0,162,0,0,0,0,0,0,0,0,0,6,7,0,0,6,8,5,0,6,0,28,0,4,5,10,7,7,5,6,3,53,116,425,96,492,302,149,23,105,21,1745,3,12,11,3,5,10,0,0,0,47,21,43,24,0,14,3,12,8,3,122,18,31,236,10,17,24,53,51,4,444,20,6,181,3,3,9,12,30,6,275,11,7,21,5,0,9,5,10,4,69,10,187,16,106,21,11,3,9,3,377,17,134,3,79,16,13,3,10,3,284,95,80,25,41,175,56,18,36,13,544,35,112,18,282,61,33,16,40,6,602,11,44,16,14,20,14,7,13,0,144
