CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED201,12474,20164,5591,480,38709,8049,1095,47854,1258,712,428,58,2459,2443,122,5021,712,839,419,49,2019,779,135,2931,1973,1548,846,107,4480,3223,255,7959,128,72,68,3,267,383,20,671,70,25,45,3,151,221,14,385,46,20,39,5,106,134,11,243,40,6,20,0,63,102,5,170,11,10,9,0,31,27,0,56,290,134,173,19,613,870,46,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,22,22,4,47,8,3,4,0,22,22,4,47,6,7,4,0,14,22,0,37,14753,21860,6620,606,43837,12185,1397,57422
CED202,15109,15384,6161,490,37143,13054,1751,51946,875,425,518,58,1871,2878,204,4956,119,60,84,5,266,264,48,584,999,478,601,59,2142,3147,253,5537,140,40,88,11,285,804,36,1123,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,3,3,0,12,9,0,16,165,45,102,8,320,864,44,1234,9,6,6,0,22,43,4,68,11,0,0,0,13,41,0,59,5,0,0,0,5,4,0,8,20,17,10,0,49,32,4,87,45,22,22,0,92,121,8,226,29,21,0,0,50,41,5,101,16355,15948,6890,560,39753,17221,2063,59035
CED203,15953,15382,6435,569,38342,14402,1677,54416,451,217,309,36,1021,2153,139,3322,113,44,67,9,241,201,46,486,566,266,376,41,1254,2362,186,3804,68,27,43,4,141,260,13,418,8,4,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,13,0,22,80,25,46,4,159,281,14,456,21,6,0,0,22,58,0,83,34,21,0,0,53,25,0,84,5,0,0,0,3,8,0,13,25,14,7,3,47,38,9,99,77,44,10,4,135,127,11,279,34,14,4,0,50,48,8,109,16712,15739,6875,620,39945,17219,1897,59059
CED204,11226,20982,6116,595,38924,7676,1513,48108,1053,1341,638,72,3101,1988,240,5329,516,936,323,50,1831,463,140,2433,1570,2284,959,120,4930,2451,375,7758,354,384,241,35,1006,835,119,1955,62,39,33,3,136,120,21,284,19,17,19,0,56,41,10,106,0,0,0,0,0,0,0,0,6,5,8,0,18,9,0,33,445,437,297,40,1216,1011,146,2378,0,0,0,0,0,0,0,0,7,6,6,0,21,69,0,90,0,0,0,0,0,0,0,0,0,3,3,0,16,10,0,24,7,9,13,3,35,82,3,117,10,15,4,5,30,23,8,57,13257,23724,7391,762,45135,11246,2047,58429
CED205,8877,25477,6594,614,41562,6322,1071,48957,439,757,384,45,1622,772,65,2460,546,812,411,58,1824,620,141,2583,984,1568,796,99,3445,1390,202,5039,183,299,190,23,695,303,43,1045,0,0,0,0,0,0,0,0,21,29,25,3,67,52,6,128,0,0,0,0,0,0,0,0,4,3,0,0,13,15,0,29,206,334,212,25,776,375,50,1208,0,0,0,0,3,43,0,47,4,0,0,0,5,57,0,63,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,5,6,6,4,0,12,106,0,115,8,18,8,0,37,22,3,58,10080,27398,7609,745,45831,8211,1333,55380
CED206,15103,20247,5964,424,41737,9981,1071,52796,374,154,225,16,767,1266,40,2067,243,120,121,6,492,328,27,849,616,275,343,21,1256,1590,71,2919,39,25,11,4,81,164,5,245,0,0,3,0,3,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,28,28,0,50,57,32,20,4,113,201,5,313,10,0,0,0,10,52,0,66,23,4,0,0,26,92,0,114,0,0,0,0,0,0,0,0,4,6,0,0,18,12,0,28,40,15,5,0,58,153,0,216,20,14,9,0,37,26,3,71,15835,20582,6335,450,43202,11956,1153,56307
CED207,11034,18490,4785,563,34869,7440,1941,44246,1338,1157,447,66,3005,2150,252,5407,1104,1716,530,88,3442,787,436,4662,2441,2879,980,151,6449,2937,688,10072,1302,1635,587,107,3632,2241,270,6147,472,127,106,35,740,748,146,1640,656,142,163,47,1011,1118,173,2304,395,125,107,29,653,476,139,1263,13,9,3,0,27,20,0,49,2833,2040,970,216,6060,4608,727,11399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,17,8,4,32,7,10,0,0,17,9,4,28,5,3,0,0,11,33,9,47,16324,23422,6733,929,47405,15021,3365,65793
CED208,8437,12945,3852,546,25774,7326,2247,35348,2004,1563,788,143,4500,3605,657,8759,2407,1778,740,146,5067,2357,737,8158,4412,3346,1527,282,9564,5963,1396,16920,858,331,269,64,1515,2925,305,4744,347,99,81,21,555,861,124,1542,823,238,174,38,1276,1555,210,3042,83,16,17,13,133,276,34,440,10,13,0,0,22,11,0,32,2118,693,543,138,3502,5631,674,9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,79,49,33,4,163,137,55,353,79,49,33,4,166,138,55,356,6,3,8,0,18,21,6,45,15058,17031,5958,982,39029,19079,4374,62474
CED209,16491,17645,4885,410,39429,10334,1585,51352,661,242,234,23,1167,1556,76,2802,278,125,124,3,529,294,36,855,938,373,360,27,1696,1849,111,3656,52,13,10,0,69,120,17,204,13,4,0,0,16,21,0,37,3,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,3,0,0,0,8,8,0,17,72,17,8,0,98,147,12,260,12,0,3,0,16,26,0,44,21,3,8,0,39,103,0,145,0,0,0,0,0,3,0,8,7,4,0,0,15,7,0,21,39,11,13,4,68,145,9,215,17,14,3,0,37,26,3,70,17557,18055,5271,437,41320,12505,1725,55553
CED210,13516,16043,6484,602,36646,12532,2004,51184,1112,492,516,66,2182,3967,269,6422,428,238,164,24,852,563,135,1551,1543,726,680,88,3033,4532,406,7973,290,132,144,17,579,1111,74,1774,23,7,8,0,43,106,11,163,65,19,13,3,94,185,23,300,57,4,4,5,68,59,7,134,5,0,0,0,8,6,0,11,440,159,161,26,796,1470,120,2382,0,3,0,5,5,30,0,37,37,6,12,0,53,143,4,203,0,0,0,0,0,0,0,5,30,33,8,0,75,42,10,123,63,44,21,7,139,214,20,367,15,12,4,0,39,47,5,88,15581,16987,7352,724,40643,18797,2553,61989
