CED_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
CED201,5,0,0,5,0,0,0,3,3,44,6,62,0,0,0,9,0,5,0,4,0,7,0,28,0,5,0,4,0,3,0,6,6,20,0,51,0,0,0,0,0,3,0,16,0,22,0,35,4,3,0,3,0,0,0,14,0,35,0,70,0,8,0,10,0,10,0,35,5,47,3,117,7,12,0,22,0,37,0,71,14,87,0,253,9,42,5,29,0,93,7,80,11,100,3,373,20,69,7,80,3,185,10,123,26,175,3,713,48,110,15,229,26,307,15,115,32,187,3,1081,64,93,10,298,35,317,25,99,35,124,5,1113,134,103,12,401,39,364,25,82,12,127,0,1294,548,201,35,1110,145,718,56,161,27,207,0,3206,753,154,26,1337,154,353,50,105,19,119,0,3073,852,85,22,1154,135,351,28,55,7,75,4,2775,699,60,12,689,89,157,16,31,9,41,0,1805,2033,100,36,1448,216,569,33,61
CED202,3,0,0,0,0,0,0,0,0,14,0,27,0,0,0,0,0,0,0,4,0,4,0,9,6,0,0,0,0,5,0,0,0,5,0,19,0,4,0,0,0,0,0,9,0,6,0,18,0,0,0,4,0,4,0,11,0,21,0,50,0,3,0,4,0,12,0,22,0,34,0,76,3,9,0,10,4,38,0,54,8,92,0,220,8,26,0,32,9,60,5,73,16,92,0,322,18,48,8,69,18,172,6,107,21,151,3,622,35,79,0,286,30,268,24,119,30,134,4,1017,47,88,9,334,48,283,14,79,18,97,0,1027,87,78,16,441,62,266,23,64,15,73,0,1129,407,177,14,1055,126,456,52,92,30,112,0,2522,532,133,28,982,145,176,37,51,6,50,5,2145,503,67,12,828,121,171,38,31,11,26,0,1816,444,34,14,420,71,62,19,11,8,14,0,1095,1048,71,23,937,148,256,19,33
CED203,3,0,0,5,0,7,0,3,0,15,0,33,0,0,0,0,0,0,0,4,0,13,0,18,0,0,0,0,0,0,0,5,0,11,0,23,0,0,0,0,0,0,0,0,0,12,0,15,0,6,0,0,3,0,0,5,0,21,0,35,0,4,0,3,0,10,0,24,0,30,0,78,4,5,0,14,0,31,4,54,5,75,0,193,5,33,3,32,5,79,3,60,16,96,4,343,21,68,0,65,3,154,8,106,12,131,0,567,44,91,12,233,41,253,23,127,29,153,3,1026,45,74,13,348,43,251,17,77,22,95,0,983,133,101,7,445,80,226,22,66,16,70,3,1167,459,186,30,1082,130,430,60,99,48,105,7,2633,511,131,30,1045,145,171,54,57,10,62,3,2218,484,93,30,811,120,159,41,20,16,30,0,1809,416,52,17,431,67,62,27,16,9,18,0,1113,945,79,13,775,121,237,31,26
CED204,4,0,6,0,0,10,0,5,6,147,0,179,0,0,0,0,0,0,0,3,0,26,0,38,0,0,0,0,4,3,0,8,7,44,0,73,0,0,0,0,0,7,0,22,5,41,0,76,0,4,0,3,0,11,0,23,0,118,3,165,0,4,0,8,0,32,0,76,18,131,3,275,7,20,4,17,0,99,0,132,27,235,3,547,8,41,10,23,12,282,3,207,25,235,9,851,25,88,4,72,13,514,11,236,49,333,13,1353,58,124,13,278,44,619,27,242,47,360,5,1814,84,104,17,372,43,530,19,166,31,243,9,1611,181,100,13,502,49,479,28,135,24,198,0,1708,749,215,22,1108,148,834,46,214,45,320,12,3720,807,148,30,1071,167,375,35,113,23,172,0,2952,709,89,14,796,115,364,35,68,25,106,5,2320,615,50,8,477,67,158,17,35,8,50,6,1479,1385,84,31,906,131,412,26,78
CED205,4,0,0,0,0,9,0,7,14,289,4,327,0,5,0,0,0,6,0,13,3,37,0,63,0,0,0,0,0,8,0,20,13,88,0,132,0,8,0,0,0,10,0,41,0,64,0,118,3,6,0,4,0,24,0,76,5,272,0,405,4,11,0,0,0,56,3,153,20,293,6,543,0,20,0,12,4,132,0,262,51,505,11,997,6,31,5,32,14,311,12,347,61,510,7,1334,9,99,12,101,12,636,20,376,71,629,16,1972,65,159,21,328,46,817,32,368,85,546,16,2483,83,114,17,410,53,686,26,260,63,396,14,2133,214,137,8,528,56,580,20,168,46,329,12,2104,743,171,44,1192,181,989,61,244,55,508,17,4209,803,132,21,933,157,407,47,128,31,301,10,2968,685,80,14,684,125,357,21,85,18,169,8,2243,517,55,11,380,83,159,22,54,9,84,0,1364,1129,74,15,682,102,385,24,73
CED206,7,3,0,3,0,10,3,0,7,27,0,62,0,0,0,5,0,3,0,0,0,8,0,21,0,0,0,0,0,0,0,3,4,14,0,22,0,0,0,0,0,5,0,0,0,9,0,16,0,4,0,5,0,5,0,10,0,15,0,41,0,0,0,10,0,9,0,15,4,28,0,66,11,16,0,13,0,32,0,37,12,55,0,171,4,18,3,26,4,74,7,47,12,76,4,267,17,37,7,77,11,158,19,74,15,134,3,559,35,88,8,258,38,263,23,119,22,153,3,1012,52,78,8,386,50,331,20,89,22,94,5,1135,99,96,16,510,64,291,28,76,21,80,0,1278,401,199,31,1351,213,703,69,130,36,176,0,3307,594,157,33,1504,230,272,57,92,20,94,4,3054,604,95,34,1205,183,249,42,50,22,49,5,2542,604,54,22,675,117,127,16,31,6,35,0,1693,1586,145,29,1332,189,451,47,62
CED207,3,5,0,7,0,7,0,6,0,120,0,153,5,4,0,3,0,3,0,4,0,30,0,50,5,6,0,4,0,5,0,22,6,37,0,78,0,3,0,4,0,9,0,14,3,26,0,67,4,12,0,3,0,5,0,29,11,49,0,116,0,10,4,7,0,19,0,65,0,70,0,182,6,27,4,15,3,44,0,89,20,100,0,315,11,58,6,40,3,117,5,101,19,135,5,498,25,97,9,86,11,202,7,130,22,197,5,781,55,118,11,195,20,276,17,123,18,201,4,1046,76,113,11,229,24,249,12,120,11,169,5,1011,119,88,9,271,30,261,6,99,16,139,8,1044,439,181,22,692,85,681,32,171,41,246,13,2599,587,130,17,920,120,320,34,112,23,157,6,2417,774,121,15,858,88,408,19,88,19,111,0,2518,759,79,9,590,88,194,12,52,4,56,4,1848,3404,174,34,2059,296,930,43,135
CED208,3,0,5,0,0,0,0,4,4,57,4,81,0,0,0,0,0,0,0,8,0,16,0,25,0,3,0,0,0,0,0,3,6,22,0,33,0,0,0,5,0,0,0,12,0,24,0,34,0,0,0,0,0,4,0,25,3,45,0,79,0,9,0,4,0,3,0,34,0,53,0,112,4,16,0,8,0,34,8,46,8,111,6,233,4,21,0,18,0,76,4,75,15,137,5,354,4,54,3,50,6,156,14,107,15,145,5,562,31,88,5,131,11,200,13,93,24,163,5,759,46,73,9,138,19,214,14,79,22,144,0,756,79,89,5,204,20,199,32,73,20,118,3,844,216,165,15,605,78,451,30,130,22,177,4,1885,365,136,14,718,119,204,34,81,8,101,8,1786,398,112,18,837,104,237,36,40,13,78,3,1862,436,83,17,534,115,94,24,31,10,38,4,1374,2093,174,37,1915,364,569,61,73
CED209,0,0,0,4,0,4,0,0,0,32,0,47,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,5,0,14,0,0,0,0,0,0,0,5,0,10,0,14,5,0,0,5,0,4,0,9,0,7,0,24,10,10,0,3,0,7,3,15,0,24,0,67,4,4,0,12,4,23,0,35,11,45,0,142,0,20,0,20,3,50,4,36,10,53,3,200,14,44,7,52,9,113,4,87,9,93,0,431,27,87,7,214,25,207,28,95,18,108,0,818,29,86,12,329,45,211,20,69,20,82,3,907,88,83,16,400,64,215,33,47,18,74,7,1046,369,191,27,1252,163,507,56,99,35,120,3,2823,499,186,28,1341,200,229,60,72,14,54,6,2673,599,118,25,1149,179,216,39,39,10,33,3,2409,512,58,24,630,90,100,32,20,6,20,0,1499,1356,111,53,1316,196,402,60,52
CED210,5,0,0,3,0,6,0,3,0,46,0,63,0,0,0,0,0,0,0,3,4,9,0,16,0,0,0,4,0,3,0,8,0,22,0,36,0,0,0,0,0,0,0,9,5,12,0,23,0,0,0,0,0,7,3,5,6,38,0,63,0,0,0,0,0,15,0,28,4,50,0,102,0,5,0,4,0,26,0,36,10,111,0,199,6,16,0,23,4,89,10,83,9,106,0,348,7,32,4,59,9,184,6,122,20,188,9,640,20,86,5,169,28,252,16,111,18,164,6,877,38,72,11,277,31,232,22,95,16,110,4,907,78,64,13,317,45,233,18,71,15,90,3,944,357,149,34,951,129,496,40,114,29,155,0,2448,420,100,23,1038,121,210,43,56,11,69,0,2096,478,86,17,923,134,217,42,42,13,53,6,2004,485,40,15,556,83,92,21,18,4,34,0,1345,1431,114,21,1357,235,423,36,64
