CED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED201,3103,418,3540,27638,8367,651,36662,90369,4958,131987
CED202,2960,569,3545,24701,8258,920,33876,82670,7656,124204
CED203,3322,702,4060,24253,8689,897,33836,82463,8811,125110
CED204,2860,327,3212,28847,7456,654,36953,99384,9282,145620
CED205,1298,172,1482,33416,6039,578,40034,94187,9580,143794
CED206,2473,202,2699,28445,9451,1090,38984,83728,5447,128156
CED207,5763,599,6401,30046,7483,395,37919,110346,7328,155599
CED208,3445,590,4071,25050,5158,479,30693,95019,6897,132603
CED209,3255,564,3841,27223,8859,842,36918,80587,6299,123811
CED210,3320,429,3776,25338,8521,801,34656,88611,8407,131674
CED211,3961,845,4847,30594,8623,728,39942,91711,5598,137248
CED212,2966,561,3550,27997,8453,968,37414,83607,7303,128332
CED213,4557,893,5492,22351,9431,782,32564,85698,8410,126669
CED214,2828,553,3419,25521,5757,464,31742,105183,11296,148218
CED215,2303,190,2518,41145,6206,700,48049,89240,8959,146246
CED216,3251,667,3939,21045,8521,931,30501,86682,11225,128407
CED217,4267,517,4822,28595,7403,543,36537,86038,5051,127627
CED218,1673,161,1848,32470,7165,577,40204,90863,9598,140670
CED219,1731,160,1909,30844,7964,851,39652,81134,7657,128449
CED220,3307,507,3870,22377,5957,391,28726,99490,6494,134712
CED221,1471,155,1644,37904,7405,997,46303,87395,7900,141598
CED222,4410,453,4915,30310,6595,475,37376,117552,9025,163955
CED223,3681,536,4247,22881,8497,905,32281,87810,9710,129805
CED224,3741,343,4126,29454,7171,616,37242,88592,5287,131118
CED225,3520,310,3870,29180,8449,634,38261,87379,4656,130296
CED226,4520,419,4987,27690,7855,454,36001,96788,4917,137707
CED227,1771,284,2079,35241,7572,981,43794,79181,6861,129832
CED228,1353,234,1603,40902,7194,774,48863,93345,10146,152359
CED229,2344,489,2862,21033,6403,492,27920,110551,9965,148433
CED230,4581,837,5466,22614,8625,945,32184,94431,12298,138916
CED231,3542,279,3856,24778,6598,447,31819,91174,5789,128786
CED232,1548,179,1750,33055,7816,912,41788,75951,6090,123834
CED233,1824,163,2004,17571,4969,340,22879,147507,13460,183844
CED234,5226,497,5775,30153,8257,521,38928,100111,5461,144504
CED235,3414,550,3987,21161,8422,912,30499,82189,8598,121284
CED236,3778,674,4479,22842,8134,823,31793,88367,10853,131014
CED237,2445,456,2925,29457,6768,495,36714,92850,7377,136944
CED238,3873,645,4556,22032,8805,855,31686,86955,10205,128845
CED239,3995,458,4486,24478,4749,491,29715,97323,6792,133834
CED294,17,17,29,695,281,39,1013,3668,3262,7946
CED297,0,0,0,0,0,0,0,12,27,38
