CED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED201,15731,31741,253,1395,1966,8878,353,1629,10815,41371,13387,53277,1497,6460,2235,7989,4893,16051,8629,30501,22010,83776,73,323,455,1535,162,577,1937,5018,2630,7454,370,1179,843,1931,2954,6584,4164,9696,6796,17145,605,1275,45145,133938
CED202,16775,33482,260,1460,1652,7706,456,2079,8914,35147,11281,46392,688,2892,1282,4300,2788,8891,4763,16076,16046,62469,112,504,509,1705,264,987,2792,7412,3673,10606,234,729,647,1391,2458,5323,3333,7438,7007,18051,557,1166,40391,115162
CED203,17205,34396,293,1648,1566,7271,409,1864,8823,34550,11088,45324,747,3177,1214,4063,2784,8794,4740,16044,15832,61368,121,554,550,1862,243,872,2826,7515,3736,10800,230,711,596,1256,2463,5307,3287,7267,7021,18068,618,1288,40678,115125
CED204,14469,29391,574,3632,2511,12236,580,2855,11506,45103,15169,63822,1629,7266,2121,7543,5176,17308,8924,32113,24093,95933,136,666,508,1868,218,837,2381,6424,3240,9799,427,1502,732,1684,3364,7668,4516,10861,7757,20653,760,1643,47082,147628
CED205,11319,23147,806,5009,2870,14552,697,3520,15380,61648,19747,84734,1763,8101,1625,5921,4872,17016,8255,31030,28006,115760,198,1022,587,2294,276,1095,2517,7315,3580,11726,493,1750,654,1589,3307,7979,4453,11325,8028,23043,741,1627,48097,163579
CED206,16640,33401,343,1925,1923,8939,504,2328,10739,41906,13516,55107,1327,5712,1526,5297,4404,14365,7259,25378,20774,80480,75,294,452,1522,200,687,2096,5335,2820,7837,385,1254,640,1440,2680,5916,3706,8606,6525,16443,453,945,44389,131267
CED207,17471,35230,181,947,2540,11218,217,943,11704,44348,14639,57450,1418,6056,3300,11690,4203,13677,8923,31423,23569,88872,43,214,504,1626,103,332,1825,4573,2474,6739,361,1168,1294,2977,2738,5971,4391,10118,6872,16856,933,1972,48836,142937
CED208,15494,31148,149,869,1500,6779,184,839,9952,37096,11789,45588,886,3828,1693,6000,2795,9282,5370,19110,17157,64696,41,193,356,1156,91,330,1903,4604,2395,6278,240,814,725,1599,2717,6064,3682,8481,6073,14760,980,2071,39706,112673
CED209,18011,35936,262,1397,1778,8114,370,1655,10634,41679,13044,52841,819,3435,1444,4926,2819,8989,5078,17352,18123,70188,86,382,473,1536,153,533,2008,5224,2720,7669,245,754,573,1258,1837,4009,2659,6015,5376,13691,438,897,41950,120711
CED210,16021,32101,256,1468,1567,7325,351,1654,9434,36494,11599,46940,851,3578,1510,5180,3152,10162,5502,18918,17103,65855,88,414,528,1809,257,922,2691,7051,3565,10192,328,1067,723,1636,2894,6382,3942,9075,7509,19273,726,1499,41359,118731
