CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED201,1090,111,16,0,0,1210,339,44,9,0,0,392,322,40,3,0,0,361,550,58,11,0,0,618,747,85,20,0,0,852,2218,267,99,0,0,2589,2680,463,130,0,3,3278,4639,680,88,4,0,5414,3066,303,24,0,0,3404,2537,174,4,0,0,2721,1247,84,4,0,0,1334,1255,118,14,0,0,1397,20687,2426,432,8,7,23561
CED202,844,42,6,5,0,898,527,38,4,0,0,566,442,32,4,0,0,479,944,77,8,6,6,1031,1355,95,19,0,0,1470,4092,253,33,7,4,4392,4295,116,12,4,8,4436,3623,83,8,3,3,3717,1227,23,0,4,4,1256,850,20,0,6,0,872,549,11,3,0,0,560,1040,36,3,0,3,1085,19786,825,103,32,23,20766
CED203,929,19,0,0,3,954,573,21,6,0,0,597,484,17,5,0,0,502,973,30,3,9,0,1019,1467,61,4,7,0,1530,4580,108,15,4,9,4721,4485,74,13,7,8,4587,3414,48,3,13,8,3481,1151,12,0,7,0,1167,844,16,0,0,0,862,505,3,0,0,4,511,1112,23,0,6,0,1135,20508,423,51,50,26,21058
CED204,1072,88,17,0,0,1177,388,41,10,0,0,433,372,34,12,0,0,416,643,82,21,0,0,749,771,90,64,0,0,927,2429,411,141,0,0,2985,3253,534,72,3,0,3865,5127,498,52,0,0,5672,2333,163,9,0,0,2504,1569,102,3,0,0,1676,1010,64,14,0,0,1079,1495,172,31,0,3,1702,20468,2264,446,4,6,23189
CED205,957,54,14,0,0,1036,346,26,6,0,0,381,286,17,7,0,0,310,537,47,12,0,0,598,760,85,14,0,0,865,2896,333,65,0,4,3303,4797,500,77,0,4,5377,7671,337,34,0,0,8040,2560,74,9,0,6,2647,1592,49,4,0,0,1649,1030,33,0,0,0,1066,1857,120,14,0,0,1989,25306,1676,254,0,12,27254
CED206,1216,31,0,0,0,1248,483,20,4,0,0,510,431,17,0,0,0,449,696,16,0,7,0,720,1004,31,0,0,0,1030,3054,114,11,0,5,3187,3945,155,13,0,0,4113,6392,191,11,0,7,6599,3730,63,7,0,4,3800,2495,26,0,4,4,2525,1294,13,0,4,5,1309,1644,35,6,5,0,1689,26386,694,64,12,21,27180
CED207,1128,149,117,0,0,1400,236,38,37,0,0,311,183,30,36,0,0,251,290,65,37,0,0,391,326,70,77,0,0,468,927,183,342,0,0,1448,983,246,458,0,0,1683,1893,484,521,0,0,2896,1400,437,292,0,0,2129,2569,525,298,0,0,3394,3073,331,139,0,0,3541,1083,197,140,0,0,1418,14088,2748,2490,0,5,19333
CED208,686,205,74,0,0,971,208,61,27,0,0,291,157,49,24,0,0,229,269,95,57,0,0,429,349,158,106,9,0,615,996,496,456,12,0,1961,1121,703,543,11,0,2373,1964,1183,524,15,0,3683,1463,684,174,5,0,2332,1824,561,112,5,0,2513,1708,364,68,5,0,2151,777,258,74,3,0,1112,11521,4832,2251,61,3,18665
CED209,847,30,3,0,0,882,409,18,0,0,0,423,287,13,0,0,0,299,599,27,0,0,0,630,761,33,3,0,0,796,2729,120,5,3,0,2861,3929,151,7,5,0,4095,5358,127,9,0,6,5497,2255,45,0,0,0,2304,1629,36,0,0,0,1671,1065,20,0,0,0,1086,1187,36,4,0,0,1229,21057,649,31,9,12,21765
CED210,842,64,11,5,0,922,415,22,6,0,0,444,355,27,6,0,0,384,668,73,19,3,0,757,907,108,33,0,0,1049,2963,277,87,3,3,3335,3407,261,57,0,4,3724,4131,186,58,0,4,4375,1689,65,15,4,4,1767,1290,33,16,0,5,1342,799,28,5,0,0,835,1044,65,15,0,0,1133,18498,1207,326,16,18,20071
