CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED201,2765,3219,1588,989,1418,1159,729,11878,503,520,348,229,308,159,103,2163,706,674,342,247,281,168,90,2506,3389,3380,2112,1435,1891,1007,471,13685,21,25,18,12,11,4,3,89,7388,7819,4403,2905,3913,2492,1398,30324,130,231,165,121,214,170,127,1151,92,132,101,80,120,59,29,620,51,83,73,55,90,38,28,420,461,774,559,438,661,274,148,3316,23,19,17,6,4,4,0,77,749,1244,918,707,1087,543,340,5586,8140,9066,5327,3617,5001,3033,1734,35910
CED202,649,668,336,179,265,91,46,2238,317,400,222,168,206,68,32,1416,385,406,235,152,158,52,22,1415,5271,5573,3407,2261,2661,858,272,20315,33,38,7,11,4,0,0,94,6665,7088,4210,2763,3299,1073,372,25469,41,80,59,42,55,23,11,311,73,129,101,80,80,35,19,516,32,70,66,42,55,12,3,278,1123,1548,1087,820,963,212,109,5855,35,54,24,23,11,8,0,148,1299,1877,1326,999,1171,291,143,7106,7963,8965,5542,3764,4466,1364,511,32571
CED203,684,710,319,204,293,140,52,2396,334,378,222,157,186,68,33,1371,310,347,185,127,129,37,22,1150,5296,5487,3145,2124,2553,833,307,19757,40,27,16,9,6,0,0,97,6669,6942,3879,2621,3170,1071,416,24772,47,64,55,42,51,26,10,303,83,156,109,59,91,26,4,530,29,58,49,44,61,20,10,268,1076,1644,1114,838,888,235,92,5878,46,50,28,16,9,0,0,154,1272,1968,1356,1001,1100,309,118,7134,7946,8910,5234,3624,4277,1387,533,31906
CED204,5364,5400,3172,2116,2763,1908,1212,21921,662,609,348,224,317,175,101,2432,664,623,342,219,256,145,82,2324,2394,2311,1367,938,1313,580,302,9213,45,52,23,25,12,3,0,171,9130,8990,5246,3522,4669,2813,1694,36062,390,630,421,336,526,360,234,2908,161,216,133,93,127,36,34,795,76,127,71,67,72,36,17,467,500,660,414,324,400,187,67,2563,59,79,29,13,21,3,0,210,1193,1715,1073,835,1149,628,355,6949,10323,10706,6316,4358,5808,3441,2052,43004
CED205,8116,8215,4298,2598,3351,2122,1295,29992,1278,1140,620,382,463,227,118,4217,791,704,334,208,235,148,71,2490,3045,2425,1284,795,963,498,239,9248,101,73,46,34,17,3,0,274,13332,12556,6586,4012,5030,2993,1722,46231,515,781,553,417,622,435,263,3589,219,313,182,131,147,81,39,1117,91,161,101,63,88,54,16,575,616,773,425,332,417,130,75,2780,47,71,46,26,18,4,0,219,1484,2106,1312,969,1292,717,400,8277,14814,14658,7899,4982,6328,3710,2116,54511
CED206,737,820,505,309,449,246,136,3205,568,684,388,304,373,193,110,2619,652,698,391,247,323,147,67,2522,6245,5873,3359,2209,2806,1096,492,22069,23,26,20,8,7,0,0,91,8228,8097,4662,3078,3954,1676,806,30501,39,72,63,50,73,45,29,367,95,132,120,99,136,40,27,647,39,76,70,53,92,36,25,387,547,1008,756,555,755,297,133,4045,24,24,16,15,13,0,8,99,732,1307,1024,779,1067,422,213,5546,8959,9404,5685,3856,5022,2096,1021,36047
CED207,4169,5649,3115,1976,2406,1811,1171,20298,445,513,300,220,303,193,98,2067,580,604,388,253,327,209,111,2476,1425,1722,1406,1018,1642,1027,514,8756,23,36,15,5,14,4,7,97,6638,8520,5225,3476,4689,3242,1903,33700,241,598,477,418,606,514,362,3207,55,81,64,62,82,49,38,439,31,87,56,49,97,52,31,404,159,266,258,218,364,197,120,1577,14,27,10,17,10,9,0,89,503,1057,874,761,1152,819,548,5711,7146,9577,6095,4238,5838,4060,2451,39407
CED208,1862,1549,665,404,567,410,266,5728,945,808,421,301,402,226,135,3238,940,794,390,245,262,157,67,2857,3530,3158,1923,1359,1731,957,451,13101,20,14,17,5,5,0,0,60,7300,6324,3420,2311,2966,1745,913,24979,107,216,184,116,171,134,94,1021,113,176,134,87,130,51,41,723,54,96,66,65,60,38,25,405,340,551,389,318,439,196,104,2339,22,32,11,15,5,4,4,93,633,1065,781,607,811,423,269,4582,7938,7389,4199,2915,3777,2165,1182,29566
CED209,787,767,367,242,302,152,57,2670,609,641,367,214,274,111,46,2264,627,673,341,174,226,97,27,2172,6013,6092,3451,2190,2637,971,397,21757,24,24,16,10,12,0,0,99,8063,8197,4540,2827,3456,1341,537,28960,28,57,45,34,43,32,18,251,87,157,119,84,80,38,16,581,33,64,78,39,67,14,17,314,574,1119,739,566,772,267,98,4138,25,25,13,11,4,4,0,83,743,1420,993,741,969,357,145,5362,8804,9616,5534,3569,4427,1697,682,34319
CED210,1162,1059,562,403,457,288,135,4064,543,552,303,191,256,135,73,2055,608,532,301,172,206,94,54,1967,4919,4807,2641,1818,2275,943,414,17817,24,19,18,13,6,0,0,84,7257,6967,3828,2595,3202,1462,671,25991,104,162,121,94,145,86,52,764,88,167,123,89,118,48,14,645,44,87,69,51,68,26,15,365,892,1342,919,699,878,276,136,5133,59,60,34,21,14,8,0,197,1181,1822,1256,952,1218,445,220,7105,8441,8790,5085,3547,4425,1910,892,33094
