CED_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
CED201,6,230,..,3465,239,3706,26,3727,..,642,79,725,5,728,..,127,7,133,5,142,..,153,81,231,0,231,..,373,116,486,5,491,..,68,3,75,0,75,..,283,12,293,0,295,..,459,94,558,6,560,..,251,40,289,4,293,..,61,5,68,0,68,..,136,22,151,0,151,..,29,0,29,0,29,..,152,24,170,0,170,..,301,11,309,0,309,..,346,27,372,4,377,..,345,6,356,0,357,..,157,3,162,4,164,..,1148,48,1197,9,1203,..,341,50,388,0,395,..,680,44,722,4,728,..,231,28,263,0,269,..,71,11,85,3,83,..,486,194,685,8,691,..,1538,274,1816,60,1874,..,19803,3887,23691,254,23943,..,326,68,398,2313,2711,54509,20133,3954,24088,2571,81164,108159,..,..,..,..,108159,..,186,0,185,0,185,..,1052,102,1153,14,1164,..,10,3,14,0,12,..,4292,1176,5465,44,5515,..,8579,2814,11395,141,11536
CED202,0,24,..,926,76,1004,13,1014,..,117,7,124,0,127,..,105,9,117,0,117,..,15,0,18,0,18,..,35,4,38,0,38,..,30,0,25,0,25,..,240,18,252,3,254,..,33,6,37,0,38,..,47,0,47,0,43,..,37,0,38,0,34,..,42,8,54,0,53,..,10,0,16,0,16,..,47,12,62,0,62,..,128,3,132,6,129,..,45,0,42,0,42,..,145,6,150,0,150,..,50,0,47,0,47,..,364,6,374,6,372,..,127,11,143,5,148,..,68,0,73,0,72,..,100,15,114,0,118,..,11,3,16,0,16,..,108,18,121,0,121,..,719,81,798,16,816,..,4275,475,4749,56,4808,..,217,20,240,3854,4092,69165,4493,493,4990,3911,78063,134667,..,..,..,..,134667,..,80,0,84,0,84,..,191,12,206,4,208,..,31,0,31,0,31,..,154,39,187,0,186,..,801,226,1024,16,1042
CED203,0,24,..,611,42,653,8,655,..,144,11,156,0,156,..,50,0,47,0,47,..,18,0,23,0,23,..,35,8,41,0,41,..,16,0,16,0,16,..,229,21,250,3,256,..,21,0,19,0,21,..,25,0,25,0,26,..,26,4,27,4,29,..,32,3,34,0,34,..,0,0,0,0,0,..,15,0,19,0,19,..,141,0,145,0,142,..,59,10,62,0,62,..,151,3,158,4,158,..,67,9,82,0,82,..,423,21,442,3,450,..,101,4,111,0,111,..,46,0,42,0,42,..,80,13,89,0,89,..,13,4,22,0,22,..,84,24,108,5,112,..,1043,471,1510,28,1539,..,3845,807,4654,61,4715,..,200,37,239,4376,4610,68959,4043,845,4890,4435,78286,133894,..,..,..,..,133894,..,111,3,113,0,113,..,207,7,219,4,225,..,57,0,57,0,57,..,140,28,168,7,177,..,477,218,691,7,701
CED204,0,263,..,6934,607,7538,51,7586,..,954,173,1132,10,1137,..,70,4,71,0,71,..,500,251,753,7,755,..,257,86,343,0,349,..,159,40,196,0,196,..,756,53,805,14,821,..,570,196,770,0,770,..,506,126,635,4,641,..,131,11,143,0,144,..,267,60,326,0,328,..,435,33,469,5,471,..,1224,406,1628,11,1643,..,492,21,511,3,513,..,351,36,388,0,385,..,547,19,565,0,565,..,307,38,344,3,353,..,1691,115,1802,8,1818,..,827,167,992,9,1000,..,1438,221,1662,23,1682,..,167,48,214,4,217,..,425,143,565,0,566,..,1139,568,1712,10,1724,..,7620,2582,10203,105,10308,..,33349,8052,41400,344,41738,..,772,295,1068,4187,5252,41809,34119,8344,42467,4528,88799,84612,..,..,..,..,84612,..,187,0,192,0,192,..,3415,531,3943,32,3979,..,15,0,14,0,14,..,1247,426,1670,11,1676,..,3858,1916,5775,64,5841
CED205,4,217,..,12338,1414,13751,186,13933,..,1800,215,2015,6,2020,..,42,8,49,0,51,..,21,9,25,0,25,..,44,19,64,0,70,..,305,41,341,3,345,..,618,30,648,6,662,..,211,64,273,0,278,..,121,19,136,0,136,..,127,20,147,0,147,..,55,8,67,0,67,..,927,65,990,17,1008,..,185,47,230,0,236,..,602,17,617,3,620,..,158,17,179,4,180,..,705,28,726,4,739,..,248,20,271,0,272,..,1709,79,1791,16,1809,..,448,91,541,0,541,..,404,40,443,10,452,..,197,56,250,0,254,..,5537,1791,7325,47,7370,..,598,411,1007,10,1019,..,8090,3194,11285,140,11424,..,43955,10326,54281,546,54825,..,994,392,1380,4663,6050,32857,44944,10717,55664,5215,93729,66341,..,..,..,..,66341,..,35,0,35,0,35,..,16834,4242,21076,166,21248,..,16,3,21,0,21,..,305,120,424,5,429,..,744,249,994,22,1018
CED206,0,40,..,512,39,548,4,553,..,487,82,563,10,572,..,104,12,115,0,115,..,44,9,52,0,52,..,47,7,60,0,57,..,27,3,31,0,33,..,80,11,85,0,90,..,135,12,149,4,155,..,148,8,162,0,164,..,29,0,35,0,36,..,78,5,90,0,91,..,15,0,19,0,19,..,38,0,44,0,44,..,95,3,101,0,101,..,64,0,64,0,64,..,131,0,131,0,134,..,37,0,37,0,37,..,327,3,330,0,332,..,174,17,191,0,191,..,43,0,44,5,44,..,135,25,161,0,161,..,15,0,17,0,17,..,103,12,114,9,120,..,1365,398,1765,30,1792,..,5560,905,6469,73,6539,..,251,35,292,2512,2798,70199,5815,945,6755,2585,79535,139114,..,..,..,..,139114,..,188,4,191,0,194,..,181,19,200,0,204,..,17,3,18,0,18,..,339,51,390,10,399,..,910,307,1219,11,1229
CED207,0,534,..,6294,281,6571,29,6602,..,986,148,1134,8,1138,..,387,46,430,9,434,..,108,36,147,0,147,..,815,267,1079,3,1084,..,73,13,88,0,88,..,350,5,357,4,357,..,506,62,567,5,572,..,271,33,303,0,303,..,92,5,104,8,102,..,280,56,335,0,338,..,25,0,25,0,25,..,132,30,158,4,158,..,257,7,269,0,269,..,711,43,752,4,759,..,307,4,309,0,313,..,180,8,192,0,190,..,1462,64,1521,7,1526,..,430,40,470,0,473,..,1365,73,1435,10,1444,..,281,55,333,0,333,..,89,19,108,0,108,..,1283,321,1601,9,1605,..,2111,229,2344,38,2384,..,38598,8871,47470,299,47772,..,336,89,429,3142,3568,42215,38940,8960,47902,3441,93552,84386,..,..,..,..,84386,..,152,0,156,0,156,..,1017,65,1080,4,1087,..,12,0,12,0,12,..,7857,2188,10047,63,10106,..,23996,9044,33040,257,33303
CED208,0,92,..,1990,146,2134,22,2156,..,3544,953,4492,32,4527,..,266,21,285,4,290,..,31,13,47,0,49,..,90,15,103,0,105,..,803,229,1032,8,1038,..,114,10,124,6,127,..,153,32,181,0,184,..,104,9,113,0,113,..,170,17,186,0,188,..,64,3,69,0,70,..,36,5,38,0,38,..,152,37,192,0,191,..,189,4,190,0,189,..,158,14,171,0,171,..,238,11,248,0,251,..,115,6,119,0,119,..,693,39,737,4,735,..,709,65,778,4,778,..,201,16,220,3,222,..,190,30,223,0,223,..,199,52,245,0,253,..,1206,483,1688,6,1699,..,1750,274,2022,47,2069,..,20643,5164,25809,214,26026,..,290,59,347,3012,3360,50906,20935,5223,26156,3227,80287,99594,..,..,..,..,99594,..,55,0,58,3,61,..,3275,574,3848,18,3867,..,75,0,74,5,75,..,1158,539,1698,14,1706,..,2991,1802,4797,37,4834
CED209,0,30,..,791,58,848,14,862,..,340,30,370,11,381,..,86,6,91,0,92,..,11,0,11,0,11,..,38,4,42,0,42,..,47,4,49,0,49,..,178,8,188,3,191,..,63,7,76,0,76,..,70,8,79,4,81,..,90,9,93,0,101,..,48,0,49,0,49,..,9,0,9,0,9,..,54,5,58,0,58,..,149,5,154,0,155,..,59,0,61,0,65,..,167,5,167,0,167,..,53,0,59,0,59,..,430,15,441,4,443,..,208,19,218,4,225,..,40,0,43,0,43,..,95,17,110,0,112,..,38,0,35,0,35,..,114,30,145,0,149,..,824,79,908,21,933,..,4899,467,5368,77,5448,..,189,9,199,3273,3474,69747,5091,484,5564,3347,78661,135313,..,..,..,..,135313,..,154,0,149,0,153,..,187,9,193,9,202,..,16,0,16,0,23,..,167,31,197,4,198,..,686,182,868,8,878
CED210,0,46,..,1413,115,1518,18,1538,..,680,125,808,6,817,..,92,14,104,4,105,..,19,19,40,0,40,..,67,9,75,0,75,..,401,115,521,0,517,..,112,10,126,0,126,..,118,34,155,0,156,..,175,31,200,0,199,..,85,9,92,0,92,..,121,26,146,0,146,..,9,0,14,0,17,..,296,89,382,10,389,..,273,10,279,0,279,..,99,4,100,0,101,..,293,6,296,0,303,..,86,6,89,0,95,..,746,26,767,3,774,..,235,51,288,4,292,..,137,18,160,6,159,..,170,45,211,0,214,..,113,25,144,0,144,..,231,105,340,3,344,..,1770,616,2392,43,2429,..,9495,1962,11462,128,11584,..,237,54,292,3612,3895,65782,9733,2013,11750,3740,81268,127478,..,..,..,..,127478,..,109,0,109,0,109,..,614,115,725,4,730,..,27,0,27,0,27,..,252,52,298,8,306,..,1059,258,1322,11,1332
