CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED201,215,4461,166,4843,256,4586,189,5036,667,8889,470,10030,1104,9351,420,10879,1503,8491,360,10352,1573,7983,275,9838,1022,6243,249,7519,504,3307,241,4047,140,1045,148,1333,6994,54353,2534,63878,233,4080,161,4472,337,4105,187,4627,1014,8778,399,10190,1672,9335,396,11402,2450,8440,307,11196,2661,7735,295,10687,1502,6675,306,8477,556,3950,342,4851,78,1839,287,2203,10504,54927,2685,68114,450,8537,330,9314,596,8689,382,9661,1688,17666,872,20219,2778,18682,824,22280,3952,16926,667,21548,4234,15721,573,20530,2522,12923,553,15998,1065,7253,579,8898,216,2880,438,3540,17493,109283,5219,131987
CED202,224,4139,295,4658,257,3777,285,4316,655,8119,591,9358,1012,7291,505,8812,1445,7460,555,9467,1544,7266,520,9326,1143,6679,508,8333,506,3322,374,4196,115,974,212,1302,6901,49030,3843,59771,248,3892,312,4447,339,3701,271,4314,1119,7839,573,9530,1758,7471,514,9741,2450,7195,512,10156,2658,7038,485,10173,1726,6816,503,9040,596,3737,451,4783,104,1754,377,2237,10997,49451,3986,64432,476,8028,606,9108,592,7479,560,8630,1770,15960,1161,18890,2777,14764,1014,18557,3894,14659,1065,19622,4200,14299,1000,19499,2870,13495,1011,17372,1096,7057,829,8981,223,2734,592,3545,17899,98476,7831,124204
CED203,198,3768,324,4299,255,3621,301,4179,641,7497,812,8944,1006,7013,704,8722,1374,7162,698,9235,1616,7243,646,9512,1181,7105,583,8881,552,3769,434,4757,153,1190,254,1597,6990,48370,4763,60122,262,3655,288,4209,335,3538,226,4100,1136,7709,584,9431,1775,7172,584,9522,2357,6961,571,9882,2772,7269,567,10611,1783,7125,564,9476,702,4075,509,5283,102,1882,477,2462,11226,49383,4376,64985,462,7433,612,8508,596,7161,531,8279,1777,15204,1398,18378,2782,14181,1284,18254,3734,14121,1265,19119,4393,14509,1217,20117,2971,14234,1149,18353,1251,7847,948,10043,255,3071,731,4060,18214,97756,9138,125110
CED204,249,5099,393,5740,389,5604,477,6468,960,11603,1273,13825,1254,10449,942,12645,1519,9183,706,11413,1465,8429,594,10483,896,6150,378,7428,459,3055,294,3811,120,977,120,1206,7311,60539,5179,73021,287,4700,344,5335,505,4872,376,5754,1409,10316,933,12655,1944,9639,777,12359,2450,8412,653,11519,2313,7991,531,10833,1298,6133,462,7902,470,3450,320,4243,82,1700,226,2004,10759,57211,4625,72599,534,9799,744,11078,898,10476,849,12226,2361,21913,2203,26482,3202,20082,1719,25001,3970,17597,1369,22936,3779,16417,1122,21311,2191,12291,840,15323,929,6502,613,8050,199,2672,342,3212,18064,117752,9798,145620
CED205,254,5439,460,6156,373,6003,546,6921,1202,13358,1383,15946,1537,12366,1177,15078,1374,8391,741,10505,1175,7255,553,8984,588,4248,285,5122,250,1925,169,2339,43,478,64,580,6792,59463,5385,71640,367,5104,395,5868,599,5397,430,6423,1945,13200,1150,16294,2453,11194,1001,14649,2338,7939,670,10941,1943,6490,498,8934,846,4383,303,5535,238,2154,217,2609,29,770,107,901,10758,56622,4779,72154,620,10544,857,12026,972,11401,980,13349,3145,26562,2532,32238,3991,23561,2179,29729,3707,16325,1410,21444,3118,13749,1049,17912,1432,8632,595,10657,492,4076,392,4948,72,1243,172,1482,17551,116080,10169,143794
CED206,208,4545,235,4981,266,4046,218,4532,665,8422,452,9543,1123,8408,421,9954,1536,8531,520,10587,1789,7733,424,9948,1123,6400,318,7844,500,3409,256,4168,122,883,90,1095,7334,52391,2933,62660,225,4136,215,4578,368,3704,157,4227,1095,8235,395,9727,1846,8355,405,10610,2725,7972,430,11120,2934,7218,382,10537,1700,6604,339,8648,566,3629,258,4451,86,1384,129,1599,11539,51236,2721,65494,432,8682,451,9563,634,7746,373,8754,1762,16661,847,19271,2971,16761,823,20562,4253,16502,952,21712,4726,14959,808,20483,2820,13006,659,16491,1067,7034,513,8622,207,2271,221,2699,18876,103625,5655,128156
CED207,239,5292,221,5761,379,7364,552,8295,750,11981,1001,13741,1103,10049,599,11753,1706,8986,444,11141,1670,7544,300,9511,1061,6113,274,7450,739,4463,305,5505,307,2041,233,2583,7954,63839,3932,75730,228,5127,201,5557,401,6356,416,7176,812,10768,735,12312,1532,10468,502,12505,2630,9243,419,12293,2509,7480,347,10334,1673,6853,330,8859,932,5682,380,6996,198,3227,394,3826,10923,65217,3730,79864,471,10419,427,11321,787,13719,969,15469,1560,22759,1737,26052,2638,20513,1101,24258,4337,18235,866,23436,4172,15024,651,19846,2734,12970,605,16313,1669,10145,680,12503,509,5267,625,6401,18875,129052,7663,155599
CED208,169,3225,163,3557,281,4373,335,4988,862,12801,847,14509,1160,10595,624,12381,1709,8311,482,10504,1488,5911,379,7781,681,4160,320,5166,376,2696,270,3340,140,1215,229,1582,6862,53284,3657,63802,163,3180,188,3526,374,4228,249,4858,1206,13369,738,15305,1790,10593,547,12931,2724,7867,428,11015,2332,5741,344,8417,1111,4505,341,5953,546,3424,339,4310,135,1984,374,2486,10376,54887,3542,68799,326,6401,352,7078,658,8601,585,9849,2064,26167,1587,29817,2952,21183,1170,25311,4428,16176,912,21520,3825,11650,723,16198,1792,8667,664,11117,916,6122,606,7645,271,3197,603,4071,17238,108167,7198,132603
CED209,162,3899,212,4278,192,3927,253,4366,550,7987,447,8983,902,8146,412,9459,1284,7193,411,8885,1440,6474,395,8305,1198,7078,484,8765,532,3736,369,4636,148,1126,204,1477,6408,49563,3185,59157,197,3759,243,4195,268,3668,216,4152,912,8020,400,9334,1589,8436,440,10463,2259,7026,355,9645,2621,6704,400,9722,1709,7402,491,9605,663,4039,468,5172,86,1896,374,2362,10309,50956,3395,64658,356,7659,454,8476,455,7592,465,8523,1466,16008,845,18315,2494,16576,851,19922,3547,14216,760,18524,4055,13179,795,18027,2912,14483,978,18371,1198,7770,835,9805,234,3022,582,3841,16711,100518,6575,123811
CED210,201,4189,290,4681,301,4572,434,5299,739,10173,1155,12069,1039,8063,922,10028,1464,7604,689,9760,1547,7052,527,9128,990,6019,412,7424,512,3226,293,4026,138,1138,168,1443,6938,52038,4893,63867,258,3882,246,4384,379,4438,284,5103,1160,9896,654,11713,1810,8098,575,10485,2504,7385,487,10375,2609,6845,403,9860,1518,6495,478,8487,586,4084,411,5086,84,1956,291,2330,10903,53079,3826,67806,458,8070,533,9064,678,9008,714,10402,1902,20075,1808,23778,2846,16162,1504,20514,3973,14983,1177,20133,4157,13905,924,18988,2513,12514,892,15914,1100,7312,708,9111,223,3090,459,3776,17841,105114,8717,131674
