CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED201,27114,18981,20219,22280,21548,20530,15998,8898,3540,159103
CED202,28034,17736,18890,18557,19622,19499,17372,8981,3545,152243
CED203,27444,16790,18378,18254,19119,20117,18353,10043,4060,152555
CED204,33520,23308,26482,25001,22936,21311,15323,8050,3212,179139
CED205,44689,25373,32238,29729,21444,17912,10657,4948,1482,188482
CED206,29290,18320,19271,20562,21712,20483,16491,8622,2699,157444
CED207,28060,26787,26052,24258,23436,19846,16313,12503,6401,183655
CED208,23674,16926,29817,25311,21520,16198,11117,7645,4071,156279
CED209,28945,16997,18315,19922,18524,18027,18371,9805,3841,152752
CED210,27567,19460,23778,20514,20133,18988,15914,9111,3776,159242
CED211,29858,18997,20697,24068,22458,19537,16157,10489,4847,167110
CED212,29685,17782,19993,21835,21967,19405,15113,8681,3550,158012
CED213,23679,15060,13646,15714,19647,20756,21953,14401,5492,150355
CED214,28165,20696,35377,27544,21769,18224,13633,7554,3419,176388
CED215,43743,19382,28701,36362,24236,17137,11831,6068,2518,189984
CED216,25949,15624,17215,16748,18427,22658,22098,11705,3939,154357
CED217,27110,18578,14967,19531,24118,20184,15854,9578,4822,154736
CED218,37432,23066,26143,28195,23619,18609,13241,5950,1848,178100
CED219,36940,19828,24951,24424,20627,17203,13532,5974,1909,165389
CED220,20353,19016,31632,22358,19519,16521,13192,8606,3870,155062
CED221,45654,24097,30666,31300,22019,16563,10430,4887,1644,187255
CED222,31635,25624,34431,27900,23858,20465,16254,10506,4915,195590
CED223,26814,15969,16281,17472,19886,23021,21401,11529,4247,156620
CED224,29401,17588,19743,23851,23399,19002,14574,8841,4126,160526
CED225,28575,17984,18952,22268,21990,19590,16381,9268,3870,158869
CED226,25644,23595,20867,19873,22915,20099,15755,9605,4987,163354
CED227,39637,20678,26068,26702,20885,15597,11444,6381,2079,169469
CED228,48971,24424,35954,36421,21287,16791,11050,4825,1603,201323
CED229,19643,17243,40606,28521,21470,17343,13427,6958,2862,168080
CED230,28724,17222,19562,17807,20319,24230,21612,12696,5466,167639
CED231,24622,17458,23961,22522,20803,17371,13963,8855,3856,153408
CED232,36061,18784,20536,24045,21585,17607,13314,6201,1750,159894
CED233,16129,35751,67326,31175,17975,14302,10215,5089,2004,199964
CED234,28352,20932,20607,23247,23420,21181,16789,12559,5775,172855
CED235,25066,14025,15497,15754,17726,21510,21404,11374,3987,146349
CED236,28490,17500,18361,17517,19953,21840,19778,11593,4479,159507
CED237,33452,20923,26442,26426,20910,18236,13637,7448,2925,170399
CED238,25712,15679,16759,16776,19697,22905,21143,11334,4556,154555
CED239,24484,18223,34271,26247,19003,14656,9855,7085,4486,158319
CED294,1143,1131,1819,1736,1393,1074,613,152,29,9089
CED297,0,0,6,16,3,14,4,0,0,38
