CED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
CED201,1834,5531,4178,32435,266,44242,37,87,36,858,17,1032,21263,226,497,368,71,22422,534,98,33,176,0,848,1728,529,323,1139,16,3730,9775,4816,3477,28680,311,47053,1879,52,202,29,6,2169,427,53,37,282,3,807,2170,569,378,2842,58,6015,1787,415,197,1133,9,3547,595,92,64,161,10,924,6537,140,122,93,9,6908,2080,978,707,8972,59,12796,3137,914,441,3115,34,7638,1024,0,25,3,0,1060,348,72,35,93,0,544,187,42,16,91,0,337,407,138,96,338,4,993,328,80,38,47,5,500,428,191,172,122,5,911,981,123,109,303,12,1521,352,26,50,47,4,481,175,20,20,3,0,227,2239,1099,841,8128,59,12374,438,64,41,54,5,595,662,134,120,54,3,972,403,36,29,82,0,556,2576,143,133,113,3,2966,1394,29,70,29,5,1529,348,87,64,369,0,867,16359,1363,1191,1802,96,20808,723,61,46,506,4550,5878,71893,10446,7873,63479,5421,159103
CED202,676,4622,3350,50543,675,59870,26,104,56,2307,33,2520,1485,69,114,531,20,2213,396,91,39,241,8,777,1461,678,429,1773,26,4367,6643,4298,3201,48809,663,63613,778,26,161,39,16,1017,216,56,42,391,4,703,1134,446,331,4822,47,6782,320,87,38,363,4,811,202,50,23,120,0,396,1902,100,35,75,4,2116,1594,1142,776,19403,169,23074,840,470,191,2794,39,4335,87,3,17,8,0,113,39,31,3,71,0,151,89,21,11,57,0,175,411,179,81,526,9,1213,140,64,33,67,0,312,336,217,137,115,12,815,413,139,73,355,11,1001,191,27,40,93,4,352,53,6,14,0,0,77,1823,1302,857,15347,132,19461,195,49,22,60,0,318,197,58,25,33,11,325,177,34,30,134,0,374,155,52,20,30,0,257,213,13,12,14,0,251,250,104,72,560,8,999,5247,901,721,2002,75,8942,251,46,46,1164,7322,8824,22556,8781,6198,105820,8885,152243
CED203,596,4318,2919,52486,662,60986,5,109,43,2767,50,2977,1033,77,95,679,24,1909,176,51,21,129,3,377,826,410,227,947,14,2429,5826,4199,2892,51629,700,65250,813,21,162,27,3,1026,201,60,48,350,8,659,916,459,286,5122,54,6835,290,97,41,282,9,724,150,68,22,102,4,352,1390,79,34,61,4,1561,1275,1101,675,18482,177,21706,798,453,180,3262,32,4719,93,8,6,4,0,102,37,18,3,53,0,114,40,16,5,33,0,90,251,123,55,271,9,700,144,58,43,71,0,319,274,171,145,118,5,714,293,93,44,265,6,701,118,17,14,83,0,235,31,33,4,5,0,76,1590,1132,788,15085,124,18723,90,17,9,42,0,167,222,54,30,30,0,341,144,25,23,131,6,331,189,32,21,24,4,266,174,10,27,9,4,222,249,119,61,572,4,1005,5797,854,572,1924,81,9226,266,63,43,1324,8720,10415,19818,8217,5433,108785,10307,152555
CED204,4098,4301,3123,20626,345,32496,53,85,40,801,15,994,10356,115,265,173,74,10983,1762,187,80,292,19,2337,1595,385,214,715,24,2926,9801,3250,2362,17134,307,32856,2848,61,252,62,8,3233,842,50,27,157,5,1080,1501,369,196,1646,15,3728,2899,498,283,1174,37,4889,1054,97,52,162,8,1369,10868,200,113,83,38,11304,1739,672,414,5118,48,7993,4014,876,422,2497,54,7867,720,0,17,0,3,730,1146,201,81,106,7,1541,499,60,36,72,5,676,543,162,79,357,4,1155,807,107,82,55,10,1066,613,183,126,66,10,996,1677,93,91,161,10,2029,817,48,51,89,7,1009,1244,80,28,33,22,1411,2021,725,504,4646,50,7948,3481,167,125,119,40,3935,692,97,91,44,3,927,855,34,36,65,4,1000,4482,177,102,102,22,4893,3061,48,103,47,19,3280,244,47,41,185,0,523,50691,1844,1415,1645,354,55962,2190,94,71,399,8915,11669,112790,9109,6386,40602,10256,179139
CED205,6877,3687,2176,15397,254,28394,56,86,37,1012,26,1214,2424,43,79,128,17,2686,856,113,56,186,17,1240,295,83,50,215,0,645,6644,2114,1449,12372,291,22873,3613,49,222,44,20,3954,183,27,24,54,4,300,702,170,101,970,20,1967,2009,446,235,1048,24,3761,149,43,20,54,0,271,14453,141,90,63,33,14780,760,425,223,3818,32,5259,6562,1653,708,4694,69,13681,150,4,12,0,0,163,5998,1596,557,866,62,9078,768,146,82,284,11,1290,1871,389,234,1131,17,3638,493,67,85,39,7,691,471,94,78,60,5,704,473,79,54,147,0,751,138,15,20,38,0,210,2496,175,49,25,32,2770,806,363,252,2965,34,4419,531,59,30,66,0,692,135,23,35,18,0,213,607,42,37,102,9,798,2223,62,35,39,6,2363,1873,29,64,31,17,2007,60,24,19,102,0,200,74710,3297,1890,2499,374,82766,2880,261,126,419,9555,13236,127536,10454,5928,33845,10718,188482
CED206,1103,7699,5684,47009,433,61928,14,112,68,1444,18,1655,2104,86,200,324,12,2722,343,92,40,218,3,700,3045,980,598,2458,41,7126,13090,7226,5382,42045,456,68200,665,27,154,43,0,892,420,111,70,396,3,1007,2266,796,545,4312,53,7960,579,222,78,629,14,1525,388,112,52,196,5,752,1334,142,92,69,5,1638,2637,1470,940,12730,108,17885,2446,976,445,3574,48,7482,129,0,27,0,0,154,142,40,28,80,0,292,102,18,10,98,0,224,303,169,78,361,3,918,226,52,51,57,8,391,472,312,235,141,7,1164,780,171,116,430,13,1510,275,38,46,101,0,458,56,17,14,3,0,93,2865,1614,1220,11879,91,17670,166,39,15,40,5,269,527,111,127,51,5,823,217,46,35,126,3,434,322,112,80,102,3,618,210,7,26,19,0,266,438,135,121,465,5,1164,7616,1490,1109,2250,81,12543,432,83,52,806,5208,6583,36809,13906,9998,90427,6299,157444
CED207,1992,3866,3241,19594,256,28949,39,29,31,390,6,490,51104,409,846,378,281,53019,543,81,29,153,8,815,929,266,124,498,6,1825,8326,3258,2227,20121,265,34194,1542,47,170,30,8,1797,484,63,52,213,3,816,1357,366,237,1967,31,3955,5678,645,362,2144,31,8852,462,71,38,124,0,696,12577,149,136,71,19,12948,1612,853,566,7811,65,10907,3688,770,364,2505,45,7368,2256,11,70,10,8,2351,272,46,35,58,0,418,223,31,18,79,0,356,289,119,39,224,5,671,195,34,33,5,0,268,376,154,115,44,5,691,989,130,89,229,3,1442,689,47,57,72,9,872,75,17,10,6,0,105,1808,872,642,6690,58,10058,405,44,34,56,3,544,498,78,66,39,0,683,400,32,24,74,0,532,3843,126,77,83,11,4142,3187,73,123,64,5,3455,206,64,44,273,3,592,23213,1244,1266,1461,151,27340,1128,46,43,287,6390,7894,117336,8186,6460,44217,7451,183655
CED208,1938,5444,3844,23356,279,34865,33,98,62,1244,33,1473,8369,258,368,394,45,9435,816,134,64,327,11,1343,638,404,262,789,12,2102,7838,4666,3228,23308,318,39359,1314,30,216,31,12,1600,528,132,85,329,4,1079,1304,551,363,2537,27,4778,8272,1029,583,2867,85,12842,220,78,50,164,0,516,4093,150,126,65,11,4448,2569,1580,1032,12225,67,17479,11691,2157,981,6611,158,21596,252,4,22,9,0,297,2051,298,191,425,11,2980,2284,283,167,562,17,3319,733,222,138,595,7,1690,413,66,47,32,0,569,713,259,174,80,13,1241,615,181,155,416,11,1383,254,54,55,115,0,480,157,38,12,3,6,222,2258,1236,962,8613,49,13114,515,50,36,103,5,707,259,66,57,19,5,406,667,77,81,124,4,953,587,71,59,78,5,807,3117,73,124,63,19,3392,301,122,81,458,4,968,16396,2006,1596,2433,149,22583,995,74,64,413,6021,7568,70308,12744,8732,57373,7119,156279
CED209,835,5765,4411,47356,576,58942,14,78,50,1293,19,1456,1363,92,130,367,4,1950,524,140,61,355,4,1079,1552,653,407,1494,27,4131,9469,5295,4000,44865,527,64154,806,45,164,64,8,1080,305,98,57,414,3,875,1464,571,388,4540,51,7010,641,171,84,457,8,1359,247,70,35,161,3,514,1904,78,41,70,7,2098,2137,1329,901,16744,129,21242,1879,708,299,3257,44,6187,80,0,15,8,0,104,72,29,4,110,0,219,155,44,20,99,4,328,783,167,103,532,7,1587,222,86,64,59,0,437,443,258,188,114,5,1003,627,191,106,506,9,1443,175,43,29,106,0,347,49,23,11,5,0,81,2410,1443,1092,14155,124,19221,199,35,26,58,0,312,409,98,76,58,0,638,253,58,41,170,0,528,200,45,31,33,0,313,246,10,30,6,0,299,408,122,109,537,9,1189,5795,1185,1000,2114,59,10150,315,61,63,1026,6128,7581,29079,10784,7968,97516,7414,152752
CED210,1237,5568,3911,42787,638,54147,32,105,77,1970,32,2213,2175,86,138,351,12,2759,2385,335,186,845,34,3790,1708,584,381,1544,22,4235,7899,4887,3430,40663,597,57471,1484,53,236,68,25,1856,250,66,47,288,6,651,1592,604,381,4289,58,6925,730,195,80,527,3,1536,435,99,63,205,0,804,2726,64,54,61,14,2926,2045,1288,878,15621,137,19965,2840,839,332,3598,51,7648,143,5,9,6,0,166,172,65,38,75,8,355,1068,167,80,321,11,1645,420,141,86,500,14,1157,261,89,44,44,4,441,374,238,175,116,9,908,982,194,133,527,10,1847,351,60,47,110,4,570,83,34,10,13,0,141,2328,1388,996,12743,109,17559,929,116,53,155,14,1265,266,76,45,54,0,441,486,78,76,166,3,813,273,32,14,33,4,364,637,33,54,13,0,736,289,148,92,496,3,1033,11757,1269,947,2215,148,16333,521,65,61,785,8110,9533,41133,10924,7505,89964,9718,159242
