CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED201,0,0,0,0,32,100,79,17,0,4,0,6,0,0,3,248,0,0,6,0,3,34,32,13,3,5,3,0,0,0,0,106,0,4,8,19,33,24,41,17,9,0,3,6,0,0,0,164,5,12,20,47,453,683,3525,2000,381,383,307,457,93,23,73,8464,0,22,111,44,20,32,3,0,0,0,0,0,0,0,6,248,6,30,97,56,91,79,88,54,0,8,12,7,9,0,10,550,0,0,0,19,96,50,73,19,11,4,4,4,0,0,4,292,101,342,182,87,93,38,64,31,10,0,3,9,3,0,75,1050,5,92,302,97,29,7,8,28,0,5,0,3,0,0,11,592,5,0,16,84,332,439,423,157,35,45,16,35,29,6,19,1647,13,3,116,168,341,671,1947,989,198,191,190,211,64,21,42,5169,3,10,6,37,62,190,243,67,22,14,17,13,13,0,3,703,0,0,0,11,54,92,243,347
CED202,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,18,0,0,0,4,5,0,41,30,0,3,0,0,3,0,0,98,0,0,26,32,26,29,48,17,6,7,6,9,0,0,0,201,0,0,8,3,20,28,264,167,40,40,45,78,23,0,14,729,0,50,84,27,3,9,0,0,0,0,0,0,0,0,9,185,8,7,8,0,0,6,22,4,3,0,4,0,0,0,0,63,3,0,4,3,14,9,14,12,0,0,5,6,0,0,3,74,82,164,54,47,58,23,39,15,5,0,5,5,4,0,18,523,0,35,37,12,0,0,0,0,0,0,0,0,0,0,10,97,0,0,5,14,14,16,20,15,3,6,0,3,6,0,3,92,8,6,22,24,20,38,558,412,130,117,180,239,95,19,53,1924,0,3,6,6,3,12,27,27,3,4,0,7,3,0,0,111,0,0,0,0,7,0,23,23
CED203,0,0,0,0,0,0,7,47,14,11,9,0,0,0,0,87,0,0,0,3,0,7,24,24,0,4,4,0,5,0,0,70,0,8,11,26,18,13,47,28,9,0,0,3,3,4,3,182,0,0,0,0,13,27,165,91,15,16,31,23,4,3,26,416,0,11,49,15,4,10,0,0,0,0,0,0,0,0,3,90,0,4,8,3,9,6,26,21,0,0,4,6,6,0,7,96,0,0,0,5,8,8,29,10,0,0,0,0,0,0,3,60,63,117,62,35,45,22,29,14,0,3,0,0,0,0,14,398,3,25,40,10,4,0,0,3,0,0,0,0,0,0,14,105,0,4,3,8,9,7,13,13,9,0,0,4,0,0,6,80,6,3,23,25,7,32,414,307,110,83,115,120,51,12,33,1343,4,6,4,3,7,13,32,15,10,4,4,5,8,0,0,120,0,0,0,0,0,0,18,22
CED204,0,0,0,12,157,787,2432,2975,447,521,382,592,215,175,169,8867,0,0,0,9,20,64,175,89,19,28,11,13,9,0,4,427,0,0,7,10,19,27,19,10,0,0,5,0,8,3,0,110,0,24,83,47,482,603,1489,888,167,195,156,204,65,10,73,4488,0,35,378,200,67,347,196,10,7,5,0,3,0,0,49,1300,0,26,103,65,110,150,209,91,8,10,16,8,3,0,33,827,0,0,5,21,293,309,236,69,10,21,13,21,3,0,21,1031,50,176,96,60,62,54,43,18,0,5,6,3,0,0,19,597,10,130,568,255,83,42,41,105,14,11,8,3,0,0,36,1298,0,0,8,36,109,96,94,38,4,3,10,9,0,6,10,415,10,7,144,267,507,972,3855,1807,459,492,658,719,238,53,152,10342,0,3,0,34,104,129,231,85,20,33,15,27,10,0,19,725,0,3,0,4,36,81,240,677
CED205,0,0,0,0,8,45,160,136,14,16,10,18,5,6,22,432,0,0,0,3,13,67,189,97,24,20,3,13,4,0,11,449,0,0,7,10,11,10,28,30,3,11,0,3,6,0,3,127,0,0,13,0,72,87,277,147,34,51,28,30,7,0,11,752,0,17,244,86,24,42,11,9,4,0,0,0,0,0,3,453,5,54,131,58,100,93,159,145,19,27,32,14,6,8,14,856,0,0,0,30,198,187,317,128,16,40,26,29,11,0,14,1010,44,52,26,17,28,31,45,13,7,0,5,4,0,0,0,263,10,95,345,115,64,40,33,64,6,0,0,0,0,0,35,811,0,0,0,5,17,24,37,19,9,3,3,4,4,0,0,132,6,0,51,90,176,487,6388,3428,815,832,1086,1298,374,82,230,15339,0,0,4,4,28,45,107,55,15,12,3,9,11,0,6,307,0,0,5,20,68,46,176,410
CED206,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,10,4,0,0,0,0,0,0,0,25,0,5,22,45,33,38,63,34,4,8,6,4,3,0,4,265,3,6,4,11,41,85,364,235,48,34,45,58,30,12,15,991,0,21,56,14,0,17,0,3,0,0,0,0,0,0,3,125,4,16,15,0,7,0,7,18,0,0,0,0,0,0,0,69,0,4,3,10,29,25,8,5,0,0,0,4,0,0,0,85,98,308,187,64,117,56,80,26,3,3,0,5,7,0,22,975,5,37,63,29,6,0,3,0,3,0,0,0,0,0,12,163,0,0,7,10,27,36,48,12,5,3,5,5,5,0,0,171,15,7,56,64,54,82,420,197,56,42,56,29,21,6,19,1120,0,13,9,15,13,28,47,23,4,0,0,3,5,3,5,174,0,0,0,3,23,8,63,144
CED207,0,0,0,10,37,89,44,35,3,3,0,0,0,0,7,226,0,0,0,10,20,64,90,94,36,23,38,36,29,6,3,458,0,4,11,38,36,34,50,31,8,4,9,18,8,0,4,255,8,30,68,112,1779,2763,7886,5641,1442,1783,1606,1921,634,175,486,26347,0,57,133,29,21,33,4,0,0,0,0,0,0,0,12,295,12,70,173,55,50,34,45,58,14,37,3,3,0,0,18,577,0,3,0,25,105,71,52,32,6,0,3,0,8,0,7,313,92,185,97,45,53,50,70,17,9,4,3,0,6,0,13,648,22,529,1549,315,94,31,22,82,14,10,14,11,10,0,62,2755,5,20,45,191,739,712,459,297,97,98,107,131,99,41,65,3115,21,12,125,226,505,1021,3105,1657,478,701,963,1267,522,110,138,10853,0,10,20,46,129,421,469,154,39,35,41,93,73,9,17,1579,0,0,0,8,95,76,169,339
CED208,0,0,0,0,8,20,16,14,5,0,0,4,0,0,8,69,0,0,0,3,3,11,67,62,27,28,18,13,4,0,4,242,0,3,18,28,47,55,101,82,21,8,22,15,3,7,10,425,5,4,13,20,467,597,1243,670,170,225,292,197,52,12,91,4060,4,26,154,65,18,31,10,4,4,0,0,0,0,0,22,342,4,36,83,32,61,41,16,26,4,8,18,5,4,0,8,341,0,0,5,18,85,39,32,13,3,5,4,0,0,0,7,203,28,55,39,40,41,59,104,71,25,16,16,3,7,3,14,528,33,642,2412,560,145,54,39,145,12,19,14,9,9,0,246,4327,0,0,4,17,78,65,71,52,11,12,14,18,6,5,4,363,3,4,34,62,116,158,894,590,206,349,572,572,162,33,81,3832,0,0,0,7,32,84,100,58,22,18,16,14,5,0,8,359,0,0,0,3,31,31,97,214
CED209,0,0,0,0,0,0,3,19,0,0,0,4,0,0,0,30,0,0,0,0,0,0,33,18,0,5,3,9,0,0,0,71,0,6,18,39,28,40,77,44,14,12,5,22,9,5,8,315,4,3,5,6,15,40,220,158,28,42,42,46,14,3,0,636,0,35,93,29,13,20,3,0,0,0,0,0,0,0,9,213,10,18,25,8,0,3,7,10,3,3,0,5,0,0,4,102,0,0,5,7,18,14,10,19,0,0,0,4,3,0,3,90,132,213,70,43,48,31,57,36,20,8,4,10,4,0,33,695,4,58,114,38,0,4,5,6,0,0,0,0,0,0,10,246,0,0,8,3,16,9,31,22,6,5,3,8,10,0,5,119,8,3,34,32,14,32,532,396,112,147,193,299,131,5,41,2000,0,3,4,5,14,22,19,19,0,3,9,11,11,0,9,139,0,0,3,3,16,15,21,76
CED210,0,0,0,0,5,8,51,351,59,31,7,54,17,10,3,582,0,0,0,0,0,5,28,35,3,17,9,5,0,0,0,101,0,3,18,17,19,23,57,48,10,7,9,11,3,3,10,236,0,4,76,7,36,71,309,213,63,78,77,101,24,11,30,1090,10,175,517,157,55,146,52,12,0,0,0,3,0,0,42,1166,0,7,12,6,3,8,28,14,4,0,12,9,11,8,6,142,0,0,0,9,16,10,23,28,6,0,0,8,3,4,3,98,177,306,84,26,38,29,61,19,3,10,7,5,0,0,27,796,5,64,148,35,10,16,4,0,3,5,0,0,0,0,16,306,0,3,0,4,18,24,33,28,8,11,14,11,15,0,6,160,8,6,23,13,33,37,637,688,248,296,405,500,190,16,56,3168,0,11,6,0,15,33,62,30,9,13,18,8,11,4,9,215,0,0,0,0,22,18,38,183
CED211,0,0,0,0,8,23,13,10,0,0,0,0,0,0,4,61,0,0,0,10,8,29,43,16,0,4,6,3,6,0,5,125,0,10,15,39,36,44,65,41,3,3,8,5,0,0,3,277,4,18,25,36,392,804,3783,2367,474,466,391,523,135,34,141,9595,5,36,96,24,17,20,12,0,0,0,0,0,0,0,12,208,12,49,33,14,16,19,45,37,8,8,5,3,0,0,7,251,0,5,10,16,69,39,39,3,5,0,0,4,0,0,0,189,129,229,113,63,61,44,82,40,0,0,6,5,0,0,19,792,5,141,303,52,15,14,4,20,0,6,0,0,0,0,29,584,3,8,19,73,335,382,299,157,28,47,42,42,44,12,18,1528,15,11,67,97,189,334,1522,937,261,245,324,260,84,21,62,4432,0,17,12,30,52,101,196,67,17,9,6,21,10,0,11,553,0,0,0,18,67,77,232,429
CED212,0,0,0,0,32,58,32,12,4,3,0,0,0,0,0,146,0,0,0,6,0,8,18,5,0,3,5,4,0,0,0,46,0,6,28,24,35,37,66,43,14,6,12,7,0,5,11,287,0,6,6,8,65,102,422,260,72,63,67,108,22,6,18,1233,0,18,92,35,21,66,27,5,0,0,0,0,0,0,3,279,11,32,40,12,11,15,22,12,0,0,3,0,0,0,5,162,0,0,6,15,62,57,103,9,12,6,0,3,4,0,9,283,82,185,134,70,119,61,109,37,8,8,0,0,7,0,22,849,4,89,187,89,34,13,15,52,0,3,0,4,0,0,25,516,0,8,7,21,37,28,31,25,4,10,35,14,17,0,0,238,7,8,66,86,99,152,727,287,59,46,72,87,31,13,32,1778,0,7,6,13,21,34,53,20,3,6,8,5,8,0,8,190,0,4,3,0,14,6,32,56
CED213,0,0,0,0,4,6,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,27,61,43,44,74,37,7,9,6,12,5,0,5,338,5,9,3,0,38,25,79,55,10,14,10,20,5,0,3,286,0,39,126,48,15,11,0,4,0,0,0,0,0,0,15,268,15,56,54,13,11,7,8,11,0,0,0,0,0,0,11,185,3,0,3,12,17,14,12,4,0,0,0,0,0,0,3,72,89,250,145,56,76,44,69,47,5,3,9,0,0,0,32,819,14,135,349,70,18,7,9,16,4,0,0,0,0,0,41,660,4,3,8,11,21,7,8,6,0,6,3,5,0,0,0,91,18,8,56,39,27,14,66,63,21,10,21,20,0,4,17,387,0,9,7,3,15,9,28,16,5,0,7,5,8,0,3,112,0,0,0,0,11,0,9,8
CED214,0,0,0,0,13,23,87,222,13,26,35,16,12,12,9,464,0,0,0,8,11,28,208,163,46,49,51,52,20,8,13,665,0,0,6,7,22,29,56,56,5,10,5,7,6,0,4,218,0,7,5,37,370,465,911,469,99,122,135,144,28,5,46,2848,0,83,596,185,70,148,38,18,4,0,3,0,0,0,41,1193,4,42,67,51,41,39,76,53,0,3,10,9,15,0,11,427,0,0,5,24,114,83,61,33,9,17,15,21,3,0,11,396,191,160,64,25,45,49,71,36,9,5,9,7,0,0,20,693,11,336,913,211,46,32,13,29,6,4,0,8,0,0,106,1707,0,0,6,25,210,172,110,92,10,9,13,11,3,0,7,663,0,3,60,79,136,205,1489,1230,504,649,1102,1238,267,42,139,7141,0,4,3,14,73,131,174,81,27,12,28,36,22,0,10,618,0,0,0,3,5,18,58,252
CED215,0,0,0,0,8,28,42,36,7,13,3,3,7,0,6,154,0,0,0,0,9,32,411,214,40,19,36,23,12,7,5,805,0,4,9,17,28,32,72,65,9,13,17,15,5,0,0,294,0,5,9,18,209,436,2258,1290,324,249,233,306,104,15,93,5546,3,74,307,109,24,93,27,10,0,0,0,0,0,0,20,675,3,28,67,27,28,40,86,33,14,9,23,8,4,6,19,387,0,4,0,14,86,88,156,100,16,6,10,11,9,0,5,514,101,116,52,24,42,43,136,76,9,17,8,17,7,0,14,654,12,239,716,162,45,15,12,59,7,6,3,5,0,0,55,1343,0,0,5,10,73,119,161,90,20,13,15,32,13,6,8,562,8,10,50,80,146,519,6822,4899,1266,1410,1743,1913,526,174,302,19858,0,0,3,15,50,338,518,173,41,41,50,33,38,5,25,1327,0,0,0,6,23,25,133,285
CED216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,4,16,18,3,4,3,6,0,0,0,55,0,6,21,35,16,30,38,21,3,0,0,12,0,0,9,190,3,0,5,3,14,30,117,67,21,11,16,18,3,3,28,348,6,14,46,27,8,7,0,0,0,0,0,0,0,0,5,113,0,17,10,3,3,0,8,3,5,4,0,0,0,4,5,75,0,4,8,8,20,10,24,10,0,0,0,6,0,0,0,96,138,284,119,47,60,14,42,8,4,8,0,3,0,0,30,750,5,34,54,20,0,0,3,0,0,0,0,0,0,0,10,134,0,3,0,3,4,0,6,6,3,0,0,5,0,0,14,54,9,11,12,11,17,32,271,193,46,60,87,100,57,9,25,940,3,0,5,6,19,9,16,16,3,3,8,17,6,0,6,119,0,0,0,0,0,3,10,9
CED217,0,0,0,0,7,9,4,4,3,0,0,0,0,0,0,26,0,0,0,0,8,5,22,5,5,9,4,0,0,0,0,52,0,4,24,65,57,62,126,73,21,16,12,18,0,3,8,477,9,26,18,35,393,535,1403,976,289,309,301,359,142,32,97,4917,0,35,102,15,13,50,11,6,0,0,0,0,0,0,11,248,6,66,105,37,34,25,15,5,0,7,0,4,0,0,12,323,0,0,6,19,32,23,8,9,0,0,3,7,0,0,0,112,139,189,99,62,80,99,155,90,9,19,16,28,20,10,37,1047,9,263,708,135,30,20,9,45,5,0,3,0,4,0,42,1275,0,3,19,62,88,89,91,53,10,20,27,43,30,8,13,557,13,15,107,133,159,233,684,506,167,237,307,312,92,31,57,3066,4,9,8,16,15,82,99,39,5,10,17,18,21,6,3,350,0,0,0,5,47,22,83,68
CED218,0,0,0,0,14,62,108,150,17,39,18,24,0,0,20,449,0,0,0,4,11,51,137,61,12,5,10,13,3,0,5,312,0,0,10,11,12,10,35,14,8,0,3,12,0,0,9,112,0,5,4,10,141,205,690,264,68,44,41,63,18,5,49,1597,3,60,786,283,140,212,59,25,0,0,0,4,0,0,30,1620,7,55,93,101,163,184,296,246,37,30,42,29,12,0,39,1328,0,0,3,26,153,149,219,73,13,21,26,25,6,0,21,736,123,149,43,32,37,54,46,16,0,4,4,3,0,0,19,520,4,146,540,186,59,18,18,68,7,0,3,10,0,0,33,1100,6,0,4,24,89,120,80,37,3,6,3,8,4,0,10,393,0,0,133,213,388,710,4954,2394,566,548,787,840,272,73,174,12067,0,3,4,7,48,146,147,64,14,21,12,14,8,0,19,503,0,0,3,5,30,14,59,219
