CED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED201,2161,17614,24405,8094,4576,56848,575,57422
CED202,2966,20285,22140,7977,4880,58249,789,59035
CED203,2789,20048,22349,8073,4996,58254,806,59059
CED204,2985,17891,22960,8473,5180,57493,937,58429
CED205,2485,16570,22636,8011,4665,54365,1014,55380
CED206,1587,15274,23364,9061,6495,55781,527,56307
CED207,5038,24569,25115,7030,3238,64998,795,65793
CED208,7525,28731,18610,4582,2211,61658,818,62474
CED209,1324,17039,24607,7573,4389,54934,620,55553
CED210,4308,23293,23173,6709,3659,61143,847,61989
CED211,3051,22145,25321,6924,3813,61255,672,61926
CED212,3161,20170,23678,7467,4061,58539,756,59295
CED213,2211,20148,23669,7344,4267,57631,802,58434
CED214,6964,27334,19368,5978,2730,62369,1168,63541
CED215,3350,23934,26451,6668,2898,63299,884,64179
CED216,2995,20324,22587,8439,5116,59460,1174,60630
CED217,3574,22460,23311,5819,2718,57879,560,58440
CED218,1976,15296,23166,8625,5004,54058,785,54844
CED219,2099,17142,22556,8271,5198,55274,799,56076
CED220,9552,31396,19084,4306,2066,66400,753,67153
CED221,1566,15613,25361,8813,4753,56106,798,56904
CED222,5441,25380,24613,7554,3700,66691,1054,67744
CED223,2459,19025,23543,8948,5666,59634,1345,60982
CED224,3521,22206,24215,6484,3271,59696,647,60340
CED225,2985,20358,24199,6863,3754,58163,548,58707
CED226,4525,24815,22667,6022,2907,60936,548,61481
CED227,1342,15399,24382,8347,5220,54693,685,55379
CED228,2643,22578,25566,7522,3941,62244,1018,63257
CED229,15512,41044,16949,2733,1151,77390,1003,78399
CED230,3587,21220,23438,9595,6324,64163,1502,65670
CED231,5858,25197,20479,5481,2732,59739,735,60475
CED232,931,13123,23148,8982,6101,52285,616,52897
CED233,34405,41068,12336,2103,741,90655,1411,92069
CED234,3430,21569,24976,7365,4323,61664,612,62272
CED235,2495,19322,21590,8022,4966,56399,1005,57402
CED236,2864,19158,21888,9021,5923,58863,1276,60137
CED237,2853,18846,22752,7586,4092,56135,827,56962
CED238,2765,19475,22576,8955,5902,59671,1107,60779
CED239,8077,29194,17701,4460,2177,61608,797,62402
CED294,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0
