CED_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
CED201,7,12,9,10,5,0,0,0,36,4,23,22,16,15,0,0,0,73,15,89,138,226,317,604,461,250,2097,29,121,160,251,332,604,461,250,2211,9552,9506,10358,9792,9271,6712,3380,945,59510,297,407,362,311,232,205,210,140,2161,9877,10030,10879,10352,9838,7519,4047,1333,63878,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,7,0,9,23,41,82,44,24,19,255,7,15,30,41,85,44,24,19,267,8800,9833,11029,10901,10341,8182,4503,1885,65472,295,344,340,259,262,251,324,300,2370,9102,10190,11402,11196,10687,8477,4851,2203,68114,9,10,7,10,5,0,0,0,45,12,23,21,16,16,0,0,0,83,20,100,162,267,401,649,484,267,2352,37,130,193,289,420,649,484,267,2480,18351,19336,21382,20691,19608,14889,7881,2826,124980,591,750,705,572,495,455,533,439,4534,18981,20219,22280,21548,20530,15998,8898,3540,131987
CED202,4,10,8,19,9,0,0,0,42,7,22,20,8,12,0,0,0,67,23,122,216,386,541,758,590,317,2948,32,150,237,408,569,758,590,317,3057,8428,8675,8134,8526,8295,7104,3304,799,53262,520,538,444,530,462,464,303,189,3453,8980,9358,8812,9467,9326,8333,4196,1302,59771,0,6,0,4,0,0,0,0,9,3,6,7,0,0,0,0,0,18,6,25,43,96,130,89,27,19,436,11,37,51,101,133,89,27,19,463,8212,8961,9222,9590,9600,8480,4327,1856,60240,535,535,469,464,445,479,438,370,3730,8760,9530,9741,10156,10173,9040,4783,2237,64432,4,14,8,20,10,0,0,0,57,5,26,25,13,16,0,0,0,82,26,146,262,481,672,847,612,337,3381,38,189,293,508,698,847,612,337,3525,16644,17634,17355,18118,17893,15582,7630,2655,113501,1056,1069,908,994,910,942,740,554,7185,17736,18890,18557,19622,19499,17372,8981,3545,124204
CED203,3,3,8,9,6,0,0,0,31,6,31,29,20,20,0,0,0,106,15,138,236,403,497,898,696,462,3341,26,173,275,431,520,898,696,462,3484,7897,8018,7802,8144,8384,7451,3708,869,52281,555,750,652,656,606,530,356,261,4363,8475,8944,8722,9235,9512,8881,4757,1597,60122,0,3,4,0,0,0,0,0,12,3,0,6,3,3,0,0,0,14,8,23,46,108,128,99,31,29,476,12,30,61,113,132,99,31,29,501,7836,8852,8940,9234,9936,8873,4776,1929,60384,462,550,528,538,539,494,482,508,4099,8313,9431,9522,9882,10611,9476,5283,2462,64985,4,4,14,11,6,0,0,0,46,8,32,33,23,25,0,0,0,125,27,166,283,510,623,996,724,485,3820,38,203,331,550,655,996,724,485,3986,15732,16873,16736,17384,18321,16331,8480,2805,112660,1016,1301,1179,1188,1141,1025,839,769,8459,16790,18378,18254,19119,20117,18353,10043,4060,125110
CED204,10,17,16,5,3,0,0,0,51,12,18,11,10,5,0,0,0,47,12,78,100,174,253,363,236,136,1353,33,109,127,188,257,363,236,136,1450,11415,12608,11702,10634,9727,6725,3297,954,67062,762,1108,813,594,498,335,272,124,4512,12214,13825,12645,11413,10483,7428,3811,1206,73021,0,6,3,9,4,0,0,0,21,0,0,0,4,3,0,0,0,11,0,10,16,36,36,36,19,11,163,3,19,22,43,36,36,19,11,194,10491,11814,11653,10894,10350,7479,3927,1765,68377,599,818,685,582,442,384,293,221,4032,11093,12655,12359,11519,10833,7902,4243,2004,72599,9,23,20,12,10,0,0,0,73,14,19,10,5,5,0,0,0,56,14,87,115,209,281,396,259,152,1514,40,129,144,225,295,396,259,152,1644,21903,24432,23350,21524,20077,14207,7224,2723,135436,1365,1926,1497,1182,945,721,560,344,8542,23308,26482,25001,22936,21311,15323,8050,3212,145620
CED205,12,9,10,9,6,0,0,0,40,11,19,10,9,5,0,0,0,47,11,60,78,104,177,227,126,55,842,30,88,98,121,183,227,126,55,929,12186,14676,14003,9762,8350,4654,2081,469,66185,860,1175,979,623,456,236,139,57,4520,13078,15946,15078,10505,8984,5122,2339,580,71640,3,9,8,3,0,0,0,0,15,0,0,0,4,0,0,0,0,4,0,10,9,26,29,16,6,3,101,7,18,20,27,31,16,6,3,121,11605,15307,13779,10356,8470,5253,2427,802,67987,689,969,853,561,432,265,177,94,4047,12294,16294,14649,10941,8934,5535,2609,901,72154,11,15,15,6,5,0,0,0,58,11,19,9,11,3,0,0,0,53,18,72,87,125,206,245,131,57,941,39,105,119,150,210,245,131,57,1053,23791,29986,27782,20119,16814,9907,4504,1268,134171,1549,2147,1834,1181,888,505,310,153,8572,25373,32238,29729,21444,17912,10657,4948,1482,143794
CED206,14,5,10,4,8,0,0,0,35,14,17,19,19,9,0,0,0,81,13,112,192,298,433,725,463,222,2467,31,134,223,326,451,725,463,222,2586,9082,9003,9363,9807,9115,6826,3472,780,57441,400,402,373,454,386,294,229,94,2635,9520,9543,9954,10587,9948,7844,4168,1095,62660,3,0,0,4,0,0,0,0,8,5,3,3,3,0,0,0,0,13,0,8,35,68,78,60,33,33,321,7,14,37,76,83,60,33,33,339,8478,9354,10215,10657,10108,8272,4198,1417,62699,324,358,353,390,341,315,223,148,2457,8801,9727,10610,11120,10537,8648,4451,1599,65494,11,11,10,6,8,0,0,0,43,11,23,25,25,14,0,0,0,98,13,123,227,369,515,786,502,252,2789,41,152,259,403,530,786,502,252,2925,17557,18356,19575,20465,19220,15095,7668,2198,120138,724,765,728,843,727,608,451,240,5092,18320,19271,20562,21712,20483,16491,8622,2699,128156
CED207,9,17,12,9,7,0,0,0,42,27,22,16,10,17,0,0,0,86,19,61,66,143,193,343,514,473,1810,49,93,89,157,215,343,514,473,1931,13310,12758,11155,10610,9037,6875,4727,1904,70361,695,887,510,372,261,233,272,207,3430,14054,13741,11753,11141,9511,7450,5505,2583,75730,0,3,5,0,0,0,0,0,6,0,4,4,3,0,0,0,0,16,14,6,10,22,37,36,28,43,192,13,15,14,27,47,36,28,43,216,12156,11646,12075,11902,9995,8532,6639,3411,76356,563,656,412,366,296,294,333,375,3300,12740,12312,12505,12293,10334,8859,6996,3826,79864,9,14,13,9,3,0,0,0,51,26,29,14,8,15,0,0,0,98,33,67,74,163,235,379,541,514,2001,66,110,104,181,256,379,541,514,2152,25460,24402,23233,22511,19035,15403,11363,5306,146716,1259,1537,921,743,559,530,599,577,6736,26787,26052,24258,23436,19846,16313,12503,6401,155599
CED208,5,18,25,16,0,0,0,0,72,15,25,20,6,9,0,0,0,66,9,88,115,161,165,201,167,111,1015,29,128,151,188,173,201,167,111,1157,8059,13638,11677,9880,7269,4690,2951,1262,59426,453,735,552,440,331,274,218,211,3217,8545,14509,12381,10504,7781,5166,3340,1582,63802,3,5,10,0,0,0,0,0,14,4,3,5,0,0,0,0,0,12,8,11,24,42,29,15,11,18,162,15,19,32,43,32,15,11,18,182,7990,14628,12403,10592,8083,5660,4004,2100,65462,385,666,494,379,306,280,291,365,3157,8389,15305,12931,11015,8417,5953,4310,2486,68799,9,19,29,16,0,0,0,0,82,14,29,19,13,5,0,0,0,86,12,95,136,206,199,220,177,129,1179,49,149,187,231,206,220,177,129,1341,16047,28264,24080,20471,15351,10345,6961,3367,124886,837,1400,1042,820,640,555,509,579,6375,16926,29817,25311,21520,16198,11117,7645,4071,132603
CED209,6,4,17,10,6,0,0,0,40,7,21,28,17,13,0,0,0,86,22,110,217,332,408,851,625,360,2926,36,139,261,358,424,851,625,360,3055,8195,8439,8833,8151,7525,7463,3672,905,53185,410,403,370,372,357,451,341,212,2921,8646,8983,9459,8885,8305,8765,4636,1477,59157,0,6,0,4,0,0,0,0,11,0,0,3,0,6,0,0,0,17,6,34,57,79,101,86,27,22,400,8,32,64,89,105,86,27,22,432,7929,8962,10019,9233,9249,9049,4713,1939,61091,408,339,388,321,364,477,432,401,3130,8353,9334,10463,9645,9722,9605,5172,2362,64658,17,9,20,11,10,0,0,0,55,11,22,29,18,18,0,0,0,101,21,141,273,416,507,931,650,388,3332,50,171,318,447,533,931,650,388,3487,16125,17400,18848,17389,16771,16513,8383,2840,114274,821,742,757,690,722,922,774,614,6047,16997,18315,19922,18524,18027,18371,9805,3841,123811
CED210,6,10,7,9,4,0,0,0,36,9,25,12,11,22,0,0,0,81,17,136,191,286,458,706,467,289,2556,34,168,214,312,479,706,467,289,2674,9295,10800,8963,8809,8179,6372,3306,1038,56777,646,1101,854,639,464,344,251,116,4415,9976,12069,10028,9760,9128,7424,4026,1443,63867,0,3,0,0,0,0,0,0,9,0,4,4,7,3,0,0,0,15,0,14,55,91,127,87,25,25,425,3,20,55,96,132,87,25,25,445,8989,11095,9904,9836,9378,7990,4707,2088,63982,487,595,525,443,349,413,350,215,3378,9482,11713,10485,10375,9860,8487,5086,2330,67806,8,12,4,11,3,0,0,0,40,14,30,18,19,27,0,0,0,99,17,150,248,374,584,798,494,316,2978,37,193,267,404,611,798,494,316,3121,18289,21894,18866,18646,17561,14367,8017,3129,120763,1134,1690,1378,1079,813,755,598,330,7789,19460,23778,20514,20133,18988,15914,9111,3776,131674
