CED_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED201,2082,1006,1075,2085,985,1051,2035,1039,1146,2185,1072,1151,2225,5092,5518,10617,1031,1092,2120,925,1061,1987,947,995,1944,909,1026,1933,931,998,1925,4745,5167,9913,876,956,1836,812,942,1759,787,897,1688,782,881,1660,769,908,1675,4031,4582,8618,734,863,1589,733,762,1498,673,780,1457,675,756,1425,674,740,1414,3487,3894,7381,524,599,1118,529,626,1157,471,552,1025,416,531,954,418,493,910,2356,2799,5154,1689,2050,3742,884,1274,2152,357,698,1051,84,210,294,13,27,46,77940,81164,159103
CED202,1874,964,966,1931,923,971,1887,967,1067,2030,1031,1053,2090,4729,5081,9810,928,1083,2008,878,973,1858,929,1046,1972,933,1010,1939,928,982,1908,4593,5095,9691,893,987,1874,919,967,1887,868,960,1829,856,953,1807,859,968,1826,4394,4834,9225,818,912,1723,805,841,1649,780,835,1615,759,820,1580,772,807,1581,3941,4209,8144,630,659,1290,541,622,1165,511,590,1103,449,516,976,466,487,946,2598,2875,5472,1604,1908,3513,857,1265,2125,356,724,1073,93,226,320,7,26,32,74181,78063,152243
CED203,1855,920,985,1908,930,1070,1997,1030,1092,2126,909,1130,2041,4650,5264,9916,1022,1102,2120,966,1027,1993,967,1100,2066,959,1083,2042,945,1032,1975,4858,5347,10203,907,993,1902,933,979,1909,946,1065,2012,943,994,1936,937,965,1904,4661,4993,9658,874,966,1841,894,923,1814,822,838,1663,792,828,1619,834,924,1762,4215,4480,8691,639,654,1290,638,690,1331,572,613,1186,503,560,1061,485,555,1041,2835,3076,5912,1916,2210,4130,1021,1398,2420,458,798,1255,112,246,351,9,25,28,74267,78286,152555
CED204,2188,1061,1103,2170,1087,1158,2246,1105,1145,2246,1107,1067,2174,5438,5587,11027,1084,1145,2226,991,1055,2050,1015,1056,2069,1007,1040,2041,944,954,1901,5044,5243,10286,940,961,1899,820,927,1750,805,900,1704,800,799,1597,747,796,1543,4114,4384,8494,711,768,1478,694,734,1423,672,707,1377,621,634,1253,617,671,1290,3313,3514,6827,527,574,1107,499,546,1049,438,513,955,365,405,780,407,413,817,2236,2458,4698,1571,1781,3348,822,1197,2020,308,617,925,74,166,241,6,26,30,90343,88799,179139
CED205,2079,1076,1030,2100,998,996,1996,1015,926,1945,920,954,1876,5051,4944,9991,889,879,1769,813,850,1663,765,779,1543,715,717,1433,759,753,1517,3931,3990,7921,680,686,1365,677,663,1340,565,618,1183,532,609,1145,516,538,1052,2964,3107,6079,448,535,986,448,519,968,401,459,856,432,461,886,436,455,891,2157,2426,4585,359,355,710,336,323,655,288,349,643,241,303,544,242,282,527,1472,1609,3081,869,999,1870,421,615,1033,138,233,369,21,48,67,3,8,15,94756,93729,188482
CED206,1981,1034,1056,2094,979,1065,2037,1017,1135,2153,1043,1117,2153,5032,5390,10423,1062,1083,2146,963,1033,1997,951,1002,1949,950,1034,1977,992,1004,1996,4917,5145,10063,890,933,1825,832,948,1775,818,886,1703,817,892,1706,782,896,1681,4137,4554,8694,795,875,1677,738,883,1624,705,745,1452,712,763,1475,749,815,1565,3705,4086,7796,627,691,1310,568,592,1159,519,564,1085,490,478,965,471,422,894,2673,2750,5424,1491,1701,3196,712,955,1670,315,487,799,57,140,200,8,16,24,77906,79535,157444
CED207,2059,949,1059,2006,1031,1101,2127,1131,1067,2193,909,1073,1986,5035,5342,10380,956,1042,1999,948,1029,1972,866,944,1813,878,986,1859,818,994,1817,4474,4992,9463,852,995,1841,807,916,1730,792,869,1663,714,932,1647,735,860,1592,3902,4573,8473,704,892,1596,702,846,1545,682,820,1499,690,839,1533,765,888,1659,3549,4283,7835,649,778,1425,630,770,1404,599,733,1333,511,661,1171,598,758,1356,2989,3697,6689,2513,3295,5806,1635,2253,3887,765,1194,1956,164,342,507,15,39,49,90099,93552,183655
CED208,1787,897,900,1796,847,944,1788,841,869,1714,788,886,1676,4168,4598,8758,781,826,1603,726,811,1538,740,757,1492,688,702,1382,685,735,1413,3612,3823,7435,638,697,1339,603,684,1284,565,606,1172,525,627,1153,502,581,1083,2834,3195,6027,488,555,1050,498,525,1020,442,563,1011,439,553,989,464,561,1023,2336,2760,5095,400,482,881,363,484,849,383,458,838,327,433,765,332,421,753,1809,2273,4083,1526,2030,3561,1054,1443,2497,442,806,1244,80,211,289,11,24,36,75990,80287,156279
CED209,1599,765,929,1691,809,950,1755,837,956,1789,860,1011,1873,4019,4685,8706,831,973,1810,811,965,1772,878,1020,1900,866,1050,1915,890,1026,1922,4285,5034,9315,934,1036,1970,917,1024,1939,900,1031,1929,855,1003,1860,889,971,1858,4489,5064,9556,900,946,1844,851,944,1795,790,887,1681,876,870,1742,851,896,1748,4275,4539,8814,676,769,1448,628,664,1286,582,608,1194,499,581,1080,481,507,982,2865,3127,5995,1773,2040,3812,953,1304,2256,422,770,1195,100,254,351,5,31,39,74092,78661,152752
CED210,1814,964,1017,1980,975,999,1971,948,1049,1995,945,1019,1960,4718,5014,9730,914,1033,1946,887,1020,1908,898,963,1861,858,952,1806,853,882,1736,4416,4848,9259,852,936,1790,804,879,1683,821,897,1718,717,885,1603,732,824,1554,3931,4418,8348,705,816,1519,744,768,1510,694,848,1538,631,789,1415,725,852,1578,3492,4070,7561,557,635,1191,476,598,1071,508,594,1104,409,528,935,449,528,979,2392,2888,5278,1634,2193,3831,923,1362,2282,432,739,1168,86,211,298,5,22,29,77971,81268,159242
