CED_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
CED201,42,127,340,418,328,289,71,10,0,1632,2120,3554,8036,8791,8763,6609,1472,99,3,39450,8,29,66,39,64,47,18,4,4,272,0,0,14,26,36,29,5,0,0,114,189,390,1057,1591,1918,1747,375,35,0,7296,6,47,155,240,203,168,34,0,0,857,346,915,2111,1932,1653,1177,267,19,0,8420,51,182,594,950,927,763,173,18,0,3661,1212,1542,1577,1480,1413,1139,341,19,0,8718,1427,729,632,566,461,367,77,13,0,4272,34,164,440,533,725,721,210,22,0,2841,30,106,261,404,334,198,41,6,0,1386,18,188,773,998,740,466,104,12,0,3302,14,88,278,278,259,146,57,0,0,1125,46,436,1526,1880,1323,895,260,37,0,6396,59,198,491,547,611,456,153,14,0,2527,30,164,749,896,881,754,222,14,0,3709,162,508,1541,1697,1561,1281,276,29,0,7055,114,874,2529,2430,2644,2095,577,25,0,11291,153,162,233,220,163,115,35,4,0,1090
CED202,52,90,178,168,192,155,57,24,9,914,2258,3161,7058,7321,7570,6026,1396,134,17,34948,96,147,349,356,411,437,349,153,14,2311,15,27,135,137,129,74,12,0,0,535,257,344,844,1047,1330,990,211,14,0,5038,4,23,155,172,179,163,27,0,0,717,432,900,1847,1546,1203,1022,232,12,0,7194,58,95,262,261,347,284,76,7,0,1380,1057,1050,1331,993,1098,932,257,26,0,6756,1596,859,878,609,485,398,117,10,0,4956,27,115,461,511,604,615,198,16,3,2544,30,60,208,226,220,121,39,4,0,917,10,64,230,327,350,196,55,5,0,1223,16,57,172,170,151,152,56,11,0,789,44,239,877,1000,889,590,218,32,0,3876,51,162,395,402,457,382,110,8,0,1972,22,154,832,1217,1246,864,165,11,3,4508,153,365,1426,1744,1784,1369,349,26,0,7219,159,1005,2810,2650,2913,2579,544,27,0,12696,138,164,276,274,249,194,65,6,0,1368
CED203,75,78,180,195,172,182,47,22,4,951,2219,3002,6978,7241,7468,6295,1544,145,7,34890,56,95,277,305,329,389,247,119,7,1822,13,92,354,312,243,157,26,0,0,1198,279,535,1365,1214,1241,1044,269,25,0,5971,7,41,144,193,224,183,39,0,0,834,366,768,1589,1314,1261,998,242,23,0,6565,40,83,211,231,287,282,64,12,0,1219,1245,945,1168,1006,1100,947,284,35,4,6732,1496,742,740,552,490,400,134,16,0,4567,32,104,335,382,561,661,203,24,0,2308,16,67,168,149,180,106,42,6,0,728,16,112,428,685,572,303,50,8,0,2181,18,61,136,139,153,129,59,14,0,699,34,205,662,869,785,549,257,33,3,3391,53,144,394,367,436,432,128,10,0,1963,19,172,746,1102,1282,968,237,10,0,4543,99,340,1214,1531,1549,1194,336,10,0,6268,149,952,2874,2699,2765,2665,626,28,3,12765,100,149,206,216,258,175,71,11,0,1181
CED204,60,187,450,406,351,249,57,11,0,1779,1906,3775,8119,7994,7585,5602,1177,85,0,36242,13,34,76,92,85,70,16,4,0,401,0,3,16,21,30,27,4,0,0,104,180,555,1638,1972,2200,1958,434,28,0,8966,5,52,178,212,226,137,19,4,0,825,291,1100,2730,2277,1766,1203,242,24,3,9637,45,182,587,708,757,619,127,9,0,3035,1026,1595,1673,1427,1319,944,232,22,0,8249,1337,753,747,565,481,373,108,3,0,4355,46,292,933,935,891,879,239,18,3,4244,47,103,227,313,203,112,27,0,0,1037,17,201,730,745,498,301,48,7,0,2549,18,66,230,213,201,139,40,13,0,919,29,369,1326,1312,848,541,179,24,0,4630,56,274,662,589,609,468,126,6,3,2798,20,230,755,738,760,591,145,24,0,3268,128,457,1288,1396,1261,923,229,10,0,5708,110,951,2662,2459,2350,1874,458,30,0,10901,123,130,205,184,130,74,25,3,0,876
CED205,74,203,497,373,280,169,31,4,0,1635,1645,3880,9437,8242,5829,3654,575,33,0,33301,13,13,64,55,57,33,11,0,0,240,0,3,18,23,16,19,0,0,0,81,132,479,1581,1802,1536,1224,199,9,0,6960,10,36,202,260,114,98,16,5,0,738,312,1066,2778,1971,1300,745,145,6,0,8323,36,141,468,496,422,379,64,3,0,2012,901,1429,1854,1295,997,674,121,4,0,7285,1220,814,933,711,476,267,38,6,0,4462,68,596,2033,2129,1445,1050,178,7,0,7506,31,77,237,318,131,62,12,0,0,864,10,182,860,889,336,191,33,0,0,2490,13,92,261,221,151,98,20,3,0,865,17,285,1284,1277,529,299,61,12,0,3758,52,283,786,743,554,399,70,4,0,2902,48,395,1155,1178,744,521,104,0,0,4148,80,430,1535,1418,1040,645,123,6,0,5285,92,947,2914,2710,1710,1109,206,7,0,9689,74,131,196,149,73,51,16,3,0,688
CED206,70,123,270,285,334,220,67,11,4,1389,2341,3370,7720,8289,8756,6677,1677,143,13,38996,71,128,259,318,400,385,204,66,5,1834,0,7,22,32,43,44,10,0,0,163,272,389,1061,1478,1778,1452,368,53,0,6852,14,51,216,235,216,203,35,3,0,967,633,1376,3188,2630,2258,1605,347,28,0,12062,65,171,412,588,726,548,146,3,0,2661,1013,1136,1182,1168,1291,1125,304,39,0,7254,1541,714,488,457,443,311,96,11,5,4066,25,108,303,407,659,641,202,19,0,2372,34,54,185,256,251,182,20,4,0,985,4,79,358,452,501,283,85,12,0,1780,26,81,218,217,228,165,62,10,0,1003,47,279,1090,1342,1196,777,329,40,0,5103,64,189,409,515,569,502,164,19,0,2433,44,179,854,1029,1003,753,189,21,0,4072,127,366,1593,1914,1825,1385,435,36,4,7681,129,765,2296,2130,2458,2192,573,37,0,10586,164,150,255,250,263,187,51,10,0,1330
CED207,52,159,441,439,340,205,56,23,10,1716,2049,4722,9137,9338,8951,5829,1503,202,12,41735,3,14,58,32,65,36,17,6,0,235,0,0,14,43,43,24,7,4,0,135,170,345,959,1083,1317,964,252,33,3,5129,0,40,179,240,210,113,24,0,0,813,129,553,1468,1332,1151,794,178,36,4,5635,46,184,579,778,834,547,126,14,0,3111,982,1990,1946,1450,1326,883,257,29,5,8868,1440,1431,1179,857,672,475,87,12,0,6155,31,300,709,647,638,544,185,13,0,3066,36,151,326,537,420,228,64,13,0,1771,22,336,1233,1670,1133,570,132,20,7,5114,13,113,391,427,309,218,66,9,3,1546,64,805,2504,2865,2252,1294,444,93,4,10329,52,360,752,547,579,418,137,24,0,2877,26,262,687,801,911,779,184,32,0,3688,318,845,1757,1828,2039,1504,376,48,3,8726,148,1162,2958,2411,2621,1990,597,62,4,11957,168,257,272,195,202,117,43,7,0,1266
CED208,43,127,458,337,236,139,37,16,3,1397,1411,3534,12322,10155,8367,4930,1014,69,10,41811,3,34,106,77,60,41,5,3,0,329,0,4,31,30,29,10,4,0,0,102,106,275,999,1039,986,728,163,20,0,4309,4,25,188,270,170,84,18,0,0,760,132,513,1821,1358,1155,669,151,14,0,5818,19,92,440,468,442,279,68,10,0,1831,710,1301,2047,1155,1028,598,128,19,3,6992,915,1092,1562,791,503,310,69,3,0,5242,24,211,786,658,730,467,143,4,0,3025,33,101,599,628,464,193,36,8,0,2058,5,164,1041,1289,875,307,52,0,0,3746,10,73,299,287,226,128,34,3,0,1056,28,442,3085,3008,1932,826,188,16,0,9532,28,251,762,552,510,351,92,6,0,2565,12,232,1548,1777,1571,893,164,19,0,6225,122,429,2475,2320,2047,1401,318,14,3,9129,87,879,3914,2849,2436,1751,406,20,0,12340,147,236,643,518,361,166,40,3,0,2122
CED209,54,67,208,226,200,126,49,17,4,947,2337,3243,7612,8490,7799,5825,1392,119,19,36829,68,87,160,154,224,254,179,76,12,1203,5,9,39,39,47,40,17,0,0,189,233,282,708,868,938,690,201,20,4,3946,4,27,164,233,224,148,24,3,0,830,404,994,2386,2261,1685,1077,266,25,3,9094,39,109,266,430,467,370,103,13,0,1797,1211,1329,1404,1231,1188,958,280,27,3,7621,1678,960,866,575,476,358,106,17,3,5037,58,138,416,530,558,559,206,19,0,2483,20,51,117,199,164,105,34,3,0,703,0,66,490,683,554,291,70,11,0,2165,18,76,197,232,238,157,62,12,0,985,27,248,996,1219,1095,722,364,41,0,4723,52,133,334,474,453,387,141,8,0,1997,25,141,939,1322,1312,888,202,18,0,4835,122,399,1534,2147,1699,1321,331,25,0,7585,148,844,2887,2868,2768,2341,505,32,0,12388,139,166,289,272,223,154,60,6,0,1304
CED210,47,116,274,231,215,157,48,15,9,1105,2160,3784,8843,7822,7672,5710,1305,103,9,37400,34,60,127,166,170,132,60,18,5,776,0,8,47,35,52,36,8,0,0,184,168,381,1088,1012,1225,947,176,12,0,5012,8,38,276,233,224,168,22,0,0,966,348,1036,2401,1735,1402,947,216,28,8,8110,50,142,378,416,521,363,85,12,0,1966,1117,1387,1743,1323,1221,910,249,24,0,7965,1620,1099,1073,558,428,332,100,10,0,5223,47,176,747,688,702,732,205,14,0,3323,29,56,162,195,153,82,22,0,0,710,3,102,560,682,537,252,69,0,0,2206,12,68,224,191,181,154,55,9,0,897,28,331,1263,1131,966,614,245,34,8,4619,52,197,490,443,489,414,135,12,0,2234,22,182,1068,1215,1279,885,191,31,3,4866,113,432,1654,1775,1705,1348,303,12,0,7339,120,1053,3325,2749,2746,2374,580,40,0,12992,129,175,286,191,188,122,42,7,0,1138
