CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED201,1575,1127,1184,1141,1208,1113,770,541,281,8944,27114,18981,20219,22280,21548,20530,15998,8898,3540,159103
CED202,2503,1583,1472,1340,1644,1438,1244,713,368,12312,28034,17736,18890,18557,19622,19499,17372,8981,3545,152243
CED203,2525,1542,1734,1616,1712,1704,1336,928,593,13685,27444,16790,18378,18254,19119,20117,18353,10043,4060,152555
CED204,2777,1943,2354,1977,1811,1493,1069,579,299,14297,33520,23308,26482,25001,22936,21311,15323,8050,3212,179139
CED205,3863,2162,2669,2444,1802,1398,746,391,141,15612,44689,25373,32238,29729,21444,17912,10657,4948,1482,188482
CED206,2117,1420,1292,1311,1525,1420,996,539,204,10827,29290,18320,19271,20562,21712,20483,16491,8622,2699,157444
CED207,1369,1695,1807,1261,1230,1051,843,682,494,10430,28060,26787,26052,24258,23436,19846,16313,12503,6401,183655
CED208,1555,1257,1919,1530,1501,1035,749,543,438,10522,23674,16926,29817,25311,21520,16198,11117,7645,4071,156279
CED209,2039,1306,1156,1288,1247,1216,1263,792,397,10705,28945,16997,18315,19922,18524,18027,18371,9805,3841,152752
CED210,2319,1761,2110,1848,1667,1387,1074,627,310,13111,27567,19460,23778,20514,20133,18988,15914,9111,3776,159242
CED211,1581,1081,1099,1252,1177,1019,825,678,611,9322,29858,18997,20697,24068,22458,19537,16157,10489,4847,167110
CED212,2423,1475,1571,1664,1745,1337,940,607,324,12087,29685,17782,19993,21835,21967,19405,15113,8681,3550,158012
CED213,2082,1291,1134,1303,1693,1624,1670,1188,655,12641,23679,15060,13646,15714,19647,20756,21953,14401,5492,150355
CED214,2570,1889,3164,2347,1880,1519,1048,718,479,15613,28165,20696,35377,27544,21769,18224,13633,7554,3419,176388
CED215,3014,1681,2529,2594,1682,1140,748,409,214,14009,43743,19382,28701,36362,24236,17137,11831,6068,2518,189984
CED216,2849,1741,2049,1986,1916,2031,1879,1120,678,16247,25949,15624,17215,16748,18427,22658,22098,11705,3939,154357
CED217,1511,1063,912,1091,1399,1107,885,594,367,8936,27110,18578,14967,19531,24118,20184,15854,9578,4822,154736
CED218,2739,1952,2805,2511,1875,1316,810,396,152,14567,37432,23066,26143,28195,23619,18609,13241,5950,1848,178100
CED219,3453,1743,2028,1903,1655,1278,901,421,161,13549,36940,19828,24951,24424,20627,17203,13532,5974,1909,165389
CED220,1165,1143,2040,1352,1224,1009,798,659,473,9871,20353,19016,31632,22358,19519,16521,13192,8606,3870,155062
CED221,3538,1842,2273,2097,1595,1160,659,350,140,13650,45654,24097,30666,31300,22019,16563,10430,4887,1644,187255
CED222,2072,1749,2416,1727,1538,1309,970,706,381,12861,31635,25624,34431,27900,23858,20465,16254,10506,4915,195590
CED223,2599,1649,1472,1615,1842,1994,1691,1050,438,14344,26814,15969,16281,17472,19886,23021,21401,11529,4247,156620
CED224,1744,1034,1273,1363,1298,1095,843,618,325,9593,29401,17588,19743,23851,23399,19002,14574,8841,4126,160526
CED225,1567,1132,1122,1220,1246,1110,876,552,286,9115,28575,17984,18952,22268,21990,19590,16381,9268,3870,158869
CED226,1233,1224,1126,980,1216,1050,770,534,331,8460,25644,23595,20867,19873,22915,20099,15755,9605,4987,163354
CED227,2975,1577,1763,1729,1509,1124,801,495,245,12216,39637,20678,26068,26702,20885,15597,11444,6381,2079,169469
CED228,4227,2060,2895,2579,1697,1165,729,369,235,15952,48971,24424,35954,36421,21287,16791,11050,4825,1603,201323
CED229,1349,1278,3089,2247,1716,1410,1077,713,494,13363,19643,17243,40606,28521,21470,17343,13427,6958,2862,168080
CED230,3293,1908,1911,1942,2067,2310,1976,1324,839,17566,28724,17222,19562,17807,20319,24230,21612,12696,5466,167639
CED231,1525,1206,1636,1410,1415,1169,824,566,247,10006,24622,17458,23961,22522,20803,17371,13963,8855,3856,153408
CED232,2685,1469,1352,1623,1545,1308,912,465,147,11515,36061,18784,20536,24045,21585,17607,13314,6201,1750,159894
CED233,1411,2899,5495,2753,1674,1319,875,403,182,17005,16129,35751,67326,31175,17975,14302,10215,5089,2004,199964
CED234,1403,1142,1108,1129,1251,1072,864,724,485,9168,28352,20932,20607,23247,23420,21181,16789,12559,5775,172855
CED235,2522,1267,1311,1461,1552,1772,1682,1033,471,13069,25066,14025,15497,15754,17726,21510,21404,11374,3987,146349
CED236,3044,1853,1876,1824,1943,2029,1708,1157,567,16001,28490,17500,18361,17517,19953,21840,19778,11593,4479,159507
CED237,2440,1566,1827,1662,1501,1197,841,667,459,12153,33452,20923,26442,26426,20910,18236,13637,7448,2925,170399
CED238,2487,1600,1609,1791,1997,1955,1856,1073,529,14900,25712,15679,16759,16776,19697,22905,21143,11334,4556,154555
CED239,1683,1273,2260,1652,1329,945,633,508,386,10663,24484,18223,34271,26247,19003,14656,9855,7085,4486,158319
CED294,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
CED297,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
